"","Site","Lat","Lon","Datetime","PFT","Climate","Tair","SW","RH","VPD","WS","Ca","SWC","LAI","flag_rain","flag_daytime","flag_GS","flag_peak","Gs"
"631703","DE-Gri",50.95,13.5126,"2012-08-12 15:00:00","GRA","Continental",19.03,646.73,46.82,1.1711,3.38,371.52,0.2793,5.7765884,0,1,1,0,0.437704320972887
"153541","US-SRC",31.9083,-110.8395,"2008-09-28 11:00:00","OSH","Arid",30.245,834.091,33.199,2.875,5.04,360.334,0.06243,0.51462799,0,1,1,1,0.0328344152371401
"260567","US-Goo",34.2547,-89.8735,"2004-06-14 14:00:00","GRA","Temperate",30.6,796,63.2,1.623,2.23,-9999,0.28001,4.1008582,0,1,1,1,0.314081522691101
"931313","AU-DaS",-14.1593,131.3881,"2010-06-09 10:00:00","SAV","Tropical",22.45,525,37,1.7124,3.27,350.9,0.034,0.84434998,0,1,1,0,0.145919190750074
"663990","CH-Fru",47.1158,8.5378,"2012-06-15 09:30:00","GRA","Arctic",19.751,759.23,59.571,0.9311,1.245,360.772,0.45614,2.6035354,0,1,1,1,0.647664847410547
"188752","US-NR1",40.0329,-105.5464,"2012-06-24 06:30:00","ENF","Continental",19.89,313.63,18.8,1.885,4.16,394.81,0.0559999999999999,2.3513565,0,1,1,1,0.111353185433258
"477872","IT-Lav",45.9562,11.2813,"2013-09-05 17:00:00","ENF","Temperate",17.127,192.449,99.179,0.016,0.889,403.454,0.33833,4.3128967,0,1,1,0,0.169869256801757
"621113","DE-Hai",51.0792,10.4522,"2008-08-11 16:00:00","DBF","Continental",22.18,313.53,46.57,1.4286,4.09,367,0.2044,2.2100832,0,1,1,1,0.182796454459108
"628333","DE-Gri",50.95,13.5126,"2010-07-27 07:00:00","GRA","Continental",19.62,361.667,61.2967,0.8842,0.383,390.759,0.32297,6.5223718,0,1,1,1,0.22754137349558
"332679","US-AR1",36.4267,-99.42,"2012-02-23 14:30:00","GRA","Temperate",9.82,433.321,49.67,0.613,9.36,383.054,0.2617,0.26953503,0,1,1,0,0.245296000386581
"781450","BE-Lon",50.5516,4.7462,"2004-09-07 13:30:00","CRO","Temperate",23.8,620,63,1.0912,4.666,391.582,0.255,1.5298934,0,1,1,0,0.364570424137204
"12169","US-Wkg",31.7365,-109.9419,"2009-03-26 16:00:00","GRA","Arid",18.14,492.1,9.668,1.881,12.449,377.58,0.08,0.2,0,1,1,0,0.0111851433584586
"672648","CH-Dav",46.8153,9.8559,"2011-06-05 16:00:00","ENF","Arctic",14.1,240.9,47.0667,0.852,4.63,388.884,0.2932,1.5011535,0,1,1,1,0.0801758700471384
"374758","IT-Tor",45.8444,7.5781,"2008-06-20 07:30:00","GRA","Continental",13.21,459.373,52.6,0.72,0.397,388.847,0.20032,1.971357,0,1,1,1,0.520127384326567
"77277","US-Ton",38.4309,-120.966,"2004-05-07 10:00:00","WSA","Temperate",18.68,883.697,47.06,1.14,2.448,370.235,0.08,1.3555248,0,1,1,1,0.2186460122892
"848410","AU-RDF",-14.5636,132.4776,"2013-01-31 08:00:00","WSA","Tropical",26.94,355,74,0.924,1.54,386,0.1,1.1388521,0,1,1,1,0.410342238050847
"950088","AU-DaP",-14.0633,131.3181,"2011-05-08 14:00:00","GRA","Tropical",31.64,910,39,2.8427,2.2,353.2,0.063,1.9381816,0,1,1,0,0.0886984436978556
"626324","DE-Gri",50.95,13.5126,"2009-06-08 08:30:00","GRA","Continental",17.637,690.4,54.01,0.928,3.729,383.595,0.3848,6.4603724,0,1,1,1,0.595531386410981
"756114","CA-Gro",48.2167,-82.1556,"2008-05-09 10:30:00","MF","Continental",9.355,787.503,49.364,0.596,3.765,379.92,0.56869,1.6124901,0,1,1,0,0.266779347170315
"859011","AU-How",-12.4943,131.1523,"2010-04-24 10:30:00","WSA","Tropical",30.68,768,57,1.8974,1.23,366.4,0.143,1.9218907,0,1,1,0,0.433052804732913
"153836","US-SRC",31.9083,-110.8395,"2008-10-26 10:00:00","OSH","Arid",24.879,652.592,17.609,2.591,1.388,367.976,0.04766,0.33312759,0,1,1,0,0.0263825070807774
"594737","DE-Obe",50.7867,13.7213,"2012-06-24 15:30:00","ENF","Continental",20.06,263.25,42.98,1.3386,3.93,346.43,0.2602,2.5794492,0,1,1,1,0.250700697929826
"679626","CA-TPD",42.6353,-80.5577,"2012-08-31 11:30:00","DBF","Continental",27.36,831.623,62.65,1.36,5.853,413.752,0.045,3.7998199,0,1,1,1,0.38714044700203
"798566","AU-Whr",-36.6732,145.0294,"2012-05-01 13:00:00","EBF","Temperate",19.47,600,57,0.9732,4.22,363.3,0.153,1.0016267,0,1,1,0,0.207763404257401
"489475","IT-Cpz",41.7052,12.3761,"2006-05-06 13:30:00","EBF","Temperate",20.25,517,62.51,0.8905,2.887,383.587,0.1401,2.7875068,0,1,1,0,0.123985836193107
"351851","NL-Loo",52.1666,5.7436,"2003-10-19 11:30:00","ENF","Temperate",9.09,439.3,54.17,0.5295,2.63,382.28,0.07875,1.5811459,0,1,1,0,0.317258911298348
"356849","NL-Loo",52.1666,5.7436,"2006-07-19 11:30:00","ENF","Temperate",32.55,833,22.62,3.7961,2.34,373.45,0.048,2.2597873,0,1,1,1,0.0899467883030141
"589077","DE-Tha",50.9626,13.5651,"2014-10-29 12:00:00","ENF","Continental",7.69,426.44,66.4,0.353,3.62,417.44,0.291,1.752018,0,1,1,0,0.176047458845624
"262071","US-Goo",34.2547,-89.8735,"2005-03-25 11:30:00","GRA","Temperate",24.8,875,50.8,1.547,2.68,-9999,0.33,1.0555983,0,1,1,0,0.0490621796448512
"632280","DE-Gri",50.95,13.5126,"2013-04-22 10:00:00","GRA","Continental",14.98,426.12,68.96,0.5288,2.53,394.4,0.3966,3.3003218,0,1,1,0,0.340955343602886
"899487","AU-Emr",-23.8587,148.4746,"2011-08-23 10:00:00","GRA","Arid",18.78,557,55,0.9756,6.68,379.7,0.078,0.62986904,0,1,1,1,0.0861088325999994
"847860","AU-RDF",-14.5636,132.4776,"2012-03-30 17:00:00","WSA","Tropical",32.27,332,36,3.0906,3.38,357.2,0.03,1.4173533,0,1,1,1,0.0469668863270106
"492283","IT-Cpz",41.7052,12.3761,"2007-06-16 14:00:00","EBF","Temperate",25.58,706,73.4,0.8724,3.717,417.891,0.1123,2.2757571,0,1,1,0,0.204839895698625
"168881","US-Oho",41.5545,-83.8438,"2004-10-11 12:30:00","DBF","Continental",12.485,473.804,69.349,0.444,1.991,346.378,0.16907,2.7226515,0,1,1,0,0.288925257300022
"707757","CA-TP3",42.7068,-80.3483,"2010-08-30 13:00:00","ENF","Continental",28.98,877.76,70.47,1.182,2.29,411.654,0.067,4.5597854,0,1,1,1,0.170569130576019
"368543","NL-Loo",52.1666,5.7436,"2012-05-22 12:30:00","ENF","Temperate",26.33,872,49.34,1.7369,2.4,389.31,0.081,2.3850217,0,1,1,0,0.24082970164764
"187852","US-NR1",40.0329,-105.5464,"2011-10-24 13:30:00","ENF","Continental",10.37,611.15,18.08,1.031,9.31,389.41,0.054,1.3693416,0,1,1,0,0.083065447273144
"549354","ES-LJu",36.9266,-2.7521,"2012-05-23 10:30:00","OSH","Arid",16.869,788.85,32.9951,1.288,0.846,382.157,0.1282,0.55954778,0,1,1,1,0.0098349001904164
