,Unnamed: 0,Site,Lat,Lon,Datetime,PFT,Climate,Tair,SW,RH,VPD,WS,Ca,SWC,LAI,flag_rain,flag_daytime,flag_GS,flag_peak,Gs
1511,144692,US-SRG,31.7894,-110.8277,2010-10-29 15:00:00,GRA,Arid,29.97,462.0,14.046,3.642,3.316,365.398,0.0465,0.5,0,1,1,0,0.0305172979396198
1882,54432,US-Var,38.4133,-120.9508,2008-01-17 15:00:00,GRA,Temperate,11.235,253.9,61.577,0.513,1.297,390.459,0.20657,0.60083061,0,1,1,0,0.0382276570492195
651,9336,US-Wkg,31.7365,-109.9419,2007-05-02 16:00:00,GRA,Arid,23.83,573.8,14.712,2.519,6.192,370.995,0.01,0.21439894,0,1,1,0,0.0164335586628276
4930,112525,US-Syv,46.242,-89.3477,2003-08-25 10:30:00,MF,Continental,25.371,813.114,53.92,1.499,1.704,366.779,0.123,5.33707,0,1,1,1,0.335913975248962
3089,611281,DE-Kli,50.8931,13.5224,2012-03-22 11:00:00,CRO,Continental,8.98,346.93,71.94,0.3218,2.34,398.81,0.3635,0.79830277,0,1,1,1,0.229325633700479
369,329678,US-AR1,36.4267,-99.42,2010-06-19 15:00:00,GRA,Temperate,35.13,824.49,43.66,3.206,7.284,357.505,0.23991,1.4738853,0,1,1,1,0.192293900610859
4997,839869,AU-Rob,-17.1175,145.6301,2014-07-02 12:00:00,EBF,Tropical,19.67,929.0,67.0,0.7562,2.49,385.4,0.3,3.8781481,0,1,1,1,0.64839248306719
118,470058,IT-Lav,45.9562,11.2813,2008-10-15 14:00:00,ENF,Temperate,16.452,420.517,48.264,0.9685,1.067,367.258,0.26733,2.4940884,0,1,1,1,0.175951269984671
3320,20594,US-Wkg,31.7365,-109.9419,2012-10-23 10:00:00,GRA,Arid,21.56,687.2,26.473,1.892,3.86,385.85,0.05,0.33545277,0,1,1,0,0.0145129836476346
3034,58613,US-Var,38.4133,-120.9508,2010-06-07 06:30:00,GRA,Temperate,17.824,310.07,81.001,0.388,0.854,406.639,0.08065,1.4785788,0,1,1,0,0.458691207248936
2216,988918,AR-SLu,-33.4648,-66.4598,2010-01-31 14:00:00,MF,Arid,25.1,647.812,78.1049,0.6979,1.351,374.929,0.0662,0.93102872,0,1,1,1,0.0709362296276946
3542,514512,FR-LBr,44.7171,-0.7693,2005-05-15 10:30:00,ENF,Temperate,17.04,300.27,66.8,0.6451,5.65,371.3,0.38362,1.5707123,0,1,1,1,0.305168609948085
1613,879685,AU-GWW,-30.1913,120.6541,2014-06-02 09:30:00,SAV,Arid,18.28,484.0,34.0,1.3868,1.34,373.258,0.235,0.33229187,0,1,1,0,0.0404282489619972
3151,696517,CA-TP4,42.7102,-80.3574,2011-09-06 07:00:00,ENF,Continental,11.94,224.5,96.3,0.052,3.363,416.497,0.079,4.3334579,0,1,1,1,1.69965137927581
962,186626,US-NR1,40.0329,-105.5464,2011-06-07 08:00:00,ENF,Continental,7.86,705.83,21.95,0.83,5.47,393.53,0.386,1.343873,0,1,1,1,0.253875505496749
2510,13494,US-Wkg,31.7365,-109.9419,2009-08-15 13:30:00,GRA,Arid,28.62,902.0,27.48,2.842,3.348,378.458,0.19,0.37805307,0,1,1,1,0.0555819827806568
3831,654391,CN-Cng,44.5934,123.5092,2010-08-04 09:30:00,GRA,Continental,22.77,161.03,83.3,0.4631,5.651,410.416,0.288,0.96632403,0,1,1,1,0.440865325097601
2823,597909,DE-Lnf,51.3282,10.3678,2002-09-30 11:30:00,DBF,Continental,12.72,581.75,71.51,0.4191,2.57,367.74,0.3358,3.9952779,0,1,1,0,0.697196998680165
4343,254892,US-IB2,41.8406,-88.241,2010-09-10 08:30:00,GRA,Continental,17.2,551.8,58.0,0.828,3.32,363.278,0.348,1.7741792,0,1,1,0,0.395839275710324
3032,319123,US-ARb,35.5497,-98.0402,2005-10-21 13:00:00,GRA,Temperate,17.42,675.1,62.22,0.755,4.75,359.613,0.2312,0.73042053,0,1,1,0,0.102326595089714
2415,278343,US-Cop,38.09,-109.39,2003-09-29 12:00:00,GRA,Arid,30.23,834.4,13.2,3.732,2.18,369.74,0.07922,0.2,0,1,1,0,0.0042041174145485
4654,633110,DE-Gri,50.95,13.5126,2013-07-21 09:30:00,GRA,Continental,22.79,772.17,44.21,1.548,1.53,375.34,0.2507,6.4885907,0,1,1,1,0.442379628087638
4236,912258,AU-Dry,-15.2588,132.3706,2011-06-26 09:30:00,SAV,Tropical,20.59,503.0,36.0,1.5525,1.97,384.2,0.04,1.2492428,0,1,1,0,0.189065447961575
2185,555785,ES-Amo,36.8336,-2.2523,2009-02-19 11:30:00,OSH,Arid,15.011,618.02,75.3685,0.4205,1.256,383.571,0.24035,0.47171277,0,1,1,1,0.0508568603395723
3669,494387,IT-Cpz,41.7052,12.3761,2008-06-26 10:30:00,EBF,Temperate,29.68,860.0,45.61,2.2664,3.066,390.4,0.1186,3.8499722,0,1,1,1,0.223026402173289
2037,438974,IT-Noe,40.6062,8.1517,2012-08-09 16:30:00,CSH,Temperate,29.15,482.71,62.0,1.5358,2.664,409.771,0.21897,1.7684104,0,1,1,0,0.0389996933095421
4362,858378,AU-How,-12.4943,131.1523,2008-11-09 16:00:00,WSA,Tropical,33.99,441.0,40.0,3.1906,2.54,371.0,0.054,1.9301871,0,1,1,0,0.0847166472160902
772,123412,US-SRM,31.8214,-110.8661,2007-10-16 10:30:00,WSA,Arid,22.03,753.3,22.548,2.051,5.132,377.146,0.0298,0.49821264,0,1,1,0,0.0446168917717786
1284,268703,US-GLE,41.3665,-106.2399,2009-09-26 08:30:00,ENF,Continental,9.534,508.667,32.245,0.81,7.114,386.407,0.17825,0.64223194,0,1,1,1,0.165257360250776
4603,986114,AT-Neu,47.1167,11.3175,2011-05-19 07:30:00,GRA,Continental,16.5,482.81,51.56,0.9096,0.6,533.545,0.19,2.5490174,0,1,1,1,0.399228002664256
4794,187089,US-NR1,40.0329,-105.5464,2011-07-28 08:00:00,ENF,Continental,15.01,397.39,52.01,0.819,2.44,388.14,0.087,2.7229102,0,1,1,1,0.244282409173026
1414,356518,NL-Loo,52.1666,5.7436,2006-06-24 17:00:00,ENF,Temperate,23.04,245.8,43.12,1.6023,1.994,362.66,0.057,2.2021058,0,1,1,0,0.101513295219382
