Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,AR-SLu,-33.4648,-66.4598,MF,Arid,9.5493,13.5343,-5.99881,0.0,53.2518,0.0,113.223,0.0,26.495,0.0,311.42,0.435484,362.361,0,17.691,0.0,95.305,0.0,,,1.698,0.0,2.273,0.0,,,1.16567629774194,0.284044534627647,26.495,28.341,311.714,362.361,17.691,95.305,1.698,2.273,3.550490000000001
2,200902,AR-SLu,-33.4648,-66.4598,MF,Arid,9.58507,12.9021,-5.99546,0.0,55.7527,0.0,119.363,0.0,26.836,0.0,291.271,0.473214,358.598,0,17.641,0.0,95.106,0.0,,,1.325,0.0,2.552,0.0,,,0.42491974483871,0.148563921182712,26.836,28.767,291.65,358.598,17.641,95.106,1.325,2.552,3.5896100000000004
3,200903,AR-SLu,-33.4648,-66.4598,MF,Arid,9.47598,11.3511,-5.99861,0.0,61.0429,0.0,129.296,0.0,26.027,0.0,239.169,0.515457,358.482,0,15.8,0.0,95.239,0.0,,,2.65,0.0,2.323,0.0,,,0.503642906333333,0.183600893348471,26.027,28.053,239.598,358.482,15.8,95.239,2.65,2.323,3.4773699999999996
4,200904,AR-SLu,-33.4648,-66.4598,MF,Arid,9.15312,9.99642,-5.9977,0.0,63.1503,0.0,134.382,0.0,23.475,0.0,193.245,0.555556,340.013,0,13.678,0.0,95.52,0.0,,,0.194,0.0,2.444,0.0,,,0.872976036451613,0.255103895420936,23.475,25.733,193.424,340.013,13.678,95.52,0.194,2.444,3.1554199999999994
5,200905,AR-SLu,-33.4648,-66.4598,MF,Arid,8.37331,8.26147,-5.99881,0.0,64.7614,0.0,137.695,0.0,16.761,0.0,144.903,0.594086,305.258,0,10.15,0.0,95.411,0.0,,,0.22,0.0,2.29,0.0,,,0.916139275,0.245936245911633,16.761,19.165,145.14,305.258,10.15,95.411,0.22,2.29,2.3745000000000003
6,200906,AR-SLu,-33.4648,-66.4598,MF,Arid,7.83185,8.16151,-5.9977,0.0,70.7022,0.0,150.452,0.0,11.928,0.0,139.524,0.619444,271.984,0,9.489,0.0,95.606,0.0,,,0.009,0.0,2.47,0.0,,,0.916099514516129,0.244866805052486,11.928,14.929,140.009,271.984,9.489,95.606,0.009,2.47,1.8341500000000002
7,200907,AR-SLu,-33.4648,-66.4598,MF,Arid,7.62399,8.32648,-5.99567,0.0,57.6532,0.0,123.359,0.0,9.676,0.0,145.558,0.607527,263.349,0,9.553,0.0,95.679,0.0,,,0.122,0.0,2.375,0.0,,,0.653491584333333,0.229995662828364,9.676,12.854,145.947,263.349,9.553,95.679,0.122,2.375,1.6283200000000004
8,200908,AR-SLu,-33.4648,-66.4598,MF,Arid,8.4108,9.96707,-5.99861,0.0,58.1352,0.0,123.137,0.0,16.998,0.0,196.291,0.575269,285.329,0,17.535,0.0,95.325,0.0,,,0.043,0.0,2.686,0.0,,,0.525314115483871,0.204203606688842,16.998,20.034,196.626,285.329,17.535,95.325,0.043,2.686,2.41219
9,200909,AR-SLu,-33.4648,-66.4598,MF,Arid,8.10718,11.322,-5.9977,0.0,52.2448,0.0,111.176,0.0,14.368,0.0,246.246,0.53125,280.188,0,12.336,0.0,95.701,0.0,,,0.74,0.0,2.753,0.0,,,0.449255742,0.198682652511894,14.368,17.039,246.575,280.188,12.336,95.701,0.74,2.753,2.1094799999999996
10,200910,AR-SLu,-33.4648,-66.4598,MF,Arid,8.8467,13.2149,-5.77541,0.0,55.185,0.0,115.038,0.0,23.137,0.0,314.932,0.491263,308.605,0,24.799,0.0,95.101,0.0,,,0.282,0.0,2.967,0.0,,,0.300000010967742,0.173688768418871,23.137,25.906,315.555,308.605,24.799,95.101,0.282,2.967,3.0712900000000003
11,200911,AR-SLu,-33.4648,-66.4598,MF,Arid,9.24255,14.0483,-5.85837,0.0,53.2153,0.0,111.218,0.0,25.501,0.0,336.683,0.448611,337.361,0,21.038,0.0,94.743,0.0,,,1.467,0.0,2.686,0.0,,,0.30000001,0.15317016563636,25.501,27.355,336.97,337.361,21.038,94.743,1.467,2.686,3.3841799999999997
12,200912,AR-SLu,-33.4648,-66.4598,MF,Arid,9.09603,12.4302,-6.06235,0.411962,58.6863,0.44086,104.256,0.44086,24.969,0.44086,276.37,0.553763,365.004,0,13.784,0.438172,95.009,0.350806,,,2.921,0.354839,2.87,0.348118,,,0.330878714666667,0.145040980554551,24.457,25.75,263.598,365.004,11.391,95.035,3.023,2.585,3.0336800000000004
