Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,26.175,0.0,273.424,0.0,388.106,0,13.709,0.0,99.674,0.0,,,2.667,0,2.102,0.0,,,6.28325859032258,0.504602951888091,26.175,27.701,273.424,388.106,13.709,99.674,2.667,2.102,
2,200902,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,27.047,0.0,240.578,0.0,404.478,0,12.953,0.0,99.59,0.0,,,2.963,0,1.854,0.0,,,5.65228677741935,0.451191207945319,27.047,28.501,240.578,404.478,12.953,99.59,2.963,1.854,
3,200903,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,26.434,0.0,231.365,0.0,386.608,0,13.992,0.0,99.675,0.0,,,1.04,0,1.736,0.0,,,5.50058899,0.505746507413238,26.434,28.304,231.365,386.608,13.992,99.675,1.04,1.736,
4,200904,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,23.916,0.0,192.067,0.0,359.448,0,13.59,0.0,100.074,0.0,,,0.759,0,1.957,0.0,,,6.36359156129032,0.583336018576137,23.916,26.039,192.067,359.448,13.59,100.074,0.759,1.957,
5,200905,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,19.553,0.0,123.103,0.0,357.655,0,7.901,0.0,100.089,0.0,,,4.332,0,2.168,0.0,,,6.20029168928571,0.513344180738673,19.553,21.062,123.103,357.655,7.901,100.089,4.332,2.168,
6,200906,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,14.028,0.0,120.309,0.0,311.278,0,5.456,0.0,100.425,0.0,,,2.819,0,2.08,0.0,,,5.99999998387097,0.530214029435542,14.028,15.889,120.309,311.278,5.456,100.425,2.819,2.08,
7,200907,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,12.922,0.0,122.884,0.0,309.81,0,5.356,0.0,100.459,0.0,,,3.633,0,2.071,0.0,,,5.74012314666667,0.488557304190095,12.922,14.718,122.884,309.81,5.356,100.459,3.633,2.071,
8,200908,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,17.969,0.0,147.726,0.0,345.379,0,7.397,0.0,100.177,0.0,,,4.527,0,2.578,0.0,,,5.47230984516129,0.444865095619464,17.969,19.662,147.726,345.379,7.397,100.177,4.527,2.578,
9,200909,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,18.317,0.0,169.893,0.0,354.07,0,6.705,0.0,100.106,0.0,,,6.233,0,2.504,0.0,,,6.26964014,0.428765109576562,18.317,19.774,169.893,354.07,6.705,100.106,6.233,2.504,
10,200910,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,21.735,0.0,244.643,0.0,360.257,0,9.589,0.0,99.759,0.0,,,3.106,0,2.546,0.0,,,6.34181458387097,0.434221124204882,21.735,23.426,244.643,360.257,9.589,99.759,3.106,2.546,
11,200911,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.0,,0.0,26.526,0.0,215.21,0.0,415.693,0,9.773,0.0,99.231,0.0,,,6.109,0,2.551,0.0,,,6.14288387096774,0.440726253586067,26.526,27.646,215.21,415.693,9.773,99.231,6.109,2.551,
12,200912,AR-Vir,-28.2395,-56.1886,ENF,Temperate,,,,,,0.546371,,0.548387,26.562,0.549731,258.279,0.000672043,400.879,0,11.802,0.548387,99.507,0.548387,0.325127420566,0.545698924731,6.972,0,2.456,0.547043,421.576,0.549731,5.20734733,0.430362489457183,25.615,26.767,258.279,400.879,8.897,99.51,6.972,2.07,
13,201001,AR-Vir,-28.2395,-56.1886,ENF,Temperate,20.1548,7.94402,-1.57236,0.0,,0.955645,,0.959005,27.268,1.0,254.172,0.453629,404.37,0,12.896,1.0,99.558,1.0,0.328163474365,0.992607526882,4.505,0,2.539,0.995968,423.131,1.0,6.27650861290323,0.617273943057569,26.262,27.413,254.412,404.37,9.469,99.556,4.505,2.079,18.582440000000002
14,201002,AR-Vir,-28.2395,-56.1886,ENF,Temperate,19.6938,7.01708,-0.811887,0.602679,,0.96875,,0.971726,27.906,1.0,230.068,0.482143,412.038,0,13.868,0.997768,99.572,0.997768,0.368193975954,0.997767857143,4.797,0,2.779,0.997024,424.03,1.0,5.45811453548387,0.407134602059035,27.322,28.497,230.431,412.038,11.227,99.549,4.797,2.378,18.881913
15,201003,AR-Vir,-28.2395,-56.1886,ENF,Temperate,16.6069,6.6422,-0.49812,0.767473,,0.985887,,0.985215,25.883,1.0,212.204,0.511425,391.156,0,11.893,1.0,99.742,1.0,0.306871541343,0.995967741935,6.909,0,2.408,0.993952,430.51,1.0,6.18069482,0.438787013193541,25.402,26.919,212.283,391.156,10.528,99.691,6.909,2.069,16.10878
16,201004,AR-Vir,-28.2395,-56.1886,ENF,Temperate,11.6896,5.85185,-0.721542,0.800694,,0.970139,,0.968056,21.085,1.0,168.114,0.553472,359.293,0,9.315,1.0,100.2,0.997222,0.339440609157,0.993055555556,4.921,0,2.64,0.993056,420.346,1.0,6.26588109354839,0.484855306957632,20.819,22.396,168.487,359.293,7.896,100.178,4.921,2.172,10.968058000000001
17,201005,AR-Vir,-28.2395,-56.1886,ENF,Temperate,7.91754,4.6023,-0.317325,0.741935,,0.955645,,0.955645,17.026,1.0,109.391,0.577957,349.36,0,5.616,0.997984,100.309,1.0,0.320553325941,1.0,3.308,0,2.397,0.99664,432.327,1.0,6.18210535714286,0.594000369290026,17.075,18.285,109.634,349.36,5.644,100.285,3.308,2.262,7.6002149999999995
18,201006,AR-Vir,-28.2395,-56.1886,ENF,Temperate,6.99825,4.49799,0.931708,0.675694,,0.784028,,0.784028,16.226,0.84375,105.87,0.604167,338.755,0,5.014,0.803472,100.39,0.536806,,,4.586,0,2.419,0.54375,420.735,0.803472,6.56849328387097,0.569182949127135,16.398,17.796,106.367,338.755,5.578,100.393,4.586,2.308,7.929957999999999
19,201007,AR-Vir,-28.2395,-56.1886,ENF,Temperate,7.19505,4.41297,-0.8033,0.763441,,0.843414,,0.844086,14.37,0.948925,108.512,0.59207,328.34,0,5.52,0.906586,100.439,0.849462,0.353211417576,0.846774193548,7.328,0,2.674,0.846102,454.724,0.931452,6.33632772333333,0.554587290287736,14.89,16.135,108.926,328.34,5.971,100.46,7.328,2.493,6.39175
20,201008,AR-Vir,-28.2395,-56.1886,ENF,Temperate,12.4659,6.04508,-3.15349,0.241263,,0.49664,,0.49664,16.71,0.50672,156.065,0.564516,329.662,0,7.491,0.504704,100.443,0.0544355,,,0.708,0,2.49,0.0651882,475.505,0.50672,6.10420051935484,0.538860207836793,16.793,18.56,156.267,329.662,7.511,100.446,0.708,2.445,9.31241
21,201009,AR-Vir,-28.2395,-56.1886,ENF,Temperate,12.7821,6.49974,-2.27574,0.299306,,0.736111,,0.736806,19.774,0.415278,176.767,0.529861,349.774,0,6.619,0.415278,100.015,0.227083,,,5.868,0,2.34,0.227083,426.613,0.415278,5.93954373666667,0.533768768134684,19.114,20.66,177.0,349.774,7.315,100.001,5.868,2.268,10.50636
22,201010,AR-Vir,-28.2395,-56.1886,ENF,Temperate,12.578,7.94774,-3.10334,0.803763,,0.980511,,0.980511,20.053,1.0,236.949,0.498656,348.243,0,6.849,1.0,100.021,1.0,0.402860147662,0.991935483871,3.709,0,2.558,0.993952,417.183,1.0,6.41589240645161,0.489408262465645,20.337,21.981,237.295,348.243,9.303,99.982,3.709,2.317,9.47466
23,201011,AR-Vir,-28.2395,-56.1886,ENF,Temperate,13.011,8.68659,-0.872656,0.865972,,0.988889,,0.988889,22.824,1.0,299.026,0.74375,354.113,0,11.504,0.997222,99.695,1.0,0.367829449879,0.998611111111,3.075,0,2.416,0.99375,424.486,1.0,5.33551648387097,0.457388737281338,22.887,24.619,276.806,354.113,12.369,99.67,3.075,2.175,12.138344
24,201012,AR-Vir,-28.2395,-56.1886,ENF,Temperate,15.5007,10.0669,1.4548,0.942204,,0.995968,,0.995968,26.039,1.0,287.501,0.909274,388.783,0,13.026,1.0,99.363,1.0,0.389190588038,0.990591397849,5.026,0,2.299,1.0,445.835,1.0,5.00044478666667,0.393323171575376,25.639,27.056,268.281,388.783,11.2,99.331,5.026,1.999,16.9555
25,201101,AR-Vir,-28.2395,-56.1886,ENF,Temperate,13.9367,7.39334,-0.797377,0.752688,,0.981183,,0.977823,28.275,1.0,261.401,0.453629,407.002,0,13.686,0.994624,99.397,0.993952,0.32029061937,0.993279569892,3.916,0,1.87,0.990591,440.895,1.0,6.41745636774194,0.542734799228594,27.025,28.391,261.664,407.002,11.114,99.393,3.916,1.572,13.139323000000001
26,201102,AR-Vir,-28.2395,-56.1886,ENF,Temperate,17.0902,8.2057,0.864304,0.733631,,0.859375,,0.862351,26.871,0.911458,211.177,0.482143,405.84,0,12.05,0.904018,99.633,0.813988,0.377119673094,0.768601190476,6.089,0,2.191,0.834077,483.696,0.91369,5.66148683870968,0.454010386389118,25.464,26.45,211.563,405.84,8.29,99.637,6.089,1.961,17.954504
27,201103,AR-Vir,-28.2395,-56.1886,ENF,Temperate,17.4299,8.25929,0.960701,0.0188172,,0.081317,,0.081317,24.682,0.0813172,232.082,0.780914,386.057,0,10.332,0.0813172,99.763,0.0,,,3.986,0,2.063,0.0,493.697,0.0813172,5.91675854,0.493092161851465,24.82,26.285,208.487,386.057,10.758,99.763,3.986,2.063,18.390601
28,201104,AR-Vir,-28.2395,-56.1886,ENF,Temperate,9.24203,8.63438,0.550571,0.142361,,0.214583,,0.214583,22.144,0.215972,209.963,0.9125,366.566,0,7.801,0.215972,99.973,0.0875,,,5.083,0,1.882,0.0875,422.802,0.215972,6.45780262580645,0.488634830149567,21.977,23.646,174.044,366.566,8.023,99.971,5.083,1.881,9.792601
29,201105,AR-Vir,-28.2395,-56.1886,ENF,Temperate,8.31442,7.02844,2.66588,0.78293,,0.975134,,0.977151,18.307,1.0,120.235,0.577957,348.532,0,5.2,0.997984,100.395,1.0,0.309086230836,0.993951612903,2.55,0,2.069,0.994624,426.718,1.0,5.86170983571429,0.553269003483568,17.874,19.272,120.551,348.532,6.049,100.361,2.55,2.08,10.9803
30,201106,AR-Vir,-28.2395,-56.1886,ENF,Temperate,6.64917,6.29664,5.26425,0.834028,,0.95625,,0.95625,15.16,1.0,104.342,0.604167,335.019,0,4.068,0.992361,100.256,0.989583,0.348094506497,0.98125,4.856,0,2.211,0.990972,456.884,0.999306,6.01757658387097,0.539630303694168,15.451,16.81,104.822,335.019,5.518,100.252,4.856,2.267,11.913419999999999
31,201107,AR-Vir,-28.2395,-56.1886,ENF,Temperate,7.68518,6.28015,3.50276,0.80914,,0.958333,,0.961022,15.362,1.0,108.503,0.59207,332.927,0,4.55,0.989247,100.271,1.0,0.379372842742,0.995967741935,6.061,0,2.452,0.997312,434.32,1.0,6.11657193666667,0.513669768464061,14.946,16.341,108.901,332.927,5.714,100.275,6.061,2.385,11.18794
32,201108,AR-Vir,-28.2395,-56.1886,ENF,Temperate,8.49029,7.15995,2.17606,0.886425,,0.958333,,0.961022,17.22,0.999328,151.327,0.564516,338.395,0,6.829,0.99328,100.14,0.995296,0.466709724797,0.980510752688,3.84,0,2.751,0.986559,429.485,0.999328,5.93528167741936,0.484745021981401,16.735,18.248,151.495,338.395,6.765,100.188,3.84,2.643,10.66635
33,201109,AR-Vir,-28.2395,-56.1886,ENF,Temperate,8.53476,7.54931,1.29383,0.959028,,0.252778,,0.252083,19.792,1.0,181.49,0.936806,337.882,0,9.419,1.0,100.225,0.998611,0.42403052532,0.996527777778,1.894,0,2.551,0.998611,421.329,1.0,5.80894401,0.503331730474899,19.463,21.293,202.888,337.882,9.085,100.275,1.894,2.411,9.82859
34,201110,AR-Vir,-28.2395,-56.1886,ENF,Temperate,11.233,10.078,0.0264428,0.959005,,0.0,,0.0,21.694,1.0,219.184,1.0,361.969,0,9.786,1.0,99.808,1.0,0.395430853737,0.983870967742,6.919,0,2.395,0.988575,437.848,1.0,6.07755034193548,0.485753279824336,21.732,23.149,222.455,361.969,9.316,99.775,6.919,2.359,11.2594428
35,201111,AR-Vir,-28.2395,-56.1886,ENF,Temperate,16.8097,9.67574,-1.20105,0.915278,,0.08125,,0.08125,24.776,1.0,268.967,0.945833,373.13,0,13.314,1.0,99.696,1.0,0.354985490278,1.0,3.456,0,2.124,0.995833,432.707,1.0,5.60921644516129,0.464602944126165,24.127,25.586,264.417,373.13,11.563,99.715,3.456,2.268,15.608649999999999
36,201112,AR-Vir,-28.2395,-56.1886,ENF,Temperate,11.3456,12.435,-1.38699,0.78629,,0.977823,,0.977823,23.615,1.0,297.297,0.444892,372.33,0,11.662,1.0,99.551,1.0,0.367498849553,0.996639784946,0.947,0,2.194,0.994624,420.861,1.0,5.5683554,0.449225344693503,25.697,27.317,297.462,372.33,15.385,99.565,0.947,2.212,9.95861
37,201201,AR-Vir,-28.2395,-56.1886,ENF,Temperate,9.53072,6.34549,2.4987,0.877016,,0.997312,,0.997312,25.919,1.0,286.753,0.607527,387.405,0,14.784,1.0,99.522,0.997312,0.40596254162,0.997983870968,1.452,0,2.344,0.995296,417.474,1.0,6.46522462580645,0.51673459021105,28.033,29.575,291.169,387.405,17.797,99.562,1.452,2.182,12.02942
38,201202,AR-Vir,-28.2395,-56.1886,ENF,Temperate,9.59927,8.24366,7.44355,0.947557,,0.990661,,0.991379,27.029,1.0,226.046,1.0,402.282,0,13.938,1.0,99.524,0.997845,0.37867087044,0.998563218391,2.527,0,2.154,0.996408,435.116,1.0,5.12728602903226,0.385659306793588,28.277,29.835,251.277,402.282,15.602,99.576,2.527,2.019,17.04282
39,201203,AR-Vir,-28.2395,-56.1886,ENF,Temperate,11.1693,8.97035,3.70762,0.949597,,0.987903,,0.987231,23.956,1.0,226.046,1.0,370.752,0,13.028,1.0,99.883,0.99664,0.317117132159,0.998655913978,0.92,0,1.902,1.0,422.077,1.0,5.45823902333333,0.413622331957748,25.613,27.617,231.207,370.752,15.555,99.879,0.92,1.771,14.87692
40,201204,AR-Vir,-28.2395,-56.1886,ENF,Temperate,8.5741,7.1784,3.99225,0.838194,,0.757639,,0.754861,19.85,1.0,153.346,0.78125,356.782,0,7.459,0.999306,99.999,0.997222,0.298777600705,0.990277777778,4.341,0,1.885,0.991667,449.93,1.0,5.75596074666667,0.496082044979969,21.115,22.977,164.683,356.782,9.635,99.991,4.341,1.885,12.56635
41,201205,AR-Vir,-28.2395,-56.1886,ENF,Temperate,5.89162,6.42116,4.8528,0.891801,,0.993952,,0.994624,20.006,0.991263,141.129,0.785618,342.964,0,7.626,0.990591,100.252,0.796371,0.34134670706,0.772177419355,1.224,0,2.035,0.784946,430.412,0.991263,6.3950091,0.493465342120518,19.458,21.246,142.597,342.964,7.712,100.278,1.224,2.018,10.74442
42,201206,AR-Vir,-28.2395,-56.1886,ENF,Temperate,8.08689,3.98745,7.02101,0.504861,,0.563194,,0.561111,16.941,0.563194,108.205,0.777083,338.208,0,6.073,0.563194,100.294,0.4,,,1.489,0,2.124,0.395139,,,5.97436053225806,0.4928822359763,16.613,18.183,110.014,338.208,6.409,100.315,1.489,2.182,15.1079
43,201207,AR-Vir,-28.2395,-56.1886,ENF,Temperate,4.15951,4.13744,9.22921,0.0,,0.0,,0.0,14.004,0.0,116.588,0.591398,317.026,0,5.982,0.0,100.451,0.0,,,4.104,0,2.212,0.0,,,5.75975163,0.469474116607704,14.004,15.672,117.003,317.026,5.982,100.451,4.104,2.212,13.38872
44,201208,AR-Vir,-28.2395,-56.1886,ENF,Temperate,11.1996,4.48932,8.22851,0.0,,0.0,,0.0,20.74,0.0,148.592,0.563844,359.446,0,9.422,0.0,100.341,0.0,,,1.621,0,2.803,0.0,,,6.03783115483871,0.447877432586011,20.74,22.396,148.783,359.446,9.422,100.341,1.621,2.803,19.42811
45,201209,AR-Vir,-28.2395,-56.1886,ENF,Temperate,13.0602,5.29049,5.72679,0.0,,0.0,,0.0,20.85,0.0,193.423,0.527778,350.821,0,10.027,0.0,100.127,0.0,,,3.302,0,2.525,0.0,,,6.34608601333333,0.440916646294042,20.85,22.561,193.718,350.821,10.027,100.127,3.302,2.525,18.78699
