Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,AU-ASM,-22.283,133.249,SAV,Arid,2.27948,0.706758,-0.675746,0.0,78.915,0.0,83.89,0.0,27.591,0.0,300.115,0.0,385.588,0.0,22.971,0.0,93.935,0.0,,,5.909,0.0,2.47,0.0,,,0.278975242258065,0.12274792594945,27.591,29.39,300.115,385.588,22.971,93.935,5.909,2.47,1.603734
2,201002,AU-ASM,-22.283,133.249,SAV,Arid,2.30897,0.562985,-0.678147,0.0,77.4053,0.0,82.6357,0.0,28.135,0.0,270.936,0.0,394.612,0.0,24.554,0.0,94.053,0.0,,,6.082,0.0,2.554,0.0,,,0.497020921935484,0.166212786392476,28.135,29.651,270.936,394.612,24.554,94.053,6.082,2.554,1.630823
3,201003,AU-ASM,-22.283,133.249,SAV,Arid,2.11217,0.969482,-0.674585,0.0,75.7111,0.0,81.1315,0.0,24.407,0.0,279.673,0.0,368.48,0.0,17.132,0.0,94.523,0.0,,,0.175,0.0,2.693,0.0,,,0.493909599333333,0.146255750441438,24.407,26.301,279.673,368.48,17.132,94.523,0.175,2.693,1.437585
4,201004,AU-ASM,-22.283,133.249,SAV,Arid,2.01395,1.05938,-0.676093,0.0,73.0072,0.0,77.9274,0.0,22.416,0.0,232.123,0.0,357.898,0.0,14.24,0.0,94.643,0.0,,,1.581,0.0,2.077,0.0,,,0.520807904516129,0.157302543366068,22.416,24.331,232.123,357.898,14.24,94.643,1.581,2.077,1.3378569999999999
5,201005,AU-ASM,-22.283,133.249,SAV,Arid,1.73129,1.07551,-0.675746,0.0,71.2396,0.0,75.7307,0.0,16.623,0.0,178.881,0.0,323.474,0.0,10.063,0.0,94.732,0.0,,,1.432,0.0,2.145,0.0,,,0.417001906785714,0.13965946634515,16.623,18.833,178.881,323.474,10.063,94.732,1.432,2.145,1.055544
6,201006,AU-ASM,-22.283,133.249,SAV,Arid,1.57562,1.24846,-0.676093,0.0,69.6016,0.0,74.2923,0.0,13.25,0.0,179.836,0.0,296.696,0.0,9.314,0.0,95.151,0.0,,,0.0,0.0,2.543,0.0,,,0.518593707096774,0.169199467681251,13.25,15.5,179.836,296.696,9.314,95.151,0.0,2.543,0.899527
7,201007,AU-ASM,-22.283,133.249,SAV,Arid,1.55631,1.15384,-0.677949,0.0,70.6616,0.0,75.4351,0.0,12.753,0.0,143.934,0.0,324.098,0.0,6.142,0.0,95.105,0.0,,,2.468,0.0,2.479,0.0,,,0.518684098,0.167066134857779,12.753,14.479,143.934,324.098,6.142,95.105,2.468,2.479,0.8783610000000001
8,201008,AU-ASM,-22.283,133.249,SAV,Arid,1.62949,1.29925,-0.674585,0.0,79.0178,0.0,84.675,0.0,14.354,0.0,209.586,0.0,305.905,0.0,9.885,0.0,94.892,0.0,,,0.164,0.0,2.517,0.0,,,0.39326011,0.148700067503365,14.354,16.717,209.586,305.905,9.885,94.892,0.164,2.517,0.9549050000000001
9,201009,AU-ASM,-22.283,133.249,SAV,Arid,1.98701,2.06039,-0.564177,0.926389,62.1184,0.927778,73.7408,0.927778,17.677,0.940972,234.557,0.941667,336.44,0.940972,10.171,0.940972,94.813,0.934028,0.389473030213,0.629861111111,1.924,0.934028,2.628,0.933333,387.832,0.940972,0.30000001,0.143208943483799,17.697,19.705,227.18,339.051,10.939,94.827,1.777,2.657,1.4228329999999998
10,201010,AU-ASM,-22.283,133.249,SAV,Arid,1.83045,1.96523,-0.33121,0.940188,54.6652,0.974462,100.027,0.975134,21.002,1.0,273.211,1.0,350.042,1.0,14.704,1.0,94.622,1.0,0.402699819258,0.731182795699,1.265,1.0,2.724,0.991263,399.452,0.997312,0.30000001,0.130668481429337,21.84,23.981,284.559,350.204,17.715,94.592,0.655,2.597,1.49924
