Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.57385,2.38748,-0.582177,0.0,42.5328,0.0,24.8204,0.0,26.79,0.0,332.818,0.0,363.781,0.0,28.839,0.0,100.175,0.0,,,0.139,0.0,2.406,0.0,,,0.459945503870968,0.148420807500692,26.79,28.958,332.818,363.781,28.839,100.175,0.139,2.406,0.991673
2,201002,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.57716,2.19159,-0.583549,0.0,42.3393,0.0,25.2501,0.0,26.906,0.0,277.666,0.0,383.929,0.0,23.881,0.0,100.359,0.0,,,0.682,0.0,2.252,0.0,,,0.483308506774194,0.158454640587091,26.906,28.728,277.666,383.929,23.881,100.359,0.682,2.252,0.9936109999999999
3,201003,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.44255,1.99896,-0.585586,0.0,43.2262,0.0,24.32,0.0,22.755,0.0,231.497,0.0,358.758,0.0,18.162,0.0,100.792,0.0,,,0.136,0.0,2.186,0.0,,,0.495134595,0.155536989678152,22.755,24.879,231.497,358.758,18.162,100.792,0.136,2.186,0.856964
4,201004,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.30894,1.71133,-0.583778,0.0,42.2455,0.0,24.511,0.0,18.625,0.0,165.628,0.0,349.136,0.0,10.344,0.0,100.805,0.0,,,1.245,0.0,1.979,0.0,,,0.561214402580645,0.180909149029148,18.625,20.663,165.628,349.136,10.344,100.805,1.245,1.979,0.725162
5,201005,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.16266,1.46161,-0.582177,0.0,42.1038,0.0,24.5701,0.0,13.851,0.0,121.644,0.0,327.898,0.0,6.771,0.0,100.759,0.0,,,1.554,0.0,1.968,0.0,,,0.488066713571429,0.147758168673749,13.851,15.962,121.644,327.898,6.771,100.759,1.554,1.968,0.5804830000000001
6,201006,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.06466,1.31512,-0.583778,0.0,41.6106,0.0,24.1427,0.0,10.324,0.0,95.596,0.0,316.11,0.0,3.445,0.0,101.33,0.0,,,0.45,0.0,1.861,0.0,,,0.482747644516129,0.157329882484079,10.324,12.2,95.596,316.11,3.445,101.33,0.45,1.861,0.4808819999999999
7,201007,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.04288,1.35767,-0.588614,0.00873656,43.0506,0.008737,23.3131,0.008737,9.323,0.00873656,102.997,0.0094086,313.055,0.00873656,3.167,0.00873656,101.302,0.000672043,,,1.094,0.000672043,1.905,0.000672043,,,0.363403655666667,0.158941502879623,9.367,11.392,103.002,313.331,3.177,101.302,1.094,1.905,0.45426600000000006
8,201008,AU-Cpr,-34.0021,140.5891,SAV,Arid,0.800294,0.928431,-0.342758,0.99328,26.1929,0.998656,31.4674,0.998656,10.982,1.0,140.176,1.0,312.753,1.0,5.934,1.0,100.695,1.0,0.446176659654,0.989247311828,0.781,1.0,2.93,1.0,381.767,0.998656,0.428786688387097,0.168645286088369,10.363,12.292,131.757,314.511,4.596,100.7,0.899,3.021,0.45753599999999994
9,201009,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.12101,1.2468,-0.339607,0.9875,23.0771,0.999306,64.0228,0.999306,12.995,1.0,179.528,1.0,326.049,1.0,6.223,1.0,100.958,1.0,0.392791683242,0.975,1.587,1.0,2.453,1.0,381.687,1.0,0.343411909,0.165488550211434,12.519,14.242,177.673,326.864,5.073,100.911,2.266,2.461,0.7814030000000001
10,201010,AU-Cpr,-34.0021,140.5891,SAV,Arid,1.39977,1.15846,-0.291829,0.952285,32.0247,0.989247,88.8856,0.989919,17.086,1.0,243.68,1.0,334.064,1.0,10.925,1.0,100.855,1.0,0.406647635577,0.938172043011,2.148,1.0,2.57,1.0,381.284,0.991263,0.379626304516129,0.168131894821805,16.693,18.764,240.872,336.112,10.276,100.818,1.868,2.449,1.1079409999999998
