Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.10811,4.71559,-0.752693,0.0,53.9826,0.0,70.6661,0.0,22.36,0.0,246.189,0.0,394.803,0.0,8.145,0.0,100.635,0.0,,,2.653,0.0,1.56,0.0,,,1.84314472903226,0.344416097350113,22.36,23.614,246.189,394.803,8.145,100.635,2.653,1.56,2.355417
2,201202,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.98225,4.23563,-0.738187,0.0,52.9486,0.0,69.905,0.0,21.49,0.0,191.205,0.0,399.551,0.0,5.433,0.0,100.592,0.0,,,5.538,0.0,1.083,0.0,,,1.46299897096774,0.296834020056083,21.49,22.619,191.205,399.551,5.433,100.592,5.538,1.083,2.244063
3,201203,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.81097,3.78539,-0.752693,0.0,54.0546,0.0,70.7604,0.0,19.907,0.0,161.438,0.0,387.93,0.0,5.503,0.0,100.813,0.0,,,4.105,0.0,1.461,0.0,,,1.53808358,0.289803647781378,19.907,21.068,161.438,387.93,5.503,100.813,4.105,1.461,2.0582770000000004
4,201204,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.61567,3.59964,-0.745681,0.0,55.044,0.0,72.3527,0.0,18.183,0.0,148.475,0.0,364.711,0.0,6.024,0.0,101.169,0.0,,,1.543,0.0,1.331,0.0,,,1.47107143333333,0.280921434760618,18.183,19.701,148.475,364.711,6.024,101.169,1.543,1.331,1.8699890000000001
5,201205,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.14979,3.28553,-0.736968,0.0,57.9008,0.0,75.9919,0.0,13.77,0.0,125.948,0.0,332.76,0.0,5.787,0.0,101.296,0.0,,,0.546,0.0,1.341,0.0,,,1.61962460689655,0.355904520122398,13.77,15.654,125.948,332.76,5.787,101.296,0.546,1.341,1.4128219999999998
6,201206,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.01795,2.41785,-0.745681,0.0,60.008,0.0,78.8776,0.0,12.343,0.0,82.093,0.0,343.829,0.0,4.092,0.0,101.063,0.0,,,1.754,0.0,1.548,0.0,,,2.07718147741935,0.350427413052919,12.343,13.563,82.093,343.829,4.092,101.063,1.754,1.548,1.2722689999999999
7,201207,AU-Cum,-33.61518,150.72362,EBF,Temperate,1.98151,2.96426,-0.747384,0.0,58.1593,0.0,76.8784,0.0,11.911,0.0,106.484,0.0,330.098,0.0,4.867,0.0,101.352,0.0,,,0.736,0.0,1.679,0.0,,,1.70288201333333,0.323486869682235,11.911,13.391,106.484,330.098,4.867,101.352,0.736,1.679,1.234126
8,201208,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.08221,3.7445,-0.752693,0.0,57.929,0.0,75.8322,0.0,12.811,0.0,156.683,0.0,319.36,0.0,7.614,0.0,100.84,0.0,,,0.114,0.0,2.063,0.0,,,1.29699064516129,0.308544831009513,12.811,14.6,156.683,319.36,7.614,100.84,0.114,2.063,1.329517
9,201209,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.40759,4.22616,-0.745681,0.0,56.8597,0.0,74.7393,0.0,16.076,0.0,211.021,0.0,334.0,0.0,9.56,0.0,100.806,0.0,,,0.623,0.0,1.689,0.0,,,1.14293480333333,0.30994842078433,16.076,18.164,211.021,334.0,9.56,100.806,0.623,1.689,1.6619089999999999
10,201210,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.0172,4.08139,-1.23039,0.422043,55.9947,0.426747,78.2173,0.425403,17.923,0.426747,241.132,0.40121,346.667,0.426747,11.44,0.426747,100.904,0.420027,,,0.971,0.420027,1.543,0.420027,,,1.0795066516129,0.292796864310036,17.945,20.07,255.967,343.505,10.728,100.882,1.029,1.427,1.7868099999999998
11,201211,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.53902,4.19495,-0.696057,0.976389,70.7756,0.993056,75.4606,0.984028,20.594,0.997917,224.885,0.935417,383.547,0.997917,10.279,0.997917,100.826,0.996528,0.351831786428,0.922916666667,1.647,1.0,1.657,0.996528,402.206,0.996528,1.11723906129032,0.292633314366786,21.097,22.845,261.836,377.676,10.237,100.779,1.432,1.269,2.8429629999999997
12,201212,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.77874,3.91484,-1.25844,0.938844,72.4094,0.947581,75.8266,0.935484,22.203,1.0,233.605,0.9375,395.133,1.0,10.287,1.0,100.697,1.0,0.37958910323,0.825940860215,1.368,1.0,1.862,1.0,399.538,1.0,1.37073903333333,0.297129863033978,22.853,24.526,282.662,384.178,11.844,100.649,1.318,1.453,2.5202999999999998
13,201301,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.24731,3.11261,-0.847152,0.965054,70.4668,0.977151,85.0835,0.976478,24.358,1.0,234.573,0.958333,406.664,1.0,11.813,1.0,100.38,1.0,0.359201701504,0.865591397849,5.523,1.0,1.782,1.0,400.087,0.998656,1.24988717096774,0.272787172374366,25.107,26.85,279.549,397.028,13.771,100.362,2.441,1.49,2.4001580000000002
14,201302,AU-Cum,-33.61518,150.72362,EBF,Temperate,4.10301,4.06281,-0.338659,0.981399,104.526,0.991815,40.4847,0.99256,22.179,1.0,206.933,0.958333,396.735,1.0,7.28,1.0,100.898,1.0,0.356659626887,0.972470238095,7.014,1.0,1.71,1.0,411.896,1.0,1.4545473483871,0.319245948394137,22.117,23.453,213.045,395.604,7.067,100.906,4.734,1.576,3.7643510000000004
15,201303,AU-Cum,-33.61518,150.72362,EBF,Temperate,4.93671,4.59402,-2.04818,0.975134,96.9203,0.997312,39.897,0.995968,21.798,1.0,209.972,0.990591,384.296,1.0,8.328,1.0,100.958,1.0,0.331491590082,0.983870967742,2.168,1.0,1.603,1.0,401.472,0.999328,1.53416998333333,0.312372536339529,21.342,22.888,198.275,381.453,8.295,100.975,1.278,1.484,2.88853
16,201304,AU-Cum,-33.61518,150.72362,EBF,Temperate,4.28292,3.6256,-1.87298,0.967361,68.9744,0.998611,35.4767,0.997917,17.842,1.0,176.245,1.0,356.401,1.0,6.087,1.0,101.112,1.0,0.243843413378,0.972916666667,1.887,1.0,1.28,1.0,410.594,0.999306,1.82341558064516,0.336931317307537,17.769,19.458,152.637,360.608,6.441,101.114,1.543,1.158,2.4099399999999997
17,201305,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.19903,3.11759,-2.07325,0.96371,47.5688,0.992608,19.25,0.991935,14.56,0.992608,133.405,0.99328,339.511,0.992608,5.029,0.992608,101.338,0.989247,0.239722201709,0.959005376344,1.123,1.0,1.302,0.989247,411.447,0.991935,1.52843979285714,0.305983041049072,15.053,16.681,121.569,342.266,5.963,101.324,0.973,1.454,1.1257800000000002
18,201306,AU-Cum,-33.61518,150.72362,EBF,Temperate,2.31516,2.6431,-0.911684,0.978472,41.6111,0.996528,-5.36008,0.994444,12.838,1.0,86.04,1.0,341.536,1.0,3.338,1.0,101.1,0.963889,0.27847680029,0.866666666667,2.573,0.997917,1.509,0.997917,406.263,0.997222,2.15458575806452,0.375254587628985,13.639,14.637,69.586,358.614,4.215,101.048,3.627,1.582,1.403476
19,201307,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.12845,2.92139,-1.36632,0.981183,41.1229,0.997984,13.7505,0.999328,12.139,1.0,120.924,1.0,320.641,1.0,4.225,1.0,101.554,1.0,0.233923498152,0.986559139785,0.032,1.0,1.33,1.0,414.045,0.999328,1.95645640333333,0.376829122979882,12.526,14.294,109.567,330.22,4.803,101.484,0.369,1.44,1.76213
20,201308,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.01431,3.18788,-1.796,0.980511,51.8101,1.0,36.725,0.99664,14.412,1.0,178.75,1.0,318.814,1.0,8.427,1.0,100.767,1.0,0.341974889938,0.969758064516,0.258,1.0,1.744,1.0,401.272,0.999328,1.55847288387097,0.353881073471304,13.792,15.587,154.746,324.061,7.447,100.696,0.312,2.005,1.21831
21,201309,AU-Cum,-33.61518,150.72362,EBF,Temperate,3.10578,3.04993,-1.39042,0.953472,57.4104,0.998611,69.9547,0.990972,18.202,1.0,223.493,1.0,344.718,1.0,10.803,1.0,100.723,1.0,0.334520505771,0.956944444444,0.793,1.0,1.7,1.0,404.02,1.0,1.37561890666667,0.337948285119343,17.561,19.609,206.396,342.617,9.702,100.7,1.168,1.684,1.7153600000000002
