Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,AU-Emr,-23.8587,148.4746,GRA,Arid,0.630914,0.0,0.822847,0.0,43.5487,0.0,26.0617,0.0,25.7,0.0,269.264,0.474462,404.407,0.0,11.277,0.0,98.572,0.0,,,3.503,0.0,2.548,0.0,,,1.79599228387097,0.243679181341694,25.7,27.061,269.845,404.407,11.277,98.572,3.503,2.548,1.453761
2,201102,AU-Emr,-23.8587,148.4746,GRA,Arid,0.634252,0.0,0.822,0.0,45.1321,0.0,27.5716,0.0,25.866,0.0,248.292,0.485863,407.795,0.0,11.143,0.0,99.069,0.0,,,2.644,0.0,3.019,0.0,,,0.608936117096774,0.165897325875221,25.866,27.247,248.529,407.795,11.143,99.069,2.644,3.019,1.456252
3,201103,AU-Emr,-23.8587,148.4746,GRA,Arid,0.590093,0.0,0.78208,0.0,47.749,0.0,28.5802,0.0,23.735,0.0,179.408,0.518817,403.708,0.0,8.064,0.0,99.065,0.0,,,4.959,0.0,2.983,0.0,,,0.614496983666667,0.169684408152869,23.735,24.917,179.606,403.708,8.064,99.065,4.959,2.983,1.372173
4,201104,AU-Emr,-23.8587,148.4746,GRA,Arid,0.612972,0.0,0.641597,0.0,49.634,0.0,29.665,0.0,20.751,0.0,185.753,0.540278,371.88,0.0,8.833,0.0,99.453,0.0,,,1.424,0.0,2.737,0.0,,,1.56090775387097,0.36879386890057,20.751,22.295,185.934,371.88,8.833,99.453,1.424,2.737,1.254569
5,201105,AU-Emr,-23.8587,148.4746,GRA,Arid,0.41186,0.0,0.651686,0.0,39.806,0.0,23.9187,0.0,15.838,0.0,173.782,0.576613,332.29,0.0,8.113,0.0,99.569,0.0,,,0.586,0.0,2.456,0.0,,,0.960379718571429,0.188948689011189,15.838,18.145,174.286,332.29,8.113,99.569,0.586,2.456,1.063546
6,201106,AU-Emr,-23.8587,148.4746,GRA,Arid,0.94057,0.634894,0.391022,0.822222,29.5959,0.825,37.6741,0.825,13.617,0.825,154.81,0.875,325.387,0.825,6.117,0.825,99.707,0.7,0.1907835925,0.697916666667,0.427,0.7,2.544,0.7,387.295,0.825,1.27863562032258,0.275594026405491,13.84,15.961,145.836,330.192,6.972,99.675,0.65,2.586,1.331592
7,201107,AU-Emr,-23.8587,148.4746,GRA,Arid,1.81149,1.4123,-0.303078,0.959005,27.4592,0.992608,47.0987,0.992608,13.695,0.993952,181.945,0.993952,308.281,0.993952,7.492,0.993952,99.884,0.992608,0.156271779126,0.98185483871,0.813,1.0,2.218,0.992608,391.69,0.992608,1.64605458666667,0.328187199265681,13.519,16.254,174.249,313.562,8.51,99.833,0.199,2.357,1.508412
8,201108,AU-Emr,-23.8587,148.4746,GRA,Arid,2.31019,2.68568,-1.0573,0.989247,30.5802,1.0,55.867,1.0,16.654,1.0,208.587,1.0,327.772,1.0,9.554,1.0,99.751,0.999328,0.194062228323,0.996639784946,0.0,1.0,2.377,0.999328,389.973,1.0,1.41302658387097,0.257244257229207,16.802,19.169,196.508,335.868,10.462,99.711,1.38,2.623,1.25289
9,201109,AU-Emr,-23.8587,148.4746,GRA,Arid,1.42217,2.12717,-0.299109,0.979861,25.721,1.0,79.9329,1.0,19.119,1.0,251.703,0.997917,334.19,1.0,13.154,1.0,99.7,1.0,0.208513888889,1.0,0.013,1.0,2.444,1.0,389.747,0.995833,0.748085018333333,0.218976624784788,19.171,21.525,254.493,338.828,13.394,99.672,0.057,2.703,1.1230609999999999
10,201110,AU-Emr,-23.8587,148.4746,GRA,Arid,0.268549,0.815194,1.08862,0.939516,35.1144,0.992608,84.8825,0.992608,22.833,1.0,253.932,0.978495,369.813,1.0,15.389,1.0,99.32,1.0,0.240133987551,0.993951612903,1.71,1.0,2.906,1.0,391.774,0.979839,0.566492210645161,0.223272762969631,23.882,26.001,272.787,373.6,17.546,99.274,0.376,3.03,1.3571689999999998
11,201111,AU-Emr,-23.8587,148.4746,GRA,Arid,1.89162,1.19685,-0.125515,0.300694,40.8396,0.302083,90.7186,0.302083,26.587,0.845833,277.996,0.834028,394.582,0.845833,18.902,0.845833,99.205,0.719444,0.252112150416,0.68125,1.167,1.0,3.307,0.747222,388.478,0.302083,0.641779991290323,0.246974352525402,27.067,28.684,286.817,396.768,19.495,99.181,0.276,3.074,1.766105
12,201112,AU-Emr,-23.8587,148.4746,GRA,Arid,2.60606,2.10072,-0.217987,0.47043,76.2568,0.485215,84.4099,0.485215,25.999,0.486559,259.525,0.59207,401.079,0.486559,15.553,0.486559,98.705,0.243952,,,5.606,1.0,2.918,0.243952,397.072,0.486559,0.659276958333333,0.195425200337366,25.994,27.399,261.954,403.979,15.207,98.701,3.363,2.871,2.388073
13,201201,AU-Emr,-23.8587,148.4746,GRA,Arid,0.413337,0.845818,1.09013,0.991263,56.0378,0.998656,86.5909,0.998656,26.901,1.0,268.06,1.0,410.712,1.0,15.984,1.0,98.736,1.0,0.235614753417,0.977150537634,4.929,1.0,2.937,1.0,383.993,0.999328,1.3224553,0.245860141847127,26.849,28.086,250.388,411.504,15.449,98.747,5.834,2.582,1.503467
14,201202,AU-Emr,-23.8587,148.4746,GRA,Arid,2.14372,2.05854,0.147825,0.987787,86.389,0.997845,74.893,0.998563,26.504,1.0,267.355,1.0,411.174,1.0,13.385,1.0,98.759,1.0,0.209210960282,0.988505747126,3.152,1.0,2.753,1.0,386.86,0.999282,0.572017004516129,0.189896614531457,25.334,26.687,238.925,407.49,9.777,98.789,6.112,2.441,2.291545
15,201203,AU-Emr,-23.8587,148.4746,GRA,Arid,1.20695,0.909765,0.379869,0.998656,51.1805,0.999328,76.1924,0.999328,24.569,1.0,222.344,1.0,397.653,1.0,13.012,1.0,98.882,1.0,0.203471812596,0.970430107527,4.661,1.0,3.078,1.0,388.473,0.999328,0.714650442666667,0.179777848073431,23.98,25.448,215.795,392.604,11.332,98.932,4.391,3.045,1.586819
16,201204,AU-Emr,-23.8587,148.4746,GRA,Arid,1.16923,1.21612,0.33212,0.9875,30.7094,0.997222,80.9057,0.997222,22.05,1.0,216.207,1.0,370.133,1.0,13.402,1.0,99.376,1.0,0.187274822695,0.998611111111,1.307,1.0,2.612,1.0,390.91,0.998611,0.654332596333333,0.172305256390739,21.753,23.547,206.849,370.788,12.414,99.449,1.387,2.399,1.50135
17,201205,AU-Emr,-23.8587,148.4746,GRA,Arid,0.621366,0.378246,0.645233,0.988575,27.4317,1.0,61.8075,1.0,17.24,1.0,178.613,1.0,338.151,1.0,9.302,1.0,99.632,1.0,0.170655405232,0.965725806452,0.123,1.0,2.819,1.0,388.079,1.0,1.7433643137931,0.267246466113757,16.876,19.059,170.549,338.672,8.762,99.738,1.23,2.668,1.2665989999999998
18,201206,AU-Emr,-23.8587,148.4746,GRA,Arid,0.784256,0.668755,0.195366,0.978472,29.7136,0.998611,46.3687,0.999306,14.708,1.0,142.114,1.0,338.604,1.0,5.935,1.0,99.446,1.0,0.191990862573,0.993055555556,1.1,1.0,2.841,1.0,384.912,0.999306,1.43513120645161,0.223151004316525,14.219,15.967,133.957,338.04,6.241,99.55,1.501,2.659,0.979622
19,201207,AU-Emr,-23.8587,148.4746,GRA,Arid,1.07134,1.04189,-0.109068,0.979167,40.9427,0.99664,36.338,0.99664,13.67,1.0,160.703,1.0,329.019,1.0,5.662,1.0,99.778,1.0,0.182369544882,0.979838709677,1.561,1.0,2.48,1.0,382.028,0.99664,1.07532949666667,0.194860485945554,13.462,15.33,147.092,324.863,6.03,99.808,2.577,2.838,0.962272
20,201208,AU-Emr,-23.8587,148.4746,GRA,Arid,3.24151,3.2882,-1.60516,0.94422,54.0602,1.0,51.7436,1.0,16.005,1.0,211.968,1.0,327.042,1.0,10.126,1.0,99.717,1.0,0.170173773221,0.995295698925,0.671,1.0,2.204,1.0,377.322,1.0,0.742067715483871,0.189312455490837,15.761,18.478,211.487,322.384,10.552,99.706,0.218,2.169,1.63635
21,201209,AU-Emr,-23.8587,148.4746,GRA,Arid,3.69543,4.33904,-1.66652,0.949306,60.3843,0.990972,63.5788,0.991667,19.674,1.0,236.456,1.0,348.701,1.0,12.806,1.0,99.548,0.995139,0.197603678625,0.815277777778,0.373,1.0,2.337,0.824306,376.327,0.993056,0.606379747,0.204908697490031,20.042,22.227,242.385,348.55,13.431,99.546,0.373,2.44,2.0289099999999998
22,201210,AU-Emr,-23.8587,148.4746,GRA,Arid,1.57326,1.42836,0.0390217,0.950269,40.5409,0.980511,98.6411,0.980511,22.066,1.0,268.448,1.0,357.433,1.0,16.76,1.0,99.473,0.965726,0.217650656364,0.952956989247,1.523,1.0,2.512,1.0,378.148,0.973118,0.628162390645161,0.251787746475511,22.64,24.83,279.915,357.195,17.695,99.465,1.132,2.56,1.6122817
23,201211,AU-Emr,-23.8587,148.4746,GRA,Arid,0.81032,0.814689,0.633162,0.975694,52.2833,0.986806,120.366,0.986806,25.559,1.0,299.562,1.0,388.582,1.0,17.823,1.0,99.196,0.949306,0.249131698743,0.94375,2.213,1.0,3.218,1.0,374.005,0.988194,0.801828212258065,0.356125290306065,25.564,27.316,304.068,382.186,17.476,99.201,0.954,2.828,1.443482
24,201212,AU-Emr,-23.8587,148.4746,GRA,Arid,0.762971,0.831651,0.797089,0.629032,44.6261,0.959677,121.583,0.958333,27.382,0.992608,300.994,0.979167,399.741,0.977823,21.132,0.992608,98.996,0.912634,0.256637865721,0.907258064516,1.916,1.0,3.291,1.0,372.605,0.649194,0.931795601333333,0.343314297354677,28.519,30.12,312.103,397.958,23.204,98.977,0.671,2.961,1.56006
25,201301,AU-Emr,-23.8587,148.4746,GRA,Arid,1.88907,0.96011,0.133674,0.204973,26.9317,0.94086,121.038,0.943548,28.937,1.0,279.197,1.0,415.864,1.0,21.94,1.0,98.574,0.854167,0.260911023909,0.625,3.219,1.0,3.922,1.0,388.767,0.327285,0.530395512580645,0.156962842172309,28.906,30.381,283.215,411.812,20.242,98.557,7.105,3.328,2.022744
26,201302,AU-Emr,-23.8587,148.4746,GRA,Arid,1.54545,1.26714,0.30181,0.985119,49.3299,0.989583,92.5108,0.988839,25.663,1.0,245.879,1.0,398.708,1.0,15.374,1.0,98.912,0.993304,0.220344915179,0.985119047619,2.221,1.0,3.181,1.0,380.983,0.991071,0.30000001,0.138361766923834,24.92,26.296,245.694,396.042,12.716,98.934,2.244,2.9,1.84726
27,201303,AU-Emr,-23.8587,148.4746,GRA,Arid,0.804278,0.720928,0.681792,0.981855,40.1147,0.982527,88.9651,0.982527,24.745,0.995968,226.999,0.994624,395.929,0.995968,13.158,0.995968,99.097,0.980511,0.246005831876,0.809139784946,2.0,1.0,3.358,0.824597,389.128,0.994624,1.42068813466667,0.25057529455533,24.137,25.554,210.546,397.534,11.24,99.076,2.248,3.164,1.48607
28,201304,AU-Emr,-23.8587,148.4746,GRA,Arid,0.4573,0.260931,0.883083,0.990278,35.2573,0.997917,60.0351,0.997917,21.778,1.0,183.153,1.0,375.036,1.0,11.195,1.0,99.443,1.0,0.194247937866,0.997222222222,0.8,1.0,2.736,1.0,400.431,0.998611,0.781814873225806,0.186775715337464,21.421,23.108,185.308,374.137,9.989,99.4,1.528,2.563,1.3403829999999999
29,201305,AU-Emr,-23.8587,148.4746,GRA,Arid,0.554861,0.269128,0.758633,0.99328,31.4198,0.997984,51.1232,0.997984,17.967,1.0,161.791,1.0,350.524,1.0,8.19,1.0,99.765,1.0,0.176556749845,0.985215053763,2.465,1.0,2.605,1.0,398.946,0.997984,1.344689525,0.24754984966206,18.107,20.056,159.327,353.422,8.829,99.715,0.926,2.746,1.313494
30,201306,AU-Emr,-23.8587,148.4746,GRA,Arid,0.941176,0.588766,0.185128,0.990278,21.2145,0.999306,54.7731,0.999306,15.456,1.0,153.131,1.0,333.981,1.0,8.065,1.0,99.676,1.0,0.162902777778,1.0,0.087,1.0,2.247,1.0,396.061,0.999306,1.42919293870968,0.268715655335312,15.473,17.658,152.832,333.246,9.254,99.612,0.057,2.33,1.126304
31,201307,AU-Emr,-23.8587,148.4746,GRA,Arid,1.55733,1.25016,-0.52568,0.985887,35.2773,0.995968,48.5694,0.995968,16.839,1.0,164.882,1.0,345.179,1.0,8.208,1.0,99.964,1.0,0.182485214036,0.995295698925,0.723,1.0,2.537,1.0,394.656,0.995968,0.757217075333333,0.17131824554696,16.706,18.531,148.328,344.562,8.454,99.924,0.342,2.802,1.03165
32,201308,AU-Emr,-23.8587,148.4746,GRA,Arid,1.71948,1.7382,-0.711774,0.977151,30.8109,0.998656,68.2321,0.998656,17.925,1.0,226.538,1.0,322.37,1.0,13.529,1.0,99.611,1.0,0.185692204301,1.0,0.019,1.0,2.088,1.0,394.851,1.0,0.528943882903226,0.165157093417559,17.941,20.843,219.853,324.534,14.282,99.59,0.0,2.147,1.0077059999999998
33,201309,AU-Emr,-23.8587,148.4746,GRA,Arid,0.607992,0.634219,0.139844,0.969444,20.5307,0.997917,95.2918,0.999306,23.45,1.0,262.791,1.0,356.558,1.0,20.532,1.0,99.378,1.0,0.233101751208,0.998611111111,0.16,1.0,2.415,1.0,394.721,0.996528,0.630927953,0.175174796000049,23.941,26.371,250.994,357.553,21.297,99.412,0.133,2.654,0.747836
34,201310,AU-Emr,-23.8587,148.4746,GRA,Arid,-0.294735,0.216954,0.961166,0.919355,13.9773,0.994624,122.641,0.994624,25.105,1.0,299.592,1.0,368.754,1.0,20.796,1.0,99.308,0.998656,0.271684038361,0.992607526882,1.671,1.0,3.168,0.998656,392.516,0.91129,0.584224330967742,0.215931623710737,25.743,27.877,296.868,368.125,21.877,99.327,0.239,2.959,0.666431
35,201311,AU-Emr,-23.8587,148.4746,GRA,Arid,2.28787,2.10103,-0.446678,0.936806,96.0681,0.963889,73.2338,0.963889,25.376,0.974306,292.074,0.945833,388.383,1.0,16.485,0.974306,98.942,0.999306,0.234015288799,0.915972222222,4.713,1.0,2.716,0.998611,400.772,0.971528,0.742614498387097,0.250791259055131,25.235,26.949,280.05,390.495,15.201,98.974,4.33,2.575,1.841192
36,201312,AU-Emr,-23.8587,148.4746,GRA,Arid,0.906177,0.750012,0.301966,0.962366,42.3603,0.991935,134.249,0.993952,27.347,1.0,332.939,0.971774,393.149,1.0,22.192,1.0,98.985,1.0,0.264532192965,0.899193548387,0.581,1.0,3.246,1.0,394.712,0.977823,0.532003736333333,0.176062571424249,27.952,29.636,326.762,391.744,23.0,99.015,0.252,3.021,1.208143
