Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,AU-Lox,-34.4704,140.6551,DBF,Arid,2.41289,1.09334,0.00790877,0.0,45.4514,0.0,16.2428,0.0,24.429,0.0,329.62,0.0,354.098,0.0,20.113,0.0,100.448,0.0,,,0.243,0.0,2.512,0.0,,,1.00884349290323,0.380162055253293,24.429,26.013,329.62,354.098,20.113,100.448,0.243,2.512,2.4207987699999998
2,200802,AU-Lox,-34.4704,140.6551,DBF,Arid,2.14234,1.34601,0.0193965,0.0,45.1256,0.0,15.559,0.0,21.449,0.0,300.883,0.0,337.61,0.0,15.654,0.0,100.697,0.0,,,0.013,0.0,2.656,0.0,,,1.36562965806452,0.471652710881449,21.449,22.892,300.883,337.61,15.654,100.697,0.013,2.656,2.1617365
3,200803,AU-Lox,-34.4704,140.6551,DBF,Arid,2.28697,0.993894,0.00790877,0.0,43.2736,0.0,15.4646,0.0,22.875,0.0,240.072,0.0,347.939,0.0,19.692,0.0,101.069,0.0,,,0.022,0.0,2.028,0.0,,,1.32015689666667,0.44215063316545,22.875,24.853,240.072,347.939,19.692,101.069,0.022,2.028,2.29487877
4,200804,AU-Lox,-34.4704,140.6551,DBF,Arid,1.69934,1.47499,0.0134612,0.0,41.9027,0.0,14.7191,0.0,15.994,0.0,163.421,0.0,319.582,0.0,9.39,0.0,101.322,0.0,,,0.266,0.0,2.157,0.0,,,1.41483351666667,0.459540898224914,15.994,17.847,163.421,319.582,9.39,101.322,0.266,2.157,1.7128012000000001
5,200805,AU-Lox,-34.4704,140.6551,DBF,Arid,1.4613,1.56451,0.0202026,0.0,41.5698,0.0,14.52,0.0,13.051,0.0,119.84,0.0,315.189,0.0,5.291,0.0,101.442,0.0,,,0.437,0.0,1.789,0.0,,,1.02768736551724,0.367740913223765,13.051,14.945,119.84,315.189,5.291,101.442,0.437,1.789,1.4815026
6,200806,AU-Lox,-34.4704,140.6551,DBF,Arid,1.3556,1.46061,0.0134612,0.0,42.6832,0.0,14.9933,0.0,11.57,0.0,94.848,0.0,308.617,0.0,4.312,0.0,101.756,0.0,,,0.615,0.0,2.322,0.0,,,0.943297680967742,0.33291295282159,11.57,12.938,94.848,308.617,4.312,101.756,0.615,2.322,1.3690612
7,200807,AU-Lox,-34.4704,140.6551,DBF,Arid,1.25176,1.49619,0.0122722,0.0,42.7265,0.0,14.8337,0.0,10.107,0.0,98.129,0.0,304.03,0.0,4.289,0.0,101.188,0.0,,,0.53,0.0,2.597,0.0,,,0.683386105,0.313937670672445,10.107,11.47,98.129,304.03,4.289,101.188,0.53,2.597,1.2640322
8,200808,AU-Lox,-34.4704,140.6551,DBF,Arid,1.40843,1.64295,0.0436974,0.390457,37.545,0.399866,19.851,0.399866,10.031,0.399866,128.811,0.40121,302.312,0.399866,4.36,0.399866,101.688,0.397177,,,0.631,0.397177,2.481,0.397177,,,0.336439432903226,0.224305694671503,9.875,11.404,125.827,302.448,4.229,101.658,0.625,2.525,1.4521274000000002
9,200809,AU-Lox,-34.4704,140.6551,DBF,Arid,5.98939,6.05624,-1.78811,0.940278,89.0412,1.0,12.8248,1.0,14.112,1.0,215.218,1.0,302.535,1.0,8.667,1.0,101.171,1.0,0.353540541568,0.9625,0.25,1.0,2.328,1.0,367.543,1.0,0.306290405,0.201872515797834,13.932,15.737,207.57,304.357,8.049,101.116,0.226,2.467,4.201280000000001
10,200810,AU-Lox,-34.4704,140.6551,DBF,Arid,9.8658,10.3217,-4.53795,0.926075,155.662,0.998656,-9.21424,0.998656,17.526,1.0,265.746,1.0,319.293,1.0,12.701,1.0,101.283,0.999328,0.361177422884,0.969758064516,0.139,1.0,2.51,1.0,364.906,1.0,0.314835495483871,0.218215813823775,17.718,19.603,271.947,319.586,12.448,101.27,0.166,2.474,5.32785
11,200811,AU-Lox,-34.4704,140.6551,DBF,Arid,11.4204,11.5384,-5.82515,0.965278,192.382,0.996528,-13.1618,0.997222,19.0,1.0,291.698,1.0,334.899,1.0,12.623,1.0,100.472,1.0,0.401764209359,0.989583333333,0.953,1.0,2.762,1.0,365.85,0.999306,0.51307187483871,0.260009794337985,18.822,20.284,289.685,335.572,12.281,100.467,0.622,2.642,5.595250000000001
12,200812,AU-Lox,-34.4704,140.6551,DBF,Arid,12.4614,12.2017,-5.69221,0.956989,224.291,0.997312,-25.8833,0.997312,20.338,1.0,312.927,1.0,340.893,1.0,12.507,1.0,100.338,1.0,0.395342386128,0.99126344086,1.013,1.0,2.776,1.0,363.222,0.997984,1.16401253766667,0.405762266556134,20.208,21.604,311.516,342.832,12.896,100.322,0.827,2.682,6.769189999999999
13,200901,AU-Lox,-34.4704,140.6551,DBF,Arid,12.3097,11.6109,-5.46662,0.910618,263.567,0.997984,-64.6202,0.998656,24.051,1.0,362.704,1.0,343.791,1.0,21.718,1.0,100.531,1.0,0.347460525814,0.994623655914,0.003,1.0,2.453,1.0,355.176,1.0,1.28837557741935,0.424975480032578,24.466,26.412,352.272,341.734,22.711,100.55,0.0,2.387,6.84308
14,200902,AU-Lox,-34.4704,140.6551,DBF,Arid,10.0269,10.3082,-4.78635,0.942708,248.807,0.997768,-55.249,0.998512,23.34,1.0,315.825,1.0,348.11,1.0,18.752,1.0,100.605,1.0,0.426539528361,0.995535714286,0.0,1.0,2.833,1.0,359.216,1.0,1.35277489354839,0.455249282614837,24.042,25.812,305.285,349.521,20.139,100.644,0.017,2.586,5.24055
