Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,AU-TTE,-22.287,133.64,GRA,Arid,-0.0237251,0.0,0.276492,0.0,2.52011,0.0,77.2113,0.0,28.455,0.0,292.846,0.0,391.113,0.0,24.204,0.0,94.591,0.0,,,1.441,0.0,2.142,0.0,,,0.277285628064516,0.104579393806365,28.455,29.456,292.846,391.113,24.204,94.591,1.441,2.142,0.2527669
2,201202,AU-TTE,-22.287,133.64,GRA,Arid,-0.017131,0.0,0.275935,0.0,2.56576,0.0,77.3951,0.0,29.31,0.0,298.193,0.0,379.722,0.0,26.405,0.0,94.784,0.0,,,0.052,0.0,2.58,0.0,,,0.298382467096774,0.100682534114833,29.31,30.468,298.193,379.722,26.405,94.784,0.052,2.58,0.258804
3,201203,AU-TTE,-22.287,133.64,GRA,Arid,-0.0144664,0.0,0.276492,0.0,2.53699,0.0,77.7284,0.0,29.771,0.0,250.243,0.0,387.181,0.0,27.808,0.0,94.71,0.0,,,1.034,0.0,1.792,0.0,,,0.276865060333333,0.101145339452881,29.771,30.636,250.243,387.181,27.808,94.71,1.034,1.792,0.2620256
4,201204,AU-TTE,-22.287,133.64,GRA,Arid,-0.0298904,0.0,0.276223,0.0,2.588,0.0,78.6944,0.0,27.538,0.0,220.088,0.0,366.668,0.0,28.665,0.0,95.267,0.0,,,0.046,0.0,2.119,0.0,,,0.268698193,0.0969732400093139,27.538,28.219,220.088,366.668,28.665,95.267,0.046,2.119,0.24633259999999998
5,201205,AU-TTE,-22.287,133.64,GRA,Arid,-0.0539517,0.0,0.275911,0.0,2.64115,0.0,79.3914,0.0,24.067,0.0,183.917,0.0,346.398,0.0,26.439,0.0,95.433,0.0,,,0.35,0.0,1.913,0.0,,,0.25702578,0.101898480630885,24.067,24.707,183.917,346.398,26.439,95.433,0.35,1.913,0.22195930000000003
6,201206,AU-TTE,-22.287,133.64,GRA,Arid,-0.0858328,0.0,0.276223,0.0,2.61865,0.0,79.6263,0.0,19.458,0.0,141.599,0.0,344.299,0.0,20.932,0.0,95.478,0.0,,,2.831,0.0,2.09,0.0,,,0.376868589032258,0.118399175910483,19.458,19.829,141.599,344.299,20.932,95.478,2.831,2.09,0.1903902
7,201207,AU-TTE,-22.287,133.64,GRA,Arid,-0.153366,0.0,0.302387,0.449597,2.02728,0.452957,74.6672,0.452957,14.649,0.459005,193.503,0.459677,298.39,0.459005,16.691,0.459005,95.655,0.451613,,,0.195,0.451613,2.477,0.451613,,,0.489009690333333,0.127581612921604,18.205,18.731,167.813,325.898,22.803,95.596,0.264,2.014,0.14902100000000001
8,201208,AU-TTE,-22.287,133.64,GRA,Arid,-0.189014,0.0,0.30759,0.977823,2.32508,0.994624,82.0765,0.994624,17.167,1.0,244.703,1.0,300.513,1.0,17.037,1.0,95.559,1.0,0.296990018351,0.694220430108,0.0,1.0,2.41,1.0,379.331,1.0,0.300000010967742,0.119336160834513,20.157,20.969,209.561,333.423,22.246,95.523,0.03,2.07,0.11857599999999999
9,201209,AU-TTE,-22.287,133.64,GRA,Arid,-0.233169,0.000147178,0.391026,0.95625,3.78531,0.970833,95.4813,0.970833,22.305,1.0,269.984,1.0,332.196,1.0,24.165,1.0,95.284,1.0,0.338079403725,0.633333333333,0.133,1.0,2.738,1.0,378.163,1.0,0.30000001,0.111842916251332,20.675,21.503,254.27,339.568,21.832,95.369,0.019,2.289,0.157857
10,201210,AU-TTE,-22.287,133.64,GRA,Arid,-0.309033,0.0180476,0.481853,0.862231,5.86666,0.899866,110.695,0.900538,25.89,0.985215,303.288,0.985215,352.249,0.985215,30.398,0.985215,95.157,0.850806,0.302888582647,0.602150537634,0.161,0.981183,2.698,0.981183,381.013,0.940188,0.297995215806452,0.105792310297022,23.763,25.041,296.002,349.48,24.101,95.186,0.017,2.341,0.17281999999999997
11,201211,AU-TTE,-22.287,133.64,GRA,Arid,0.089722,0.0997676,0.788257,0.965278,30.8447,0.975694,101.777,0.975694,29.594,1.0,297.633,1.0,393.299,1.0,32.366,1.0,94.855,1.0,0.360559594035,0.559027777778,1.24,1.0,2.721,1.0,383.311,1.0,0.293782860645161,0.104157879447976,23.537,24.617,313.813,351.147,23.659,95.058,0.247,2.798,0.877979
12,201212,AU-TTE,-22.287,133.64,GRA,Arid,0.283985,0.537898,0.710215,0.969086,43.6347,0.977151,98.9442,0.978495,30.046,1.0,298.787,1.0,400.916,1.0,31.383,1.0,94.793,1.0,0.401930865943,0.741935483871,1.832,1.0,2.894,1.0,386.475,1.0,0.262704401,0.104197555858312,27.349,28.607,293.803,378.14,26.121,94.879,1.16,2.437,0.9942
13,201301,AU-TTE,-22.287,133.64,GRA,Arid,-0.264345,0.052635,0.94879,0.971774,21.9141,0.979839,120.239,0.982527,32.382,1.0,319.529,1.0,404.688,1.0,39.361,1.0,94.499,1.0,0.411262681705,0.6875,0.671,1.0,2.922,1.0,386.588,1.0,0.265929273225806,0.095795805870861,30.508,31.705,291.33,394.247,28.861,94.637,1.238,2.697,0.684445
14,201302,AU-TTE,-22.287,133.64,GRA,Arid,-0.385534,0.00483764,0.709714,0.976935,9.18716,0.986607,117.962,0.985863,30.045,1.0,290.125,1.0,396.844,1.0,33.274,1.0,94.714,1.0,0.401019486876,0.736607142857,0.4,1.0,2.906,1.0,383.657,1.0,0.237444558709677,0.0854152000062317,32.202,33.416,293.623,392.436,32.07,94.639,0.044,2.392,0.32417999999999997
15,201303,AU-TTE,-22.287,133.64,GRA,Arid,-0.42469,0.00830737,0.68083,0.982527,4.73531,0.995296,112.748,0.995968,29.667,1.0,274.952,1.0,394.112,1.0,32.22,1.0,94.809,1.0,0.382822041152,0.878360215054,0.116,1.0,2.989,1.0,382.985,0.999328,0.217923270333333,0.0858287820470982,28.621,29.66,266.719,375.058,27.311,94.891,0.006,2.45,0.25614000000000003
