Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,AU-Wac,-37.4259,145.1878,EBF,Temperate,7.04251,6.03956,-1.65945,0.0,33.5114,0.0,12.2876,0.0,15.36,0.0,223.663,0.0,377.703,0.0,6.915,0.0,92.628,0.0,,,3.94,0.0,3.596,0.0,,,4.83045339677419,0.402185522333051,15.36,16.906,223.663,377.703,6.915,92.628,3.94,3.596,5.38306
2,200502,AU-Wac,-37.4259,145.1878,EBF,Temperate,6.36599,5.22652,-1.68554,0.0,34.8317,0.0,12.4073,0.0,13.332,0.0,182.733,0.0,378.953,0.0,4.758,0.0,92.581,0.0,,,20.026,0.0,3.869,0.0,,,3.32529683548387,0.354589424209626,13.332,14.781,182.733,378.953,4.758,92.581,20.026,3.869,4.68045
3,200503,AU-Wac,-37.4259,145.1878,EBF,Temperate,6.02991,4.85656,-1.66812,0.0,29.4129,0.0,10.5139,0.0,12.347,0.0,160.556,0.0,370.638,0.0,4.718,0.0,93.237,0.0,,,1.525,0.0,3.397,0.0,,,4.02956534666667,0.377891471458333,12.347,14.108,160.556,370.638,4.718,93.237,1.525,3.397,4.36179
4,200504,AU-Wac,-37.4259,145.1878,EBF,Temperate,6.15555,3.89667,-1.67055,0.0,29.0848,0.0,10.4765,0.0,12.759,0.0,117.5,0.0,369.962,0.0,5.075,0.0,93.447,0.0,,,2.232,0.0,3.673,0.0,,,4.50030070967742,0.393537441422191,12.759,14.406,117.5,369.962,5.075,93.447,2.232,3.673,4.484999999999999
5,200505,AU-Wac,-37.4259,145.1878,EBF,Temperate,4.78904,3.06114,-1.65945,0.0,23.0816,0.0,8.46332,0.0,8.247,0.0,81.269,0.0,359.913,0.0,2.573,0.0,93.475,0.0,,,1.605,0.0,3.159,0.0,,,4.62973676785714,0.40298827065009,8.247,9.848,81.269,359.913,2.573,93.475,1.605,3.159,3.12959
6,200506,AU-Wac,-37.4259,145.1878,EBF,Temperate,4.44646,2.42458,-1.67055,0.0,8.56547,0.0,3.08532,0.0,6.862,0.0,59.277,0.0,359.9,0.0,1.677,0.0,92.992,0.0,,,13.796,0.0,3.828,0.0,,,3.96052603225806,0.377572955600981,6.862,8.199,59.277,359.9,1.677,92.992,13.796,3.828,2.77591
7,200507,AU-Wac,-37.4259,145.1878,EBF,Temperate,4.30596,2.40652,-1.68409,0.0,27.2674,0.0,9.72336,0.0,6.314,0.0,58.316,0.0,361.63,0.0,1.439,0.0,93.335,0.0,,,8.025,0.0,3.922,0.0,,,3.28333001,0.349854912445279,6.314,7.335,58.316,361.63,1.439,93.335,8.025,3.922,2.6218699999999995
8,200508,AU-Wac,-37.4259,145.1878,EBF,Temperate,4.44979,3.19487,-1.70065,0.213038,35.6212,0.217742,12.1963,0.217742,6.803,0.218414,86.741,0.219758,359.369,0.218414,2.151,0.217742,93.063,0.204973,,,15.118,0.0221774,5.38,0.209677,,,2.17701574322581,0.354833963569302,6.682,7.713,85.089,358.219,2.142,93.27,14.826,5.076,2.74914
9,200509,AU-Wac,-37.4259,145.1878,EBF,Temperate,7.33699,5.37001,-4.9664,0.995139,36.1105,0.999306,10.4263,1.0,7.544,1.0,112.971,1.0,351.316,1.0,1.902,1.0,91.784,1.0,0.767239779585,0.727083333333,9.712,0.0826389,5.265,1.0,378.76,1.0,1.23841756233333,0.355314403365416,8.144,9.373,117.167,364.426,2.458,92.781,9.527,4.005,2.37059
10,200510,AU-Wac,-37.4259,145.1878,EBF,Temperate,7.38266,6.6722,-4.08798,0.99664,56.7256,1.0,30.8809,1.0,10.539,1.0,170.438,1.0,366.888,1.0,3.45,1.0,92.27,0.998656,0.835022397991,0.813172043011,12.95,0.0611559,5.025,0.998656,372.606,1.0,1.94199721290323,0.362584203380958,10.866,12.155,167.246,368.925,3.674,92.663,12.404,3.901,3.2946799999999996
