Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,AU-Ync,-34.9893,146.2907,GRA,Arid,0.0332539,0.0,0.366061,0.0,21.7264,0.0,123.023,0.0,25.358,0.0,324.119,0.0,371.462,0.0,22.147,0.0,99.751,0.0,,,2.115,0.0,4.27,0.0,,,0.320485879677419,0.135768626841893,25.358,27.027,324.119,371.462,22.147,99.751,2.115,4.27,0.39931490000000003
2,201202,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.00848436,0.0,0.379649,0.0,23.3323,0.0,132.464,0.0,23.465,0.0,259.518,0.0,371.607,0.0,15.881,0.0,99.725,0.0,,,3.527,0.0,2.956,0.0,,,0.380812163548387,0.149379672228646,23.465,25.174,259.518,371.607,15.881,99.725,3.527,2.956,0.37116464
3,201203,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.0656274,0.0,0.366061,0.0,24.6621,0.0,139.646,0.0,18.398,0.0,211.905,0.0,345.422,0.0,8.435,0.0,100.072,0.0,,,8.457,0.0,3.518,0.0,,,0.294312806666667,0.134049849167219,18.398,20.104,211.905,345.422,8.435,100.072,8.457,3.518,0.3004336
4,201204,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.103536,0.0,0.372628,0.0,25.4837,0.0,144.482,0.0,15.965,0.0,177.143,0.0,328.183,0.0,8.105,0.0,100.488,0.0,,,0.838,0.0,2.748,0.0,,,0.228871591,0.124937018789448,15.965,18.323,177.143,328.183,8.105,100.488,0.838,2.748,0.269092
5,201205,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.163985,0.0,0.374375,0.0,25.2845,0.0,142.9,0.0,11.308,0.0,122.388,0.0,307.718,0.0,5.627,0.0,100.695,0.0,,,0.9,0.0,2.851,0.0,,,0.330664841034483,0.128854295157128,11.308,13.494,122.388,307.718,5.627,100.695,0.9,2.851,0.21039000000000002
6,201206,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.181623,0.0,0.372628,0.0,26.4711,0.0,150.08,0.0,9.726,0.0,87.663,0.0,310.829,0.0,4.15,0.0,100.498,0.0,,,0.905,0.0,3.147,0.0,,,0.627244801612903,0.209454099290795,9.726,11.33,87.663,310.829,4.15,100.498,0.905,3.147,0.191005
7,201207,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.194291,0.0,0.37745,0.0,27.9851,0.0,159.37,0.0,9.006,0.0,94.939,0.0,308.526,0.0,3.681,0.0,100.774,0.0,,,2.287,0.0,3.293,0.0,,,0.697941156333333,0.261530844104157,9.006,10.577,94.939,308.526,3.681,100.774,2.287,3.293,0.18315900000000002
8,201208,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.175914,0.0,0.366061,0.0,27.9588,0.0,158.313,0.0,9.602,0.0,131.677,0.0,304.579,0.0,5.187,0.0,100.3,0.0,,,1.891,0.0,3.835,0.0,,,0.579198828387097,0.228338343058799,9.602,11.474,131.677,304.579,5.187,100.3,1.891,3.835,0.19014700000000004
9,201209,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.139653,0.0,0.372628,0.0,23.2672,0.0,131.916,0.0,13.087,0.0,201.617,0.0,307.841,0.0,8.314,0.0,100.179,0.0,,,1.112,0.0,3.574,0.0,,,0.448768089333333,0.214361916648092,13.087,15.068,201.617,307.841,8.314,100.179,1.112,3.574,0.23297500000000002
10,201210,AU-Ync,-34.9893,146.2907,GRA,Arid,0.00465892,0.0230158,0.233901,0.241263,20.4669,0.243952,113.838,0.243952,16.467,0.244624,281.241,0.245968,316.834,0.244624,12.492,0.244624,100.258,0.239919,,,0.66,0.239919,3.58,0.239919,,,0.435055943548387,0.18004250265718,16.398,18.622,282.918,316.256,12.263,100.261,0.66,3.553,0.23855992
11,201211,AU-Ync,-34.9893,146.2907,GRA,Arid,0.608925,0.356988,-0.0886771,0.975,38.6267,0.997222,102.677,0.996528,21.771,1.0,292.355,1.0,350.29,1.0,18.371,1.0,99.926,1.0,0.297326388889,1.0,2.833,0.999306,3.92,1.0,370.485,0.999306,0.497417338064516,0.192894258801297,21.91,24.007,313.836,346.576,18.594,99.93,1.352,3.634,0.5202479000000001
12,201212,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.0640753,0.16008,0.672865,0.915323,22.6036,0.938844,140.526,0.939516,23.423,0.943548,338.985,0.946909,353.517,0.943548,20.526,0.943548,99.824,0.917339,0.339632121512,0.897849462366,0.968,0.917339,4.47,0.91129,363.894,0.94086,0.487298011,0.179433890153752,23.891,25.661,349.431,352.982,21.53,99.832,0.84,4.047,0.6087897
13,201301,AU-Ync,-34.9893,146.2907,GRA,Arid,0.00975991,0.0843109,0.651269,0.983871,18.5401,0.995968,145.611,0.995968,26.956,1.0,349.619,1.0,368.894,1.0,28.959,1.0,99.456,1.0,0.325056766186,0.998655913978,0.452,1.0,4.226,0.998656,357.379,0.999328,0.239622161612903,0.115164239636736,27.556,29.587,347.46,367.463,30.118,99.469,0.042,3.877,0.66102891
14,201302,AU-Ync,-34.9893,146.2907,GRA,Arid,0.0961668,0.0935162,0.578988,0.990327,12.3701,0.994792,119.034,0.994792,25.825,1.0,281.397,1.0,377.518,1.0,22.898,1.0,99.932,1.0,0.324862610742,0.996279761905,2.571,1.0,4.173,0.997024,348.601,0.997024,0.692905926129032,0.239937059434026,26.314,28.052,279.474,378.438,23.661,99.946,3.592,3.756,0.6751547999999999
15,201303,AU-Ync,-34.9893,146.2907,GRA,Arid,0.510472,0.243886,0.349822,0.977823,14.3999,1.0,104.681,1.0,22.062,1.0,247.203,1.0,353.331,1.0,16.736,1.0,100.128,0.998656,0.276547741609,0.994623655914,2.194,0.998656,3.709,0.995968,355.55,1.0,0.351734103666667,0.153018172641105,22.09,23.932,240.732,353.358,16.715,100.134,0.387,3.458,0.8602940000000001
16,201304,AU-Ync,-34.9893,146.2907,GRA,Arid,0.562958,0.404951,-0.167411,0.985417,14.1864,0.998611,67.2924,0.999306,17.501,1.0,179.314,1.0,332.337,1.0,11.359,1.0,100.419,1.0,0.198326388889,1.0,0.267,1.0,2.824,1.0,363.897,0.999306,0.266893327419355,0.126043499439461,17.687,19.918,172.137,335.698,11.507,100.42,0.366,2.812,0.395547
17,201305,AU-Ync,-34.9893,146.2907,GRA,Arid,0.279448,0.284463,0.205919,0.967742,14.1912,0.99664,42.0902,0.99664,12.624,1.0,128.173,1.0,314.655,1.0,6.124,1.0,100.654,1.0,0.179397283531,0.993279569892,3.71,1.0,2.816,0.99328,370.855,0.999328,0.266151750357143,0.116955779069645,12.96,14.956,119.152,315.27,6.728,100.653,1.342,3.03,0.485367
18,201306,AU-Ync,-34.9893,146.2907,GRA,Arid,0.672751,0.564984,-0.0625666,0.961806,17.022,0.986806,21.718,0.986806,9.448,1.0,100.544,1.0,304.187,1.0,3.001,1.0,100.529,0.999306,0.160002581775,0.982638888889,3.2,0.999306,2.471,0.982639,379.695,0.986806,0.250273388064516,0.111942470474204,9.823,11.643,91.449,308.665,3.454,100.553,3.962,2.734,0.6101844
19,201307,AU-Ync,-34.9893,146.2907,GRA,Arid,1.47564,1.35691,-0.538622,0.921371,22.698,0.942876,21.335,0.942876,10.27,0.951613,108.326,0.956989,310.591,0.951613,3.499,0.951613,100.761,0.892473,0.197888372512,0.86626344086,1.919,0.892473,3.262,0.886425,376.714,0.943548,0.199999999,0.118248828791582,10.264,11.87,95.253,315.235,3.887,100.733,2.411,3.346,0.937018
20,201308,AU-Ync,-34.9893,146.2907,GRA,Arid,2.57209,2.30034,-1.38325,0.896505,39.4664,0.918011,24.5744,0.918011,11.12,0.924059,140.572,0.927419,314.619,0.924059,4.935,0.924059,100.127,0.856183,0.253625306183,0.854838709677,1.161,0.856183,3.719,0.854839,371.65,0.918011,0.200062312258065,0.119994146421539,11.033,12.538,124.359,317.862,5.355,100.101,1.285,3.912,1.1888400000000001
21,201309,AU-Ync,-34.9893,146.2907,GRA,Arid,3.68024,3.07703,-2.01259,0.971528,42.3339,0.990278,40.997,0.990972,15.126,0.99375,207.204,0.99375,325.889,0.99375,8.625,0.99375,100.008,0.990972,0.241998921469,0.989583333333,2.067,0.990972,3.514,0.989583,377.679,0.990972,0.310532554333333,0.147594972993873,14.762,16.7,198.76,320.32,8.254,100.0,2.499,3.597,1.66765
22,201310,AU-Ync,-34.9893,146.2907,GRA,Arid,1.24968,0.8876,-0.164618,0.971774,37.6236,0.995968,96.4961,0.99664,16.615,1.0,270.8,1.0,318.44,1.0,13.239,1.0,100.044,1.0,0.307043090442,0.995967741935,0.419,1.0,4.051,0.997312,370.78,0.99664,0.552053414193548,0.246926002414402,16.387,18.535,278.127,314.558,12.402,100.036,0.474,4.206,1.085062
23,201311,AU-Ync,-34.9893,146.2907,GRA,Arid,0.183886,0.111321,0.636353,0.986111,31.0383,0.997917,126.535,0.998611,19.624,1.0,319.144,1.0,334.185,1.0,16.641,1.0,99.843,1.0,0.317463466184,0.998611111111,1.7,1.0,3.742,0.999306,373.397,0.998611,1.06351817354839,0.305480235935326,19.107,21.208,311.372,333.166,14.849,99.889,2.335,3.742,0.8202389999999999
24,201312,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.0707783,0.0402054,0.837578,0.973118,35.337,0.987231,128.214,0.989919,23.97,1.0,335.702,1.0,355.534,1.0,23.452,1.0,99.723,0.999328,0.309417834194,0.997311827957,2.097,0.999328,3.838,0.997984,377.604,0.989919,1.19322902666667,0.334218505655566,23.988,25.979,334.087,352.871,23.171,99.734,1.487,3.642,0.7667997000000001
25,201401,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.246432,0.00143953,0.86351,0.984543,22.9641,0.99664,135.427,0.997312,27.007,1.0,337.559,1.0,373.813,1.0,28.271,1.0,99.75,1.0,0.334946236559,0.993951612903,1.581,1.0,4.092,0.993952,372.903,0.997984,0.246620702903226,0.117951663208357,27.299,29.096,331.405,373.159,28.955,99.754,0.487,3.986,0.617078
26,201402,AU-Ync,-34.9893,146.2907,GRA,Arid,0.0979023,0.196429,0.915632,0.956845,25.2313,0.982143,119.504,0.983631,25.826,1.0,294.869,1.0,371.561,1.0,24.8,1.0,99.633,1.0,0.30505217156,0.995535714286,2.357,1.0,3.861,0.995536,380.76,0.981399,0.476678654193548,0.167595682654802,26.225,28.252,291.64,371.336,25.623,99.647,2.311,3.749,1.0135342999999999
27,201403,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.042077,0.216635,0.776581,0.0658602,20.2482,0.081317,81.6821,0.081317,21.858,1.0,227.334,1.0,361.257,1.0,14.671,1.0,100.258,1.0,0.218768582207,0.997983870968,2.903,1.0,2.927,0.997984,393.842,0.967742,0.283015894333333,0.124443220541229,21.826,23.824,220.458,362.173,14.653,100.257,2.912,2.865,0.7345039999999999
28,201404,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.211883,0.176307,0.797037,0.0,,0.0,,0.0,16.911,1.0,161.487,1.0,340.031,1.0,7.828,1.0,100.241,1.0,0.187804347826,0.998611111111,2.167,1.0,2.683,0.998611,393.313,0.997917,0.259542252258065,0.110120485609337,16.634,18.384,152.561,340.272,7.167,100.249,4.821,2.874,0.585154
29,201405,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.0652756,0.114153,0.564258,0.0,,0.0,,0.0,14.387,1.0,115.64,1.0,329.492,1.0,6.188,1.0,100.526,1.0,0.173091465279,0.992607526882,3.484,1.0,2.847,0.992608,384.8,1.0,0.244036005357143,0.110893714821058,13.884,15.672,107.984,330.252,5.765,100.511,2.386,2.892,0.49898240000000005
30,201406,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.176118,0.0764233,0.568995,0.0,,0.0,,0.0,10.347,1.0,91.742,1.0,315.864,1.0,2.779,1.0,100.517,1.0,0.219586136882,0.989583333333,2.6,1.0,3.23,0.989583,389.272,0.975,0.244802780322581,0.109651415298783,10.671,11.835,76.601,321.801,3.463,100.498,3.38,3.462,0.39287700000000003
31,201407,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.790502,0.0705205,1.13722,0.0,,0.0,,0.0,9.064,1.0,111.063,1.0,304.344,1.0,3.637,1.0,100.499,1.0,0.216562176678,0.987903225806,0.484,1.0,3.293,0.987903,386.23,0.991263,0.547146224,0.203084735975131,8.975,10.521,97.088,305.155,3.994,100.463,1.121,3.553,0.34671799999999986
32,201408,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.504587,0.0734645,0.846475,0.0,,0.0,,0.0,10.173,1.0,166.448,1.0,292.269,1.0,5.269,1.0,101.107,1.0,0.172627688172,1.0,0.194,1.0,2.623,1.0,380.703,0.998656,0.762921904516129,0.260268320478869,9.486,11.846,148.654,295.46,4.722,101.102,0.566,2.736,0.34188799999999997
33,201409,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.189967,0.0537361,0.565165,0.0,,0.0,,0.0,13.867,1.0,218.266,1.0,308.11,1.0,8.444,1.0,100.421,1.0,0.246979905437,0.998611111111,1.6,1.0,3.668,0.999306,382.563,0.992361,1.08241156333333,0.320487992538593,13.236,15.466,209.522,308.405,7.562,100.418,1.691,3.507,0.37519800000000003
34,201410,AU-Ync,-34.9893,146.2907,GRA,Arid,-0.138426,0.0178265,0.568417,0.127016,18.628,0.129032,96.8051,0.129704,19.438,1.0,278.628,1.0,332.487,1.0,16.816,1.0,100.154,1.0,0.279714882178,0.998655913978,0.613,1.0,3.913,0.999328,377.99,0.997984,1.13343199677419,0.342928499685111,18.563,20.868,280.584,326.914,14.312,100.162,1.018,3.582,0.42999099999999996
