Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88826,0.0,0.0010393,0.0,-0.33513,0.0,2.13,0.0,33.853,0.0,284.541,0.0,1.098,0.0,101.325,0.0,,,0.609,0.0,3.206,0.0,,,,,2.13,2.954,33.853,284.541,1.098,101.325,0.609,3.206,
2,199602,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88169,0.0,-0.00027828,0.0,0.0949849,0.0,1.914,0.0,51.143,0.0,288.928,0.0,1.182,0.0,101.205,0.0,,,2.25,0.0,3.535,0.0,,,,,1.914,2.818,51.143,288.928,1.182,101.205,2.25,3.535,
3,199603,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88826,0.0,-0.00152846,0.0,0.492861,0.0,4.118,0.0,108.869,0.0,286.049,0.0,1.839,0.0,101.731,0.0,,,0.764,0.0,2.634,0.0,,,,,4.118,5.342,108.869,286.049,1.839,101.731,0.764,2.634,
4,199604,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88509,0.0,-0.00144644,0.0,0.478807,0.0,9.615,0.0,182.904,0.0,304.015,0.0,4.75,0.0,101.724,0.0,,,0.305,0.0,2.479,0.0,,,,,9.615,10.993,182.904,304.015,4.75,101.724,0.305,2.479,
5,199605,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88951,0.0,0.00380025,0.0,-0.745909,0.0,11.058,0.0,176.052,0.0,325.452,0.0,3.828,0.0,101.352,0.0,,,2.199,0.0,3.113,0.0,,,,,11.058,11.984,176.052,325.452,3.828,101.352,2.199,3.113,
6,199606,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88509,0.0,0.00858512,0.004167,-5.68028,0.004167,15.693,0.00416667,227.265,0.00486111,339.392,0.0,6.197,0.0,102.043,0.0,,,0.776,0.0,2.409,0.0,,,,,15.698,16.838,227.267,339.392,6.197,102.043,0.776,2.409,
7,199607,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.87748,0.0,41.6792,1.0,74.0501,1.0,15.971,1.0,202.358,1.0,342.902,0.0,5.668,0.0,101.835,0.999328,0.47690168325,0.772849462366,1.126,0.999328,3.284,0.829973,,,,,16.344,17.443,212.831,342.902,5.668,101.742,1.565,2.786,
8,199608,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88826,0.0,69.7113,0.998656,10.1982,0.998656,16.901,0.998656,165.88,0.982527,348.207,0.0,5.423,0.0,101.468,0.968414,,,3.942,0.968414,2.925,0.485215,,,,,16.951,18.092,169.08,348.207,5.423,101.454,4.201,2.606,
9,199609,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88509,0.0,55.4105,0.983333,18.0785,0.983333,13.092,0.983333,130.501,0.990278,328.073,0.0,3.625,0.0,101.655,0.979861,,,0.815,0.979861,3.126,0.513194,,,,,12.842,13.975,120.713,328.073,3.625,101.671,1.243,2.9,
10,199610,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88951,0.0,7.31976,1.0,-1.51233,1.0,11.249,1.0,78.204,1.0,322.531,0.0,2.5,0.0,101.572,0.999328,,,2.016,0.999328,3.315,0.660618,,,,,11.149,12.166,71.8,322.531,2.5,101.607,1.896,3.07,
11,199611,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88509,0.0,1.35205,1.0,-6.92839,1.0,5.979,1.0,30.411,1.0,311.119,0.0,1.153,0.0,100.924,1.0,0.52089923716,0.909722222222,3.483,1.0,3.92,0.977083,,,,,6.354,6.871,26.642,311.119,1.153,100.924,3.507,3.694,
12,199612,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.87748,0.0,0.681276,0.834005,-8.65447,0.834005,-0.34,0.834677,22.739,0.9375,283.647,0.0,0.704,0.168011,101.459,0.926075,,,1.283,0.926075,2.915,0.233871,,,,,1.294,1.622,22.901,283.647,0.915,101.439,1.232,2.774,
13,199701,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88826,0.0,0.323647,0.907258,-0.845353,1.0,-0.772,1.0,32.819,1.0,282.753,0.0,0.476,1.0,102.408,1.0,0.323643422353,0.870295698925,0.106,1.0,1.815,0.94086,,,,,-0.069,0.748,31.906,282.753,0.757,102.279,0.342,2.297,
14,199702,BE-Bra,51.30761,4.51984,MF,Temperate,,,1.88999,0.0,-0.0687502,1.0,1.66433,1.0,6.737,1.0,48.048,1.0,308.139,0.0,1.653,1.0,101.851,0.999256,0.761863810364,0.977678571429,2.336,1.0,4.191,0.979167,,,,,6.549,7.294,52.958,308.139,1.697,101.714,3.402,4.716,
