Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,BE-Vie,50.30493,5.99812,MF,Temperate,7.61552,2.79297,-5.12568,0.0,74.257,0.0,45.7963,0.0,-0.486,0.0,36.279,0.673387,269.337,0,0.637,0.0,95.8,0.0,,,0.748,0.0,2.382,0.0,,,,,-0.486,0.53,36.394,269.337,0.637,95.8,0.748,2.382,2.48984
2,199602,BE-Vie,50.30493,5.99812,MF,Temperate,7.53237,3.65813,-5.12941,0.0,132.569,0.0,82.7781,0.0,-1.473,0.0,50.431,0.611351,272.374,0,0.501,0.0,95.629,0.0,,,2.891,0.0,2.887,0.0,,,,,-1.473,-0.541,50.587,272.374,0.501,95.629,2.891,2.887,2.40296
3,199603,BE-Vie,50.30493,5.99812,MF,Temperate,7.74822,6.89131,-5.12568,0.0,109.213,0.0,67.3544,0.0,1.041,0.0,114.872,0.53293,262.805,0,1.191,0.0,96.097,0.0,,,0.954,0.0,2.083,0.0,,,,,1.041,2.366,115.098,262.805,1.191,96.097,0.954,2.083,2.62254
4,199604,BE-Vie,50.30493,5.99812,MF,Temperate,8.28023,9.16541,-5.12748,0.0,100.464,0.0,62.3321,0.0,7.321,0.0,188.79,0.452083,280.401,0,4.122,0.0,96.171,0.0,,,0.462,0.0,1.961,0.0,,,,,7.321,8.749,188.9,280.401,4.122,96.171,0.462,1.961,3.1527499999999993
5,199605,BE-Vie,50.30493,5.99812,MF,Temperate,8.28584,9.24471,-4.99435,0.0,89.6743,0.0,54.4418,0.0,9.377,0.0,167.465,0.387769,316.145,0,3.167,0.0,95.821,0.0,,,2.692,0.0,2.462,0.0,,,,,9.377,10.232,167.579,316.145,3.167,95.821,2.692,2.462,3.2914900000000005
6,199606,BE-Vie,50.30493,5.99812,MF,Temperate,8.41578,9.37502,-4.82406,0.0,91.2583,0.0,53.4038,0.0,13.893,0.0,221.04,0.354167,326.138,0,5.499,0.0,96.522,0.0,,,1.636,0.0,1.887,0.0,,,,,13.893,15.026,221.28,326.138,5.499,96.522,1.636,1.887,3.5917199999999996
7,199607,BE-Vie,50.30493,5.99812,MF,Temperate,8.48432,9.31204,-4.85218,0.061828,103.515,0.077957,59.4306,0.077957,14.286,0.077957,210.143,0.366935,329.732,0,5.252,0.077957,96.272,0.0,,,1.782,0.0,2.287,0.0,,,,,14.362,15.506,210.264,329.732,5.249,96.272,1.782,2.287,3.6321400000000006
8,199608,BE-Vie,50.30493,5.99812,MF,Temperate,7.45588,6.74327,-3.35257,0.756048,59.3776,0.853495,54.7432,0.906586,14.681,0.964382,172.318,0.96707,337.891,0,3.729,0.964382,96.21,0.932796,,,4.397,0.997984,2.008,0.515457,359.258,0.881048,,,14.94,16.064,167.17,337.891,4.939,96.031,4.644,2.083,4.10331
9,199609,BE-Vie,50.30493,5.99812,MF,Temperate,6.73452,6.25012,-2.90883,0.975694,39.57,0.999306,29.8447,0.990972,9.485,1.0,116.0,1.0,314.062,0,1.913,1.0,96.266,0.999306,0.453134391614,0.779166666667,1.403,0.999306,1.96,0.972222,370.634,1.0,,,10.04,11.184,118.669,314.062,2.667,96.125,1.202,2.273,3.82569
10,199610,BE-Vie,50.30493,5.99812,MF,Temperate,3.23422,2.71653,-0.807695,0.976478,27.1125,0.983199,6.29184,0.995296,8.041,0.988575,72.107,0.989247,310.905,0,1.505,0.988575,96.35,0.982527,0.471531047244,0.771505376344,2.39,1.0,2.017,0.995968,379.936,0.991263,,,8.339,9.416,69.808,310.905,1.644,96.175,2.471,2.351,2.426525
