Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CA-Gro,48.2167,-82.1556,MF,Continental,2.66183,2.68103,-1.62618,0.0,66.2766,0.0,59.5301,0.0,-16.124,0.0,54.412,0.0,205.179,0.0,0.76,0.0,97.096,0.0,,,0.839,0.0,3.272,0.0,,,0.695891579677419,0.240331508563507,-16.124,-15.341,54.412,205.179,0.76,97.096,0.839,3.272,1.0356500000000002
2,200302,CA-Gro,48.2167,-82.1556,MF,Continental,2.68866,4.09062,-1.60944,0.0,67.5957,0.0,60.8687,0.0,-16.231,0.0,97.513,0.0,196.554,0.0,0.934,0.0,97.175,0.0,,,1.06,0.0,3.323,0.0,,,1.12564650258065,0.279301995576875,-16.231,-14.837,97.513,196.554,0.934,97.175,1.06,3.323,1.07922
3,200303,CA-Gro,48.2167,-82.1556,MF,Continental,3.86525,5.2304,-1.57938,0.0,69.647,0.0,61.4777,0.0,-7.23,0.0,138.373,0.0,230.222,0.0,1.681,0.0,97.059,0.0,,,1.699,0.0,3.05,0.0,,,0.624925722,0.22900947432323,-7.23,-5.57,138.373,230.222,1.681,97.059,1.699,3.05,2.28587
4,200304,CA-Gro,48.2167,-82.1556,MF,Continental,4.98417,6.62923,-1.60485,0.0,67.4741,0.0,60.2938,0.0,-0.606,0.0,197.538,0.0,252.883,0.0,3.089,0.0,97.651,0.0,,,1.676,0.0,3.262,0.0,,,0.44542809483871,0.22658107028661,-0.606,1.188,197.538,252.883,3.089,97.651,1.676,3.262,3.37932
5,200305,CA-Gro,48.2167,-82.1556,MF,Continental,7.34929,6.74042,-1.62618,0.0,63.8065,0.0,57.3114,0.0,10.515,0.0,228.759,0.0,290.816,0.0,6.198,0.0,97.489,0.0,,,2.044,0.0,2.947,0.0,,,0.648431118571429,0.252938298073532,10.515,12.141,228.759,290.816,6.198,97.489,2.044,2.947,5.72311
6,200306,CA-Gro,48.2167,-82.1556,MF,Continental,8.63477,6.93298,-1.60485,0.0,61.8118,0.0,55.234,0.0,16.031,0.0,260.682,0.0,316.027,0.0,8.708,0.0,97.228,0.0,,,1.78,0.0,2.7,0.0,,,0.655443522580645,0.300202541154693,16.031,17.581,260.682,316.027,8.708,97.228,1.78,2.7,7.02992
7,200307,CA-Gro,48.2167,-82.1556,MF,Continental,8.97834,6.53362,-1.609,0.0,66.3197,0.0,59.6754,0.0,17.455,0.0,207.35,0.0,342.09,0.0,6.673,0.0,97.136,0.0,,,3.943,0.0,3.166,0.0,,,0.792188680333333,0.30472327775914,17.455,18.532,207.35,342.09,6.673,97.136,3.943,3.166,7.369339999999999
8,200308,CA-Gro,48.2167,-82.1556,MF,Continental,9.12436,6.00424,-1.95966,0.106855,68.1856,0.183468,47.7177,0.183468,16.621,0.430108,184.066,0.590726,348.702,0.590726,4.795,0.430108,97.519,0.221774,,,2.464,0.49664,3.055,0.221774,395.676,0.915995,1.91916426129032,0.287192635160668,17.612,18.712,177.29,350.563,5.7,97.495,2.659,3.013,7.1647
9,200309,CA-Gro,48.2167,-82.1556,MF,Continental,4.60834,4.95319,-0.372337,0.979167,54.3269,1.0,18.5888,0.998611,12.546,1.0,137.498,1.0,324.181,1.0,3.56,1.0,97.435,1.0,0.411551328502,0.998611111111,3.198,1.0,3.552,1.0,382.305,0.995139,3.70935381666667,0.511693415886987,12.923,13.944,120.236,329.425,4.237,97.381,3.813,3.461,4.236003
10,200310,CA-Gro,48.2167,-82.1556,MF,Continental,1.93084,2.22813,-0.139685,0.923387,27.5531,0.995968,14.4865,0.991263,3.634,1.0,82.095,0.887097,298.543,0.885753,1.743,0.934812,97.113,1.0,0.449958333333,0.961021505376,1.473,1.0,3.24,1.0,382.05,0.997312,5.25248140645161,0.588942156177582,4.116,5.041,76.464,294.29,2.175,97.043,2.007,3.074,1.7911549999999998
11,200311,CA-Gro,48.2167,-82.1556,MF,Continental,1.7229,0.958657,-0.389973,0.0493056,16.9686,1.0,-2.59938,1.0,-2.148,1.0,41.033,0.881944,276.257,0.880556,0.701,0.996528,97.17,1.0,,,4.094,0.838194,3.614,0.968056,386.865,0.940278,4.4555998,0.513325361752878,-1.781,-1.139,47.206,272.021,1.453,97.132,3.648,3.682,1.3329270000000002
12,200312,CA-Gro,48.2167,-82.1556,MF,Continental,0.773186,0.871118,0.085384,0.0,12.4265,1.0,-3.04912,1.0,-8.173,1.0,34.536,1.0,249.115,1.0,0.343,1.0,97.229,0.997984,,,1.997,0.0,3.403,0.997984,388.381,0.935484,3.30560655666667,0.413598307601188,-7.196,-6.344,34.032,251.202,1.03,97.209,1.997,3.229,0.85857
13,200401,CA-Gro,48.2167,-82.1556,MF,Continental,0.312183,0.0333057,0.270314,0.590726,6.63219,0.999328,17.1936,1.0,-21.594,1.0,61.539,0.972446,180.971,1.0,0.187,1.0,97.402,1.0,,,1.379,0.780242,3.263,1.0,385.038,0.962366,0.706061551290323,0.243757830226682,-20.605,-19.781,54.041,195.601,0.649,97.367,1.144,3.029,0.582497
14,200402,CA-Gro,48.2167,-82.1556,MF,Continental,-0.0428246,0.181717,0.458437,0.981322,13.296,0.999282,21.7145,1.0,-9.506,1.0,92.959,1.0,219.776,1.0,0.804,1.0,97.626,1.0,0.407255747126,1.0,1.076,1.0,3.379,1.0,386.6,1.0,1.30884292258065,0.25995770423062,-9.127,-7.693,89.129,226.872,1.306,97.642,1.013,3.165,0.4156124
15,200403,CA-Gro,48.2167,-82.1556,MF,Continental,0.201906,0.311585,0.42851,0.983199,20.8637,1.0,56.4257,0.999328,-4.312,1.0,152.062,0.975806,236.359,0.975806,1.833,0.999328,97.521,0.999328,0.521265297128,0.911962365591,2.172,0.997312,3.989,0.999328,388.74,1.0,0.985600809666667,0.222906553554028,-3.739,-2.088,146.443,244.513,2.137,97.531,1.894,3.58,0.630416
16,200404,CA-Gro,48.2167,-82.1556,MF,Continental,0.954381,1.07524,0.0321538,0.990278,30.7392,0.998611,81.4576,0.999306,0.197,1.0,185.833,1.0,254.673,1.0,2.97,0.999306,97.347,1.0,0.531543195101,0.929166666667,2.152,1.0,3.551,1.0,387.249,0.991667,0.759604768,0.138583866792134,0.898,2.554,190.169,257.004,3.169,97.337,2.523,3.277,0.9865348
