Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,CA-NS7,56.63583,-99.94833,OSH,Continental,0.260844,0.740248,0.255875,0.0,,0.0,,0.0,-23.145,0.0,26.475,0.0,181.208,0,0.232,0.0,97.589,0,,,0.101,0.0,1.144,0.0,,,0.17922282,,-23.145,-22.67,26.475,181.208,0.232,97.589,0.101,1.144,0.516719
2,200202,CA-NS7,56.63583,-99.94833,OSH,Continental,0.377262,1.20047,0.256942,0.0,,0.0,,0.0,-17.631,0.0,56.321,0.0,202.74,0,0.378,0.0,97.972,0,,,0.307,0.0,1.218,0.0,,,0.261008626129032,0.139785322442152,-17.631,-16.848,56.321,202.74,0.378,97.972,0.307,1.218,0.634204
3,200203,CA-NS7,56.63583,-99.94833,OSH,Continental,0.411522,1.81609,0.257808,0.0,,0.0,,0.0,-17.046,0.0,121.822,0.0,186.115,0,0.639,0.0,98.229,0,,,0.452,0.0,1.383,0.0,,,0.245710301,0.201349974854985,-17.046,-15.774,121.822,186.115,0.639,98.229,0.452,1.383,0.66933
4,200204,CA-NS7,56.63583,-99.94833,OSH,Continental,1.04496,2.29365,0.256873,0.0,,0.0,,0.0,-5.186,0.0,179.304,0.0,234.513,0,2.088,0.0,97.988,0,,,0.85,0.0,1.605,0.0,,,1.0469844,,-5.186,-3.616,179.304,234.513,2.088,97.988,0.85,1.605,1.3018330000000002
5,200205,CA-NS7,56.63583,-99.94833,OSH,Continental,1.55305,2.7755,0.255875,0.0,,0.0,,0.0,3.652,0.0,248.269,0.0,254.44,0,5.013,0.0,97.974,0,,,0.47,0.0,1.434,0.0,,,0.1,,3.652,5.15,248.269,254.44,5.013,97.974,0.47,1.434,1.8089250000000001
6,200206,CA-NS7,56.63583,-99.94833,OSH,Continental,2.22274,2.91882,0.271829,0.247222,,0.275694,,0.275694,15.788,0.275694,263.675,0.275,306.898,0,10.418,0.275694,97.618,0,,,1.216,0.274306,1.341,0.275,,,0.0844284151612903,0.0154501909963327,15.916,17.084,266.98,306.898,10.049,97.618,1.362,1.314,2.494569
7,200207,CA-NS7,56.63583,-99.94833,OSH,Continental,4.06994,3.83742,-1.10249,0.634409,,0.860887,,0.860887,18.868,0.471774,195.151,0.471774,345.91,0,8.786,0.471774,97.486,0,0.376614651367,0.934811827957,2.072,0.47043,1.495,0.961022,347.252,0.872312,0.0848428603333333,,19.002,19.815,190.352,345.91,8.935,97.486,1.998,1.401,2.96745
8,200208,CA-NS7,56.63583,-99.94833,OSH,Continental,5.75638,4.93211,-0.990337,0.983199,,1.0,,1.0,16.366,1.0,169.943,1.0,336.328,0,6.308,1.0,97.606,0,0.373383901306,0.996639784946,0.804,1.0,1.412,0.99664,359.705,1.0,0.217012820645161,0.114576181915735,16.684,17.804,159.123,336.328,7.118,97.606,0.589,1.44,4.766043
9,200209,CA-NS7,56.63583,-99.94833,OSH,Continental,1.44537,1.13769,0.695404,0.977083,,0.999306,,0.999306,9.253,1.0,96.611,1.0,302.887,0,2.908,1.0,97.276,0,0.343113216741,0.971527777778,1.749,0.996528,1.359,0.969444,363.18,0.999306,0.693247965333333,0.169563066814934,8.894,9.924,98.134,302.887,3.089,97.276,1.081,1.415,2.140774
10,200210,CA-NS7,56.63583,-99.94833,OSH,Continental,0.191041,0.233662,0.844735,0.953629,,0.986559,,0.986559,-2.402,1.0,65.217,0.998656,246.88,0,1.336,1.0,98.003,0,0.331953427896,0.961693548387,0.411,1.0,1.213,0.96707,369.065,0.986559,1.49107797741935,0.299752572443766,-2.832,-1.877,66.502,246.88,1.514,98.003,0.409,1.363,1.035776
