Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,CA-Oas,53.62889,-106.19779,DBF,Continental,-1.14868,0.0,1.38031,0.0,,0.0,,0.0,-21.801,0.0,41.446,0.692876,184.236,0.0,0.743,0.0,94.675,1.0,,,0.344,0.0,2.644,1.0,,,,,-21.801,-20.606,41.7,184.236,0.743,94.698,0.344,2.532,0.23163
2,199602,CA-Oas,53.62889,-106.19779,DBF,Continental,-0.762119,0.0,1.28834,0.0,,0.0,,0.0,-12.512,0.0,82.543,0.621408,211.528,0.0,1.047,0.0,94.25,1.0,,,0.167,0.0,3.302,1.0,,,,,-12.512,-11.127,82.794,211.528,1.047,94.357,0.167,2.898,0.526221
3,199603,CA-Oas,53.62889,-106.19779,DBF,Continental,-0.713547,0.0,1.28688,0.0,,0.0,,0.0,-10.798,0.0,153.733,0.534274,210.784,0.0,1.291,0.0,94.965,1.0,,,0.38,0.0,3.39,1.0,,,,,-10.798,-9.027,153.949,210.784,1.291,94.947,0.38,2.876,0.573333
4,199604,CA-Oas,53.62889,-106.19779,DBF,Continental,-0.224857,0.000749766,1.31274,0.317361,,0.447917,,0.507639,0.777,0.300694,173.159,0.522222,264.878,0.0,2.588,0.300694,94.401,1.0,,,1.55,0.0,3.122,1.0,,,,,0.416,2.253,171.736,264.878,2.584,94.37,1.55,2.748,1.087883
5,199605,CA-Oas,53.62889,-106.19779,DBF,Continental,0.345358,0.855934,1.86799,0.955645,,0.999328,,0.999328,7.209,0.884409,194.947,0.891801,295.536,0.0,4.766,0.884409,94.65,1.0,0.470492783555,0.965053763441,1.36,0.0,2.825,1.0,369.393,1.0,,,6.734,7.969,189.944,295.536,4.323,94.595,1.36,2.512,2.213348
6,199606,CA-Oas,53.62889,-106.19779,DBF,Continental,9.46016,9.31996,-3.21156,0.946528,,0.993056,,0.998611,15.486,1.0,251.081,1.0,327.059,0.0,7.297,1.0,94.32,0.999306,0.521144055504,0.961805555556,1.772,0.0,2.967,0.999306,362.152,0.994444,,,15.703,16.806,243.411,327.059,8.019,94.288,1.772,3.084,6.2486
7,199607,CA-Oas,53.62889,-106.19779,DBF,Continental,11.234,12.2864,-4.55016,0.94086,,0.999328,,1.0,16.91,0.99328,227.174,0.99328,343.503,0.835349,5.091,0.99328,94.571,1.0,0.400543193861,0.95497311828,3.065,0.0,2.613,1.0,356.163,0.999328,,,16.685,17.831,231.561,337.191,6.022,94.55,3.065,2.463,6.68384
8,199608,CA-Oas,53.62889,-106.19779,DBF,Continental,9.93362,9.72387,-3.35507,0.971102,,1.0,,1.0,17.643,1.0,225.432,1.0,333.926,1.0,7.806,1.0,94.331,1.0,0.425319207623,0.975806451613,0.907,0.0,2.896,1.0,356.741,1.0,,,17.23,18.791,215.025,329.064,8.045,94.318,0.907,2.811,6.57855
9,199609,CA-Oas,53.62889,-106.19779,DBF,Continental,4.24558,4.61529,-0.361884,0.997222,,0.999306,,1.0,8.717,1.0,111.165,1.0,312.137,1.0,2.38,1.0,94.414,1.0,0.518474830575,0.977777777778,1.747,0.0,3.043,1.0,359.508,0.999306,,,9.493,10.494,118.109,307.317,4.027,94.393,1.747,3.406,3.8836960000000005
10,199610,CA-Oas,53.62889,-106.19779,DBF,Continental,0.162856,0.214348,2.62555,0.99328,,0.999328,,1.0,2.645,1.0,74.848,1.0,281.182,1.0,2.395,1.0,94.254,0.958333,0.444009087062,0.970430107527,1.394,0.0,2.863,0.958333,367.532,0.999328,,,1.918,2.851,76.265,273.763,2.017,94.268,1.394,2.758,2.788406
