Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199701,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,32.0132,0.0,80.1088,0.0,-20.504,0.997984,37.386,0.998656,191.243,0.997984,0.384,0.997984,94.596,0.99664,,,1.05,0.0,3.232,0.99664,,,,,-21.378,-20.776,32.094,204.809,0.437,94.63,1.05,3.176,
2,199702,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,32.1466,0.0,80.3831,0.0,-10.308,1.0,68.447,0.997024,228.811,1.0,0.724,1.0,94.554,1.0,,,0.36,0.0,2.773,1.0,,,,,-11.451,-10.287,70.253,230.515,0.737,94.594,0.36,2.749,
3,199703,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,32.0262,0.0,79.8896,0.0,-6.795,1.0,144.01,1.0,217.398,0.998656,1.768,1.0,94.512,0.998656,,,0.402,0.563844,2.812,0.998656,,,,,-8.938,-7.101,140.785,226.942,1.29,94.505,0.654,2.489,
4,199704,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,35.0458,0.0,87.5826,0.0,1.037,0.957639,198.979,0.959028,248.301,0.957639,3.767,0.957639,94.614,0.954861,,,1.495,1.0,3.233,0.954861,,,,,-0.181,1.668,198.551,256.799,3.033,94.585,1.35,3.034,
5,199705,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,36.9238,0.0,92.397,0.0,8.545,1.0,199.024,1.0,294.252,1.0,6.109,1.0,94.723,1.0,,,0.611,1.0,3.202,1.0,,,,,7.459,8.768,214.867,291.517,4.936,94.646,1.539,2.904,
6,199706,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,36.7289,0.0,91.7886,0.0,15.562,1.0,216.293,1.0,334.178,1.0,7.289,1.0,94.177,0.998611,,,3.172,1.0,3.255,0.998611,,,,,15.0,15.91,223.324,332.94,6.276,94.063,3.784,3.04,
7,199707,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,36.1301,0.0,90.339,0.0,18.976,0.888441,266.79,0.888441,333.184,0.888441,10.472,0.888441,94.465,0.887097,,,1.294,1.0,3.03,0.887097,,,,,17.966,19.113,245.102,338.562,9.249,94.384,1.098,2.82,
8,199708,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,34.6516,0.0,86.4387,0.0,17.201,1.0,211.522,1.0,332.891,1.0,7.943,1.0,94.528,1.0,,,1.266,1.0,3.249,1.0,,,,,16.461,17.759,193.8,338.542,7.709,94.448,1.34,2.925,
9,199709,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,33.7905,0.0,84.4453,0.0,12.056,0.952778,133.307,0.953472,313.393,0.952778,4.788,0.952778,94.199,0.95,,,2.185,1.0,3.575,0.95,,,,,11.58,12.692,125.571,317.29,4.856,94.162,2.089,3.608,
10,199710,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,32.8673,0.0,82.2462,0.0,1.487,0.991263,61.376,0.989247,284.586,0.991263,1.379,0.991263,94.117,0.989247,,,2.113,1.0,3.464,0.989247,,,,,1.736,2.584,63.413,284.384,2.031,94.083,1.624,3.551,
11,199711,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,34.6873,0.0,86.6865,0.0,-4.904,0.997222,36.445,0.963889,250.719,0.997222,0.706,0.997222,94.37,0.995139,,,0.367,1.0,2.641,0.995139,,,,,-4.611,-3.877,38.486,248.922,1.103,94.37,0.249,2.781,
12,199712,CA-Obs,53.98717,-105.11779,ENF,Continental,,,,,32.1381,0.0,80.3575,0.0,-5.293,0.676075,23.076,0.670027,249.806,0.676075,0.881,0.676075,94.077,0.641801,,,0.564,0.999328,2.922,0.641801,,,,,-5.145,-4.513,21.337,255.391,1.026,94.118,0.456,3.169,
