Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CA-SF1,54.48503,-105.81757,ENF,Continental,0.785499,2.27147,-0.536154,0.0,94.5818,0.0,76.7366,0.0,-18.703,0.0,35.61,0.0,203.91,0.0,0.229,0.0,94.57,0.0,,,0.198,0.0,2.385,0.0,,,0.46230155,0.473535459272556,-18.703,-17.656,35.61,203.91,0.229,94.57,0.198,2.385,0.24934499999999993
2,200302,CA-SF1,54.48503,-105.81757,ENF,Continental,0.590269,3.49145,-0.550278,0.0,95.599,0.0,77.3738,0.0,-19.703,0.0,64.087,0.0,206.09,0.0,0.048,0.0,94.336,0.0,,,0.359,0.0,1.95,0.0,,,0.98578784483871,0.264375302891852,-19.703,-18.555,64.087,206.09,0.048,94.336,0.359,1.95,0.039991
3,200303,CA-SF1,54.48503,-105.81757,ENF,Continental,1.32222,5.58185,-0.518922,0.0,98.0049,0.0,79.6707,0.0,-11.58,0.0,127.827,0.0,223.893,0.0,0.68,0.0,93.889,0.0,,,0.664,0.0,2.317,0.0,,,0.259103198333333,0.473108139355173,-11.58,-9.753,127.827,223.893,0.68,93.889,0.664,2.317,0.803298
4,200304,CA-SF1,54.48503,-105.81757,ENF,Continental,2.72129,7.31428,-0.534613,0.0,98.3025,0.0,79.7492,0.0,0.561,0.0,186.846,0.0,262.476,0.0,2.402,0.0,94.213,0.0,,,0.767,0.0,2.532,0.0,,,1.0677123,0.363320593791428,0.561,2.357,186.846,262.476,2.402,94.213,0.767,2.532,2.1866770000000004
5,200305,CA-SF1,54.48503,-105.81757,ENF,Continental,4.31115,8.69974,-0.536154,0.0,96.9355,0.0,78.6462,0.0,8.922,0.0,243.895,0.0,290.84,0.0,5.059,0.0,94.028,0.0,,,1.27,0.0,2.478,0.0,,,0.639406534285714,0.389226360224081,8.922,10.4,243.895,290.84,5.059,94.028,1.27,2.478,3.774996
6,200306,CA-SF1,54.48503,-105.81757,ENF,Continental,5.27591,8.31032,-0.534613,0.0,92.8768,0.0,75.3476,0.0,13.239,0.0,218.059,0.0,320.358,0.0,5.465,0.0,93.84,0.0,,,2.445,0.0,2.246,0.0,,,0.465436691290323,0.284212539598354,13.239,14.175,218.059,320.358,5.465,93.84,2.445,2.246,4.741296999999999
7,200307,CA-SF1,54.48503,-105.81757,ENF,Continental,6.11888,7.67351,-0.588138,0.485215,87.3452,0.485215,59.8601,0.487231,15.947,0.487231,235.745,0.485215,329.633,0.487231,6.931,0.487231,94.336,0.484543,,,1.46,0.484543,2.36,0.484543,,,1.31518411666667,0.279444865486115,16.337,17.475,235.68,329.301,7.067,94.054,1.383,2.236,5.530742
8,200308,CA-SF1,54.48503,-105.81757,ENF,Continental,6.13785,5.3121,1.432,0.995968,77.8588,0.999328,26.9478,1.0,16.348,1.0,203.913,0.998656,328.341,1.0,6.696,1.0,94.731,1.0,0.368980318767,0.904569892473,1.865,1.0,2.298,1.0,369.625,1.0,1.79653579354839,0.274781025969032,17.019,18.273,197.72,330.79,7.747,94.233,1.646,2.341,7.569850000000001
9,200309,CA-SF1,54.48503,-105.81757,ENF,Continental,3.2524,3.72358,1.44261,0.622917,41.441,0.997917,21.8881,1.0,8.027,1.0,122.613,1.0,308.064,1.0,2.817,1.0,94.178,0.999306,0.427582476588,0.852083333333,1.587,1.0,2.498,1.0,372.162,1.0,2.12940201666667,0.327102336617406,8.168,9.325,114.727,308.21,2.978,94.013,1.303,2.451,4.69501
10,200310,CA-SF1,54.48503,-105.81757,ENF,Continental,1.49739,2.65119,2.15902,0.0,16.9223,0.997984,8.22678,0.999328,2.628,1.0,81.174,1.0,279.906,1.0,1.916,1.0,93.892,1.0,0.380972534414,0.888440860215,0.845,1.0,2.517,1.0,373.353,0.997984,2.51897393548387,0.350877274790694,2.782,3.787,74.61,283.931,1.289,93.924,0.901,2.363,3.65641
11,200311,CA-SF1,54.48503,-105.81757,ENF,Continental,-2.11669,1.70327,2.89845,0.0,5.11785,0.996528,-2.04899,1.0,-11.156,1.0,45.027,0.998611,224.201,1.0,0.433,1.0,93.31,1.0,0.366930575624,0.940972222222,0.117,1.0,2.323,1.0,380.045,0.997917,2.68886995806452,0.334239572000723,-9.923,-9.024,44.403,226.479,0.295,93.768,0.258,2.395,0.7817599999999998
12,200312,CA-SF1,54.48503,-105.81757,ENF,Continental,0.230251,1.2,0.627204,0.0,3.7915,0.994624,-9.11006,1.0,-12.508,1.0,29.656,0.997312,229.612,1.0,0.232,1.0,93.311,0.997984,0.298086906969,0.953629032258,0.0,0.998656,2.08,0.998656,383.206,1.0,1.69724905666667,0.293560359264433,-11.329,-10.613,22.568,232.322,0.218,93.837,0.198,2.18,0.857455
13,200401,CA-SF1,54.48503,-105.81757,ENF,Continental,0.538496,0.575804,-0.411809,0.0,3.71175,0.999328,7.90162,1.0,-22.16,1.0,28.268,0.975806,220.2,1.0,0.156,1.0,93.862,1.0,0.354501066559,0.852822580645,0.0,1.0,2.205,1.0,380.076,1.0,1.05662766322581,0.392466318253396,-23.461,-22.625,27.958,207.909,0.003,94.531,0.733,2.044,0.126687
14,200402,CA-SF1,54.48503,-105.81757,ENF,Continental,0.44586,0.971405,-0.253649,0.0,6.90811,0.989943,13.092,0.999282,-11.507,1.0,61.966,0.974856,232.409,1.0,0.336,1.0,93.684,1.0,0.35190436032,0.998563218391,0.231,1.0,2.268,1.0,379.197,0.994971,0.681581582580645,0.265665530212838,-11.948,-10.792,61.118,235.451,0.238,94.125,0.783,2.13,0.19221099999999997
15,200403,CA-SF1,54.48503,-105.81757,ENF,Continental,0.456017,1.53252,-0.254878,0.0,12.3412,0.993952,46.592,0.995296,-7.157,1.0,134.365,0.997984,230.165,1.0,1.3,1.0,93.799,0.999328,0.474691367082,0.915322580645,1.587,1.0,2.849,1.0,378.002,0.994624,0.689462833333333,0.320735753302912,-7.342,-5.708,130.631,238.502,0.987,94.073,0.874,2.617,0.201139
16,200404,CA-SF1,54.48503,-105.81757,ENF,Continental,0.997487,1.93775,-0.663528,0.708333,23.6973,1.0,83.7389,1.0,0.926,1.0,204.963,1.0,246.158,1.0,2.889,1.0,94.266,1.0,0.423178340209,0.975694444444,0.497,1.0,2.668,1.0,378.231,1.0,1.0677123,0.345953519729874,-0.449,1.502,198.425,252.352,2.394,94.27,0.796,2.439,0.333959
17,200405,CA-SF1,54.48503,-105.81757,ENF,Continental,3.11457,2.78054,-1.6592,0.99328,37.7707,0.99664,88.5935,0.995968,4.554,1.0,227.619,0.998656,272.375,1.0,3.965,1.0,94.148,1.0,0.434094323771,0.85752688172,1.397,1.0,2.632,1.0,383.738,0.997312,0.534289367241379,0.327562752757068,3.835,5.065,231.458,272.643,3.538,94.022,1.312,2.325,1.45537
18,200406,CA-SF1,54.48503,-105.81757,ENF,Continental,5.32005,5.41675,-1.93019,0.9875,64.7795,0.9875,62.742,0.993056,11.026,1.0,228.17,1.0,310.529,1.0,5.624,1.0,94.604,1.0,0.422127594628,0.752083333333,3.42,1.0,2.598,1.0,384.084,0.992361,0.298160136774194,0.286124123558102,10.859,11.93,232.0,306.075,5.653,94.257,1.779,2.33,3.38986
19,200407,CA-SF1,54.48503,-105.81757,ENF,Continental,6.32376,7.05777,-0.800143,0.973118,74.7403,0.995968,43.8834,0.997984,14.665,1.0,212.839,1.0,333.369,1.0,5.713,1.0,94.509,1.0,0.334074426614,0.864919354839,2.184,1.0,2.175,1.0,375.229,0.997312,0.876806933333333,0.284360812576712,15.321,16.385,218.197,330.546,5.802,94.032,2.34,2.006,5.523617
20,200408,CA-SF1,54.48503,-105.81757,ENF,Continental,4.91459,6.0999,0.21498,0.976478,70.7734,0.997984,35.5262,1.0,9.234,0.903226,182.256,0.997312,320.914,1.0,3.223,0.903226,94.685,1.0,0.341824257797,0.885752688172,3.355,1.0,2.185,1.0,373.636,0.901882,1.05391668806452,0.266122138636303,11.306,12.514,180.149,313.462,4.194,94.292,1.518,2.057,5.129569999999999
