Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,CA-TPD,42.635328,-80.557731,DBF,Continental,0.14985,0.158207,0.96446,0.967742,13.8015,0.983199,2.11559,0.985887,-0.101,0.880376,61.214,0.881048,277.122,0.880376,1.698,0.880376,101.271,0.84207,0.702016408653,0.985215053763,2.55,0.0,4.194,0.873656,,,0.211054814193548,0.17567083768799,-0.767,0.375,60.453,279.489,1.589,101.079,2.55,3.917,1.11431
2,201202,CA-TPD,42.635328,-80.557731,DBF,Continental,0.222675,0.0594677,0.643109,0.990661,11.6424,1.0,27.2219,1.0,0.75,0.998563,87.355,0.997845,276.735,0.998563,1.823,0.998563,101.477,0.0344828,0.597018678161,1.0,1.126,0.0,3.668,0.994971,,,1.09676418870968,0.350119559258979,-0.384,1.071,106.01,270.86,1.736,101.468,1.126,3.343,0.8657840000000001
3,201203,CA-TPD,42.635328,-80.557731,DBF,Continental,0.825925,0.387375,1.14857,0.99328,23.2534,1.0,68.9423,1.0,8.532,1.0,162.947,1.0,306.633,1.0,4.312,1.0,101.474,0.0,0.600836430575,0.998655913978,2.174,0.0,3.772,0.997984,,,0.422493367,0.196531300485205,8.09,9.314,168.493,312.41,2.876,101.474,2.174,3.697,1.9744950000000001
4,201204,CA-TPD,42.635328,-80.557731,DBF,Continental,1.48849,0.622886,0.869104,0.997222,25.7751,0.999306,95.1873,0.999306,8.644,1.0,207.243,1.0,295.248,1.0,5.34,1.0,101.256,0.0,0.563294642857,0.933333333333,1.533,0.0,3.482,1.0,,,0.248892102,0.187998160284443,7.908,9.395,219.56,295.633,4.017,101.256,1.533,3.365,2.357594
5,201205,CA-TPD,42.635328,-80.557731,DBF,Continental,6.31391,5.34698,-1.19305,0.950269,66.6412,0.999328,99.8493,1.0,18.418,1.0,276.302,1.0,343.867,1.0,9.91,1.0,101.454,0.967742,0.432169354839,1.0,1.234,0.0,3.049,0.999328,403.951,1.0,0.289976917586207,0.194160990483571,17.85,19.283,282.905,342.845,7.73,101.345,1.234,2.558,5.12086
6,201206,CA-TPD,42.635328,-80.557731,DBF,Continental,10.3758,9.3902,-4.73447,0.941667,122.771,0.991667,47.8811,0.993056,21.167,1.0,276.461,1.0,362.29,1.0,9.645,1.0,101.283,0.997222,0.461673011364,0.978472222222,3.093,0.0,3.308,0.997222,396.323,1.0,0.458552261290323,0.214301543711238,20.65,21.917,272.161,359.947,8.651,101.17,3.093,3.068,5.64133
7,201207,CA-TPD,42.635328,-80.557731,DBF,Continental,11.7165,9.73519,-4.90223,0.851478,108.715,0.993952,67.5948,0.994624,24.89,1.0,278.313,1.0,384.725,1.0,11.405,1.0,101.351,0.99664,0.389326280591,0.82123655914,1.725,0.0,2.85,0.99664,403.941,1.0,0.638013720666667,0.254640631781299,23.903,25.261,285.552,374.104,10.044,101.273,1.725,2.167,6.81427
8,201208,CA-TPD,42.635328,-80.557731,DBF,Continental,8.71199,9.26542,-3.38211,0.883737,100.609,0.990591,45.0835,0.991935,22.263,0.998656,241.437,1.0,369.099,1.0,9.409,0.998656,101.394,0.997312,0.355407556796,0.851478494624,2.665,0.0,2.74,0.997312,398.941,0.995968,1.51951355806452,0.531464979957029,21.182,22.572,229.449,360.098,7.259,101.31,2.665,2.185,5.32988
9,201209,CA-TPD,42.635328,-80.557731,DBF,Continental,5.47236,5.22798,-2.9321,0.940972,88.5198,1.0,15.0012,1.0,16.693,0.998611,186.93,1.0,344.431,1.0,6.609,0.998611,101.474,0.997222,0.386173123123,0.992361111111,3.05,0.0,2.935,0.997222,401.334,1.0,3.06211393,0.71419242750853,16.886,18.007,172.14,340.451,5.6,101.391,3.05,2.521,2.54026
10,201210,CA-TPD,42.635328,-80.557731,DBF,Continental,2.95519,1.61826,0.274412,0.987231,37.4806,1.0,0.74068,1.0,11.391,0.671371,100.365,1.0,332.129,1.0,3.154,0.671371,101.209,0.99664,0.535506648936,0.998655913978,4.25,0.0,3.427,0.800403,402.008,1.0,3.64383990322581,0.687868258387655,11.039,11.822,91.995,329.878,3.003,101.107,4.25,3.597,3.229602
11,201211,CA-TPD,42.635328,-80.557731,DBF,Continental,0.645153,0.500892,1.3482,0.858333,15.602,0.952778,11.5667,0.960417,4.657,1.0,78.281,1.0,287.776,1.0,2.887,1.0,101.956,0.997222,,,0.849,0.620139,3.089,0.997222,406.807,0.9625,3.50990407741935,0.640576497859752,4.003,5.093,77.237,287.369,2.333,101.871,0.714,2.879,1.993353
12,201212,CA-TPD,42.635328,-80.557731,DBF,Continental,0.220736,0.130327,0.620804,1.0,9.06387,1.0,-10.2751,1.0,3.082,1.0,44.311,1.0,298.48,1.0,1.787,1.0,101.259,0.998656,0.542404569892,1.0,2.249,0.352151,3.488,0.998656,407.134,1.0,2.78880152,0.566404053769923,2.343,2.87,43.118,300.302,1.647,101.24,2.482,3.416,0.84154
13,201301,CA-TPD,42.635328,-80.557731,DBF,Continental,0.295202,0.0734838,0.689426,0.99328,5.82653,1.0,1.16454,1.0,-0.918,1.0,60.915,0.997312,273.308,1.0,1.612,1.0,101.577,0.999328,0.665169668459,0.997983870968,2.123,1.0,3.964,0.998656,402.776,1.0,0.206549012580645,,-0.902,-0.4,62.455,280.609,1.631,101.481,3.415,3.923,0.9846280000000001
14,201302,CA-TPD,42.635328,-80.557731,DBF,Continental,0.135548,0.0729995,0.0959162,0.987351,8.31444,0.997024,43.7087,0.99628,-2.885,1.0,101.426,1.0,266.744,1.0,1.395,1.0,101.272,0.997024,0.625177484127,0.869791666667,2.357,1.0,3.765,0.997024,403.623,0.99628,0.970833208064516,0.410667246322302,-3.2,-1.864,97.909,270.98,1.558,101.179,2.859,3.598,0.2314642
15,201303,CA-TPD,42.635328,-80.557731,DBF,Continental,0.369898,0.412092,0.335198,0.355511,10.5016,0.415323,74.1655,0.415323,0.435,1.0,130.588,1.0,280.253,1.0,2.06,1.0,101.296,0.997312,,,0.897,1.0,3.656,0.995968,405.963,0.388441,0.310591984666667,0.238728317209174,0.595,1.957,160.979,279.677,2.122,101.231,1.316,3.613,0.705096
16,201304,CA-TPD,42.635328,-80.557731,DBF,Continental,0.651835,0.523345,1.05648,0.766667,26.313,0.783333,90.5734,0.784722,6.57,1.0,185.29,1.0,302.243,1.0,3.412,1.0,101.52,0.997222,0.590658564815,0.6,3.167,1.0,3.985,0.997222,407.088,0.784722,0.216871102580645,0.185884885369203,6.959,8.107,195.24,305.191,3.073,101.495,4.692,3.807,1.7083150000000002
17,201305,CA-TPD,42.635328,-80.557731,DBF,Continental,5.21748,4.7307,-0.491388,0.97043,59.8986,0.997312,103.098,0.997312,15.582,1.0,266.723,1.0,337.635,1.0,7.281,1.0,101.425,0.99664,0.50241928915,0.985215053763,3.09,1.0,3.323,0.99664,402.79,0.997312,0.105818855357143,0.197943884027523,15.806,17.131,262.647,337.178,6.219,101.468,1.856,3.133,4.726092
18,201306,CA-TPD,42.635328,-80.557731,DBF,Continental,9.8705,9.95837,-3.97431,0.958333,94.45,0.997917,64.3162,0.998611,18.379,1.0,247.38,0.998611,364.666,1.0,5.064,1.0,101.069,0.997222,0.42709631734,0.9625,4.153,1.0,2.989,0.997222,391.974,0.998611,0.229468353870968,0.194926057833784,19.086,20.135,253.838,362.796,5.953,101.152,4.212,2.569,5.89619
19,201307,CA-TPD,42.635328,-80.557731,DBF,Continental,11.185,11.5402,-3.14609,0.947581,119.458,0.989247,52.9051,0.989919,21.825,1.0,258.456,1.0,384.744,1.0,5.348,1.0,101.426,0.997984,0.392513780766,0.814516129032,1.845,1.0,2.845,0.997984,385.501,0.989919,0.499948279,0.21943399405404,21.878,22.923,240.488,378.305,6.203,101.498,3.375,2.32,8.038910000000001
20,201308,CA-TPD,42.635328,-80.557731,DBF,Continental,10.2691,10.3444,-2.88287,0.903898,113.23,0.999328,42.1665,0.999328,20.66,1.0,250.156,1.0,365.635,1.0,5.626,1.0,101.407,1.0,0.35043855811,0.996639784946,2.664,0.452285,2.71,1.0,376.997,1.0,1.08613273645161,0.470106274148905,20.76,22.081,235.792,363.352,6.926,101.479,2.356,2.328,7.386229999999999
21,201309,CA-TPD,42.635328,-80.557731,DBF,Continental,6.22464,6.55467,-1.07681,0.888889,67.7983,0.986806,31.8468,0.984722,16.597,1.0,177.207,1.0,346.808,1.0,3.835,1.0,101.413,1.0,0.380926946945,0.865972222222,2.48,0.445833,2.824,1.0,381.29,0.9875,3.05081840666667,0.680964796664961,16.808,18.043,172.483,342.46,4.907,101.493,1.99,2.632,5.14783
22,201310,CA-TPD,42.635328,-80.557731,DBF,Continental,3.0613,3.11673,1.35603,0.975134,50.6953,1.0,6.48105,1.0,12.176,1.0,119.592,1.0,327.607,1.0,3.194,1.0,101.353,1.0,0.470259480096,0.999327956989,4.258,1.0,3.203,1.0,386.606,1.0,3.59666222580645,0.684946689790872,12.034,13.046,110.012,327.296,3.228,101.402,4.033,3.105,4.41733
23,201311,CA-TPD,42.635328,-80.557731,DBF,Continental,0.198353,0.336481,1.76728,0.986806,17.6471,1.0,-0.015223,1.0,3.54,1.0,70.846,0.990278,290.111,1.0,2.359,1.0,101.775,1.0,0.709718191057,0.995138888889,1.84,1.0,4.049,1.0,386.25,1.0,3.4247446,0.635139465077105,3.684,4.44,67.269,291.437,2.417,101.733,2.328,4.383,1.965633
24,201312,CA-TPD,42.635328,-80.557731,DBF,Continental,0.134987,0.0417856,0.885373,0.995296,,1.0,,1.0,-2.154,1.0,47.912,1.0,278.519,1.0,1.101,1.0,101.476,1.0,0.620333124768,0.987231182796,2.71,1.0,3.742,0.997984,389.438,1.0,2.65887608666667,0.548384491413127,-1.898,-1.062,44.979,282.481,1.595,101.465,2.692,3.54,1.02036
25,201401,CA-TPD,42.635328,-80.557731,DBF,Continental,-0.0497343,0.0445826,0.544476,0.99328,3.68918,0.999328,13.3917,1.0,-7.539,1.0,70.038,0.99664,252.206,1.0,0.794,1.0,101.165,1.0,0.740031586022,1.0,1.368,1.0,4.36,1.0,387.283,1.0,0.22372228483871,,-6.432,-5.746,65.765,260.122,1.385,101.1,2.102,4.332,0.49474169999999995
26,201402,CA-TPD,42.635328,-80.557731,DBF,Continental,0.0349284,0.139744,0.465314,0.981399,5.55494,1.0,57.0994,1.0,-7.255,1.0,124.166,0.998512,244.455,1.0,0.904,1.0,101.441,1.0,0.573417410714,1.0,2.2,1.0,3.564,1.0,387.98,1.0,1.21838283387097,0.374363064227433,-6.28,-5.133,113.207,251.224,1.466,101.392,2.871,3.454,0.5002424
27,201403,CA-TPD,42.635328,-80.557731,DBF,Continental,0.0935485,0.117798,0.503273,0.99328,11.124,1.0,87.7897,1.0,-3.43,1.0,172.711,0.997984,255.312,1.0,1.56,1.0,101.444,1.0,0.576247436705,0.928091397849,1.09,1.0,3.541,1.0,387.889,1.0,0.312648858666667,0.226852762851449,-2.294,-0.628,168.927,263.621,2.081,101.433,1.517,3.665,0.5968215
28,201404,CA-TPD,42.635328,-80.557731,DBF,Continental,0.60857,0.407123,0.773931,0.995139,22.4191,1.0,101.206,1.0,6.711,1.0,203.819,1.0,298.961,1.0,3.626,1.0,101.204,1.0,0.592673341766,0.992361111111,3.673,1.0,3.848,1.0,384.061,1.0,0.293982293548387,0.182871478954107,7.466,9.019,204.287,307.332,3.52,101.277,3.67,3.715,1.382501
29,201405,CA-TPD,42.635328,-80.557731,DBF,Continental,2.3384,2.59007,0.27723,0.975806,44.0588,0.999328,107.97,1.0,13.946,1.0,241.233,1.0,336.029,1.0,4.974,1.0,101.291,1.0,0.496500644696,0.99126344086,2.871,1.0,3.222,1.0,403.218,1.0,0.145173167857143,0.203425681782855,15.041,16.335,253.355,338.542,5.294,101.378,2.071,2.939,2.61563
30,201406,CA-TPD,42.635328,-80.557731,DBF,Continental,11.5192,10.5685,-4.73491,0.948611,99.494,1.0,77.5422,1.0,20.24,1.0,281.047,1.0,366.951,1.0,6.696,1.0,101.149,1.0,0.42791875,1.0,1.067,1.0,3.015,1.0,396.963,1.0,0.22035352483871,0.208705977010695,20.295,21.553,261.434,363.043,7.069,101.316,2.724,2.57,6.7842899999999995
31,201407,CA-TPD,42.635328,-80.557731,DBF,Continental,13.3915,12.3268,-5.30246,0.938172,114.545,1.0,53.5225,1.0,20.064,1.0,266.71,1.0,364.577,1.0,5.516,1.0,101.128,1.0,0.423707524231,0.994623655914,5.813,1.0,3.023,1.0,383.344,1.0,0.500000001,0.215381802156739,20.309,21.414,255.833,360.587,7.132,101.269,3.113,2.722,8.08904
32,201408,CA-TPD,42.635328,-80.557731,DBF,Continental,11.3373,10.5515,-5.07613,0.956989,103.55,0.999328,38.3406,0.999328,19.984,1.0,231.476,1.0,365.932,1.0,4.734,1.0,101.282,1.0,0.371043403649,0.928091397849,1.019,1.0,2.804,0.999328,386.764,1.0,0.957382303870968,0.337711060682149,20.185,21.469,224.899,362.907,6.045,101.422,2.646,2.375,6.261170000000001
