Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,CH-Lae,47.47833,8.36439,MF,Continental,0.733874,4.26711,0.672809,0.0,,0.0,,0.0,-0.888,0.0,39.739,0.0,282.388,0.0,1.253,0.0,92.707,0.0,,,5.761,0,3.078,0.0,,,0.570990216774194,0.256903850921908,-0.888,-0.074,39.739,282.388,1.253,92.707,5.761,3.078,1.4066830000000001
2,200402,CH-Lae,47.47833,8.36439,MF,Continental,0.875496,7.87277,0.641105,0.0,,0.0,,0.0,0.162,0.0,92.563,0.0,262.729,0.0,1.955,0.0,93.406,0.0,,,1.714,0,2.551,0.0,,,3.2452862483871,0.470474948841423,0.162,1.758,92.563,262.729,1.955,93.406,1.714,2.551,1.516601
3,200403,CH-Lae,47.47833,8.36439,MF,Continental,0.938075,10.4412,0.711608,0.00806452,,0.016801,,0.045027,1.923,0.0,141.918,0.0,272.86,0.0,2.496,0.0,93.504,0.0,,,1.478,0,2.282,0.0443548,,,0.94099275,0.34536740352204,1.923,3.685,141.918,272.86,2.496,93.504,1.478,2.322,1.649683
4,200404,CH-Lae,47.47833,8.36439,MF,Continental,4.18965,13.3005,-1.61163,0.53125,,0.851389,,0.981944,7.11,0.0,197.609,0.0,293.578,0.0,3.657,0.0,92.882,0.0,0.537949348025,0.822916666667,2.372,0,2.556,0.995833,383.14,0.990278,0.671249102666667,0.266929501179839,7.11,8.513,197.609,293.578,3.657,92.882,2.372,2.429,2.5780200000000004
5,200405,CH-Lae,47.47833,8.36439,MF,Continental,6.51436,14.3106,-4.02476,0.501344,,0.820565,,0.972446,9.586,0.0,218.566,0.0,304.215,0.0,4.192,0.0,93.093,0.0,0.517903832413,0.854838709677,3.196,0,2.5,0.982527,372.551,0.962366,0.793723959310345,0.274841397369048,9.586,10.747,218.566,304.215,4.192,93.093,3.196,2.096,2.4896000000000003
6,200406,CH-Lae,47.47833,8.36439,MF,Continental,7.89655,15.2776,-4.52924,0.475694,,0.790972,,0.984028,13.983,0.0,237.068,0.0,326.172,0.0,5.508,0.0,93.524,0.0,0.484977321909,0.855555555556,2.936,0,2.371,0.997222,363.791,0.922222,0.833652042258065,0.254175349785674,13.983,15.085,237.068,326.172,5.508,93.524,2.936,2.188,3.3673100000000007
7,200407,CH-Lae,47.47833,8.36439,MF,Continental,8.32117,15.2587,-4.72589,0.459677,,0.832661,,0.975134,15.543,0.0,236.366,0.0,336.129,0.0,5.341,0.0,93.48,0.0,0.495191812658,0.851478494624,4.334,0,2.323,0.99664,363.673,0.946237,1.37113555,0.327858476714568,15.543,16.737,236.366,336.129,5.341,93.48,4.334,2.049,3.5952800000000007
8,200408,CH-Lae,47.47833,8.36439,MF,Continental,8.30619,13.7035,-4.85631,0.415323,,0.796371,,0.976478,16.247,0.0,200.722,0.0,340.442,0.0,5.221,0.0,93.238,0.0,0.496004891733,0.835349462366,4.396,0,2.494,0.994624,360.399,0.921371,4.83618590322581,0.586887989217417,16.247,17.481,200.722,340.442,5.221,93.238,4.396,2.038,3.449880000000001
9,200409,CH-Lae,47.47833,8.36439,MF,Continental,5.5638,10.0069,-2.72152,0.688194,,0.921528,,0.988889,12.602,0.3625,149.792,0.363889,322.448,0.0,3.75,0.3625,93.728,0.0,0.528936991057,0.8125,2.213,0,2.874,0.975,369.319,0.9625,5.52673979,0.636015594208531,12.593,14.003,150.889,322.448,3.98,93.728,2.213,2.07,2.8422799999999997
10,200410,CH-Lae,47.47833,8.36439,MF,Continental,2.74892,3.12406,0.192075,0.986559,,0.999328,,1.0,9.736,1.0,89.628,1.0,315.561,0.0,2.122,1.0,93.004,0.0,0.461257652752,0.819220430108,2.618,0,2.324,0.997312,379.106,1.0,5.11790253870968,0.631119820590428,9.896,11.313,89.102,315.561,2.755,93.004,2.618,2.251,2.940995
11,200411,CH-Lae,47.47833,8.36439,MF,Continental,1.72423,1.45783,-0.0756029,0.99375,,1.0,,1.0,1.893,1.0,47.032,1.0,285.833,0.0,0.747,1.0,93.546,0.0,0.444315556802,0.765277777778,1.299,0,2.291,0.99375,378.889,1.0,5.37666648709677,0.611477623201321,2.432,3.487,55.795,285.833,1.464,93.546,1.299,2.064,1.6486271
12,200412,CH-Lae,47.47833,8.36439,MF,Continental,0.664394,0.636957,0.408338,0.903898,,0.998656,,1.0,-1.666,1.0,33.239,1.0,267.3,0.0,0.469,1.0,93.388,0.0,0.447696549208,0.702956989247,2.223,0,2.335,0.905242,391.831,1.0,4.98515636333333,0.554592659298154,-0.48,0.995,43.957,267.3,1.391,93.388,2.223,2.178,1.072732
13,200501,CH-Lae,47.47833,8.36439,MF,Continental,1.42139,0.960078,1.65209,0.959005,,0.99328,,0.99328,-1.735,0.993952,49.315,0.994624,264.948,0.0,0.944,0.993952,93.751,0.0,0.542736988173,0.752016129032,2.718,0,3.043,0.949597,384.822,0.99328,0.84505784516129,0.286196707589344,-1.703,-0.12,50.448,264.948,1.522,93.751,2.718,2.727,3.07348
14,200502,CH-Lae,47.47833,8.36439,MF,Continental,0.973036,0.342105,0.463687,0.997024,,0.999256,,1.0,-3.297,1.0,61.313,1.0,266.427,0.0,0.678,1.0,93.116,0.0,0.482012914295,0.837797619048,3.057,0,2.584,0.99628,403.174,1.0,3.13858305483871,0.461821226448625,-2.662,-1.493,78.093,266.427,1.215,93.116,3.057,2.532,1.436723
