Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,CH-Oe2,47.28642,7.73375,CRO,Continental,-0.142026,0.692661,1.53318,0.842742,,0.943548,,0.987903,0.92,0.993952,39.473,0.795699,297.477,0.794355,0.431,0.0,93.788,0,0.219242954211,0.790994623656,4.945,0.999328,2.491,0.986559,383.93,0.985887,0.166042294,0.139112777845694,0.671,1.383,37.284,307.225,0.431,93.788,9.773,2.348,1.391154
2,200402,CH-Oe2,47.28642,7.73375,CRO,Continental,0.306025,0.802729,0.926099,0.944684,,0.994253,,0.993534,1.475,0.881466,92.08,0.882902,266.525,0.881466,1.35,0.0,94.5,0,0.205928239688,0.798850574713,0.825,0.862069,1.917,0.996408,406.967,1.0,1.39882143225806,0.439159378083461,1.84,3.349,92.346,285.315,1.35,94.5,2.547,1.856,1.232124
3,200403,CH-Oe2,47.28642,7.73375,CRO,Continental,1.02968,0.959032,0.402375,0.966398,,0.997984,,0.997984,4.357,0.885753,136.276,0.887097,281.455,0.885753,1.84,0.0,94.589,0,0.207381688887,0.800403225806,1.37,0.870968,1.818,0.987231,383.327,1.0,0.848412066333333,0.346508575484924,3.575,5.342,138.3,296.131,1.84,94.589,2.397,1.725,1.4320549999999999
4,200404,CH-Oe2,47.28642,7.73375,CRO,Continental,6.52253,6.72033,-2.39117,0.885417,,0.885417,,0.885417,9.734,0.886111,188.403,0.885417,303.432,0.886111,3.327,0.0,93.927,0,0.25575297556,0.708333333333,0.788,0.881944,1.984,0.869444,379.887,0.885417,0.521853820333333,0.244491042466372,8.897,10.383,194.019,315.46,3.327,93.927,3.347,1.769,4.13136
5,200405,CH-Oe2,47.28642,7.73375,CRO,Continental,12.8746,13.5473,-7.75042,0.997312,,1.0,,1.0,12.657,1.0,219.259,1.0,315.134,1.0,4.204,0.0,94.138,0,0.209764085354,0.907930107527,2.891,0.999328,1.278,0.994624,399.094,1.0,0.657045813103448,0.212343591881172,11.685,12.925,225.44,324.632,4.204,94.138,4.344,1.558,5.124179999999999
6,200406,CH-Oe2,47.28642,7.73375,CRO,Continental,12.8091,13.4333,-7.9736,0.997222,,0.998611,,1.0,16.869,1.0,227.678,1.0,343.517,1.0,5.735,0.0,94.56,0,0.219084159363,0.893055555556,3.35,0.927083,1.034,0.997222,394.571,1.0,0.879900879677419,0.279369794789057,16.229,17.397,238.104,347.596,5.735,94.56,4.476,1.597,4.835500000000001
7,200407,CH-Oe2,47.28642,7.73375,CRO,Continental,7.60886,7.51727,-1.55151,0.998656,,1.0,,1.0,18.639,1.0,226.072,1.0,358.204,1.0,5.611,0.0,94.499,0,0.211543764754,0.888440860215,7.224,0.0819892,1.006,0.99664,398.242,1.0,1.84756519666667,0.498900934869824,17.864,19.127,235.772,357.606,5.611,94.499,6.213,1.481,6.05735
8,200408,CH-Oe2,47.28642,7.73375,CRO,Continental,0.921028,0.990518,4.23783,0.903226,,0.949597,,0.998656,19.364,0.979167,199.357,0.980511,385.199,0.979167,5.133,0.0,94.242,0,0.166728899165,0.824596774194,2.276,0.745968,1.396,0.918683,391.948,0.965054,2.4652262516129,0.558045450415814,18.497,19.781,196.277,363.311,5.133,94.242,6.847,1.502,5.1588579999999995
9,200409,CH-Oe2,47.28642,7.73375,CRO,Continental,0.491341,0.58167,2.4737,0.895139,,0.963194,,0.970833,15.797,0.941667,163.379,0.943056,370.929,0.941667,3.903,0.0,94.767,0,,,1.69,0.939583,1.546,0.502083,386.357,0.971528,2.68248374666667,0.553937296813016,14.766,16.222,150.115,344.341,3.903,94.767,2.978,1.556,2.9650410000000003
10,200410,CH-Oe2,47.28642,7.73375,CRO,Continental,0.765101,0.784484,0.892714,0.77621,,0.926747,,0.926747,11.666,0.928763,84.419,0.93078,367.885,0.928763,2.104,0.0,94.015,0,,,5.086,0.730511,1.342,0.575941,422.46,0.926747,1.79892196129032,0.484479764042592,11.629,13.057,85.323,337.312,2.104,94.015,5.078,1.607,1.657815
