Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,CN-Din,23.1733,112.5361,EBF,Temperate,3.49506,4.6762,-2.19812,0.947581,,1.0,,0.999328,12.574,1,121.633,1.0,312.334,1.0,5.47,1,98.382,1.0,0.253511046387,0.979838709677,0.897,0.998656,1.741,0.998656,,,2.41028360322581,0.278545457089679,12.03,13.603,116.018,316.872,5.112,98.411,1.341,1.931,1.2969400000000002
2,200302,CN-Din,23.1733,112.5361,EBF,Temperate,2.69453,2.81702,-0.357885,0.864583,,0.951637,,0.970238,14.938,1,80.512,1.0,363.245,1.0,2.656,1,98.102,1.0,0.23835004344,0.661458333333,0.715,0.968006,1.793,0.967262,,,4.04697445806452,0.387658093894523,16.057,17.382,106.284,361.655,5.077,98.096,0.989,1.802,2.336645
3,200303,CN-Din,23.1733,112.5361,EBF,Temperate,3.63711,2.76897,-1.31417,0.725806,,0.87836,,0.892473,15.909,1,76.406,1.0,376.664,1.0,2.648,1,97.966,1.0,0.328497188506,0.567876344086,2.893,0.68414,1.938,0.68414,,,3.18466564666667,0.349567938138846,17.224,18.315,111.845,373.091,5.085,97.951,3.147,1.891,2.32294
4,200304,CN-Din,23.1733,112.5361,EBF,Temperate,3.78216,3.90808,-1.26355,0.975,,0.997917,,0.996528,21.277,1,111.702,1.0,400.229,1.0,4.328,1,97.55,1.0,0.287273512935,0.897916666667,2.997,1.0,1.834,1.0,,,3.11331478387097,0.3172882363486,22.186,23.442,153.931,396.93,6.282,97.522,5.192,1.926,2.5186100000000002
5,200305,CN-Din,23.1733,112.5361,EBF,Temperate,5.16157,5.0487,-1.71053,0.985887,,0.999328,,1.0,24.608,1,145.569,1.0,413.719,1.0,6.45,1,97.223,1.0,0.259504690334,0.97311827957,1.681,1.0,2.224,1.0,,,2.40197009642857,0.253755111323005,24.307,25.151,154.637,412.824,6.15,97.209,6.42,1.621,3.45104
6,200306,CN-Din,23.1733,112.5361,EBF,Temperate,4.20087,5.1768,-0.652307,0.897222,,0.993056,,0.993056,25.111,1,136.415,1.0,419.295,1.0,5.806,1,96.972,1.0,0.309486405512,0.853472222222,9.587,1.0,2.437,0.999306,,,1.34211524677419,,24.787,25.627,145.527,416.723,5.761,96.966,7.808,1.757,3.548563
7,200307,CN-Din,23.1733,112.5361,EBF,Temperate,4.76699,4.28006,-1.18132,0.913306,,0.954973,,0.959677,27.525,1,234.258,1.0,405.057,0.998656,10.188,1,97.181,1.0,0.329025411789,0.760752688172,2.965,1.0,2.636,0.993952,,,0.614727431333333,,26.51,27.701,189.32,414.971,8.641,97.128,2.983,1.944,3.58567
8,200308,CN-Din,23.1733,112.5361,EBF,Temperate,4.73222,5.00359,-0.79953,0.897177,,0.978495,,0.977823,26.59,1,171.297,1.0,421.578,1.0,7.15,1,96.961,1.0,0.271484653724,0.833333333333,10.381,1.0,1.886,0.998656,,,3.0541451,0.547250684764368,25.42,26.299,150.434,418.831,5.537,96.955,9.315,1.344,3.93269
9,200309,CN-Din,23.1733,112.5361,EBF,Temperate,4.6953,4.49177,-0.798606,0.852778,,0.995833,,0.997222,25.238,1,164.722,1.0,405.467,1.0,7.624,1,97.33,1.0,0.272806282318,0.7125,10.18,1.0,1.975,0.9875,,,3.95711525,0.529361481735408,24.384,25.432,149.471,406.23,6.464,97.296,6.86,1.717,3.8966939999999997
10,200310,CN-Din,23.1733,112.5361,EBF,Temperate,5.56491,5.9732,-2.44646,0.935484,,1.0,,1.0,22.159,1,180.062,1.0,357.773,1.0,10.205,1,97.898,1.0,0.253123276887,0.99126344086,0.368,0.634409,1.958,1.0,,,5.39428444193548,0.531519879332301,21.716,23.28,165.377,368.31,9.156,97.858,0.274,1.792,3.11845
