Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200601,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318977,0.0,4.3256,1.0,4.41416,1.0,-14.741,1.0,110.566,1.0,177.632,0,0.812,1.0,85.23,0.0,0.230364742608,1.0,0.0,1.0,3.344,1.0,,,0.100000000967742,,-14.092,-12.029,97.313,177.632,1.542,85.23,0.029,3.375,
2,200602,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.31846,0.0,5.3366,1.0,20.9042,0.999256,-12.486,1.0,154.261,1.0,176.864,0,1.418,1.0,85.075,0.0,0.324906721726,1.0,0.0,1.0,4.671,1.0,,,0.251087413225806,0.14207395463268,-13.229,-11.434,142.992,176.864,2.043,85.075,0.125,4.536,
3,200603,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318535,0.0,7.02538,0.999328,53.208,1.0,-3.479,1.0,214.09,1.0,199.737,0,3.923,1.0,84.301,0.0,0.369535383708,0.999327956989,0.184,1.0,5.425,1.0,,,0.192734270333333,0.109743758699808,-3.494,-1.268,203.595,199.737,4.52,84.301,0.04,4.821,
4,200604,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318664,0.0,16.9889,0.995139,58.8523,0.997222,3.802,0.997222,224.11,0.996528,234.779,0,6.321,0.997222,84.029,0.0,0.374531763039,0.989583333333,0.46,0.995139,5.484,0.988889,,,0.165595719032258,,3.036,5.297,230.135,234.779,6.33,84.029,0.273,4.748,
5,200605,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318977,0.0,51.4644,0.999328,38.2476,1.0,12.394,1.0,235.3,0.997312,287.832,0,9.338,1.0,84.453,0.0,0.312351527878,0.997983870968,1.848,1.0,4.401,0.998656,,,0.100000000071429,0.10358758356792,11.173,13.149,228.583,287.832,8.387,84.453,2.281,3.555,
6,200606,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318664,0.0,76.3873,0.840278,36.5476,0.840972,15.55,0.840972,244.124,0.849306,321.99,0,8.087,0.840972,83.95,0.0,0.268546605114,0.733333333333,2.93,1.0,3.508,0.756944,,,0.200000001290323,0.0997984078503431,15.9,17.503,229.854,321.99,8.574,83.95,3.668,3.129,
7,200607,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.31848,0.0,97.4658,1.0,24.1921,1.0,17.698,1.0,234.808,1.0,350.781,0,5.949,1.0,84.13,0.0,0.227045589177,0.998655913978,6.761,1.0,2.763,1.0,,,0.201790929,0.106241354479114,17.92,19.284,212.053,350.781,6.114,84.13,2.191,2.92,
8,200608,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318535,0.0,56.6452,0.998656,42.5483,0.999328,18.11,1.0,226.93,1.0,350.692,0,7.517,1.0,84.62,0.0,0.20978344349,0.998655913978,0.41,1.0,2.434,1.0,,,0.305024283225806,0.14757664078484,18.334,20.049,212.044,350.692,6.598,84.62,1.456,2.227,
9,200609,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.318664,0.0,32.3329,0.763889,41.4436,0.763889,11.291,0.763889,207.656,0.836806,289.614,0,7.119,0.763889,85.252,0.0,0.237876726736,0.652083333333,0.767,0.652083,2.979,0.652083,,,0.81564617,0.267763342713828,12.132,14.516,198.392,289.614,7.147,85.252,0.882,2.76,
10,200610,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.33388,0.0,24.1236,0.0,37.2078,0.0,6.686,0.0,144.114,0.564516,261.971,0,5.343,0.0,85.324,0.0,,,0.394,0.0,3.054,0.0,,,1.56890818387097,0.385005066378711,6.686,8.819,144.268,261.971,5.343,85.324,0.394,3.054,
11,200611,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.348803,0.0,,0.0,,0.0,-4.461,0.0,101.282,0.616667,209.429,0,2.946,0.0,84.95,0.0,,,0.034,0.0,4.086,0.0,,,1.21550112516129,0.330419400404627,-4.461,-2.901,101.515,209.429,2.946,84.95,0.034,4.086,
12,200612,CN-Du2,42.0467,116.2836,GRA,Continental,,,-0.35421,0.134409,,0.135081,,0.135081,-14.187,0.135081,81.903,0.644489,180.825,0,1.308,0.135081,85.37,0.0,,,0.051,0.0,3.772,0.0,,,0.548411129666667,0.213067482975575,-13.816,-11.768,81.997,180.825,1.407,85.37,0.051,3.772,
13,200701,CN-Du2,42.0467,116.2836,GRA,Continental,0.326373,0.441253,-0.331769,0.989247,,1.0,,1.0,-16.147,1.0,99.292,1.0,169.75,0,0.592,1.0,85.977,1.0,0.257417928763,1.0,0.0,0.979167,3.652,1.0,368.146,1.0,0.1,0.0854400179103781,-15.231,-12.796,102.259,169.75,1.347,85.45,0.004,3.873,-0.005395999999999956
14,200702,CN-Du2,42.0467,116.2836,GRA,Continental,0.217316,0.279677,-0.214878,0.998512,,0.999256,,0.999256,-7.291,1.0,142.203,1.0,194.341,0,1.816,1.0,85.181,1.0,0.291201697041,0.989583333333,0.004,0.998512,4.047,0.989583,364.288,0.999256,0.24931261,0.135992915979157,-7.252,-4.7,143.675,194.341,2.538,84.791,0.116,3.801,0.0024379999999999957
15,200703,CN-Du2,42.0467,116.2836,GRA,Continental,0.0862644,0.0603237,-0.057597,0.986559,,1.0,,1.0,-4.289,1.0,182.238,1.0,216.255,0,2.189,1.0,84.947,1.0,0.32077528629,1.0,0.197,0.997984,4.581,1.0,369.025,0.997984,0.0999999988,0.0885547590686634,-4.236,-2.247,180.577,216.255,3.008,84.57,0.784,4.356,0.028667400000000003
16,200704,CN-Du2,42.0467,116.2836,GRA,Continental,0.00581508,0.0635163,0.0314925,0.915972,,0.997917,,0.998611,3.778,1.0,227.276,1.0,241.3,0,5.548,1.0,84.718,0.999306,0.309649234771,0.995138888889,0.203,1.0,4.276,0.999306,369.327,0.965972,0.101836507677419,0.0890712486686263,3.286,5.461,219.716,241.3,5.911,84.617,0.48,3.81,0.03730758
17,200705,CN-Du2,42.0467,116.2836,GRA,Continental,0.405466,0.0610937,0.0874673,0.99328,,0.999328,,1.0,11.943,1.0,259.353,1.0,279.974,0,9.707,1.0,84.236,1.0,0.341071777554,1.0,0.847,0.735887,4.739,1.0,355.212,0.999328,0.107883568214286,0.0886562181632598,12.062,13.971,251.249,279.974,10.204,84.024,0.7,4.11,0.4929333
18,200706,CN-Du2,42.0467,116.2836,GRA,Continental,0.63412,0.0467639,0.348207,0.982639,,0.999306,,0.999306,19.155,1.0,244.964,1.0,332.038,0,13.665,1.0,84.288,1.0,0.251103861806,1.0,1.172,0.456944,3.07,1.0,356.812,1.0,0.181205257096774,0.0696556727304414,19.288,21.187,243.296,332.038,13.11,84.309,1.103,2.715,0.982327
19,200707,CN-Du2,42.0467,116.2836,GRA,Continental,0.603877,0.0364723,0.487698,0.987903,,1.0,,0.998656,20.004,1.0,254.4,1.0,348.868,0,11.442,1.0,83.782,1.0,0.237872496297,0.999327956989,0.855,1.0,2.857,1.0,376.323,1.0,0.20847308,0.112398979102624,20.209,21.942,242.643,348.868,10.764,83.964,1.588,2.651,1.091575
20,200708,CN-Du2,42.0467,116.2836,GRA,Continental,2.27607,0.0219996,-0.229063,0.995968,,1.0,,1.0,17.747,1.0,230.453,1.0,337.556,0,8.43,1.0,83.924,1.0,0.226479178091,1.0,2.684,1.0,2.744,1.0,382.196,1.0,0.280256894516129,0.13917941728854,18.254,20.007,217.224,337.556,8.555,84.549,1.777,2.779,2.047007
21,200709,CN-Du2,42.0467,116.2836,GRA,Continental,0.874175,0.0105008,-0.225708,0.98125,,0.999306,,1.0,13.509,1.0,200.582,1.0,301.236,0,9.683,1.0,84.751,1.0,0.191740362825,0.999305555556,0.52,1.0,2.537,1.0,378.115,0.999306,0.427380520333333,0.196161422804032,14.192,16.584,191.696,301.236,9.094,85.128,0.882,2.343,0.648467
22,200710,CN-Du2,42.0467,116.2836,GRA,Continental,0.167063,0.00548341,-0.0749934,0.997984,,0.998656,,1.0,3.251,1.0,153.442,1.0,245.709,0,4.563,1.0,85.31,1.0,0.265658586022,1.0,0.261,1.0,3.895,1.0,375.114,1.0,0.491648751935484,0.203505343916057,3.582,5.784,145.077,245.709,4.74,85.419,0.566,3.36,0.09206959999999999
23,200711,CN-Du2,42.0467,116.2836,GRA,Continental,0.184984,0.0591389,-0.185699,0.997222,,0.997917,,1.0,-5.591,1.0,111.549,1.0,203.257,0,1.99,1.0,85.598,1.0,0.247015494444,1.0,0.003,1.0,3.951,1.0,373.635,1.0,1.03699347935484,0.329335554784601,-6.114,-4.314,98.645,203.257,2.294,85.398,0.284,3.654,-0.0007149999999999934
24,200712,CN-Du2,42.0467,116.2836,GRA,Continental,0.27222,0.158751,-0.271865,0.997984,,0.998656,,1.0,-12.155,1.0,83.173,1.0,185.48,0,0.849,1.0,85.539,1.0,0.278099372312,1.0,0.016,1.0,4.46,1.0,371.429,0.998656,0.553363814333333,0.211439498660045,-12.755,-10.907,80.065,185.48,1.376,85.051,0.139,4.321,0.0003549999999999942
25,200801,CN-Du2,42.0467,116.2836,GRA,Continental,0.398719,0.333338,-0.396855,0.979167,,0.987231,,0.987231,-18.289,0.987231,99.353,0.987231,163.182,0,0.67,0.987231,86.056,0.979167,0.230199253002,0.979166666667,0.005,0.979167,3.672,0.979167,351.883,0.987231,0.100000000064516,0.0981734645218821,-17.465,-15.598,99.216,163.182,1.356,85.52,0.039,3.822,0.0018639999999999768
26,200802,CN-Du2,42.0467,116.2836,GRA,Continental,0.205946,0.0254435,-0.207267,0.992816,,0.999282,,1.0,-14.179,1.0,155.123,1.0,168.074,0,1.244,1.0,85.791,0.998563,0.283039516336,0.998563218391,0.0,0.998563,4.473,0.998563,382.009,1.0,0.23147855,0.142427865763027,-14.319,-12.096,148.644,168.074,1.765,85.243,0.023,4.34,-0.0013210000000000166
27,200803,CN-Du2,42.0467,116.2836,GRA,Continental,0.0647907,0.0,-0.0629078,0.962366,,1.0,,1.0,-2.094,1.0,168.433,0.997984,218.874,0,3.129,1.0,84.995,0.997984,0.309015321618,0.997311827957,0.148,0.997984,4.542,0.997984,375.655,0.971774,0.183275283,0.108101824129332,-1.782,0.398,187.641,218.874,4.075,84.718,0.392,4.366,0.0018829000000000068
28,200804,CN-Du2,42.0467,116.2836,GRA,Continental,0.179489,0.175607,0.054701,0.989583,,0.998611,,1.0,6.536,1.0,215.583,1.0,263.677,0,6.301,1.0,84.462,1.0,0.331850016667,1.0,0.387,1.0,4.623,1.0,379.954,0.998611,0.100000000666667,0.0914519447232715,5.37,7.425,198.566,263.677,5.672,84.418,1.267,3.897,0.23419
