Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,CN-Sw2,41.7902,111.8971,GRA,Arid,0.773242,0.0,-0.756035,0.0,,0.0,,0.0,-18.365,0.0,99.009,0.633737,162.195,0.0,0.782,0.0,85.792,0.0,,,0.234,0.0,4.132,0.0,,,0.100000000064516,0.0124461048968078,-18.365,-16.579,99.418,162.195,0.782,85.792,0.234,4.132,0.017206999999999972
2,201002,CN-Sw2,41.7902,111.8971,GRA,Arid,0.778535,0.0,-0.761002,0.0,,0.0,,0.0,-13.565,0.0,137.363,0.587798,170.914,0.0,1.497,0.0,85.516,0.0,,,0.092,0.0,3.791,0.0,,,0.262759091612903,0.129618759733393,-13.565,-11.14,137.496,170.914,1.497,85.516,0.092,3.791,0.01753300000000002
3,201003,CN-Sw2,41.7902,111.8971,GRA,Arid,0.785134,0.0,-0.766593,0.0,,0.0,,0.0,-6.386,0.0,190.848,0.532258,190.099,0.0,2.996,0.0,85.495,0.0,,,0.371,0.0,4.774,0.0,,,0.110912762333333,0.0813475058652996,-6.386,-4.435,191.116,190.099,2.996,85.495,0.371,4.774,0.01854100000000003
4,201004,CN-Sw2,41.7902,111.8971,GRA,Arid,0.778985,0.0,-0.761217,0.0,,0.0,,0.0,-0.031,0.0,220.788,0.473611,212.776,0.0,5.017,0.0,85.435,0.0,,,0.785,0.0,4.458,0.0,,,0.100000000258065,0.0889607107509552,-0.031,2.101,221.018,212.776,5.017,85.435,0.785,4.458,0.017768000000000006
5,201005,CN-Sw2,41.7902,111.8971,GRA,Arid,0.773243,0.0,-0.756035,0.0,,0.0,,0.0,11.356,0.0,234.28,0.424059,267.933,0.0,9.507,0.0,85.188,0.0,,,0.97,0.0,4.484,0.0,,,0.100000000071429,0.0643132199931435,11.356,13.547,234.493,267.933,9.507,85.188,0.97,4.484,0.017208
6,201006,CN-Sw2,41.7902,111.8971,GRA,Arid,0.778986,0.0,-0.761217,0.0,,0.0,,0.0,20.332,0.0,256.472,0.402778,307.398,0.0,17.418,0.0,85.267,0.0,,,0.303,0.0,3.265,0.0,,,0.190943019354839,0.0833144779197134,20.332,22.439,256.954,307.398,17.418,85.267,0.303,3.265,0.017768999999999924
7,201007,CN-Sw2,41.7902,111.8971,GRA,Arid,0.778581,0.0,-0.761023,0.0,,0.0,,0.0,24.698,0.0,265.452,0.405914,334.912,0.0,22.264,0.0,85.198,0.0,,,0.223,0.0,2.972,0.0,,,0.2,0.0927677862704643,24.698,26.571,265.66,334.912,22.264,85.198,0.223,2.972,0.017557999999999963
8,201008,CN-Sw2,41.7902,111.8971,GRA,Arid,0.785135,0.0,-0.766593,0.0,,0.0,,0.0,18.253,0.0,230.357,0.450269,300.515,0.0,12.796,0.0,85.475,0.0,,,1.658,0.0,3.261,0.0,,,0.200000000322581,0.117839732498172,18.253,20.475,230.594,300.515,12.796,85.475,1.658,3.261,0.01854200000000006
9,201009,CN-Sw2,41.7902,111.8971,GRA,Arid,0.778986,0.0,-0.761217,0.0,,0.0,,0.0,12.298,0.0,170.77,0.506944,286.243,0.0,7.115,0.0,85.796,0.0,,,3.857,0.0,3.064,0.0,,,0.434263451333333,0.155333497809469,12.298,14.364,171.042,286.243,7.115,85.796,3.857,3.064,0.017768999999999924
10,201010,CN-Sw2,41.7902,111.8971,GRA,Arid,0.703527,0.0,-0.695741,0.0,,0.0,,0.0,3.804,0.0,140.49,0.565188,234.161,0.0,4.408,0.0,86.038,0.0,,,0.685,0.0,3.445,0.0,,,0.415723980645161,0.143368730911928,3.804,6.032,140.678,234.161,4.408,86.038,0.685,3.445,0.00778599999999996
11,201011,CN-Sw2,41.7902,111.8971,GRA,Arid,0.718774,0.0,-0.710275,0.0,,0.0,,0.0,-5.1,0.0,100.372,0.615972,192.615,0.0,2.515,0.0,85.688,0.0,,,0.12,0.0,4.832,0.0,,,0.527121922258065,0.167897077460429,-5.1,-3.502,100.521,192.615,2.515,85.688,0.12,4.832,0.008499000000000034
12,201012,CN-Sw2,41.7902,111.8971,GRA,Arid,0.755031,0.0,-0.75475,0.518145,,0.523522,,0.522849,-13.004,0.523522,83.563,0.783602,159.542,0.0,1.665,0.523522,85.5,0.387097,,,0.055,0.387097,5.287,0.386425,,,0.523899819666667,0.169508713623193,-14.742,-13.558,81.672,159.542,1.477,85.409,0.124,5.352,0.0002809999999999757
13,201101,CN-Sw2,41.7902,111.8971,GRA,Arid,0.822878,0.733041,-0.825478,0.989247,,1.0,,1.0,-22.06,1.0,113.234,1.0,142.629,0.0,0.461,1.0,86.454,1.0,0.147600200941,0.998655913978,0.013,0.553091,2.868,1.0,,,0.099999999516129,0.0407528030042159,-22.354,-20.087,101.743,142.629,0.527,86.192,0.069,3.427,-0.0026000000000000467
