Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,-6.508,0.0,33.695,0.0,265.45,0.0,0.382,0.0,90.644,0.0,,,2.677,0.0,0.768,0.0,,,0.191647789354839,0.708464268141054,-6.508,-5.757,33.695,265.45,0.382,90.644,2.677,0.768,
2,200402,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,-2.639,0.0,60.81,0.0,277.629,0.0,0.77,0.0,91.185,0.0,,,4.062,0.0,0.932,0.0,,,1.62306719677419,0.276053507660302,-2.639,-1.81,60.81,277.629,0.77,91.185,4.062,0.932,
3,200403,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,0.285,0.0,107.154,0.0,281.843,0.0,1.245,0.0,91.576,0.0,,,3.701,0.0,0.781,0.0,,,1.09098437833333,0.224022860036299,0.285,1.534,107.154,281.843,1.245,91.576,3.701,0.781,
4,200404,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,6.162,0.0375,166.836,0.0409722,292.925,0.0375,2.551,0.0375,91.11,0.0,,,2.385,0.0,0.648,0.0,,,0.810358981333333,0.213564948061678,6.177,7.499,167.566,292.403,2.592,91.11,2.385,0.648,
5,200405,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,8.591,0.573925,183.046,0.575269,312.94,0.572581,2.709,0.573925,91.037,0.0,,,3.291,1.0,0.704,0.0,,,0.126580923793103,0.270811015362922,9.019,10.068,199.955,305.91,3.063,91.037,3.314,0.704,
6,200406,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,12.616,0.906944,188.394,0.909028,340.48,0.904861,2.769,0.90625,91.34,0.0,,,5.275,1.0,0.613,0.0,,,0.633183504193548,0.139261629042079,12.928,13.809,204.336,324.883,3.632,91.34,5.712,0.613,
7,200407,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,14.455,1.0,189.345,1.0,351.977,1.0,3.385,1.0,91.358,0.0,,,4.247,1.0,0.622,0.0,,,1.14126555033333,0.222150825263261,14.613,15.63,198.624,332.372,4.139,91.358,3.309,0.622,
8,200408,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,15.385,0.517473,184.53,0.524194,330.315,0.518145,4.774,0.516129,91.225,0.0,,,2.335,1.0,0.603,0.0,,,1.31852699032258,,15.176,16.46,182.28,330.784,4.695,91.225,3.165,0.603,
9,200409,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,10.499,0.994444,142.542,0.997222,317.811,0.994444,3.444,0.0104167,91.671,0.0,,,3.196,1.0,0.652,0.0,,,1.84481549,0.435627637747611,10.348,11.74,140.537,305.572,3.43,91.671,1.36,0.652,
10,200410,CZ-BK2,49.49443,18.54285,GRA,Continental,,,,,,0.0,,0.0,7.077,0.624328,80.341,0.974462,314.924,0.972446,1.815,0.0,91.337,0.0,,,3.515,0.999328,0.736,0.0,,,3.04859319677419,0.434296667690688,7.523,8.664,82.032,304.549,1.815,91.337,2.198,0.736,
