Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,DE-Geb,51.09973,10.91463,CRO,Continental,0.289673,0.497492,-0.0297484,0.442204,2.92931,0.528226,-1.63908,0.528226,0.533,0.52957,35.093,0.528898,275.633,0.52957,1.004,0.52957,99.499,0.525538,,,0.774,0.525538,2.704,0.525538,,,0.192109461290323,0.179186090797323,0.664,1.586,29.953,273.818,1.027,99.459,1.318,2.941,0.2599246
2,200102,DE-Geb,51.09973,10.91463,CRO,Continental,1.09782,1.31017,-0.172623,0.969494,11.436,1.0,-2.10251,1.0,2.661,1.0,67.107,1.0,282.677,1.0,1.853,1.0,99.758,1.0,0.215315976832,0.845982142857,0.676,1.0,3.417,1.0,382.464,1.0,0.462907517419355,0.154910909371584,2.584,3.469,58.245,284.871,1.63,99.7,1.204,3.376,0.925197
3,200103,DE-Geb,51.09973,10.91463,CRO,Continental,2.08156,2.03514,-0.887313,0.78293,24.4374,0.811156,10.1015,0.809812,3.746,0.909946,78.73,0.911962,300.024,0.909946,1.332,0.909946,98.731,0.882392,,,2.33,0.882392,3.206,0.882392,382.844,0.814516,0.349916851,0.237909256199506,3.973,4.932,81.762,296.888,1.532,98.668,2.37,3.257,1.194247
4,200104,DE-Geb,51.09973,10.91463,CRO,Continental,7.17741,7.14501,-4.27723,0.847917,47.1891,0.865278,21.6637,0.863889,7.781,1.0,152.39,1.0,296.691,1.0,3.182,1.0,99.275,1.0,0.251603267846,0.616666666667,0.95,1.0,3.251,1.0,377.281,0.865972,0.262712492258065,0.0905364981273726,7.368,8.458,148.762,299.248,2.952,99.242,1.743,3.211,2.9001799999999998
5,200105,DE-Geb,51.09973,10.91463,CRO,Continental,14.1169,14.3046,-8.08201,0.948253,97.6828,0.997984,14.0692,1.0,14.234,1.0,231.375,1.0,314.83,1.0,5.691,1.0,99.767,1.0,0.237321301638,0.889784946237,0.854,1.0,2.487,1.0,383.794,1.0,0.270664671428571,0.256818297677374,14.817,15.951,227.521,315.611,6.827,99.784,0.63,3.102,6.034889999999999
6,200106,DE-Geb,51.09973,10.91463,CRO,Continental,12.0104,12.7337,-6.21,0.966667,78.4505,0.995833,31.2123,0.994444,14.426,1.0,210.314,1.0,329.689,1.0,4.696,1.0,99.661,1.0,0.267554465515,0.863194444444,0.0,1.0,2.51,1.0,387.871,0.999306,0.470045996451613,,14.603,15.479,201.028,329.959,5.197,99.669,2.004,2.751,5.800400000000001
7,200107,DE-Geb,51.09973,10.91463,CRO,Continental,3.6375,2.97677,1.77419,0.931452,59.1605,0.998656,69.1089,0.99664,18.82,1.0,234.221,1.0,348.327,1.0,8.082,1.0,99.593,1.0,0.247760317498,0.739247311828,1.452,1.0,2.322,1.0,391.54,0.999328,1.32972997666667,0.443301136191181,18.74,19.71,213.227,345.32,8.025,99.64,1.887,2.779,5.41169
8,200108,DE-Geb,51.09973,10.91463,CRO,Continental,-0.371971,0.221741,3.32046,0.942204,26.3501,0.995296,56.0077,0.995968,19.428,1.0,179.855,1.0,360.174,1.0,8.759,1.0,99.73,1.0,0.248305580972,0.762768817204,1.068,1.0,2.599,1.0,391.649,0.997984,2.1953524,0.668699386734603,19.244,20.383,184.302,346.696,7.897,99.779,0.926,2.758,2.9484890000000004
9,200109,DE-Geb,51.09973,10.91463,CRO,Continental,-0.167394,0.109305,3.04204,0.9875,35.3586,1.0,11.7253,0.997917,12.594,1.0,96.219,1.0,339.331,1.0,2.973,1.0,99.206,1.0,0.263614728865,0.899305555556,2.252,1.0,4.08,1.0,384.885,1.0,1.45670987666667,0.646284721930182,12.063,12.783,88.199,334.235,2.512,99.215,2.991,3.583,2.8746460000000003
10,200110,DE-Geb,51.09973,10.91463,CRO,Continental,-0.838263,0.0,2.79174,0.888441,20.6447,0.975134,4.71187,0.974462,12.576,1.0,68.924,0.958333,331.51,1.0,2.698,1.0,99.843,1.0,0.197818582231,0.610887096774,0.815,1.0,2.614,1.0,412.44,0.977151,1.58742433548387,0.426837550401958,12.535,13.892,74.392,316.676,2.786,99.874,1.065,2.906,1.953477
