Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,DE-Gri,50.95004,13.51259,GRA,Continental,-0.0538504,0.0782659,0.591304,0.94422,5.54366,0.943548,-8.84882,0.950941,-2.303,1.0,28.907,0.946909,275.931,0.0,0.802,1.0,96.64,0.0,0.204924026591,0.864919354839,2.294,1.0,2.614,0.866263,385.797,0.94422,0.271388368064516,0.226378015835965,-2.45,-1.781,26.83,275.931,0.711,96.64,3.308,2.334,0.5374536000000001
2,200402,DE-Gri,50.95004,13.51259,GRA,Continental,0.405923,0.372955,0.433303,0.977011,22.6842,0.976293,-15.5358,0.992816,1.44,1.0,43.307,1.0,286.712,0.0,1.693,1.0,97.284,0.0,0.251391945845,0.823275862069,1.742,0.862069,3.164,0.823994,382.161,0.977011,4.21056356451613,0.429795399975791,1.344,2.054,54.061,286.712,1.416,97.284,2.259,2.889,0.839226
3,200403,DE-Gri,50.95004,13.51259,GRA,Continental,0.855038,1.30794,-0.203862,0.999328,35.5395,0.999328,4.97926,0.999328,2.679,1.0,100.658,1.0,283.135,0.0,2.131,1.0,97.636,0.0,0.214411175932,0.999327956989,1.71,1.0,2.553,0.999328,388.664,1.0,0.719009183,0.342642291781044,3.245,4.377,115.98,283.135,2.144,97.636,1.69,2.496,0.651176
4,200404,DE-Gri,50.95004,13.51259,GRA,Continental,4.81234,4.44146,-2.35928,0.995833,67.5015,0.997222,22.1252,0.999306,8.049,1.0,155.362,1.0,303.131,0.0,3.573,1.0,97.052,0.0,0.173312343911,0.990972222222,0.853,1.0,1.94,0.990972,384.591,0.997222,0.119134119666667,0.282565178532585,8.824,10.028,174.082,303.131,3.91,97.052,1.542,1.872,2.45306
5,200405,DE-Gri,50.95004,13.51259,GRA,Continental,7.55144,7.67524,-3.6071,0.995296,77.0205,0.999328,18.5427,1.0,10.274,1.0,150.084,1.0,318.795,0.0,3.213,1.0,97.022,0.0,0.193965959353,0.994623655914,3.742,0.756048,2.009,0.995296,382.496,0.999328,0.608189445862069,0.230139170774137,11.353,12.31,191.04,318.795,4.167,97.022,2.537,1.964,3.9443400000000004
6,200406,DE-Gri,50.95004,13.51259,GRA,Continental,6.52824,7.88251,-1.42502,0.9,92.7755,0.960417,25.2876,1.0,14.39,1.0,194.681,0.6875,335.886,0.0,4.686,1.0,97.309,0.0,0.211958333333,1.0,2.077,1.0,2.058,1.0,377.106,0.958333,1.97909276774194,0.288921774793108,14.852,15.783,212.671,335.886,5.13,97.309,3.525,2.028,5.10322
7,200407,DE-Gri,50.95004,13.51259,GRA,Continental,7.18286,6.62872,-0.598368,0.949597,109.677,0.976478,16.1692,0.999328,16.102,1.0,196.654,0.99328,345.294,0.0,5.235,1.0,97.297,0.0,0.188072244449,0.994623655914,3.729,1.0,2.09,0.992608,377.203,0.978495,3.58966277333333,0.374874276466091,16.588,17.562,215.084,345.294,5.755,97.297,3.901,1.954,6.584492
8,200408,DE-Gri,50.95004,13.51259,GRA,Continental,4.67392,4.85198,-0.955075,0.991263,99.2749,0.999328,8.06913,1.0,17.431,1.0,173.966,1.0,349.269,0.0,6.675,1.0,97.078,0.0,0.187620967742,1.0,1.358,1.0,2.018,1.0,378.638,0.997984,5.8243119,0.529736092584174,18.166,19.298,186.962,349.269,7.582,97.078,2.717,2.014,3.718845
9,200409,DE-Gri,50.95004,13.51259,GRA,Continental,4.69553,4.65129,-1.52535,0.9625,74.1474,0.970833,2.32664,0.999306,12.56,1.0,131.018,1.0,319.525,0.0,4.395,1.0,97.558,0.0,0.201451388889,1.0,2.387,1.0,2.229,1.0,376.091,0.96875,5.73098601666667,0.554093706617207,13.226,14.49,138.02,319.525,4.94,97.558,1.733,2.238,3.1701799999999998
10,200410,DE-Gri,50.95004,13.51259,GRA,Continental,2.89547,2.50099,0.600971,0.950269,38.7877,0.972446,-4.25919,0.999328,9.275,1.0,79.599,1.0,306.144,0.0,2.802,1.0,97.109,0.0,0.193353494624,1.0,1.323,1.0,2.003,0.998656,377.35,0.959005,6.00112381290323,0.499965714849197,9.376,10.7,83.465,306.144,2.619,97.109,2.179,2.001,3.496441
