Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,DE-Hai,51.07921,10.45217,DBF,Continental,0.0783656,0.0514422,1.17191,0.938172,-0.442848,0.966398,-5.57388,0.891801,-0.386,1.0,26.461,1.0,289.57,0.0,0.546,1.0,96.498,1.0,,,2.647,1.0,4.274,1.0,378.91,0.97043,,,0.184,0.633,25.869,289.57,0.86,96.501,1.79,3.494,1.2502756
2,200002,DE-Hai,51.07921,10.45217,DBF,Continental,0.105299,0.159502,1.29996,0.979885,4.48435,0.989943,-8.60956,0.896552,2.541,1.0,54.546,1.0,291.363,0.0,1.173,1.0,96.166,1.0,0.804986899591,0.53591954023,3.863,1.0,4.445,0.991379,374.835,0.993534,,0.291265486351204,2.829,3.685,56.916,291.363,1.429,96.187,2.542,4.044,1.405259
3,200003,DE-Hai,51.07921,10.45217,DBF,Continental,0.178452,0.0659656,1.45636,0.97379,16.3253,0.997984,19.857,0.999328,4.08,1.0,80.116,0.99664,305.695,0.0,1.519,1.0,96.041,1.0,0.840516558246,0.684811827957,4.888,1.0,3.875,1.0,370.939,0.999328,,0.170156989825038,4.228,4.987,85.334,305.695,1.592,96.038,2.939,3.84,1.6348120000000002
4,200004,DE-Hai,51.07921,10.45217,DBF,Continental,2.31341,2.31191,1.41786,0.910417,25.9714,0.9625,47.9398,0.959028,9.569,1.0,168.578,1.0,302.609,0.0,4.28,1.0,95.326,1.0,0.582023035849,0.629861111111,1.551,1.0,2.781,1.0,373.657,0.9625,,0.140326698265428,9.244,10.603,178.549,302.609,3.972,95.313,1.429,2.594,3.7312700000000003
5,200005,DE-Hai,51.07921,10.45217,DBF,Continental,9.98355,10.0892,-4.90696,0.877688,63.1732,1.0,50.1371,0.994624,13.705,1.0,233.905,1.0,319.356,0.0,5.998,1.0,96.046,1.0,0.528772809907,0.827284946237,1.67,1.0,2.837,1.0,370.489,1.0,,0.167376265157779,13.751,14.935,217.952,319.356,6.07,95.997,1.578,2.526,5.0765899999999995
6,200006,DE-Hai,51.07921,10.45217,DBF,Continental,12.886,13.5379,-8.12293,0.815972,79.0187,0.993056,43.68,0.996528,15.784,1.0,243.858,1.0,330.447,0.0,7.295,1.0,96.387,1.0,0.511151942966,0.817361111111,2.894,1.0,2.833,1.0,362.163,0.997917,,0.179544723048218,15.94,16.983,251.277,330.447,7.535,96.318,1.052,2.625,4.763069999999999
7,200007,DE-Hai,51.07921,10.45217,DBF,Continental,11.5425,11.4511,-7.23609,0.97379,62.2093,0.995968,24.1251,0.99664,13.251,1.0,159.661,1.0,344.07,0.0,2.671,1.0,95.702,0.998656,0.538032439187,0.636424731183,3.533,0.998656,3.107,0.998656,363.343,0.997984,,0.264019563701652,13.903,14.633,171.602,344.07,3.8,95.619,3.353,3.017,4.3064100000000005
8,200008,DE-Hai,51.07921,10.45217,DBF,Continental,12.7583,12.0961,-7.14308,0.677419,67.3921,0.997312,27.2382,0.997984,17.154,1.0,196.721,1.0,338.886,0.0,5.995,0.999328,96.28,0.888441,0.429247964575,0.657930107527,2.816,0.997984,2.347,0.889113,362.032,0.999328,,0.609589906960664,16.369,17.662,192.479,338.886,5.837,96.215,1.366,1.978,5.61522
9,200009,DE-Hai,51.07921,10.45217,DBF,Continental,7.66571,7.66219,-3.90133,0.954167,46.6688,0.999306,11.947,0.999306,12.879,1.0,121.491,1.0,331.817,0.0,2.963,1.0,95.964,0.873611,0.453949108348,0.677083333333,1.042,0.999306,2.704,0.873611,365.552,0.999306,,0.682380712877743,12.839,13.966,119.524,331.817,3.238,95.908,2.053,2.461,3.7643799999999996
10,200010,DE-Hai,51.07921,10.45217,DBF,Continental,2.1826,2.31622,1.0375,0.97043,14.0562,1.0,-8.5446,1.0,9.749,1.0,67.279,1.0,318.589,0.0,2.125,1.0,95.845,1.0,0.650508295339,0.80376344086,1.999,1.0,3.276,1.0,366.675,1.0,,0.743818630014193,9.577,10.519,71.795,318.589,2.321,95.823,1.098,2.924,3.2201
11,200011,DE-Hai,51.07921,10.45217,DBF,Continental,0.116823,0.0631884,2.19511,0.986111,1.73107,1.0,-10.6811,1.0,5.373,1.0,35.501,1.0,297.314,0.0,1.494,1.0,95.181,0.998611,0.728861345966,0.8125,1.727,1.0,3.336,1.0,368.434,1.0,,0.570535782758453,5.159,5.914,36.882,297.314,1.596,95.198,1.087,3.323,2.3119330000000002
12,200012,DE-Hai,51.07921,10.45217,DBF,Continental,-0.013389,0.0649373,2.02863,0.997312,-0.519317,0.998656,-8.75559,0.998656,2.041,1.0,25.249,1.0,289.757,0.0,1.018,1.0,95.493,0.999328,0.788475682916,0.631720430108,1.293,0.999328,3.556,0.951613,374.426,0.998656,,0.495333843272034,2.034,2.579,25.146,289.757,1.211,95.531,1.381,3.339,2.015241
13,200101,DE-Hai,51.07921,10.45217,DBF,Continental,-0.218871,0.22545,0.848038,0.936156,-0.0531004,0.995296,-1.50332,0.99664,-0.126,1.0,27.136,0.99328,279.133,0.0,0.752,1.0,95.745,1.0,0.659428699315,0.522177419355,1.06,1.0,2.611,0.985215,374.496,1.0,0.41181524,0.103780441153155,-0.29,0.594,29.815,279.133,0.902,95.787,1.914,2.771,0.6291669999999999
14,200102,DE-Hai,51.07921,10.45217,DBF,Continental,-0.0250949,0.291085,1.38186,0.983631,5.65637,0.999256,-2.31435,1.0,1.67,1.0,58.385,1.0,289.439,0.0,1.589,1.0,96.002,1.0,0.708117739426,0.715029761905,2.028,1.0,3.247,0.993304,372.003,1.0,1.52530132967742,0.403545570478151,1.546,2.399,57.972,289.439,1.403,96.02,1.748,3.18,1.3567651
15,200103,DE-Hai,51.07921,10.45217,DBF,Continental,0.24868,0.113418,1.23911,0.868952,17.941,0.9375,23.5839,0.943548,2.374,1.0,69.436,0.998656,300.643,0.0,1.034,1.0,95.013,1.0,0.669073368685,0.583333333333,3.98,1.0,3.024,0.882392,378.12,0.899866,0.598270794,0.190053075231836,2.874,3.789,81.378,300.643,1.322,95.024,3.441,3.068,1.48779
16,200104,DE-Hai,51.07921,10.45217,DBF,Continental,1.484,1.00954,1.06951,0.811806,24.3911,0.893056,44.4936,0.890972,6.215,1.0,136.494,1.0,302.844,0.0,2.867,1.0,95.597,1.0,,,1.742,1.0,3.132,1.0,371.083,0.900694,0.34936335483871,,6.12,7.182,148.066,302.844,2.502,95.578,2.53,3.025,2.55351
17,200105,DE-Hai,51.07921,10.45217,DBF,Continental,7.86459,7.98316,-2.40847,0.953629,54.6371,0.997984,68.9436,1.0,13.209,1.0,231.22,1.0,318.101,0.0,5.773,1.0,96.158,1.0,0.588928449195,0.824596774194,1.239,1.0,2.992,1.0,367.157,1.0,0.489641618571429,0.158850806733497,13.244,14.336,226.455,318.101,5.721,96.1,0.914,2.922,5.45612
18,200106,DE-Hai,51.07921,10.45217,DBF,Continental,11.9883,12.2208,-7.44967,0.905556,69.5013,0.99375,42.0104,0.998611,12.935,1.0,204.783,1.0,331.478,0.0,4.408,1.0,96.076,1.0,0.521798019239,0.851388888889,0.624,1.0,2.84,1.0,364.191,1.0,0.648432780645161,0.197489635757867,13.04,13.876,200.087,331.478,4.367,95.989,2.909,2.592,4.53863
19,200107,DE-Hai,51.07921,10.45217,DBF,Continental,13.8171,14.119,-8.50836,0.866935,98.823,0.999328,35.2936,0.998656,17.386,1.0,241.97,1.0,345.801,0.0,7.092,1.0,96.047,0.999328,0.487212984665,0.827956989247,3.447,0.999328,2.674,0.999328,361.559,1.0,0.733945246666667,0.236824118960894,16.997,17.933,212.228,345.801,6.717,95.962,2.739,2.617,5.30874
20,200108,DE-Hai,51.07921,10.45217,DBF,Continental,12.3387,11.6158,-7.67704,0.736559,78.6831,0.985215,16.93,0.995968,17.876,1.0,189.37,1.0,347.084,0.0,7.276,1.0,96.186,0.995296,0.510380255226,0.631048387097,1.175,0.999328,2.808,0.995296,366.95,0.994624,3.0980779,0.539424232328272,17.478,18.579,183.439,347.084,6.61,96.095,1.344,2.598,4.6616599999999995
21,200109,DE-Hai,51.07921,10.45217,DBF,Continental,6.31297,6.75329,-3.45796,0.986806,24.8478,1.0,-13.144,1.0,10.329,1.0,85.727,1.0,335.466,0.0,1.735,1.0,95.628,1.0,0.626810170762,0.847916666667,4.745,1.0,3.491,1.0,364.796,1.0,3.01942663333333,0.716653699130611,10.611,11.304,87.786,335.466,2.136,95.552,4.342,3.375,2.85501
