Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,DE-Obe,50.78666,13.72129,ENF,Continental,0.251263,0.372589,0.982232,0.247312,5.0839,0.252016,9.71079,0.990591,-0.117,1.0,33.456,1.0,284.694,1.0,0.485,1.0,92.448,1.0,0.86237197853,0.592741935484,3.18,1.0,4.505,0.602823,,,0.417090576774194,0.182822169443312,0.76,1.23,28.626,282.832,0.978,93.209,3.366,4.212,1.233495
2,200802,DE-Obe,50.78666,13.72129,ENF,Continental,0.976518,0.546388,0.321645,0.501437,8.35569,0.716954,31.7883,0.717672,0.961,1.0,63.568,1.0,276.519,1.0,1.161,1.0,93.084,1.0,,,1.265,1.0,3.644,0.5,396.894,0.716954,1.37076266967742,0.2661389714383,1.163,2.177,62.448,275.787,1.321,93.828,1.169,3.515,1.298163
3,200803,DE-Obe,50.78666,13.72129,ENF,Continental,1.8708,1.46497,-0.188561,0.981855,10.5796,0.988575,40.7754,0.989247,0.329,1.0,100.024,1.0,275.721,1.0,0.852,1.0,91.252,1.0,0.74411205823,0.832661290323,4.111,1.0,4.208,0.832661,393.557,0.989247,0.553622048666667,0.204017135926891,1.664,2.595,108.334,275.715,1.623,92.015,3.42,4.174,1.682239
4,200804,DE-Obe,50.78666,13.72129,ENF,Continental,4.19911,4.76278,-1.84233,0.9125,39.0658,0.999306,47.7208,0.999306,4.344,1.0,136.272,1.0,298.121,1.0,1.22,1.0,91.941,1.0,0.452038303377,0.972222222222,4.266,1.0,2.866,0.972222,391.516,1.0,0.540435336,0.16545184794686,5.213,6.174,139.015,298.737,2.104,92.601,4.206,2.577,2.35678
5,200805,DE-Obe,50.78666,13.72129,ENF,Continental,9.43879,9.70994,-3.84204,0.854167,59.129,0.961022,71.7721,0.963038,11.632,1.0,217.038,1.0,306.93,1.0,3.878,1.0,92.465,0.979167,0.46021598138,0.662634408602,0.585,1.0,2.792,0.699597,382.763,0.963038,0.979870553793104,0.190809112726021,11.426,12.623,217.768,311.067,4.285,93.128,1.633,2.305,5.596749999999999
6,200806,DE-Obe,50.78666,13.72129,ENF,Continental,10.7196,11.9126,-3.35642,0.8875,65.4886,1.0,72.0522,0.999306,14.422,1.0,218.22,1.0,326.924,1.0,4.618,1.0,92.338,1.0,0.476313877791,0.990972222222,1.631,1.0,2.84,0.991667,377.222,1.0,1.00966517096774,0.222629578197631,14.622,15.506,228.263,328.471,5.785,93.023,2.836,2.424,7.36318
7,200807,DE-Obe,50.78666,13.72129,ENF,Continental,10.5978,10.1948,-2.65259,0.94086,76.3265,0.998656,55.9904,0.999328,15.2,1.0,203.754,1.0,338.776,1.0,4.581,1.0,91.979,0.997312,0.551499631234,0.999327956989,2.653,1.0,3.116,0.999328,380.516,1.0,1.160741241,0.273738306539067,15.293,16.24,205.92,336.227,5.661,92.997,3.359,2.869,7.945209999999999
8,200808,DE-Obe,50.78666,13.72129,ENF,Continental,9.47472,9.42361,-1.53042,0.981855,62.4925,1.0,42.6951,0.999328,14.569,1.0,174.171,1.0,332.835,1.0,3.699,1.0,91.898,0.999328,0.601349465225,0.999327956989,2.954,1.0,3.056,0.999328,374.223,1.0,1.96224371935484,0.303517201665045,14.711,15.726,167.859,336.044,5.081,92.887,3.875,3.023,7.9443
9,200809,DE-Obe,50.78666,13.72129,ENF,Continental,5.60866,7.14447,-1.28,0.972222,37.3377,1.0,26.1419,1.0,9.492,1.0,114.146,1.0,317.221,1.0,1.663,1.0,93.312,0.0,0.467913186022,0.998611111111,1.971,1.0,2.903,0.998611,380.071,1.0,1.82190969666667,0.413051118347794,9.679,10.701,115.061,316.586,2.706,93.312,2.541,2.553,4.32866
10,200810,DE-Obe,50.78666,13.72129,ENF,Continental,4.42424,4.13739,1.07098,0.984543,24.196,1.0,1.6336,1.0,6.548,1.0,76.001,1.0,299.441,1.0,0.971,1.0,91.788,0.698253,0.612252542038,0.997311827957,3.449,1.0,3.219,0.997312,382.572,1.0,2.26152936774194,0.402089906866179,6.501,7.506,70.103,301.715,1.605,93.118,3.445,2.93,5.49522
11,200811,DE-Obe,50.78666,13.72129,ENF,Continental,1.44132,1.36703,1.20771,0.992361,5.9609,1.0,27.2038,1.0,2.79,1.0,36.917,1.0,295.086,1.0,0.474,1.0,90.819,1.0,0.715362109547,0.913888888889,1.77,1.0,3.837,0.929861,397.811,1.0,2.16315851612903,0.333295346382944,2.452,3.236,34.874,290.855,1.103,92.789,1.486,3.446,2.6490299999999998
12,200812,DE-Obe,50.78666,13.72129,ENF,Continental,0.15851,0.189652,1.47349,0.995968,1.05936,1.0,6.81356,1.0,-1.679,1.0,20.076,1.0,287.421,1.0,0.153,1.0,91.138,1.0,0.675369669508,0.924059139785,2.648,1.0,3.778,0.924059,407.406,1.0,1.54011417333333,0.314606084004394,-0.989,-0.538,20.207,281.593,0.697,93.211,2.126,3.224,1.632
13,200901,DE-Obe,50.78666,13.72129,ENF,Continental,0.00211623,0.180925,1.41805,0.993952,3.2979,1.0,-0.573666,1.0,-4.001,1.0,34.515,1.0,261.824,1.0,0.639,0.221102,92.942,1.0,0.55915476138,0.874327956989,0.982,1.0,3.443,0.907258,401.876,1.0,0.903376587419355,0.320281661520663,-4.788,-3.86,32.8,257.882,0.629,93.016,1.225,2.687,1.42016623
14,200902,DE-Obe,50.78666,13.72129,ENF,Continental,0.3105,0.11932,0.685686,1.0,1.08172,1.0,16.1756,1.0,-2.826,1.0,37.877,1.0,286.505,1.0,0.738,0.0,92.667,1.0,0.653873975338,0.736607142857,4.929,1.0,3.975,0.776786,400.393,1.0,1.36594052612903,0.286705331049683,-2.06,-1.223,47.128,277.365,0.738,92.64,3.336,3.509,0.996186
15,200903,DE-Obe,50.78666,13.72129,ENF,Continental,1.3318,1.32279,0.0405988,0.997984,11.6305,1.0,39.2264,1.0,0.57,1.0,74.778,1.0,299.348,1.0,1.207,0.0,92.798,1.0,0.683283500524,0.940188172043,3.516,1.0,3.86,0.940188,393.296,1.0,0.574666172333333,0.208424946391506,1.799,2.69,90.405,288.234,1.207,92.679,3.234,3.584,1.3723988
16,200904,DE-Obe,50.78666,13.72129,ENF,Continental,6.51578,7.01657,-3.10501,1.0,58.0838,1.0,46.1074,1.0,10.021,1.0,202.672,1.0,284.648,1.0,3.98,0.0,93.189,1.0,0.511433097222,1.0,0.896,1.0,3.301,1.0,388.548,1.0,0.562110627741935,0.362296214926471,9.317,10.838,195.302,291.398,3.98,92.976,0.82,2.651,3.4107700000000003
17,200905,DE-Obe,50.78666,13.72129,ENF,Continental,8.22262,8.10772,-3.03011,0.99328,61.7807,0.999328,63.6154,1.0,10.5,1.0,194.787,1.0,314.414,1.0,4.348,0.582661,93.596,1.0,0.562511628346,0.998655913978,3.975,1.0,3.185,0.998656,381.617,1.0,0.670791116071429,,11.172,12.149,199.629,313.095,4.348,93.311,2.528,2.824,5.192509999999999
18,200906,DE-Obe,50.78666,13.72129,ENF,Continental,9.16225,9.91611,-2.72851,0.804167,59.5543,0.998611,59.5161,1.0,11.442,0.686111,167.318,0.689583,334.346,0.686111,2.544,0.686111,93.282,0.977778,0.582904526908,0.948611111111,4.772,1.0,3.147,0.948611,383.765,1.0,0.764034180967742,0.230788902759954,12.118,12.816,196.299,327.462,3.489,92.96,4.556,3.23,6.43374
19,200907,DE-Obe,50.78666,13.72129,ENF,Continental,8.9273,10.8278,-2.41868,0.504032,96.1564,0.793011,46.684,0.801747,15.033,1.0,207.122,0.999328,337.664,1.0,4.809,1.0,93.331,1.0,,,4.462,1.0,2.889,0.4375,379.736,0.78629,2.08462709666667,0.263705779976709,15.231,16.204,211.949,337.787,4.621,92.943,3.744,2.781,6.5086200000000005
20,200908,DE-Obe,50.78666,13.72129,ENF,Continental,9.94374,10.3554,-2.24307,0.93414,88.3665,1.0,39.9029,1.0,15.887,1.0,213.352,0.999328,327.658,1.0,6.09,1.0,93.642,1.0,0.508796065898,0.995295698925,3.245,1.0,2.914,0.995296,374.817,1.0,2.08239905483871,0.339478056008128,15.987,17.223,199.015,333.747,6.353,93.251,1.566,2.418,7.700670000000001
21,200909,DE-Obe,50.78666,13.72129,ENF,Continental,7.31253,7.27687,-1.11919,0.9375,42.0239,1.0,26.15,1.0,12.435,1.0,131.038,0.998611,322.027,1.0,3.363,1.0,93.743,1.0,0.491855237993,0.996527777778,1.362,1.0,2.892,0.996528,379.851,1.0,2.67867195,0.379540224670134,11.984,13.208,130.432,320.249,3.563,93.432,1.951,2.541,6.19334
22,200910,DE-Obe,50.78666,13.72129,ENF,Continental,2.75993,3.05877,1.11339,0.946909,21.9813,0.944892,15.827,0.998656,4.522,1.0,61.656,1.0,312.432,1.0,0.893,0.998656,93.247,1.0,0.610108032509,0.911290322581,5.083,1.0,3.427,0.924731,398.545,0.944892,2.81493181612903,0.362669851899445,5.045,5.784,60.438,304.209,1.321,93.094,3.631,3.201,3.8733200000000005
23,200911,DE-Obe,50.78666,13.72129,ENF,Continental,1.81218,2.30962,1.504,0.729861,16.5838,0.747917,-13.2302,1.0,4.378,1.0,42.357,1.0,289.424,1.0,1.68,1.0,92.607,1.0,0.771370213456,0.861805555556,1.654,1.0,3.53,0.875,399.399,0.748611,2.83209869354839,0.338780970612197,4.249,4.959,37.629,292.173,1.451,92.503,2.923,3.445,3.31618
24,200912,DE-Obe,50.78666,13.72129,ENF,Continental,0.142775,0.500582,1.45471,0.992608,1.22725,1.0,3.87244,1.0,-2.758,1.0,23.046,1.0,285.265,1.0,0.451,1.0,92.337,1.0,0.629509603263,0.953629032258,2.998,1.0,3.452,0.953629,401.369,1.0,2.00945618666667,0.297070112687359,-2.263,-1.844,18.96,280.627,0.647,92.377,3.65,2.807,1.597485
25,201001,DE-Obe,50.78666,13.72129,ENF,Continental,0.0575691,0.178591,0.737889,0.979839,0.761471,0.991935,16.4141,0.991935,-7.007,1.0,13.434,0.985887,283.533,1.0,0.157,1.0,92.79,1.0,0.502245718267,0.763440860215,2.034,1.0,3.148,0.807796,409.501,0.991935,0.298954315806452,0.179359740693132,-6.698,-6.023,28.673,259.253,0.491,92.912,2.611,2.835,0.7954581000000001
26,201002,DE-Obe,50.78666,13.72129,ENF,Continental,0.256596,0.386852,1.19084,0.928571,3.11904,0.941964,29.5302,0.941964,-3.672,1.0,50.811,0.982887,276.06,1.0,0.522,1.0,92.034,1.0,0.637982470794,0.645833333333,1.445,1.0,3.218,0.673363,406.693,0.94122,1.25879181483871,0.250310405950935,-3.116,-2.119,57.663,263.655,0.899,92.103,1.305,2.919,1.447436
27,201003,DE-Obe,50.78666,13.72129,ENF,Continental,2.22511,2.38967,-0.554582,0.982527,13.4361,0.998656,41.8804,0.999328,0.837,1.0,107.557,1.0,274.076,1.0,1.704,1.0,93.064,1.0,0.666924719624,0.819892473118,2.407,1.0,3.847,0.850806,394.765,0.998656,0.820907665,0.228681676219085,1.38,2.514,107.174,272.938,1.615,93.014,2.354,3.637,1.670528
28,201004,DE-Obe,50.78666,13.72129,ENF,Continental,5.49564,5.87627,-3.41927,0.952083,38.5159,0.998611,55.423,0.999306,5.95,1.0,172.622,1.0,278.448,1.0,3.573,1.0,93.428,1.0,0.5193501014,0.985416666667,1.669,1.0,3.022,0.986111,397.902,1.0,0.680430770322581,0.229938657314687,5.814,7.14,182.828,280.045,3.011,93.288,1.364,2.693,2.07637
29,201005,DE-Obe,50.78666,13.72129,ENF,Continental,5.73439,6.31675,-2.01688,0.977823,40.1728,0.997984,49.4456,1.0,7.655,1.0,123.874,1.0,328.872,1.0,1.555,1.0,92.955,1.0,0.533982777235,0.946908602151,3.41,1.0,3.168,0.962366,394.624,1.0,0.424618816071429,0.171793067110537,8.637,9.327,160.277,320.122,2.404,92.722,4.775,2.802,3.7175100000000003
30,201006,DE-Obe,50.78666,13.72129,ENF,Continental,10.0322,9.63624,-3.23151,0.905556,67.5062,0.999306,83.7739,1.0,13.926,1.0,234.108,1.0,323.623,1.0,5.935,1.0,93.299,1.0,0.503400883824,0.988194444444,2.026,1.0,2.983,0.964583,378.5,1.0,0.88784603,0.236802758011536,13.778,14.713,222.498,327.292,5.241,92.966,1.212,2.434,6.8006899999999995
31,201007,DE-Obe,50.78666,13.72129,ENF,Continental,10.6351,9.50781,-3.07916,0.908602,79.0983,0.99664,66.7996,0.99328,18.271,1.0,230.233,1.0,343.547,1.0,9.056,1.0,93.53,1.0,0.484330079738,0.926075268817,6.34,1.0,2.695,0.943548,379.386,0.997312,1.68075250333333,0.242501340954185,17.554,18.611,220.312,345.768,7.397,93.114,5.15,2.122,7.55594
32,201008,DE-Obe,50.78666,13.72129,ENF,Continental,8.47777,8.46721,-1.5334,0.800403,78.2272,0.949597,21.2441,0.948925,14.493,1.0,150.717,1.0,347.46,1.0,4.101,1.0,93.171,1.0,0.62222405649,0.646505376344,9.435,1.0,2.848,0.646505,386.928,0.951613,1.56550799677419,0.295224126013021,13.996,14.964,146.051,342.496,3.405,92.823,8.234,2.848,6.944369999999999
33,201009,DE-Obe,50.78666,13.72129,ENF,Continental,5.46037,5.06243,-0.518696,0.9125,31.8947,0.938194,24.866,0.9375,9.489,0.938889,110.187,0.940972,311.698,0.939583,2.444,0.938889,93.259,1.0,0.636066308261,0.763888888889,5.723,1.0,3.313,0.802083,387.644,0.938889,2.99030504,0.377596703875705,9.285,10.204,108.579,315.42,2.294,93.016,6.559,2.907,4.941674
34,201010,DE-Obe,50.78666,13.72129,ENF,Continental,3.37633,3.33863,-0.289168,0.973118,17.2705,0.971774,16.1409,0.974462,5.113,0.975806,93.596,0.976478,283.804,0.975806,1.983,0.975806,93.169,1.0,0.654213339903,0.823252688172,1.287,1.0,3.512,0.823253,399.877,0.974462,3.25526651935484,0.364727334836496,4.793,5.884,85.72,283.748,1.745,93.056,0.451,3.03,3.0871619999999997
35,201011,DE-Obe,50.78666,13.72129,ENF,Continental,1.17123,0.926596,1.41159,0.98125,9.8251,1.0,9.15774,1.0,2.199,1.0,31.251,0.996528,297.218,1.0,0.99,1.0,92.226,1.0,0.655419884591,0.885416666667,4.503,0.966667,3.456,0.928472,406.424,1.0,2.31719403548387,0.344435300845897,2.314,2.835,26.56,302.52,0.949,92.158,5.474,3.45,2.58282
36,201012,DE-Obe,50.78666,13.72129,ENF,Continental,0.11766,0.0655322,1.45562,0.817204,2.71253,0.929435,5.79352,0.929435,-6.266,1.0,21.141,0.990591,261.376,1.0,0.322,1.0,92.432,1.0,0.629042671239,0.518817204301,4.473,0.870968,3.812,0.571909,411.658,0.929435,1.35599021666667,0.288086383910998,-6.272,-5.688,18.065,265.793,0.483,92.562,4.369,3.489,1.57328
37,201101,DE-Obe,50.78666,13.72129,ENF,Continental,0.342324,0.566442,1.04425,0.881048,6.74253,0.997984,-13.4012,0.997984,-1.575,1.0,30.983,0.988575,276.352,1.0,0.677,1.0,93.173,1.0,0.701237063685,0.792338709677,3.297,1.0,3.473,0.803091,409.348,0.997984,0.589778161612903,0.291262668362179,-1.675,-1.047,26.274,280.03,0.628,93.214,2.872,3.102,1.386574
38,201102,DE-Obe,50.78666,13.72129,ENF,Continental,0.27552,0.383638,1.33054,0.949405,8.76032,1.0,9.69547,0.999256,-2.82,1.0,69.964,0.968006,250.321,1.0,1.271,1.0,93.22,1.0,0.711070234697,0.965029761905,1.536,1.0,3.741,0.975446,407.796,1.0,1.30041433225806,0.258302782638793,-3.03,-1.849,65.945,254.386,1.046,93.29,1.27,3.431,1.60606
39,201103,DE-Obe,50.78666,13.72129,ENF,Continental,2.50153,2.26514,-0.73122,0.892473,19.3605,1.0,36.2595,1.0,2.661,1.0,131.177,1.0,259.886,1.0,2.28,1.0,93.652,0.860215,0.533538686302,0.98185483871,1.384,1.0,3.22,0.99664,405.135,1.0,0.964764146666667,0.212990001818489,1.911,3.43,121.777,265.919,1.841,93.594,1.148,2.696,1.7703099999999998
40,201104,DE-Obe,50.78666,13.72129,ENF,Continental,5.9442,5.72749,-2.59398,0.76875,52.1779,1.0,43.2703,1.0,8.728,1.0,172.037,1.0,294.852,1.0,4.137,1.0,93.46,0.997222,0.564038943503,0.938888888889,2.1,1.0,3.585,0.959722,396.74,1.0,0.641867125806452,0.21900256062689,8.47,9.741,175.432,294.607,3.661,93.259,1.512,3.037,3.35022
41,201105,DE-Obe,50.78666,13.72129,ENF,Continental,8.93457,8.90129,-3.76869,0.921371,77.6361,0.999328,74.4924,1.0,11.327,1.0,246.93,1.0,297.313,1.0,5.751,1.0,93.594,1.0,0.563818175187,0.976478494624,2.281,1.0,3.0,0.987231,391.431,0.999328,0.9441859825,0.212844865200022,11.344,12.649,227.596,303.983,5.28,93.336,1.953,2.638,5.165880000000001
42,201106,DE-Obe,50.78666,13.72129,ENF,Continental,10.6485,11.4871,-3.51251,0.880556,91.6211,0.970833,57.5394,0.970139,13.996,1.0,220.968,1.0,332.558,1.0,4.803,1.0,93.407,1.0,0.563220527176,0.629861111111,2.707,1.0,3.184,0.652778,382.865,0.971528,1.08322620322581,0.230591785435588,14.43,15.332,221.998,331.216,5.398,93.063,3.151,2.994,7.1359900000000005
43,201107,DE-Obe,50.78666,13.72129,ENF,Continental,9.16241,9.09884,-3.40754,0.954973,80.7644,1.0,41.964,0.999328,13.445,1.0,181.049,1.0,337.586,1.0,3.993,1.0,93.019,1.0,0.645029157054,0.932123655914,7.265,1.0,3.401,0.947581,382.284,1.0,1.26778461,0.249708508703897,13.757,14.502,177.623,338.227,4.417,92.68,6.654,3.198,5.7548699999999995
44,201108,DE-Obe,50.78666,13.72129,ENF,Continental,9.17763,9.50814,-1.90118,0.954973,96.3066,0.999328,18.4,0.999328,15.808,1.0,184.918,1.0,338.115,1.0,4.714,1.0,93.334,1.0,0.560068595183,0.990591397849,3.0,1.0,2.821,0.999328,382.936,0.999328,2.52668204193548,0.329562482960204,14.988,16.106,175.043,338.396,4.361,92.977,2.794,2.601,7.2764500000000005
45,201109,DE-Obe,50.78666,13.72129,ENF,Continental,6.26471,7.84115,-1.98608,0.635417,68.4021,1.0,7.06495,1.0,13.634,1.0,149.154,1.0,317.24,1.0,4.311,1.0,93.51,1.0,0.526782914649,0.984027777778,1.697,1.0,2.708,0.997222,385.852,0.756944,3.01486002666667,0.376017324725537,12.186,13.551,130.906,321.559,3.515,93.21,2.376,2.373,4.27863
46,201110,DE-Obe,50.78666,13.72129,ENF,Continental,1.56211,1.93263,0.20464,0.96371,11.3262,0.977151,12.1716,0.984543,7.351,1.0,85.697,1.0,299.235,1.0,2.399,1.0,93.63,1.0,0.706759061301,0.715053763441,1.79,1.0,3.45,0.778226,393.939,0.977151,2.49627989032258,0.38549601190444,6.6,7.898,82.982,294.83,2.002,93.461,1.277,3.037,1.76675
47,201111,DE-Obe,50.78666,13.72129,ENF,Continental,1.97975,1.48449,1.06527,0.9625,4.3984,1.0,-6.909,1.0,4.433,1.0,60.977,1.0,261.931,1.0,2.22,1.0,93.678,1.0,0.663305137849,0.900694444444,0.193,1.0,3.34,0.933333,392.061,1.0,2.37503975806452,0.336024508239938,1.264,2.692,52.386,266.662,0.964,93.675,0.057,2.467,3.04502
48,201112,DE-Obe,50.78666,13.72129,ENF,Continental,0.493003,0.323222,1.16024,0.939516,0.535597,0.941532,-8.29682,0.999328,0.01,1.0,19.931,1.0,284.23,1.0,0.388,1.0,92.691,0.985887,,,4.081,1.0,4.544,0.754032,400.442,0.942204,2.35006229,0.293231195822449,1.146,1.457,17.599,290.078,0.969,92.644,3.474,4.849,1.653243
49,201201,DE-Obe,50.78666,13.72129,ENF,Continental,0.221622,0.107754,0.892889,0.856183,3.79373,0.958333,1.82615,0.958333,-1.903,0.973118,29.352,0.971774,281.414,0.973118,0.338,0.973118,93.176,1.0,0.891222676051,0.586693548387,4.629,1.0,4.547,0.623656,396.947,0.958333,0.477853908064516,0.197084545444972,-1.058,-0.746,24.885,278.901,0.778,93.153,4.409,4.588,1.114511
50,201202,DE-Obe,50.78666,13.72129,ENF,Continental,0.0592419,0.120031,0.71152,0.889368,5.98408,1.0,14.3486,1.0,-6.744,1.0,58.719,0.983477,248.208,1.0,0.343,1.0,93.731,1.0,0.629285834198,0.844109195402,2.417,1.0,3.801,0.874282,400.751,0.997126,1.46826206451613,0.268807770658363,-5.309,-4.381,57.99,253.065,0.789,93.799,2.13,3.682,0.7707619
51,201203,DE-Obe,50.78666,13.72129,ENF,Continental,3.07521,2.54196,-1.05829,0.982527,24.7954,0.999328,34.5345,1.0,4.043,1.0,123.026,1.0,278.189,1.0,2.44,1.0,93.949,1.0,0.642972076153,0.933467741935,1.129,1.0,3.752,0.961022,400.085,1.0,0.558268961333333,0.212698547821964,3.547,4.741,114.679,281.623,1.968,93.834,0.854,3.181,2.0169200000000003
52,201204,DE-Obe,50.78666,13.72129,ENF,Continental,5.48641,6.54436,-2.94314,0.684722,47.4686,1.0,47.7999,0.999306,5.529,1.0,162.886,1.0,286.684,1.0,3.384,1.0,92.352,1.0,0.616721829606,0.984027777778,1.59,1.0,3.137,0.997222,401.794,0.721528,0.55500001,0.247889475537895,5.953,7.133,164.121,290.469,3.206,92.216,1.607,2.978,2.54327
53,201205,DE-Obe,50.78666,13.72129,ENF,Continental,10.1648,9.64371,-3.89395,0.971102,65.9227,1.0,80.0655,0.999328,12.094,1.0,232.58,1.0,308.836,1.0,6.036,1.0,93.318,1.0,0.59812918395,0.987903225806,1.377,1.0,3.189,0.997312,386.537,1.0,0.641998676896552,0.141818602218795,12.211,13.31,219.639,313.077,5.528,93.045,1.419,2.75,6.270849999999999
54,201206,DE-Obe,50.78666,13.72129,ENF,Continental,11.5015,11.7045,-3.97914,0.958333,82.5403,1.0,50.6444,0.998611,13.177,1.0,199.431,1.0,333.76,1.0,4.257,1.0,93.177,1.0,0.598121186842,0.985416666667,3.8,1.0,2.921,0.99375,399.641,0.980556,1.15045247419355,0.232696838628768,13.384,14.219,202.708,333.33,4.56,92.868,3.71,2.705,7.52236
55,201207,DE-Obe,50.78666,13.72129,ENF,Continental,11.7993,12.2824,-3.63948,0.933468,100.311,1.0,38.1589,1.0,15.443,1.0,211.334,1.0,338.727,1.0,5.08,1.0,93.361,1.0,0.566866373788,0.984543010753,3.861,1.0,2.846,0.994624,385.645,1.0,1.34305176666667,0.259612074596621,14.944,15.819,202.39,338.856,4.312,93.002,6.362,2.716,8.15982
56,201208,DE-Obe,50.78666,13.72129,ENF,Continental,8.32514,9.44848,-2.38031,0.864247,64.571,1.0,53.9131,1.0,16.511,0.874328,199.475,0.877016,331.553,0.874328,7.431,0.874328,93.548,1.0,0.502145754379,0.987903225806,1.929,0.590054,2.658,0.999328,388.488,1.0,2.46036522258064,0.337936308150214,15.385,16.624,185.57,334.119,5.642,93.198,2.355,2.24,5.94483
