Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,DE-RuR,50.62191,6.30413,GRA,Temperate,4.99884,2.05824,-2.14762,0.0,75.9108,0.0,48.4098,0.0,0.605,0.0,30.076,0.0,293.828,0.0,0.568,0,95.835,0.0,,,2.89,0.0,3.204,0.0,,,0.288582839032258,0.169696909307495,0.605,1.107,30.076,293.828,0.568,95.835,2.89,3.204,2.8512200000000005
2,201102,DE-RuR,50.62191,6.30413,GRA,Temperate,5.27776,3.28887,-2.15579,0.0,71.4014,0.0,45.8731,0.0,1.895,0.0,55.369,0.0,298.454,0.0,1.069,0,95.715,0.0,,,1.189,0.0,2.977,0.0,,,2.27919103870968,0.561195267692095,1.895,2.76,55.369,298.454,1.069,95.715,1.189,2.977,3.1219699999999997
3,201103,DE-RuR,50.62191,6.30413,GRA,Temperate,5.86671,5.79833,-2.15119,0.0,71.5177,0.0,45.7422,0.0,4.387,0.0,132.775,0.0,283.513,0.0,2.618,0,96.177,0.0,,,0.689,0.0,2.829,0.0,,,1.33273525333333,0.436582788670558,4.387,6.118,132.775,283.513,2.618,96.177,0.689,2.829,3.71552
4,201104,DE-RuR,50.62191,6.30413,GRA,Temperate,7.43638,7.54588,-2.15139,0.0,68.0523,0.0,43.5425,0.0,10.514,0.0,198.069,0.0,307.617,0.0,5.904,0,95.931,0.0,,,1.195,0.0,2.465,0.0,,,1.09439644193548,0.357860058423143,10.514,12.144,198.069,307.617,5.904,95.931,1.195,2.465,5.28499
5,201105,DE-RuR,50.62191,6.30413,GRA,Temperate,7.90963,8.07227,-2.53488,0.545699,73.8416,0.547715,37.7134,0.547715,12.41,0.549059,245.061,0.552419,312.028,0.548387,7.994,0,95.891,0.526882,,,0.978,0.0,2.683,0.514113,396.402,0.547715,0.621181440714286,0.262796237097462,12.638,14.003,241.497,313.609,7.994,95.901,0.978,2.681,5.374750000000001
6,201106,DE-RuR,50.62191,6.30413,GRA,Temperate,8.83195,8.80347,-0.69008,0.993056,88.55,0.997222,26.4899,1.0,14.157,1.0,218.84,1.0,339.98,1.0,6.227,0,95.696,1.0,0.284844020379,0.603472222222,2.623,0.0,2.568,0.980556,391.83,0.997222,0.810363086451613,0.305296058054467,14.296,15.12,212.374,340.246,6.227,95.695,2.623,3.005,8.14187
7,201107,DE-RuR,50.62191,6.30413,GRA,Temperate,7.58866,7.44647,-0.677004,0.993952,75.6558,0.997312,25.3751,1.0,13.237,1.0,177.354,1.0,346.766,1.0,5.33,0,95.392,1.0,0.220897163158,0.605510752688,2.397,0.0,2.501,0.958333,395.148,0.997312,2.21768245666667,0.545297524525048,13.527,14.473,200.287,340.611,5.33,95.378,2.397,2.638,6.911656
8,201108,DE-RuR,50.62191,6.30413,GRA,Temperate,8.67096,8.85692,-0.077133,0.989919,82.8516,0.993952,9.14998,0.995968,15.418,0.997312,182.104,0.997312,348.793,0.997312,5.253,0,95.536,0.995968,0.261576430678,0.591397849462,3.559,0.659946,2.681,0.986559,392.634,0.993952,4.43209543225806,0.62141965616178,15.214,16.344,181.56,348.769,5.253,95.531,3.49,2.659,8.593827
9,201109,DE-RuR,50.62191,6.30413,GRA,Temperate,5.84649,5.94885,1.09088,0.988194,59.7413,0.988194,0.501063,0.989583,14.111,0.990972,147.627,0.991667,333.274,0.990972,4.215,0,95.762,0.986111,0.249969557354,0.686111111111,1.453,0.986111,2.975,0.977778,393.521,0.988889,3.06070441666667,0.564537495718584,13.376,14.682,139.359,336.707,4.215,95.758,1.424,2.847,6.9373700000000005
10,201110,DE-RuR,50.62191,6.30413,GRA,Temperate,3.89286,4.09416,0.181118,0.99664,37.6864,0.998656,-10.9779,0.999328,9.232,1.0,97.578,1.0,304.427,1.0,2.611,0,95.996,1.0,0.262298973105,0.680779569892,1.984,1.0,3.168,0.899866,399.288,0.998656,2.6559204483871,0.579988980446756,8.583,9.901,85.69,311.837,2.611,96.017,1.396,3.024,4.073978
11,201111,DE-RuR,50.62191,6.30413,GRA,Temperate,2.38137,1.89102,0.639583,0.756944,16.1875,0.893056,-14.7221,0.948611,6.701,1.0,55.796,0.592361,297.161,0.590972,1.205,0,96.007,0.999306,0.259867191189,0.528472222222,0.177,0.999306,2.651,0.941667,409.56,0.908333,2.89785172580645,0.600002978778576,5.063,6.337,50.476,303.021,1.205,96.056,0.396,2.356,3.020953
12,201112,DE-RuR,50.62191,6.30413,GRA,Temperate,0.320815,0.646188,1.58322,0.601478,21.4319,0.641801,-24.0008,0.729167,3.045,0.817204,17.4,0.350134,311.266,0.34879,0.705,0,95.265,0.804435,,,6.797,0.804435,5.135,0.507392,395.44,0.673387,3.46467849,0.633503176854128,2.945,3.351,17.134,309.286,0.705,95.303,5.25,4.708,1.9040350000000001
13,201201,DE-RuR,50.62191,6.30413,GRA,Temperate,0.556988,0.599395,0.625782,0.998656,16.0781,0.998656,-11.5645,0.999328,1.958,1.0,29.648,1.0,298.977,1.0,0.673,0,96.044,1.0,,,7.342,1.0,4.266,0.707661,398.514,0.999328,0.600000021935484,0.338946642375994,1.488,2.247,28.915,295.29,0.673,96.025,3.088,3.9,1.18277
14,201202,DE-RuR,50.62191,6.30413,GRA,Temperate,0.374072,0.192417,0.476888,0.856322,7.10755,0.869253,-15.8864,0.869253,-2.93,0.869971,72.08,0.872126,264.622,0.869971,0.762,0,96.707,0.84842,,,1.505,0.84842,2.949,0.625,403.232,0.869253,1.77486257419355,0.518158073859977,-2.67,-1.582,62.256,269.127,0.762,96.677,0.875,3.013,0.8509599999999999
15,201203,DE-RuR,50.62191,6.30413,GRA,Temperate,3.25365,3.04939,-0.672913,0.659946,41.4179,0.714382,11.4095,0.714382,6.337,0.795699,134.977,0.719758,293.928,0.715726,2.551,0,96.671,0.686828,,,0.631,0.686828,2.549,0.644489,410.888,0.714382,1.07090342233333,0.483607593994329,5.845,7.411,129.701,297.233,2.551,96.65,0.75,2.434,2.580737
16,201204,DE-RuR,50.62191,6.30413,GRA,Temperate,5.61614,5.48347,-1.90679,0.917361,55.2018,0.924306,14.0952,0.924306,5.731,1.0,148.148,0.925694,307.124,0.925,2.858,0,94.648,0.916667,,,2.177,0.916667,3.152,0.853472,403.62,0.924306,0.996604049,0.0084608394925923,6.202,7.313,167.008,302.905,2.858,94.603,2.704,3.171,3.7093499999999997
17,201205,DE-RuR,50.62191,6.30413,GRA,Temperate,10.1921,10.3459,-3.31191,0.99664,93.2622,1.0,10.2911,1.0,12.235,1.0,208.482,1.0,327.256,1.0,5.245,0,95.658,0.999328,0.245957777957,0.707661290323,2.558,0.999328,2.315,0.91129,404.573,1.0,0.543293950689655,0.17495969348592,12.372,13.474,214.631,327.82,5.245,95.613,2.8,2.666,6.88019
18,201206,DE-RuR,50.62191,6.30413,GRA,Temperate,8.49256,8.33367,-1.1665,0.999306,81.9713,1.0,19.168,1.0,13.027,1.0,186.475,0.997917,344.12,1.0,4.319,0,95.46,1.0,0.265532841282,0.647916666667,4.49,1.0,2.494,0.913194,399.066,1.0,0.968093103870968,0.361948528328177,13.104,13.975,191.836,341.252,4.319,95.437,4.09,2.836,7.326059999999999
19,201207,DE-RuR,50.62191,6.30413,GRA,Temperate,9.0824,8.56057,-1.4018,0.994624,95.3899,0.995968,17.1557,0.999328,14.853,1.0,209.748,1.0,345.014,1.0,5.489,0,95.632,1.0,0.235905305877,0.700940860215,4.742,1.0,2.768,0.928763,390.38,0.995968,0.793197584,0.413105207890068,14.626,15.567,210.598,342.794,5.489,95.604,3.673,2.822,7.6806
20,201208,DE-RuR,50.62191,6.30413,GRA,Temperate,9.67955,9.53399,-1.16351,1.0,100.954,1.0,7.33582,1.0,16.537,1.0,215.291,1.0,344.073,1.0,7.092,0,95.776,1.0,0.218728507843,0.715725806452,2.726,1.0,2.305,0.971102,398.815,1.0,3.13289928709677,0.664395509987696,16.183,17.516,206.063,343.524,7.092,95.741,2.037,2.448,8.51604
21,201209,DE-RuR,50.62191,6.30413,GRA,Temperate,6.03377,6.44496,-0.322182,0.999306,66.1801,1.0,3.12386,1.0,11.507,1.0,148.742,1.0,322.456,1.0,4.308,0,95.703,1.0,0.209955780791,0.615972222222,1.02,1.0,2.514,0.98125,396.615,1.0,1.534217931,0.708745815945898,11.463,12.922,141.176,320.728,4.308,95.683,1.391,2.586,5.711588
22,201210,DE-RuR,50.62191,6.30413,GRA,Temperate,2.98191,3.33825,0.330381,0.998656,33.7562,0.999328,-12.8006,1.0,8.354,1.0,89.049,1.0,311.333,1.0,2.35,0,95.274,1.0,,,4.29,1.0,3.007,0.87836,401.268,0.999328,1.66469166870968,0.695354713027613,7.949,9.159,74.933,314.652,2.35,95.276,3.008,3.125,3.312291
23,201211,DE-RuR,50.62191,6.30413,GRA,Temperate,1.36765,1.27193,0.715183,1.0,16.328,1.0,-19.251,1.0,4.503,1.0,41.628,1.0,304.767,1.0,0.988,0,95.275,1.0,0.272836302722,0.584027777778,1.277,1.0,3.404,0.883333,400.671,1.0,4.20276573548387,0.682961069783146,4.278,5.05,34.058,310.056,0.988,95.259,1.652,3.046,2.082833
24,201212,DE-RuR,50.62191,6.30413,GRA,Temperate,0.581515,0.579649,0.882281,0.99664,14.2573,0.998656,-26.0567,0.998656,1.935,1.0,24.728,1.0,304.316,1.0,0.643,0,95.083,1.0,,,3.903,1.0,4.487,0.698925,387.284,1.0,2.91049155666667,0.602518124167489,1.743,2.009,18.318,304.986,0.643,95.092,4.279,4.127,1.4637959999999999
