Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,DE-RuS,50.86591,6.44714,CRO,Temperate,0.272005,0.239081,0.386044,0.0,65.9363,0.0,22.9986,0.0,3.199,0.0,27.47,0.0,301.327,0.0,0.703,0,100.682,0.0,,,1.893,0.0,2.157,0.0,,,0.30305815,0.175216967145855,3.199,3.662,27.47,301.327,0.703,100.682,1.893,2.157,0.658049
2,201102,DE-RuS,50.86591,6.44714,CRO,Temperate,0.355615,0.425734,0.372601,0.0,66.4121,0.0,22.449,0.0,4.495,0.0,52.827,0.0,307.11,0.0,1.297,0,100.531,0.0,,,1.186,0.0,2.21,0.0,,,0.75676906,0.340253920911287,4.495,5.253,52.827,307.11,1.297,100.531,1.186,2.21,0.728216
3,201103,DE-RuS,50.86591,6.44714,CRO,Temperate,0.472755,0.871535,0.380311,0.0,77.734,0.0,26.8697,0.0,6.449,0.0,128.097,0.0,288.614,0.0,2.588,0,101.066,0.0,,,0.485,0.0,1.832,0.0,,,0.48715609,0.259121921838583,6.449,8.124,128.097,288.614,2.588,101.066,0.485,1.832,0.853066
4,201104,DE-RuS,50.86591,6.44714,CRO,Temperate,0.959312,1.2172,0.375918,0.0784722,71.6652,0.079167,23.9944,0.079167,13.121,0.0791667,194.839,0.0791667,316.209,0.0791667,6.317,0,100.743,0.0777778,,,0.68,0.0,1.677,0.0777778,,,0.17702021,0.182015155660956,13.182,14.744,193.46,316.571,6.317,100.755,0.68,1.722,1.3352300000000001
5,201105,DE-RuS,50.86591,6.44714,CRO,Temperate,5.30888,4.50765,-2.50855,0.504704,63.0784,0.505376,54.7189,0.505376,15.005,0.505376,244.863,0.508065,320.854,0.506048,8.268,0,100.66,0.471102,,,0.542,0.0,2.039,0.479167,404.822,0.505376,0.39808795,0.175910488155389,15.208,16.473,235.108,323.592,8.268,100.686,0.542,1.931,2.80033
6,201106,DE-RuS,50.86591,6.44714,CRO,Temperate,13.9122,13.0156,-8.52756,0.986111,121.86,0.992361,0.421544,0.995833,16.644,0.999306,205.704,0.992361,353.759,1.0,6.604,0,100.269,0.979167,0.239218502953,0.580555555556,1.728,0.0,1.759,0.961111,412.714,0.992361,0.67960799,0.213831935762003,16.996,17.786,213.452,350.694,6.604,100.446,1.728,2.041,5.384640000000001
7,201107,DE-RuS,50.86591,6.44714,CRO,Temperate,14.2196,14.4326,-8.9769,0.803091,100.661,0.807796,5.47393,0.808468,16.032,0.822581,175.045,0.829301,356.834,0.824597,5.549,0,100.071,0.716398,,,1.673,0.0,1.762,0.69086,398.716,0.808468,1.4001282,0.401962846573391,16.144,17.058,193.499,352.775,5.549,100.128,1.673,1.886,5.242699999999999
8,201108,DE-RuS,50.86591,6.44714,CRO,Temperate,11.7841,12.3784,-7.07609,0.994624,109.109,0.995296,-10.0713,0.999328,17.857,1.0,174.577,1.0,363.329,1.0,5.322,0,100.211,0.952285,0.212047964082,0.584677419355,2.471,0.0,1.599,0.995296,407.631,0.99664,1.9102919,0.465314283457067,17.782,18.879,175.446,360.99,5.322,100.249,2.471,1.835,4.708010000000001
9,201109,DE-RuS,50.86591,6.44714,CRO,Temperate,9.27704,9.27746,-4.98702,0.998611,88.9309,0.999306,-17.6194,1.0,16.468,1.0,147.197,1.0,347.21,1.0,4.493,0,100.455,0.994444,0.216956725794,0.702777777778,0.853,0.0,1.72,0.988194,410.788,0.999306,1.8569374,0.470553770148368,16.04,17.295,133.4,347.974,4.493,100.478,0.853,2.015,4.290019999999999
10,201110,DE-RuS,50.86591,6.44714,CRO,Temperate,4.90168,4.4119,-2.14079,0.909274,50.4497,0.91129,-19.4024,0.911962,11.058,0.912634,93.716,0.913306,316.997,0.912634,2.872,0,100.814,0.854167,0.272655378795,0.567876344086,1.114,0.0,2.11,0.897849,407.65,0.91129,1.2704738,0.485777525729161,11.324,12.518,81.787,320.154,2.872,100.779,1.114,2.167,2.76089
11,201111,DE-RuS,50.86591,6.44714,CRO,Temperate,2.59234,3.40032,-0.748579,0.139583,34.7985,0.139583,-16.2902,0.139583,7.584,0.140278,47.685,0.142361,307.788,0.140278,1.484,0,100.863,0.121528,,,0.169,0.0,1.786,0.121528,440.364,0.139583,1.0933871,0.373876990361533,7.739,8.82,48.356,308.508,1.484,100.866,0.169,1.75,1.8437610000000002
12,201112,DE-RuS,50.86591,6.44714,CRO,Temperate,2.52055,1.56692,-0.942612,0.0,30.6356,0.0,-10.5029,0.0,5.549,0.0,16.383,0.0,316.021,0.0,0.92,0,100.017,0.0,,,2.897,0.0,3.201,0.0,443.481,0.0,1.0186409,0.380119845736204,5.549,5.923,16.383,316.021,0.92,100.017,2.897,3.201,1.577938
13,201201,DE-RuS,50.86591,6.44714,CRO,Temperate,2.17274,0.0411271,-0.949337,0.0,26.3979,0.0,-8.85691,0.0,4.101,0.0,27.012,0.0,301.772,0.0,0.847,0,100.82,0.0,,,2.164,0.0,2.72,0.0,443.819,0.0,0.30305815,0.153229691846342,4.101,4.76,27.012,301.772,0.847,100.82,2.164,2.72,1.2234030000000002
14,201202,DE-RuS,50.86591,6.44714,CRO,Temperate,0.0578423,0.0865996,0.914777,0.0,34.3729,0.0,21.3629,0.0,0.358,0.0,57.764,0.0,278.576,0.0,0.96,0,101.602,0.0,,,0.743,0.0,2.129,0.0,413.237,0.0,0.75676906,0.308716429876792,0.358,1.197,57.764,278.576,0.96,101.602,0.743,2.129,0.9726193
15,201203,DE-RuS,50.86591,6.44714,CRO,Temperate,0.481813,0.178386,1.14581,0.0,41.8359,0.0,29.7614,0.0,8.315,0.0,121.778,0.0,307.819,0.0,2.482,0,101.499,0.0,,,0.478,0.0,1.636,0.0,408.731,0.0,0.48715609,0.260231427605061,8.315,9.725,121.778,307.819,2.482,101.499,0.478,1.636,1.627623
16,201204,DE-RuS,50.86591,6.44714,CRO,Temperate,0.495185,0.233536,1.17097,0.0715278,38.7303,0.078472,28.0167,0.078472,8.704,0.120139,160.594,0.120139,310.74,0.119444,3.043,0,99.405,0.0763889,,,2.333,0.0784722,2.079,0.0,408.529,0.0798611,0.17702021,0.266792856269605,8.663,9.766,163.377,310.778,3.043,99.415,1.558,2.079,1.666155
17,201205,DE-RuS,50.86591,6.44714,CRO,Temperate,2.98146,2.27252,0.488085,0.692204,60.3128,0.693548,40.0645,0.69422,15.182,0.721774,211.486,0.723118,336.324,0.721774,5.945,0,100.384,0.651882,,,1.323,0.668683,1.844,0.598118,417.141,0.693548,0.39808795,0.143221249106859,15.057,16.127,213.313,337.794,5.945,100.415,1.384,1.818,3.469545
18,201206,DE-RuS,50.86591,6.44714,CRO,Temperate,10.3183,10.4844,-5.55621,0.735417,88.2128,0.735417,4.74004,0.736111,15.465,0.738194,186.157,0.740278,350.294,0.738194,4.694,0,100.159,0.669444,,,2.311,0.720139,1.68,0.704167,414.927,0.735417,0.67960799,0.187728759686103,15.466,16.255,185.638,349.908,4.694,100.186,2.749,1.94,4.762090000000001
19,201207,DE-RuS,50.86591,6.44714,CRO,Temperate,12.5996,12.4748,-7.43478,0.985887,99.3385,0.987231,3.3065,0.988575,17.411,0.991263,195.402,0.989919,361.331,0.991263,5.676,0,100.279,0.988575,0.200361954775,0.676075268817,2.542,0.988575,1.549,0.983199,410.463,0.987231,1.4001282,0.248060795740666,17.301,18.228,207.113,354.718,5.676,100.331,2.624,1.849,5.164820000000001
20,201208,DE-RuS,50.86591,6.44714,CRO,Temperate,5.95114,5.9598,-1.8125,1.0,83.7245,1.0,19.8942,1.0,19.204,1.0,206.981,1.0,357.485,1.0,7.139,0,100.392,0.999328,0.20127951083,0.711693548387,2.09,1.0,1.532,0.999328,419.541,1.0,1.9102919,0.358190546241216,18.836,20.107,199.366,356.444,7.139,100.475,1.549,1.678,4.13864
21,201209,DE-RuS,50.86591,6.44714,CRO,Temperate,0.63239,1.49059,1.83274,0.316667,40.2448,0.316667,51.0137,0.316667,13.938,0.316667,137.323,0.317361,330.068,0.317361,4.346,0,100.421,0.313194,,,0.905,0.313194,1.749,0.3125,443.285,0.316667,1.8569374,0.558808160144503,14.006,15.424,133.894,331.015,4.346,100.44,0.916,1.796,2.4651300000000003
22,201210,DE-RuS,50.86591,6.44714,CRO,Temperate,0.948751,0.915979,0.448178,0.219086,35.3787,0.22379,0.917388,0.224462,10.501,0.224462,71.306,0.225806,322.859,0.224462,2.556,0,100.06,0.212366,,,2.188,0.212366,2.098,0.211694,424.919,0.22379,1.2704738,0.583952099708328,10.568,11.696,69.667,323.715,2.556,100.046,1.997,2.068,1.396929
23,201211,DE-RuS,50.86591,6.44714,CRO,Temperate,0.468041,0.509891,0.814706,0.81875,26.6934,0.820139,-18.156,0.821528,7.133,0.824306,36.78,0.827083,311.787,0.824306,1.256,0,100.098,0.8,0.187455544402,0.508333333333,0.962,0.8,2.278,0.772222,413.393,0.820139,1.0933871,0.486533362831205,6.856,7.572,33.616,316.007,1.256,100.042,0.892,2.166,1.282747
24,201212,DE-RuS,50.86591,6.44714,CRO,Temperate,0.267591,0.15787,0.516312,0.886425,19.8461,0.891801,-24.7995,0.892473,5.154,0.897177,24.334,0.902554,306.206,0.896505,0.811,0,99.78,0.828629,,,2.427,0.828629,3.011,0.756048,412.246,0.892473,1.0186409,0.370592491411569,4.522,4.672,17.418,313.887,0.811,99.856,2.575,2.745,0.783903
25,201301,DE-RuS,50.86591,6.44714,CRO,Temperate,0.297021,0.265425,0.549561,0.915323,11.4411,0.930108,-11.7293,0.929435,2.255,0.932796,28.759,0.936156,300.8,0.932124,0.645,0,100.142,0.883065,,,0.737,0.883065,2.804,0.833333,418.81,0.93078,0.30305815,0.228850929399721,1.875,2.27,24.847,300.842,0.645,100.256,1.356,2.2,0.846582
26,201302,DE-RuS,50.86591,6.44714,CRO,Temperate,0.463796,0.698724,0.0976297,0.99628,16.3085,1.0,-3.17627,1.0,1.123,1.0,56.102,1.0,291.654,1.0,0.951,0,100.519,1.0,,,0.907,1.0,2.58,0.995536,418.556,1.0,0.75676906,0.336622506994678,1.282,1.958,54.784,292.96,0.951,100.42,1.4,2.112,0.5614257
27,201303,DE-RuS,50.86591,6.44714,CRO,Temperate,1.25631,1.44288,-0.729167,1.0,33.3165,1.0,3.12543,1.0,2.19,1.0,110.98,1.0,287.869,1.0,1.906,0,99.849,1.0,0.200000992458,0.629704301075,0.655,1.0,2.765,0.988575,416.604,1.0,0.48715609,0.391826935378157,2.344,3.409,115.634,284.652,1.906,99.752,1.062,2.016,0.527143
28,201304,DE-RuS,50.86591,6.44714,CRO,Temperate,7.29571,7.19364,-3.80217,1.0,67.9367,1.0,3.8271,1.0,9.091,1.0,159.744,1.0,310.622,1.0,3.848,0,100.39,1.0,0.212130235564,0.786805555556,0.443,1.0,2.198,1.0,415.771,1.0,0.17702021,0.362797196056363,8.88,10.068,175.449,306.021,3.848,100.366,0.863,2.009,3.49354
29,201305,DE-RuS,50.86591,6.44714,CRO,Temperate,13.5876,14.1811,-8.13208,0.995296,93.4028,0.997312,-0.123142,1.0,11.636,1.0,176.194,0.997312,334.703,1.0,3.995,0,99.973,1.0,0.216596499657,0.581317204301,2.445,1.0,1.724,0.994624,417.412,0.997312,0.39808795,0.25227948636655,12.121,13.074,172.948,333.937,3.995,99.959,2.011,1.923,5.45552
30,201306,DE-RuS,50.86591,6.44714,CRO,Temperate,16.0885,16.2971,-9.05378,0.999306,122.302,1.0,-3.46248,1.0,15.678,1.0,215.831,1.0,349.889,1.0,6.181,0,100.61,1.0,0.228518664843,0.792361111111,1.497,1.0,1.619,0.995833,417.686,1.0,0.67960799,0.211686818347431,16.28,17.215,217.934,349.086,6.181,100.615,1.254,2.032,7.03472
31,201307,DE-RuS,50.86591,6.44714,CRO,Temperate,9.75417,9.38997,-3.04592,0.998656,115.307,1.0,13.5408,1.0,19.505,1.0,243.276,0.99664,359.576,1.0,8.059,0,100.773,1.0,0.189925189882,0.753360215054,1.016,1.0,1.254,1.0,436.521,1.0,1.4001282,0.43130616699034,20.075,21.214,242.572,362.313,8.059,100.837,1.253,1.503,6.70825
32,201308,DE-RuS,50.86591,6.44714,CRO,Temperate,1.12857,0.524972,3.89934,0.175403,77.6853,0.197581,19.624,0.190188,18.096,0.200269,169.123,0.769489,359.607,0.768145,7.572,0,100.644,0.0114247,,,0.999,0.745296,1.488,0.00134409,417.833,0.200269,1.9102919,0.590647794915924,18.46,19.754,184.385,354.593,7.572,100.644,1.065,1.488,5.02791
33,201309,DE-RuS,50.86591,6.44714,CRO,Temperate,0.666183,0.365694,2.90833,0.718056,63.1222,0.719444,9.37191,0.720139,14.61,0.720139,133.539,0.722222,344.119,0.720833,3.948,0,100.403,0.714583,,,1.359,0.714583,1.866,0.713889,407.235,0.719444,1.8569374,0.614369829444215,14.489,15.606,126.947,344.07,3.948,100.397,1.945,1.829,3.5745129999999996
34,201310,DE-RuS,50.86591,6.44714,CRO,Temperate,3.85349,3.59616,-0.850251,1.0,55.1381,1.0,-23.0692,1.0,12.471,1.0,84.785,1.0,333.904,1.0,2.744,0,100.302,1.0,0.225850817323,0.67876344086,1.674,0.114247,2.32,0.999328,416.895,1.0,1.2704738,0.514312500513098,12.422,13.32,73.549,333.172,2.744,100.299,1.737,2.359,3.0032389999999998
35,201311,DE-RuS,50.86591,6.44714,CRO,Temperate,2.18852,2.14593,-0.3213,1.0,32.4694,1.0,-21.3942,1.0,6.11,1.0,34.805,1.0,319.292,1.0,0.869,0,100.499,1.0,0.222442302504,0.522916666667,2.202,0.0,1.999,0.973611,416.721,1.0,1.0933871,0.262385067584011,5.956,6.556,29.264,317.427,0.869,100.408,2.202,2.12,1.86722
36,201312,DE-RuS,50.86591,6.44714,CRO,Temperate,1.18297,1.14571,0.621911,0.975806,,0.979167,,0.979839,5.692,0.980511,33.769,0.983199,299.143,0.980511,1.368,0,100.787,0.960349,0.264592765024,0.604166666667,0.967,0.40457,2.697,0.954973,414.439,0.979167,1.0186409,0.244147824468368,5.463,6.015,23.117,302.723,1.368,100.709,1.353,2.719,1.804881
37,201401,DE-RuS,50.86591,6.44714,CRO,Temperate,1.44543,1.35021,0.291567,0.949597,,0.949597,,0.949597,5.601,0.950269,41.813,0.951613,293.268,0.950269,1.2,0,99.631,0.931452,0.24387148991,0.737903225806,0.683,0.931452,2.823,0.929435,413.136,0.949597,0.30305815,0.362767335166638,5.335,5.924,29.793,303.032,1.2,99.567,1.272,2.499,1.7369970000000001
