Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,DE-Spw,51.89225,14.03369,WET,Continental,7.9212,1.92998,-3.85013,0.0,,0.0,,0.0,-4.152,0.0,29.709,0.0,275.838,0.0,0.82,0.0,103.077,0.0,,,1.497,0,2.404,0.0,,,0.300000010967742,0.215214904290136,-4.152,-3.613,29.709,275.838,0.82,103.077,1.497,2.404,4.07107
2,201002,DE-Spw,51.89225,14.03369,WET,Continental,8.86561,3.61058,-3.8916,0.0,,0.0,,0.0,0.235,0.0,59.761,0.0,284.414,0.0,1.506,0.0,102.024,0.0,,,0.964,0,2.419,0.0,,,1.25370175903226,0.30061857943269,0.235,1.134,59.761,284.414,1.506,102.024,0.964,2.419,4.97401
3,201003,DE-Spw,51.89225,14.03369,WET,Continental,9.81215,6.06241,-3.85832,0.0,,0.0,,0.0,5.051,0.0,111.832,0.0,291.299,0.0,2.734,0.0,103.037,0.0,,,1.499,0,2.736,0.0,,,0.435578714333333,0.135449996740809,5.051,6.219,111.832,291.299,2.734,103.037,1.499,2.736,5.953830000000001
4,201004,DE-Spw,51.89225,14.03369,WET,Continental,10.8155,9.54759,-3.83972,0.0,,0.244444,,0.244444,10.048,0.244444,199.439,0.245139,297.927,0.0,5.515,0.244444,103.378,0.0,,,0.58,0,2.351,0.209028,,,0.433703574516129,,9.889,11.269,198.354,297.927,5.383,103.378,0.58,2.257,6.97578
5,201005,DE-Spw,51.89225,14.03369,WET,Continental,10.4177,7.82904,-2.96392,0.0,,0.999328,,1.0,12.24,1.0,152.619,1.0,339.186,0.310484,3.421,1.0,102.684,0.0,0.441393422928,0.838037634409,2.895,0,2.33,0.957661,,,0.316741582142857,0.197250036599739,12.658,13.347,173.812,339.082,4.356,102.684,2.895,2.156,7.45378
6,201006,DE-Spw,51.89225,14.03369,WET,Continental,12.6098,11.7202,-4.60107,0.809722,,0.9875,,0.9875,18.561,0.988889,261.894,0.988889,345.467,0.988889,9.505,0.988889,102.94,0.0,0.366669523294,0.936805555556,0.508,0,2.07,0.966667,372.544,0.814583,0.605459971290323,0.1772317842839,18.491,19.444,249.356,347.321,9.403,102.94,0.508,1.893,8.00873
7,201007,DE-Spw,51.89225,14.03369,WET,Continental,11.3412,10.987,-4.26494,0.840726,,0.86828,,0.86828,22.815,0.877688,260.905,0.879032,370.562,0.877688,13.064,0.877688,103.059,0.0,0.309286321313,0.725806451613,2.392,0,1.927,0.772849,373.506,0.86828,1.11933747033333,0.251705020273311,23.112,24.171,243.127,371.88,14.493,103.059,2.392,1.732,7.07626
8,201008,DE-Spw,51.89225,14.03369,WET,Continental,9.96479,9.94078,-4.19938,0.971774,,0.995968,,0.995968,18.788,1.0,172.576,0.999328,369.671,1.0,5.273,1.0,102.709,0.0,0.4011070444,0.643817204301,4.795,0,2.097,0.731855,366.005,0.995968,2.68200254516129,0.456456548899844,18.812,19.765,153.948,367.644,6.19,102.709,4.795,2.11,5.765410000000001
9,201009,DE-Spw,51.89225,14.03369,WET,Continental,5.81105,5.95525,-1.85458,0.889583,,0.954861,,0.954861,13.72,0.815278,126.918,0.817361,335.249,0.815278,3.494,0.815278,102.982,0.0,0.395291061242,0.813888888889,4.354,0,2.367,0.861111,376.438,0.974306,5.31502806,0.548791744638975,13.793,14.692,114.569,338.652,4.1,102.982,4.354,2.304,3.95647
10,201010,DE-Spw,51.89225,14.03369,WET,Continental,2.47751,2.92365,-0.227513,0.745296,,0.792339,,0.797715,8.586,0.989919,90.085,0.991263,304.838,0.989919,2.555,0.989919,103.077,0.0,,,0.462,0,2.584,0.558468,387.499,0.797715,5.39381002258065,0.554144499133365,8.898,9.922,90.41,304.522,3.175,103.077,0.462,2.534,2.249997
