Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,DK-Fou,56.4842,9.58722,CRO,Continental,1.10033,0.293145,1.31397,0.122984,,0.16129,,0.16129,3.156,1.0,23.154,0.977823,276.672,0,1.263,1.0,100.117,0.998656,,,2.012,0.998656,4.834,0.0114247,,,0.46666661,0.293945700023993,3.141,3.616,19.173,276.672,1.191,100.182,2.099,4.832,2.4143
2,200502,DK-Fou,56.4842,9.58722,CRO,Continental,0.331952,0.22719,0.728814,0.99628,,1.0,,1.0,-0.211,1.0,52.608,1.0,250.913,0,0.941,1.0,100.782,0.954613,0.279029687203,0.947916666667,1.389,1.0,3.684,1.0,387.388,1.0,1.32256112451613,0.409709970423726,-0.695,0.29,47.425,250.913,0.909,100.896,1.46,3.713,1.060766
3,200503,DK-Fou,56.4842,9.58722,CRO,Continental,1.05656,1.15944,0.356395,0.971774,0.00752179,0.990591,0.547588,0.990591,1.527,1.0,118.271,1.0,260.159,0,1.467,1.0,100.623,0.930108,0.245514907354,0.766801075269,1.576,1.0,3.286,0.872984,386.703,0.991263,0.809826142333333,0.29700514849512,0.955,2.226,96.903,260.159,1.284,100.658,1.24,3.19,1.412955
4,200504,DK-Fou,56.4842,9.58722,CRO,Continental,2.0169,2.08248,-1.10377,0.975,-1.76966,0.999306,108.96,0.998611,7.229,1.0,170.035,1.0,282.812,0,3.195,1.0,100.718,1.0,0.273207687648,0.999305555556,1.345,1.0,3.808,0.999306,387.317,1.0,0.20874318,0.184045332861474,6.928,8.192,166.887,282.812,2.901,100.667,1.195,2.948,0.9131300000000002
5,200505,DK-Fou,56.4842,9.58722,CRO,Continental,2.97809,2.81919,-1.60411,0.982527,19.7088,0.997312,140.207,0.997312,10.548,1.0,213.282,1.0,305.26,0,3.565,1.0,100.543,1.0,0.252641574652,0.934811827957,2.538,1.0,3.791,0.958333,384.972,0.997984,0.118942674642857,0.182258514721327,10.159,11.128,208.306,305.26,3.239,100.513,2.836,2.975,1.37398
6,200506,DK-Fou,56.4842,9.58722,CRO,Continental,3.81369,3.03867,-1.57921,0.975694,26.5377,1.0,105.528,1.0,13.598,1.0,225.01,1.0,322.783,0,4.373,1.0,100.793,1.0,0.277643798563,0.974305555556,1.801,1.0,3.324,0.974306,378.085,1.0,0.561849010645161,0.197175308412718,13.554,14.375,235.445,322.783,4.632,100.741,1.327,3.144,2.2344799999999996
7,200507,DK-Fou,56.4842,9.58722,CRO,Continental,6.08166,6.26182,-2.32635,0.833333,41.1447,0.94086,69.541,1.0,16.637,1.0,185.866,1.0,349.695,0,4.798,1.0,100.469,1.0,0.285033106984,0.999327956989,2.503,0.999328,1.854,0.999328,379.589,1.0,1.11277479766667,0.324696276746949,16.448,17.235,196.621,349.695,4.629,100.396,2.848,2.606,3.75531
8,200508,DK-Fou,56.4842,9.58722,CRO,Continental,9.1474,8.23563,-2.24833,0.998656,68.5682,0.999328,24.2312,1.0,14.59,1.0,162.011,1.0,333.614,0,3.689,1.0,100.574,1.0,0.365639194304,0.950268817204,2.087,1.0,2.047,0.965054,365.963,1.0,1.63047121612903,0.389039907096149,14.69,15.674,164.222,333.614,3.874,100.519,1.68,2.92,6.899069999999999
9,200509,DK-Fou,56.4842,9.58722,CRO,Continental,6.05876,5.90738,-0.536745,0.542361,58.3477,0.544444,-4.86052,0.543056,13.257,1.0,132.536,1.0,321.434,0,3.45,1.0,100.938,1.0,,,1.053,1.0,2.714,0.169444,366.187,0.545833,2.28026806666667,0.485075032278614,13.72,14.872,121.778,321.434,3.908,100.865,0.69,2.887,5.522015000000001
10,200510,DK-Fou,56.4842,9.58722,CRO,Continental,2.09152,3.21243,1.33133,0.388441,,0.403226,,0.403226,9.821,1.0,72.598,1.0,299.746,0,1.9,1.0,101.09,1.0,,,1.665,0.993952,2.827,0.193548,,,2.1790293516129,0.533368984365465,10.558,11.77,67.919,299.746,2.181,101.017,1.972,2.935,3.42285
11,200511,DK-Fou,56.4842,9.58722,CRO,Continental,0.140178,1.24115,2.58387,0.0,,0.0,,0.0,5.577,1.0,25.212,1.0,288.887,0,1.257,1.0,100.328,1.0,,,1.999,0.9125,3.402,0.0,,,1.96745802903226,0.556691348557819,5.724,6.359,20.324,288.887,1.297,100.323,2.622,3.402,2.7240480000000002
12,200512,DK-Fou,56.4842,9.58722,CRO,Continental,-0.0640902,0.732404,2.26475,0.0,,0.0,,0.0,1.991,0.846102,14.548,1.0,272.275,0,1.024,0.846102,100.277,0.627688,,,1.118,0.605511,3.648,0.0,,,2.06340588333333,0.525511798591829,2.079,2.444,11.492,272.275,0.86,100.478,1.1,3.648,2.2006598
