Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200701,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.53062,0.0,1.79064,0.0,2.64739,0.0,108.264,0.0,12.033,0.0,113.71,0.0,263.118,0,5.325,0.0,101.638,0.0,,,1.014,0.0,2.698,0.0,,,0.227582577419355,0.118647088477543,12.033,13.702,113.71,263.118,5.325,101.638,1.014,2.698,0.2600199999999999
2,200702,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.52092,0.0,1.8007,0.0,2.68001,0.0,108.283,0.0,13.975,0.0,141.967,0.0,299.355,0,5.165,0.0,101.052,0.0,,,0.923,0.0,3.798,0.0,,,0.247173439677419,0.127288605827235,13.975,15.32,141.967,299.355,5.165,101.052,0.923,3.798,0.2797799999999999
3,200703,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.50165,0.0,1.79286,0.0,1.85958,0.0,77.2689,0.0,14.656,0.0,224.015,0.0,283.763,0,6.556,0.0,101.033,0.0,,,0.519,0.0,3.599,0.0,,,0.30000001,0.170355093925881,14.656,16.304,224.015,283.763,6.556,101.033,0.519,3.599,0.29120999999999997
4,200704,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.49264,0.0,1.79453,0.0,1.88499,0.0,77.215,0.0,15.785,0.0,240.493,0.0,315.075,0,6.032,0.0,100.606,0.0,,,1.405,0.0,3.509,0.0,,,0.303952743870968,0.17326120890712,15.785,16.929,240.493,315.075,6.032,100.606,1.405,3.509,0.30189
5,200705,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.43694,0.0,1.79064,0.0,1.8873,0.0,77.1801,0.0,20.1,0.0,310.718,0.0,349.482,0,9.454,0.0,100.645,0.0,,,0.487,0.0,3.484,0.0,,,0.266223011785714,0.144315059522702,20.1,21.379,310.718,349.482,9.454,100.645,0.487,3.484,0.3536999999999999
6,200706,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.40544,0.0,1.79948,0.05,2.48918,0.088194,99.5001,0.094444,23.079,0.107639,328.406,0.0,382.691,0,11.159,0.107639,100.604,0.0923611,,,0.0,0.106944,3.407,0.0923611,,,0.270806226129032,0.134171957081096,22.983,24.151,328.406,382.691,11.055,100.592,0.0,3.389,0.39403999999999995
7,200707,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.5466,0.0,1.66467,0.938172,4.03502,1.0,95.1994,1.0,25.322,1.0,356.627,0.926747,393.988,0,13.237,1.0,100.8,1.0,0.333524877307,0.981182795699,0.03,1.0,3.317,1.0,372.571,0.995968,0.300000012,0.135227763718518,25.185,26.644,326.279,393.988,13.156,100.744,0.0,3.276,0.11807000000000012
8,200708,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.17826,0.0,1.27453,0.551075,3.97207,0.993952,76.882,1.0,26.05,1.0,301.892,1.0,390.925,0,12.411,1.0,100.569,1.0,0.383466641373,0.977822580645,0.007,1.0,3.82,0.995968,368.194,0.632392,0.257922700322581,0.123592835420957,24.61,25.954,282.831,390.925,11.489,100.533,0.543,3.514,0.09626999999999986
9,200709,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.05411,0.0,1.32547,0.768056,10.1829,0.996528,51.2837,1.0,23.419,1.0,237.739,1.0,367.878,0,9.992,1.0,100.936,1.0,0.372490185572,0.986111111111,0.0,1.0,3.74,0.993056,372.634,0.7875,0.202219207666667,0.110046087038057,21.785,23.111,231.982,367.878,8.206,100.88,0.421,3.137,0.2713599999999998
10,200710,ES-Amo,36.83361,-2.25232,OSH,Arid,0.266788,0.208581,0.819391,0.990591,14.8174,1.0,20.721,1.0,19.333,1.0,168.518,1.0,328.13,0,6.71,1.0,100.981,0.987903,0.330882265556,0.946908602151,0.741,0.609543,2.993,0.976478,378.836,1.0,0.2,0.103868537326638,18.27,19.524,163.157,328.13,6.286,100.924,1.393,2.909,1.086179
11,200711,ES-Amo,36.83361,-2.25232,OSH,Arid,0.538719,1.60124,-0.0436045,0.997917,10.1674,1.0,17.8174,1.0,14.832,1.0,137.604,1.0,282.485,0,5.233,1.0,101.059,0.959722,0.401635389388,0.813194444444,0.721,1.0,3.306,0.952083,384.493,1.0,0.199999999032258,0.0998137765643759,14.747,16.264,125.223,282.485,5.677,100.966,0.415,3.229,0.49511449999999996
12,200712,ES-Amo,36.83361,-2.25232,OSH,Arid,0.339741,0.983539,-0.304017,0.559812,12.0602,0.569892,17.6038,0.571909,12.415,1.0,112.529,1.0,268.556,0,4.173,1.0,101.49,0.370968,,,0.772,1.0,2.925,0.362231,381.893,0.569892,0.222227049333333,0.0971389712043346,12.688,14.101,98.85,268.556,5.193,101.459,0.51,2.993,0.035724000000000034
13,200801,ES-Amo,36.83361,-2.25232,OSH,Arid,0.756154,0.705664,0.611576,0.819892,12.8251,0.906586,23.6583,0.908602,12.438,1.0,124.379,1.0,273.255,0,3.789,1.0,101.623,0.723118,0.405287384943,0.522177419355,0.304,1.0,2.928,0.693548,391.238,0.852823,0.399062009677419,0.19231127903596,12.83,14.375,113.91,273.255,5.087,101.504,0.519,3.129,1.36773
14,200802,ES-Amo,36.83361,-2.25232,OSH,Arid,0.207558,0.480266,1.07532,0.994253,8.8713,0.997845,40.7368,1.0,13.53,1.0,144.387,1.0,297.059,0,4.394,1.0,101.643,0.890805,0.53884939507,0.722701149425,0.706,1.0,4.272,0.877155,384.491,0.999282,0.192996011935484,0.105703198793049,14.003,15.362,146.305,297.059,5.27,101.441,1.015,4.154,1.282878
15,200803,ES-Amo,36.83361,-2.25232,OSH,Arid,-0.584804,0.0290401,0.797809,0.774194,9.64472,0.909946,46.1441,0.956317,14.618,1.0,230.203,1.0,294.392,0,6.214,1.0,100.799,0.629704,,,0.237,1.0,3.623,0.585349,381.872,0.826613,0.231963856666667,0.128320275183226,15.335,17.054,225.296,294.392,6.899,100.724,0.276,3.542,0.213005
16,200804,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.79602,0.0,1.85284,0.391667,6.05513,0.661111,69.2491,0.796528,16.826,0.996528,287.15,0.997917,316.946,0,8.603,0.996528,100.657,0.463889,,,0.092,0.984722,4.635,0.463194,383.713,0.397222,0.296176898333333,0.156563821656302,17.249,18.655,270.463,316.946,7.712,100.589,0.561,4.594,0.05682000000000009
17,200805,ES-Amo,36.83361,-2.25232,OSH,Arid,-1.82571,0.0,1.88425,0.241263,10.873,0.473118,77.002,0.563844,17.89,0.990591,300.81,0.991935,349.617,0,6.311,0.990591,100.385,0.386425,,,1.314,0.975806,4.079,0.386425,384.49,0.311828,0.382851980689655,0.173060971334809,19.002,20.08,284.885,349.617,8.096,100.317,0.774,3.896,0.058540000000000036
18,200806,ES-Amo,36.83361,-2.25232,OSH,Arid,-2.05425,0.0,2.1294,0.0,14.4298,0.029861,144.447,0.030556,22.779,0.0743056,330.287,0.075,384.236,0,10.817,0.0743056,100.746,0.0236111,,,0.064,0.0715278,3.027,0.0236111,383.463,0.000694444,0.323071145806452,0.148880075345957,22.949,24.178,327.221,384.236,11.165,100.741,0.064,3.027,0.07514999999999983
19,200807,ES-Amo,36.83361,-2.25232,OSH,Arid,-2.03383,0.0,2.1174,0.0,13.7303,0.0,139.61,0.0,25.372,0.0,320.85,0.0,399.665,0,13.09,0.0,100.7,0.0,,,0.132,0.0,3.292,0.0,383.445,0.0,0.256469881666667,0.125703735593947,25.372,26.708,320.85,399.665,13.09,100.7,0.132,3.292,0.08356999999999992
20,200808,ES-Amo,36.83361,-2.25232,OSH,Arid,-2.08902,0.0,2.19072,0.0,12.9652,0.0,149.579,0.0,25.186,0.0,293.489,0.0,394.588,0,12.29,0.0,100.647,0.0,,,0.026,0.0,3.112,0.0,380.27,0.0,0.24983336516129,0.119852399391591,25.186,26.636,293.489,394.588,12.29,100.647,0.026,3.112,0.10169999999999968
21,200809,ES-Amo,36.83361,-2.25232,OSH,Arid,-0.0666661,0.0,0.193913,0.0,9.2314,0.0,77.6196,0.0,21.805,0.0,216.44,0.0,372.76,0,8.403,0.0,100.696,0.0,,,1.254,0.0,3.119,0.0,374.627,0.0,0.248659346333333,0.114935713989159,21.805,22.957,216.44,372.76,8.403,100.696,1.254,3.119,0.1272469
22,200810,ES-Amo,36.83361,-2.25232,OSH,Arid,0.314103,0.0,-0.220542,0.0,5.76281,0.0,7.19199,0.0,18.124,0.0,156.166,0.0,335.732,0,5.901,0.0,100.845,0.0,,,2.82,0.0,3.796,0.0,373.905,0.0,0.200000001290323,0.104916012962373,18.124,19.247,156.166,335.732,5.901,100.845,2.82,3.796,0.09356100000000003
