Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,ES-LJu,36.92659,-2.75212,OSH,Arid,2.41509,2.17112,-1.84236,0.0,60.9852,0.0,67.2213,0.0,5.077,0.0,112.972,0.0,268.082,0,4.782,0.0,84.268,0.0,,,0.494,0.0,1.926,0.0,,,0.300000006129032,0.142585619037166,5.077,7.238,112.972,268.082,4.782,84.268,0.494,1.926,0.5727300000000002
2,200402,ES-LJu,36.92659,-2.75212,OSH,Arid,2.43559,2.44462,-1.84359,0.0,60.9597,0.0,66.8377,0.0,5.695,0.0,138.696,0.0,281.557,0,4.736,0.0,84.271,0.0,,,1.875,0.0,2.309,0.0,,,0.293179713870968,0.131592562289195,5.695,7.576,138.696,281.557,4.736,84.271,1.875,2.309,0.5919999999999999
3,200403,ES-LJu,36.92659,-2.75212,OSH,Arid,2.48216,2.82316,-1.84236,0.0,66.0548,0.0,72.8094,0.0,7.028,0.0,185.482,0.0,294.78,0,5.142,0.0,84.27,0.0,,,4.297,0.0,2.214,0.0,,,0.295637051666667,0.139017861340762,7.028,8.819,185.482,294.78,5.142,84.27,4.297,2.214,0.6397999999999999
4,200404,ES-LJu,36.92659,-2.75212,OSH,Arid,2.5419,3.26873,-1.84308,0.0,65.3241,0.0,71.7962,0.0,8.649,0.00555556,247.857,0.00625,298.089,0,6.138,0.00555556,83.804,0.0,,,3.897,0.0,2.611,0.0,,,0.248608682333333,0.124651960074312,8.666,10.342,247.863,298.089,6.171,83.804,3.897,2.611,0.69882
5,200405,ES-LJu,36.92659,-2.75212,OSH,Arid,1.93013,3.20984,-1.22792,0.193548,62.4574,0.266129,53.1132,0.200941,8.754,1.0,226.614,0.998656,331.124,0,1.176,0.99328,83.882,0.399866,0.247201560694,0.963709677419,3.671,0.0,2.113,0.977151,362.996,0.663978,0.308093026206897,0.134576630273499,10.922,12.207,265.789,331.124,6.453,83.868,3.671,2.373,0.70221
6,200406,ES-LJu,36.92659,-2.75212,OSH,Arid,2.10119,2.16361,-1.17056,0.975,77.1116,0.979861,94.3311,0.979167,18.609,1.0,330.727,0.997917,382.815,0,6.506,0.990972,84.447,0.869444,0.214678661917,0.998611111111,0.179,0.0,1.798,1.0,376.706,0.979861,0.352870400645161,0.136843311168032,18.348,19.875,308.274,382.815,12.657,84.145,0.179,2.043,0.9306299999999998
7,200407,ES-LJu,36.92659,-2.75212,OSH,Arid,0.990241,0.741681,-0.537272,0.535618,36.1835,0.537634,127.267,0.537634,21.255,1.0,324.581,0.540323,387.863,0,15.406,1.0,84.203,0.521505,0.224700347267,0.997311827957,0.016,0.0,1.821,0.997984,375.355,0.537634,0.514319715333333,0.151696336799492,19.162,20.754,299.832,387.863,12.476,84.031,0.016,1.922,0.45296900000000007
8,200408,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.0968999,0.0946206,0.164479,0.998656,20.2751,1.0,108.217,1.0,21.673,1.0,296.345,1.0,392.367,0,16.828,1.0,84.329,0.999328,0.278312340887,0.997983870968,0.009,0.0,2.487,0.997984,378.256,1.0,0.545314401290323,0.184011417650178,19.701,21.31,273.126,392.367,13.179,83.951,0.009,2.131,0.06757909999999999
9,200409,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.379732,0.0,0.391123,0.984028,12.7197,0.99375,75.3173,0.996528,18.291,1.0,220.682,1.0,366.034,0,11.784,1.0,84.422,0.890278,0.241604407312,0.997916666667,0.717,0.0,2.066,0.999306,372.882,0.995833,0.649797471666667,0.200691110143026,17.031,18.805,220.679,366.034,9.878,84.205,0.717,1.882,0.011390999999999984
10,200410,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.189938,0.0,0.189378,1.0,10.2368,0.999328,52.0873,1.0,13.424,1.0,186.871,0.997984,327.311,0,8.264,1.0,83.964,0.964382,0.377783401384,0.944220430108,0.214,0.0,3.739,0.951613,373.304,1.0,0.507896277419355,0.169715466281658,12.826,14.676,166.444,327.311,7.829,83.947,0.214,2.125,-0.0005600000000000049
11,200411,ES-LJu,36.92659,-2.75212,OSH,Arid,0.156684,0.0,-0.122039,0.840278,6.32383,0.859722,28.1475,0.870833,7.851,1.0,135.374,1.0,280.972,0,5.063,1.0,84.076,0.943056,0.254369882757,0.941666666667,0.491,0.0,1.877,0.95625,380.753,0.861111,0.458902204193548,0.15077657162497,7.181,9.151,118.914,280.972,5.336,84.266,0.491,1.822,0.034644999999999995
12,200412,ES-LJu,36.92659,-2.75212,OSH,Arid,0.161719,0.0,-0.157852,0.47043,8.07687,0.466398,9.11866,0.477823,3.983,0.99328,103.916,0.924059,266.586,0,2.878,0.99328,84.07,0.290995,0.396922827479,0.760080645161,2.794,0.0,2.938,0.803763,380.14,0.486559,0.333615822666667,0.137538730517943,4.433,6.099,90.016,266.586,4.225,84.194,2.794,2.214,0.0038670000000000093
13,200501,ES-LJu,36.92659,-2.75212,OSH,Arid,0.0106808,0.674512,0.0141319,0.202285,7.96305,1.0,29.8925,1.0,4.293,1.0,151.468,1.0,243.898,0,5.98,1.0,84.45,1.0,0.171952384998,0.995295698925,0.013,1.0,1.823,0.995968,382.224,0.205645,0.29562091483871,0.126532619116971,2.809,5.192,117.617,243.898,4.757,84.763,0.197,1.939,0.0248127
14,200502,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.0244152,0.690425,0.0421253,0.0,15.9753,0.825893,24.8294,0.828869,0.612,1.0,149.683,0.978423,253.53,0,2.614,1.0,83.748,0.816964,0.266623389694,0.587053571429,1.634,1.0,2.202,0.654762,383.138,0.0,0.29509796516129,0.126896650954955,2.938,4.936,140.033,253.53,4.759,84.097,4.526,2.111,0.017710099999999996
15,200503,ES-LJu,36.92659,-2.75212,OSH,Arid,0.0209355,0.828054,0.00371159,0.0,17.4768,0.418011,58.5421,0.418011,6.441,0.528898,188.977,0.442204,293.721,0,4.761,0.512769,84.038,0.491263,,,1.483,1.0,2.576,0.305108,379.168,0.0,0.254599797333333,0.123933426690256,6.68,8.436,186.325,293.721,5.225,84.096,1.66,2.195,0.02464709
16,200504,ES-LJu,36.92659,-2.75212,OSH,Arid,0.00307053,0.905495,0.0224046,0.0,27.787,0.923611,98.0745,0.927083,9.777,1.0,255.704,0.806944,310.42,0,6.888,0.991667,83.887,1.0,0.257369027975,0.988194444444,0.122,1.0,2.41,0.991667,355.888,0.0,0.229289479677419,0.109439510779101,10.129,11.854,262.241,310.42,7.422,83.943,0.401,2.298,0.02547513
17,200505,ES-LJu,36.92659,-2.75212,OSH,Arid,0.0436539,0.806357,-0.0158277,0.0,43.7017,1.0,106.508,1.0,14.803,1.0,286.353,0.808468,346.345,0,10.404,0.880376,84.141,0.998656,0.295751691425,1.0,0.019,1.0,3.017,0.999328,354.685,0.0,0.200150865357143,0.14769253932063,14.519,16.219,288.303,346.345,10.346,84.012,0.222,2.486,0.027826200000000002
18,200506,ES-LJu,36.92659,-2.75212,OSH,Arid,0.028463,0.7259,0.0497729,0.427778,39.3398,1.0,127.19,1.0,19.047,1.0,358.897,1.0,377.431,0,14.001,1.0,84.325,1.0,0.231453626956,0.999305555556,0.176,1.0,2.198,1.0,353.724,0.438889,0.207990645483871,0.116590072619758,18.059,19.604,308.706,377.431,12.612,84.057,0.024,2.159,0.0782359
19,200507,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.239887,0.045952,0.285465,0.965054,27.0589,1.0,125.373,1.0,22.503,1.0,338.667,0.991263,394.154,0,21.054,0.971102,84.334,0.999328,0.247810398245,0.993951612903,0.007,1.0,2.375,0.99664,349.822,0.971102,0.404773908333333,0.136946006103927,20.229,21.893,300.6,394.154,14.513,83.981,0.014,2.183,0.045578000000000035
20,200508,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.187898,0.0,0.230079,0.702285,16.3299,1.0,105.225,1.0,21.002,1.0,286.574,1.0,382.198,0,15.088,0.714382,84.328,1.0,0.227765113249,0.999327956989,0.039,1.0,2.264,1.0,352.238,0.714382,0.498337330967742,0.157739106066938,19.007,20.707,269.908,382.198,12.3,84.045,0.117,2.112,0.042180999999999996
21,200509,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.215244,0.0,0.267942,0.995139,9.96901,0.998611,85.0942,1.0,15.741,1.0,231.161,1.0,351.451,0,9.82,0.995833,84.236,1.0,0.213834100239,0.999305555556,0.102,1.0,2.111,1.0,357.052,0.995833,0.452037583666667,0.149933691442919,15.736,17.489,223.848,351.451,9.771,84.149,0.508,2.157,0.05269800000000002
22,200510,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.129615,0.0311964,0.241464,0.993952,12.8759,1.0,47.7892,0.997984,12.898,1.0,175.736,0.997312,332.233,0,6.418,1.0,84.111,1.0,0.227521181827,0.987903225806,1.234,1.0,2.325,0.994624,353.913,1.0,0.410769318064516,0.133081467187206,12.373,14.017,163.516,332.233,6.584,84.162,0.545,1.968,0.111849
23,200511,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.138559,0.00534775,0.24431,0.997917,13.6291,0.994444,21.1642,0.995833,6.24,1.0,122.262,1.0,276.677,0,3.763,1.0,83.726,1.0,0.247140654672,0.960416666667,0.725,1.0,2.308,0.958333,356.375,0.995833,0.327392195806452,0.130245186287657,6.759,8.565,116.635,276.677,5.262,84.066,1.139,2.216,0.10575100000000001
24,200512,ES-LJu,36.92659,-2.75212,OSH,Arid,0.0514002,0.0673552,-0.0282214,0.991263,9.1133,0.991263,17.1811,0.991263,3.713,1.0,102.472,0.994624,273.958,0,2.849,0.991935,83.903,0.917339,0.224146466716,0.891801075269,0.525,1.0,2.64,0.905914,357.079,0.991263,0.305533926,0.128068875581466,4.812,6.436,90.903,273.958,4.366,84.28,0.929,2.508,0.0231788
25,200601,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.00925155,0.0,0.0428526,0.952957,8.15565,0.956317,6.93698,0.959005,0.813,0.997312,80.1,0.969758,274.506,0,1.513,0.940188,83.972,0.540323,0.206820547227,0.841397849462,2.651,1.0,1.94,0.892473,370.853,0.956317,0.101427414193548,0.113501000457584,3.544,4.893,86.972,274.506,3.927,84.198,5.153,1.841,0.03360104999999999
26,200602,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.153043,0.0,0.219614,0.957589,15.1544,0.97247,38.435,0.97247,2.868,1.0,148.674,0.994048,270.854,0,3.372,0.959821,83.587,0.926339,0.219274609012,0.983630952381,0.937,1.0,2.206,0.989583,376.042,0.973214,0.386254685806452,0.162012884312904,4.524,6.203,143.158,270.854,4.442,83.963,2.429,2.266,0.06657099999999999
27,200603,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.0360068,0.0,0.04185,0.674731,18.4682,0.68414,56.3033,0.684812,8.032,0.783602,206.709,0.726478,295.363,0,6.1,0.0,83.8,0.774194,0.35173423835,0.773521505376,0.892,1.0,3.228,0.780242,380.771,0.68414,0.287487349,0.144374015979944,8.143,10.192,203.082,295.363,6.1,84.038,1.137,2.354,0.0058432
28,200604,ES-LJu,36.92659,-2.75212,OSH,Arid,0.331161,0.458803,0.0103126,0.828472,38.3831,0.854861,67.3358,0.861111,10.81,0.870833,223.757,0.823611,333.881,0,7.299,0.0,83.736,0.7125,0.297365606634,0.651388888889,1.403,1.0,2.337,0.667361,374.207,0.829167,0.270273689677419,0.136294358793782,11.48,13.177,240.27,333.881,7.299,83.811,2.071,2.1,0.3414736
29,200605,ES-LJu,36.92659,-2.75212,OSH,Arid,1.34734,1.51731,-0.377888,0.965726,55.2462,0.979839,69.8662,0.981855,15.16,0.995296,253.544,0.93078,360.183,0,9.098,0.93078,84.109,0.74664,0.276919023732,0.656586021505,1.522,1.0,2.258,0.725806,372.153,0.981183,0.197115481428571,0.116731317626397,14.513,16.053,267.019,360.183,8.765,84.008,3.69,2.243,0.969452
30,200606,ES-LJu,36.92659,-2.75212,OSH,Arid,1.35659,1.84802,-0.475478,0.945139,65.0434,1.0,92.3753,1.0,17.4,1.0,297.732,0.788889,369.824,0,11.809,1.0,84.226,0.997917,0.240834395167,0.965972222222,0.685,1.0,2.156,0.979861,375.64,1.0,0.28871325483871,0.121461301635256,16.867,18.29,298.455,369.824,10.96,84.028,0.937,2.384,0.8811119999999999
31,200607,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.117475,0.997108,0.232508,0.584005,39.6856,0.998656,117.711,1.0,22.554,1.0,302.637,0.0255376,397.012,0,19.588,1.0,84.467,0.998656,0.259689516907,0.999327956989,0.013,1.0,2.733,1.0,367.233,0.733871,0.410101913666667,0.143611623636087,20.974,22.744,301.814,397.012,15.896,84.105,0.016,2.196,0.115033
32,200608,ES-LJu,36.92659,-2.75212,OSH,Arid,-0.334078,0.37714,0.375178,0.882392,19.3824,1.0,114.366,1.0,20.806,1.0,280.618,0.607527,390.74,0,15.281,1.0,84.133,1.0,0.229726367876,1.0,0.079,1.0,2.182,1.0,364.927,1.0,0.509425036451613,0.186911978431972,19.578,21.255,272.284,390.74,12.719,83.889,0.312,2.289,0.041100000000000025
