Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.158859,0.0,0.234486,0.0,,0.0,,0.0,1.987,0.0,97.984,0.0,270.554,0,4.535,0.0,77.896,0.0,,,1.623,0,5.337,0.0,,,0.100000001419355,0.0200940832615506,1.987,3.369,97.984,270.554,4.535,77.896,1.623,5.337,0.075627
2,200902,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.15828,0.0,0.238873,0.0,,0.0,,0.0,3.055,0.0,145.923,0.0,271.319,0,4.809,0.0,77.763,0.0,,,2.728,0,5.346,0.0,,,0.30000001,0.122201213799505,3.055,4.657,145.923,271.319,4.809,77.763,2.728,5.346,0.080593
3,200903,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.130392,0.0,0.220172,0.0,,0.0,,0.0,5.401,0.0,199.26,0.0,287.624,0,5.487,0.0,77.778,0.0,,,2.043,0,5.609,0.0,,,0.289636110666667,0.133783367896661,5.401,7.089,199.26,287.624,5.487,77.778,2.043,5.609,0.08978
4,200904,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.136196,0.0,0.230921,0.0,,0.0,,0.0,6.494,0.0,260.029,0.0,293.225,0,6.237,0.0,77.729,0.0,,,0.822,0,5.368,0.0,,,0.260956796129032,0.12119122230437,6.494,8.035,260.029,293.225,6.237,77.729,0.822,5.368,0.09472499999999998
5,200905,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.110035,0.0,0.225464,0.0813172,,0.081317,,0.081317,10.801,0.0819892,312.22,0.0833333,328.895,0,8.04,0.0819892,77.883,0.0759409,,,0.186,0,5.232,0.0766129,,,0.0999999994642857,,10.875,12.491,307.891,328.895,8.282,77.876,0.186,5.258,0.115429
6,200906,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.28982,0.0,0.667959,1.0,,0.999306,,1.0,14.626,1.0,358.364,1.0,369.017,0,10.958,1.0,77.926,1.0,0.502196993092,0.998611111111,0.105,0,5.326,1.0,362.641,1.0,0.146639810645161,,14.749,16.214,313.004,369.017,10.871,77.83,0.105,4.88,0.37813899999999995
7,200907,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.552047,0.0,0.748609,0.998656,,1.0,,1.0,18.624,1.0,339.738,1.0,378.504,0,16.039,1.0,78.223,0.999328,0.440961646424,0.997311827957,0.005,0,5.129,0.999328,374.91,1.0,0.301729832333333,0.109763899566843,16.866,18.521,315.692,378.504,12.844,77.925,0.005,4.313,0.19656200000000001
8,200908,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.21126,0.0386834,0.649663,1.0,,1.0,,1.0,16.866,1.0,198.479,1.0,369.328,0,11.548,1.0,78.064,1.0,0.378010586873,0.997983870968,0.212,0,3.307,1.0,363.509,1.0,0.490300080322581,0.123924241221936,15.765,17.502,282.635,369.328,10.765,77.835,0.212,4.507,0.438403
9,200909,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.0182362,0.0,0.464712,1.0,,0.999306,,1.0,10.024,1.0,175.169,1.0,350.619,0,4.745,1.0,77.812,1.0,0.408226061449,0.965277777778,3.096,0,3.445,0.967361,370.712,1.0,0.470938113333333,0.131810793865826,11.899,13.181,201.078,350.619,7.336,77.944,3.096,4.705,0.44647580000000003
10,200910,ES-Ln2,36.9695,-3.47582,OSH,Temperate,0.0453102,0.306575,0.329574,0.998656,,0.999328,,1.0,10.348,1.0,205.739,1.0,327.105,0,6.011,1.0,77.933,0.998656,0.371258110351,0.993279569892,0.317,0,3.851,0.993952,385.59,1.0,0.36114618516129,0.120160764789154,10.415,12.318,173.365,327.105,6.724,77.988,0.317,4.205,0.3748842
11,200911,ES-Ln2,36.9695,-3.47582,OSH,Temperate,-0.0448048,0.162752,0.161687,0.377083,,0.377083,,0.377083,6.821,0.377083,143.454,0.377778,292.246,0,6.356,0.377083,78.023,0.363889,,,0.593,0,5.851,0.361806,385.745,0.377083,0.30000001,0.114303448652146,6.987,8.758,124.079,292.246,6.168,78.172,0.593,4.761,0.11688219999999999
12,200912,ES-Ln2,36.9695,-3.47582,OSH,Temperate,0.0289532,0.0225222,0.10481,0.71707,,0.518817,,0.719086,3.544,0.730511,95.654,0.736559,294.512,0,3.831,0.730511,77.188,0.606183,0.54870245946,0.554435483871,6.306,0,7.818,0.597446,388.791,0.721774,0.286392314666667,0.115779533135755,4.198,5.421,79.961,294.512,4.673,77.491,6.306,5.911,0.1337632
