Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,FI-Hyy,61.84741,24.29477,ENF,Continental,7.19954,0.499486,-5.05312,0.0,,0.0,,0.0,-6.504,0.0,6.987,0.0,269.075,0.0,0.47,0.0,100.801,0.0,,,0.349,0.0,2.601,0.0,,,,,-6.504,-6.117,6.987,269.075,0.47,100.801,0.349,2.601,2.14642
2,199602,FI-Hyy,61.84741,24.29477,ENF,Continental,6.63955,1.75787,-5.04937,0.0,,0.0,,0.0,-11.479,0.0,27.855,0.0,236.32,0.0,0.556,0.0,99.512,0.0,,,0.745,0.0,3.443,0.0,359.152,0.155891,,,-11.479,-10.731,27.855,236.32,0.556,99.512,0.745,3.443,1.5901800000000001
3,199603,FI-Hyy,61.84741,24.29477,ENF,Continental,7.55925,4.37037,-5.05312,0.0,,0.0,,0.0,-3.49,0.00672043,86.502,0.00739247,246.892,0.0,1.213,0.00672043,100.465,0.0,,,0.805,0.0,2.816,0.0,363.106,0.992608,,,-3.505,-2.15,86.504,246.892,1.207,100.465,0.805,2.816,2.5061299999999997
4,199604,FI-Hyy,61.84741,24.29477,ENF,Continental,5.88097,6.33221,-2.69425,0.0,,0.586111,,0.586806,2.486,1.0,142.905,1.0,271.264,0.0,2.451,1.0,99.846,0.984028,,,0.0,1.0,3.013,0.993056,364.493,0.792361,,,1.94,3.469,147.735,271.264,2.434,99.756,0.719,2.939,3.1867199999999998
5,199605,FI-Hyy,61.84741,24.29477,ENF,Continental,7.28468,7.85101,-3.51191,0.0,,0.997984,,0.997984,8.03,1.0,189.204,1.0,298.094,0.0,5.245,0.997984,99.429,0.993952,0.449141034069,0.796370967742,2.155,1.0,3.024,0.993952,361.789,0.0,,,8.034,8.897,201.398,298.094,4.673,99.298,2.299,2.993,3.77277
6,199606,FI-Hyy,61.84741,24.29477,ENF,Continental,7.89345,8.41144,-3.43489,0.536111,,1.0,,0.999306,12.457,1.0,192.201,1.0,323.116,0.0,5.499,1.0,99.286,0.995833,0.466420207211,0.848611111111,2.467,1.0,3.055,0.993056,359.46,0.53125,,,12.742,13.258,213.403,323.116,5.865,99.132,1.473,3.299,4.458559999999999
7,199607,FI-Hyy,61.84741,24.29477,ENF,Continental,7.85023,7.71043,-2.39195,0.971774,,0.991935,,0.990591,13.539,1.0,166.107,1.0,335.165,0.0,4.307,1.0,99.004,0.971102,0.411109084865,0.92002688172,4.51,1.0,2.884,0.99328,361.66,0.999328,,,13.598,14.21,173.561,335.165,4.684,98.827,4.973,3.127,5.45828
8,199608,FI-Hyy,61.84741,24.29477,ENF,Continental,6.71902,6.39902,-1.80916,0.750672,,0.992608,,0.998656,17.046,1.0,176.093,1.0,334.257,0.0,7.204,1.0,100.288,0.989919,0.374750274243,0.527553763441,0.284,1.0,2.514,0.980511,363.114,1.0,,,16.323,17.628,184.659,334.257,6.654,100.102,0.679,2.538,4.90986
9,199609,FI-Hyy,61.84741,24.29477,ENF,Continental,3.33357,3.73296,-0.245861,0.986111,,1.0,,1.0,7.792,1.0,65.801,1.0,303.77,0.0,1.953,1.0,99.797,0.965278,0.423062964034,0.659722222222,1.007,1.0,2.939,0.959028,362.567,1.0,,,7.545,8.589,92.267,303.77,2.692,99.635,0.807,3.263,3.087709
10,199610,FI-Hyy,61.84741,24.29477,ENF,Continental,1.03332,1.40502,0.887577,0.999328,,1.0,,1.0,5.511,1.0,23.53,1.0,312.492,0.0,0.765,1.0,99.283,0.965726,0.475795218506,0.952284946237,1.639,1.0,3.286,0.991263,370.609,1.0,,,4.95,5.459,31.429,312.492,1.149,99.146,1.552,3.658,1.920897
