Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,FI-Jok,60.8986,23.51345,CRO,Continental,-0.0465078,0.0,0.117498,0.142473,-0.0260764,0.143817,-3.2602,0.144489,-4.062,0.145161,8.862,0.146505,250.876,0,0.373,0.145161,98.882,0,,,1.67,0,3.089,0.137097,,,,,-3.998,-3.5,8.064,250.876,0.365,98.882,1.67,3.067,0.0709902
2,200002,FI-Jok,60.8986,23.51345,CRO,Continental,-0.00845572,0.0202236,0.267181,0.961207,-0.130875,1.0,-4.52278,1.0,-3.225,1.0,27.42,0.994971,251.925,0,0.403,1.0,98.881,0,0.143534713359,0.903017241379,1.652,0,2.43,1.0,388.887,1.0,,0.294098925906866,-3.693,-2.897,27.482,251.925,0.403,98.881,1.652,2.686,0.25872528
3,200003,FI-Jok,60.8986,23.51345,CRO,Continental,-0.0338806,0.011718,0.249461,0.953629,-0.458612,0.99664,2.87535,1.0,-2.353,1.0,101.069,0.987903,238.126,0,1.283,1.0,99.047,0,0.152423183604,0.911962365591,1.229,0,2.866,1.0,382.427,0.99664,,,-2.398,-1.048,90.77,238.126,1.031,99.047,1.229,2.787,0.2155804
4,200004,FI-Jok,60.8986,23.51345,CRO,Continental,0.0907658,0.117897,0.519979,0.692361,10.3997,0.710417,3.16932,0.998611,5.088,0.718056,153.157,0.720833,279.367,0,2.63,0.718056,99.819,0,0.158380057513,0.925,1.069,0,2.234,0.702778,371.146,0.7,,,4.568,6.017,148.297,279.367,2.256,99.819,1.069,2.232,0.6107448
5,200005,FI-Jok,60.8986,23.51345,CRO,Continental,0.221407,0.977612,0.797246,0.897849,31.9259,0.946909,90.3627,0.971102,9.928,0.994624,222.833,0.994624,289.562,0,5.841,0.994624,99.98,0,0.222248020721,0.57997311828,1.106,0,3.403,0.989919,379.229,0.990591,,,9.79,10.758,224.78,289.562,4.814,99.98,1.106,2.757,1.018653
6,200006,FI-Jok,60.8986,23.51345,CRO,Continental,1.57062,2.40648,0.389365,0.333333,36.6827,0.335417,92.3687,0.334722,13.167,0.963889,220.39,0.965278,318.22,0,5.498,0.963194,99.653,0,,,2.009,0,3.065,1.0,370.883,0.332639,,0.20508217097086,13.386,13.958,223.723,318.22,5.276,99.653,2.009,2.749,1.9599849999999999
7,200007,FI-Jok,60.8986,23.51345,CRO,Continental,2.33535,2.45885,0.233107,0.0,56.7256,0.0,60.1383,0.0,15.108,0.859543,175.95,0.641129,342.63,0,3.408,0.637769,99.34,0,,,3.645,0,2.124,0.769489,371.608,0.0,,0.138562901848486,15.474,16.085,183.816,342.63,4.062,99.34,3.645,2.209,2.568457
8,200008,FI-Jok,60.8986,23.51345,CRO,Continental,2.43247,2.32982,0.316894,0.501344,58.6675,0.590054,29.3216,0.58871,13.391,0.997312,160.776,0.997312,323.553,0,2.948,0.997312,99.765,0,,,2.675,0,1.606,0.995296,386.638,0.616935,,0.287519992262937,13.451,14.495,157.776,323.553,3.052,99.765,2.675,1.947,2.749364
9,200009,FI-Jok,60.8986,23.51345,CRO,Continental,0.947852,0.720215,0.827271,0.9125,21.0646,0.940278,36.3241,0.947222,7.794,0.949306,120.814,0.950694,283.86,0,2.431,0.949306,100.465,0,,,0.599,0,1.507,0.93125,398.022,0.947917,,0.420027285074619,8.224,9.73,112.905,283.86,2.304,100.465,0.599,2.034,1.775123
10,200010,FI-Jok,60.8986,23.51345,CRO,Continental,-0.00184634,0.0915144,1.34283,0.830645,11.8245,0.833333,-10.9412,0.834005,7.873,0.834677,34.524,0.83871,313.02,0,1.168,0.834677,100.256,0,,,2.514,0,2.726,0.807124,380.624,0.833333,,0.608318464369742,7.359,7.886,36.57,313.02,1.094,100.256,2.514,2.769,1.34098366
11,200011,FI-Jok,60.8986,23.51345,CRO,Continental,0.0664077,0.0206163,0.756688,0.715972,-0.239751,0.726389,0.338533,0.727083,3.374,0.727778,6.509,0.729167,314.593,0,0.258,0.727778,99.894,0,0.185225354008,0.584722222222,3.837,0,2.713,0.714583,395.817,0.727778,,0.500569662596727,2.932,2.885,5.315,314.593,0.205,99.894,3.837,2.673,0.8230957
12,200012,FI-Jok,60.8986,23.51345,CRO,Continental,-0.040056,0.0146128,0.61129,0.850806,-0.0618704,0.851478,0.689755,0.851478,0.286,0.851478,3.317,0.854839,296.68,0,0.243,0.851478,99.333,0,0.162827261215,0.694892473118,2.051,0,2.43,0.426747,395.907,0.851478,,0.407168936486894,-0.148,-0.157,2.23,296.68,0.106,99.333,2.051,2.404,0.571234
13,200101,FI-Jok,60.8986,23.51345,CRO,Continental,-0.00754669,0.00162355,0.328204,0.988575,-0.0477909,0.995296,1.88771,0.997984,-2.576,1.0,7.365,0.995968,276.748,0,0.236,1.0,100.055,0,0.129226515517,0.911962365591,1.254,0,1.93,0.997312,389.639,0.997984,0.35786495,0.0406457660240336,-2.869,-2.63,6.369,276.748,0.177,100.055,1.254,2.343,0.32065731
14,200102,FI-Jok,60.8986,23.51345,CRO,Continental,-0.115247,0.0228062,0.301072,0.956101,-0.485544,0.991815,4.82862,1.0,-8.789,1.0,41.368,0.96131,229.141,0,0.492,1.0,99.606,0,0.163950278883,0.866071428571,1.654,0,2.422,0.999256,376.523,1.0,0.364649110645161,0.298686311734922,-8.902,-8.197,34.195,229.141,0.368,99.606,1.654,2.73,0.18582500000000002
15,200103,FI-Jok,60.8986,23.51345,CRO,Continental,-0.0647163,0.00606538,0.254493,0.964382,7.90075,1.0,0.129356,1.0,-4.675,1.0,97.064,0.992608,238.828,0,0.999,1.0,99.384,0,0.143250993036,0.923387096774,0.971,0,2.131,0.999328,378.658,1.0,0.338333340666667,0.221807347618833,-4.808,-3.464,84.793,238.828,0.697,99.384,0.971,2.278,0.18977670000000002
16,200104,FI-Jok,60.8986,23.51345,CRO,Continental,-0.0105122,0.0,0.500188,0.970833,57.6803,0.990278,10.3915,0.992361,4.769,1.0,128.408,1.0,284.957,0,1.859,1.0,99.605,0,0.178289110395,0.830555555556,2.067,0,2.388,1.0,384.285,0.994444,0.41663155,,4.255,5.406,127.564,284.957,1.702,99.605,2.067,2.384,0.4896758
17,200105,FI-Jok,60.8986,23.51345,CRO,Continental,0.0768142,0.298825,0.967373,0.879032,51.616,0.967742,61.0983,0.969758,8.144,0.994624,204.839,0.994624,288.209,0,4.193,0.994624,99.721,0,,,0.967,0,2.813,0.990591,384.229,0.977823,0.0921018651428571,0.0695523283198954,8.334,9.246,216.189,288.209,4.04,99.721,0.967,2.345,1.0441872
18,200106,FI-Jok,60.8986,23.51345,CRO,Continental,2.71337,3.10397,-0.361943,0.78125,54.5668,0.822222,48.6404,0.827083,13.178,0.8375,212.941,0.840972,322.737,0,4.883,0.8375,99.523,0,,,1.795,0,2.351,0.814583,381.242,0.830556,0.106569038290323,0.115188778632094,13.459,14.118,208.815,322.737,5.224,99.523,1.795,2.182,2.3514269999999997
19,200107,FI-Jok,60.8986,23.51345,CRO,Continental,7.13063,6.75245,-1.03913,0.844086,124.929,0.902554,-11.5282,0.905242,18.094,0.921371,231.401,0.924731,346.863,0,5.508,0.921371,99.88,0,,,2.478,0,2.163,0.902554,391.747,0.895161,0.377847303,0.163945826455414,18.468,19.201,222.757,346.863,6.652,99.88,2.478,2.245,6.0915
