Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200901,FI-Let,60.64183,23.95952,ENF,Continental,1.90597,0.693109,1.2237,0.0,35.2331,0.0,8.30784,0.0,-4.528,0.0,8.547,0.0,254.709,0,0.327,0.0,99.696,0.0,,,0.793,0.0,2.516,0.0,,,1.0509918,0.218922282276744,-4.528,-4.177,8.547,254.709,0.327,99.696,0.793,2.516,3.12967
2,200902,FI-Let,60.64183,23.95952,ENF,Continental,1.69086,2.04898,1.17385,0.0,44.2393,0.0,10.4966,0.0,-5.762,0.0,29.856,0.0,253.952,0,0.279,0.0,99.828,0.0,,,0.638,0.0,2.15,0.0,,,1.55110052258065,0.272629065520015,-5.762,-5.107,29.856,253.952,0.279,99.828,0.638,2.15,2.86471
3,200903,FI-Let,60.64183,23.95952,ENF,Continental,2.33385,4.40089,1.16018,0.0,61.1919,0.0,15.9447,0.0,-2.767,0.0,80.254,0.0,257.399,0,0.83,0.0,99.663,0.0,,,0.945,0.0,2.198,0.0,,,1.31495946333333,,-2.767,-1.78,80.254,257.399,0.83,99.663,0.945,2.198,3.49403
4,200904,FI-Let,60.64183,23.95952,ENF,Continental,3.66693,7.49738,1.18631,0.0,51.4072,0.0,12.5857,0.0,3.501,0.0,164.326,0.0,268.672,0,2.751,0.0,100.422,0.0,,,0.236,0.0,2.096,0.0,,,1.0155383,,3.501,4.671,164.326,268.672,2.751,100.422,0.236,2.096,4.8532399999999996
5,200905,FI-Let,60.64183,23.95952,ENF,Continental,5.22058,9.53744,1.2237,0.0,49.5951,0.0,11.6943,0.0,10.198,0.0,224.291,0.0,292.109,0,5.024,0.0,100.145,0.0,,,1.074,0.0,2.166,0.0,,,0.57395834,0.248658823456035,10.198,11.14,224.291,292.109,5.024,100.145,1.074,2.166,6.44428
6,200906,FI-Let,60.64183,23.95952,ENF,Continental,6.11324,9.15719,1.18631,0.0,46.5043,0.0,11.3854,0.0,13.589,0.0,209.674,0.0,323.995,0,6.15,0.0,99.907,0.0,,,1.475,0.0,2.019,0.0,,,0.451266570322581,0.30513260060701,13.589,14.202,209.674,323.995,6.15,99.907,1.475,2.019,7.29955
7,200907,FI-Let,60.64183,23.95952,ENF,Continental,6.7664,8.98169,1.17506,0.0,44.9264,0.0,10.6926,0.0,16.2,0.0,196.988,0.0,338.603,0,5.075,0.0,99.599,0.0,,,2.864,0.0,2.047,0.0,,,1.13204069433333,0.236536571454188,16.2,16.845,196.988,338.603,5.075,99.599,2.864,2.047,7.94146
8,200908,FI-Let,60.64183,23.95952,ENF,Continental,6.65921,7.59711,1.16018,0.0,45.8241,0.0,11.9392,0.0,15.619,0.0,159.015,0.0,330.848,0,4.471,0.0,100.025,0.0,,,2.225,0.0,1.891,0.0,,,1.68380463548387,0.263977800518213,15.619,16.449,159.015,330.848,4.471,100.025,2.225,1.891,7.81939
9,200909,FI-Let,60.64183,23.95952,ENF,Continental,5.43083,6.28388,1.91741,0.372222,21.1356,0.374306,8.53953,0.374306,12.136,0.374306,103.079,0.377778,312.991,0,2.8,0.374306,99.843,0.334722,,,1.841,0.343056,2.463,0.340972,405.374,0.372222,3.04416661,0.36335768770961,12.438,13.4,104.61,312.991,3.081,99.835,1.016,2.547,7.3482400000000005
10,200910,FI-Let,60.64183,23.95952,ENF,Continental,1.42527,2.0965,0.842255,0.668683,1.89428,0.690188,-2.88909,0.69086,2.416,0.705645,47.252,0.707661,279.652,0,1.075,0.705645,99.91,0.674059,0.454849838201,0.555107526882,1.652,0.68414,2.332,0.601478,376.485,0.69086,3.4774873483871,0.389244236316324,2.523,3.251,43.961,279.652,1.17,99.904,1.568,2.377,2.267525
