Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200101,FI-Sod,67.36239,26.63859,ENF,Continental,0.00551144,0.00122784,0.00753516,0.922715,-0.00914416,0.915323,-1.17338,0.954301,-7.067,1.0,1.916,1.0,262.675,0,0.422,1.0,98.098,0,,,0.791,0.0,2.137,0.924731,378.505,1.0,0.5192675,,-6.724,,0.787,262.675,0.459,98.098,0.791,2.39,0.0130466
2,200102,FI-Sod,67.36239,26.63859,ENF,Continental,0.0637201,0.0152626,-0.0248585,0.927083,-0.0114779,0.915923,-1.25748,0.988839,-14.456,1.0,23.948,0.99628,225.244,0,0.377,1.0,98.018,0,,,1.057,0.0,2.344,0.970238,372.88,0.987351,0.385987000645161,,-13.557,-12.863,12.988,225.244,0.417,98.018,1.057,2.466,0.0388616
3,200103,FI-Sod,67.36239,26.63859,ENF,Continental,-0.00788766,0.0359269,0.106423,0.879032,1.32604,0.910618,16.3407,0.942876,-11.892,0.992608,86.281,0.975134,216.296,0,0.656,0.992608,97.77,0,,,0.376,0.0,1.781,0.842742,373.677,0.998656,0.60621685,,-11.402,-10.238,70.577,216.296,0.543,97.77,0.376,1.807,0.09853534
4,200104,FI-Sod,67.36239,26.63859,ENF,Continental,0.209991,0.147071,0.491739,0.954861,17.3495,0.980556,39.0123,0.986806,-0.924,1.0,133.415,1.0,254.508,0,1.551,1.0,97.897,0,,,1.52,0.0,1.831,0.651389,371.043,1.0,0.50778925,,-1.433,-0.35,134.324,254.508,1.738,97.897,1.52,2.113,0.70173
5,200105,FI-Sod,67.36239,26.63859,ENF,Continental,2.00333,1.80442,-0.405605,0.976478,36.8227,0.992608,54.9329,0.997312,4.176,1.0,173.569,1.0,271.932,0,3.197,1.0,98.023,0,,,0.986,0.0,2.767,0.471102,372.055,1.0,0.102857139642857,0.327332640587421,3.894,4.429,199.339,271.932,3.442,98.023,0.986,2.458,1.597725
6,200106,FI-Sod,67.36239,26.63859,ENF,Continental,5.91594,4.85809,-1.63464,0.990278,67.6791,0.995833,69.7096,1.0,13.141,0.977778,213.543,0.998611,317.12,0,6.594,0.977778,98.053,0,0.492155856885,0.821527777778,1.483,0.0,2.331,0.594444,363.255,1.0,0.0949167390967742,0.217824078508743,13.785,13.812,214.857,317.12,6.432,98.053,1.483,1.907,4.2813
7,200107,FI-Sod,67.36239,26.63859,ENF,Continental,6.46331,6.99031,0.207067,0.96707,86.4607,0.974462,28.3554,0.980511,14.681,1.0,175.657,1.0,334.756,0,4.62,1.0,98.033,0,0.604733150878,0.530913978495,3.658,0.0,2.944,1.0,358.017,1.0,0.1052900906,0.108407956631809,14.672,14.829,165.512,334.756,4.67,98.033,3.658,2.437,6.670377
8,200108,FI-Sod,67.36239,26.63859,ENF,Continental,5.66022,4.80477,0.719695,0.968414,53.1958,0.986559,25.6595,0.99328,11.555,0.99664,143.291,1.0,320.546,0,3.132,0.99664,98.103,0,,,1.745,0.0,2.445,0.764113,368.766,1.0,0.333723990967742,0.153454750799514,11.722,12.409,124.481,320.546,3.244,98.103,1.745,2.009,6.379915
9,200109,FI-Sod,67.36239,26.63859,ENF,Continental,2.02331,2.54653,1.33363,0.984722,34.0462,0.998611,-5.61611,0.999306,8.008,1.0,63.994,0.997222,309.876,0,1.462,1.0,98.436,0,0.461474013598,0.518055555556,1.492,0.0,2.479,1.0,370.978,1.0,0.566061446333333,0.172294511623556,8.388,9.033,63.4,309.876,1.922,98.436,1.492,2.218,3.35694
10,200110,FI-Sod,67.36239,26.63859,ENF,Continental,0.581799,0.732882,0.654162,0.959005,6.43288,0.993952,-5.77427,0.995296,-0.016,1.0,20.263,1.0,288.437,0,0.42,1.0,97.771,0,0.411824157783,0.532930107527,1.801,0.0,2.26,1.0,373.445,1.0,1.19018719677419,0.252528148729785,-0.171,0.162,16.424,288.437,0.555,97.771,1.801,2.07,1.235961
11,200111,FI-Sod,67.36239,26.63859,ENF,Continental,-0.0165157,0.0408815,0.683577,0.622222,1.37076,0.623611,-9.00679,0.625,-6.516,0.313889,5.547,1.0,253.011,0,0.413,0.313889,97.085,0,,,1.087,0.0,2.644,0.0847222,378.216,1.0,1.01006374387097,0.236907251952718,-7.299,-7.292,2.781,253.011,0.409,97.085,1.087,2.628,0.6670613
12,200112,FI-Sod,67.36239,26.63859,ENF,Continental,-0.174969,0.0025944,0.690208,0.0,-0.642928,0.0,5.56927,0.0,-10.589,0.222446,0.474,1.0,230.28,0,0.401,0.222446,98.434,0,,,0.449,0.0,2.28,0.0,383.576,1.0,0.529270341333333,0.188876243018711,-11.07,,0.01,230.28,0.374,98.434,0.449,2.28,0.515239
13,200201,FI-Sod,67.36239,26.63859,ENF,Continental,-0.218648,0.0,0.551024,0.0,0.0909643,0.0,-1.03599,0.0,-13.69,1.0,3.058,1.0,224.886,0,0.381,1.0,97.059,0,,,1.076,0.0,2.303,0.997984,383.654,1.0,0.5192675,,-12.637,,1.165,224.886,0.43,97.059,1.076,2.254,0.33237599999999995
14,200202,FI-Sod,67.36239,26.63859,ENF,Continental,-0.00916308,0.0,0.371703,0.0833333,0.0873437,0.046875,-0.674651,0.069196,-9.408,1.0,18.036,1.0,248.208,0,0.302,1.0,95.979,0,,,1.356,0.0,2.603,0.848214,382.492,1.0,0.445294603548387,0.192802297950385,-9.473,-9.203,9.713,248.208,0.361,95.979,1.356,2.421,0.36253992
15,200203,FI-Sod,67.36239,26.63859,ENF,Continental,0.0668598,0.0413175,0.332766,0.864919,4.71111,0.895161,5.51705,0.913306,-7.321,1.0,67.105,0.981855,232.583,0,0.909,1.0,97.317,0,,,0.823,0.0,2.141,1.0,381.543,1.0,0.60621685,,-7.21,-5.95,61.133,232.583,0.765,97.317,0.823,2.049,0.39962580000000003
16,200204,FI-Sod,67.36239,26.63859,ENF,Continental,1.84717,1.34827,-0.825729,0.186111,23.7771,0.202083,41.8519,0.240972,2.097,1.0,144.141,1.0,264.184,0,2.424,1.0,98.783,0,,,0.746,0.0,2.575,1.0,380.918,1.0,0.50778925,,1.274,2.336,139.413,264.184,1.988,98.783,0.746,2.235,1.0214409999999998
17,200205,FI-Sod,67.36239,26.63859,ENF,Continental,3.2877,3.0221,-1.38839,0.956317,40.4622,0.988575,74.7578,0.992608,7.135,1.0,199.601,1.0,276.552,0,4.909,1.0,98.583,0,0.561803346771,0.624327956989,0.461,0.0,2.825,1.0,372.694,1.0,0.12,0.531649721220072,7.175,7.696,215.983,276.552,4.914,98.583,0.461,2.102,1.89931
18,200206,FI-Sod,67.36239,26.63859,ENF,Continental,6.05,6.09836,-2.03908,0.965278,70.1415,0.998611,80.9379,0.998611,13.815,1.0,242.036,1.0,306.142,0,7.027,1.0,98.063,0,0.485195951938,0.613194444444,1.633,0.0,2.38,1.0,369.963,1.0,0.0966410284193548,0.199902358416865,14.038,14.061,244.848,306.142,7.2,98.063,1.633,1.691,4.0109200000000005
19,200207,FI-Sod,67.36239,26.63859,ENF,Continental,6.23284,7.89609,-0.346287,0.969758,71.0857,0.981855,44.4532,0.995968,15.463,1.0,187.372,1.0,334.46,0,4.445,0.999328,98.149,0,,,3.492,0.0,2.069,1.0,369.454,1.0,0.162219506333333,0.16110174922825,15.96,16.175,182.991,334.46,5.013,98.149,3.492,1.99,5.886553
20,200208,FI-Sod,67.36239,26.63859,ENF,Continental,6.2658,7.04193,0.51294,0.950941,71.7037,0.966398,28.5639,0.989247,13.333,1.0,150.803,1.0,324.513,0,4.029,0.999328,98.632,0,,,1.487,0.0,1.888,1.0,376.303,1.0,0.521495783225806,0.188839932551811,13.875,14.616,151.287,324.513,4.447,98.632,1.487,1.623,6.778739999999999
21,200209,FI-Sod,67.36239,26.63859,ENF,Continental,3.16057,3.17275,1.49046,0.986806,35.6785,0.982639,0.0339752,0.990972,5.252,1.0,66.988,1.0,297.676,0,1.532,0.997222,98.167,0,,,2.199,0.0,2.185,1.0,370.738,1.0,0.936114374,0.261183378892908,5.202,5.712,62.909,297.676,1.584,98.167,2.199,2.162,4.6510299999999996
22,200210,FI-Sod,67.36239,26.63859,ENF,Continental,0.371741,0.46319,0.607389,0.965054,13.8178,0.987231,-5.99188,0.991263,-2.35,0.995968,28.931,0.995968,261.507,0,0.761,0.995968,98.365,0,,,0.715,0.0,2.22,1.0,371.986,1.0,1.16494018064516,0.280034522776927,-2.421,-1.916,25.817,261.507,0.809,98.365,0.715,2.162,0.97913
23,200211,FI-Sod,67.36239,26.63859,ENF,Continental,-0.190736,0.0,0.612169,0.960417,-3.46865,0.944444,5.89976,0.95,-10.902,0.998611,5.352,1.0,242.81,0,0.293,0.998611,98.741,0,,,0.517,0.0,1.571,0.949306,378.766,1.0,0.936254980322581,0.26539641999244,-10.988,-10.526,2.572,242.81,0.202,98.741,0.517,1.829,0.42143299999999995
24,200212,FI-Sod,67.36239,26.63859,ENF,Continental,-0.84742,0.0,1.10345,0.768817,0.0511997,0.886425,-2.24514,0.980511,-15.06,1.0,0.499,1.0,222.083,0,0.297,1.0,99.046,0,,,0.546,0.0,1.909,0.893145,381.966,1.0,0.548237415666667,0.215200536445801,-13.713,,0.019,222.083,0.223,99.046,0.546,2.192,0.2560300000000001
25,200301,FI-Sod,67.36239,26.63859,ENF,Continental,-0.134562,0.00894993,0.785207,0.907258,-0.0496996,0.88172,0.560363,0.840054,-20.144,1.0,2.587,1.0,204.937,0,0.242,1.0,96.987,0,,,1.157,0.0,1.833,1.0,385.474,1.0,0.5192675,,-19.234,,1.1,204.937,0.152,96.987,1.157,2.076,0.650645
