Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,FR-Fon,48.47636,2.7801,DBF,Temperate,0.599707,0.264975,1.33521,0.0,,0.0,,0.0,4.584,0.0,38.192,0.0,290.643,0,0.955,0.0,101.084,0.0,,,1.758,0.0,2.937,0.0,,,0.292575711612903,0.183058245473294,4.584,5.282,38.192,290.643,0.955,101.084,1.758,2.937,1.934917
2,200502,FR-Fon,48.47636,2.7801,DBF,Temperate,0.478618,0.535261,1.33616,0.0,,0.0,,0.0,2.593,0.0,77.793,0.0,273.108,0,1.118,0.0,100.583,0.0,,,1.744,0.0,2.801,0.0,,,2.83197639032258,0.438787568232723,2.593,3.648,77.793,273.108,1.118,100.583,1.744,2.801,1.814778
3,200503,FR-Fon,48.47636,2.7801,DBF,Temperate,0.85396,0.85725,1.43585,0.701613,,0.702957,,0.702957,7.255,0.702957,108.783,0.704301,292.366,0,2.597,0.702957,100.463,0.693548,0.393560571726,0.677419354839,1.995,0.693548,2.473,0.693548,382.562,0.702957,1.29669695466667,0.387046813044069,6.881,8.229,120.73,292.366,1.813,100.288,1.51,2.292,2.28981
4,200504,FR-Fon,48.47636,2.7801,DBF,Temperate,2.67479,2.26704,1.11034,0.998611,,1.0,,1.0,10.887,1.0,160.377,1.0,310.385,0,4.243,1.0,100.308,1.0,0.474228576806,1.0,1.644,1.0,2.659,1.0,379.932,0.999306,0.552561597096774,0.275671612380197,10.75,11.947,166.632,310.385,3.049,100.052,2.195,2.421,3.7851299999999997
5,200505,FR-Fon,48.47636,2.7801,DBF,Temperate,9.45258,9.05234,-4.2881,0.995296,,1.0,,1.0,13.973,1.0,219.931,1.0,318.764,0,5.828,1.0,100.612,1.0,0.434905051613,1.0,2.05,1.0,2.599,1.0,374.873,1.0,0.559914663571429,0.196994377259615,14.354,15.59,232.153,318.764,4.993,100.337,1.721,2.352,5.164479999999999
6,200506,FR-Fon,48.47636,2.7801,DBF,Temperate,12.3754,13.4936,-6.76827,0.986111,,0.999306,,1.0,18.196,1.0,246.534,1.0,341.27,0,7.349,1.0,100.757,1.0,0.372753060694,1.0,2.964,1.0,2.287,1.0,371.2,1.0,0.753761541290323,0.210592789798623,18.783,19.966,264.576,341.27,7.283,100.485,1.443,2.008,5.607130000000001
7,200507,FR-Fon,48.47636,2.7801,DBF,Temperate,11.9373,11.948,-6.06364,0.987231,,0.999328,,1.0,19.107,1.0,213.98,1.0,357.107,0,6.939,1.0,100.504,1.0,0.416252703629,1.0,2.711,1.0,2.483,1.0,361.134,1.0,1.54849307333333,0.337739963416525,19.301,20.318,213.325,357.107,6.908,100.237,1.579,2.397,5.87366
8,200508,FR-Fon,48.47636,2.7801,DBF,Temperate,9.60099,9.226,-5.13368,0.961022,,1.0,,1.0,17.59,1.0,211.695,0.997312,339.64,0,7.069,1.0,100.731,1.0,0.335034469691,1.0,1.565,1.0,2.204,1.0,361.192,1.0,4.76200223225806,0.572798212467136,17.703,19.05,206.214,339.64,6.884,100.462,0.993,2.095,4.4673099999999994
9,200509,FR-Fon,48.47636,2.7801,DBF,Temperate,6.17461,5.91075,-3.05834,0.988889,,1.0,,1.0,16.564,1.0,147.42,1.0,339.647,0,5.278,1.0,100.755,1.0,0.325787108625,1.0,1.21,1.0,2.244,1.0,373.952,0.999306,5.05383650333333,0.625985189267532,16.721,18.168,148.554,339.647,5.487,100.492,1.106,2.002,3.1162700000000005
10,200510,FR-Fon,48.47636,2.7801,DBF,Temperate,3.57314,3.9927,-0.349951,0.997984,,1.0,,1.0,14.586,1.0,90.99,1.0,334.416,0,3.744,1.0,100.566,1.0,0.448170495094,1.0,0.864,1.0,2.734,1.0,381.047,0.999328,4.98673159354839,0.574331877513476,15.064,16.442,92.188,334.416,3.607,100.343,1.42,2.599,3.223189
11,200511,FR-Fon,48.47636,2.7801,DBF,Temperate,1.0428,1.00806,0.583579,0.990278,,0.997917,,0.999306,5.431,1.0,47.774,1.0,289.185,0,1.457,1.0,100.693,1.0,0.411861824028,1.0,0.995,1.0,2.5,1.0,387.985,0.995833,4.43438764516129,0.541319384092547,6.306,7.237,50.975,289.185,1.421,100.424,1.219,2.34,1.626379
12,200512,FR-Fon,48.47636,2.7801,DBF,Temperate,0.115685,0.293382,1.11152,0.995296,,1.0,,1.0,2.875,1.0,29.168,1.0,286.733,0,1.115,1.0,100.768,1.0,0.473816557661,1.0,1.166,1.0,2.585,1.0,388.717,1.0,4.35603299333333,0.50291577045157,3.27,3.867,30.643,286.733,0.882,100.501,1.725,2.618,1.227205
13,200601,FR-Fon,48.47636,2.7801,DBF,Temperate,0.480125,0.204174,0.593142,0.999328,,1.0,,1.0,2.21,1.0,40.815,1.0,281.118,0,1.269,1.0,101.13,0.999328,0.404126277698,0.999327956989,1.252,0.999328,2.443,0.999328,392.669,1.0,0.54814428483871,0.207777946844845,2.957,3.848,43.561,281.118,0.95,100.862,1.269,2.304,1.073267
14,200602,FR-Fon,48.47636,2.7801,DBF,Temperate,0.30702,0.348918,0.805205,0.993304,,0.999256,,0.999256,2.528,1.0,46.247,0.998512,287.275,0,1.198,1.0,100.399,1.0,0.476071636756,1.0,2.356,1.0,2.68,1.0,391.449,1.0,3.38527798709677,0.460752890896454,3.121,4.11,61.704,287.275,0.96,100.107,2.341,2.553,1.112225
15,200603,FR-Fon,48.47636,2.7801,DBF,Temperate,0.888224,0.55237,0.995443,0.999328,,1.0,,1.0,5.437,1.0,103.888,0.985215,291.985,0,2.263,1.0,99.979,1.0,0.612727347782,1.0,2.646,1.0,3.282,1.0,389.213,0.999328,1.112646788,0.333086090028337,6.154,7.249,114.699,291.985,1.84,99.693,3.075,3.105,1.883667
16,200604,FR-Fon,48.47636,2.7801,DBF,Temperate,2.20727,2.56238,0.616768,0.996528,,1.0,,0.997222,10.122,1.0,173.917,0.994444,297.649,0,4.465,1.0,100.451,1.0,0.48417364125,1.0,1.286,1.0,2.609,1.0,379.176,1.0,0.541871445806452,0.216428362366618,9.977,11.372,182.929,297.649,3.371,100.208,0.914,2.287,2.824038
17,200605,FR-Fon,48.47636,2.7801,DBF,Temperate,8.94794,8.08762,-3.64049,0.995968,,0.998656,,1.0,14.092,1.0,184.976,1.0,335.251,0,4.343,1.0,100.463,1.0,0.513606566129,1.0,1.86,1.0,2.859,1.0,373.374,0.999328,0.493218955357143,0.213441719893104,14.28,15.227,181.466,335.251,4.146,100.257,1.993,2.716,5.307449999999999
18,200606,FR-Fon,48.47636,2.7801,DBF,Temperate,12.1291,11.5077,-6.79147,0.99375,,1.0,,1.0,17.86,1.0,272.314,1.0,337.903,0,7.518,1.0,100.851,1.0,0.362088849653,1.0,1.577,1.0,2.307,1.0,368.412,1.0,0.75478040483871,0.230024939435136,18.458,19.643,265.102,337.903,7.632,100.607,0.642,1.907,5.337629999999999
19,200607,FR-Fon,48.47636,2.7801,DBF,Temperate,10.0881,10.683,-5.92655,0.980511,,1.0,,1.0,22.888,1.0,264.803,1.0,370.958,0,12.044,1.0,100.689,1.0,0.35792080961,1.0,2.122,1.0,2.265,1.0,372.593,1.0,1.48311873,0.335203453135515,23.571,24.884,259.782,370.958,12.639,100.453,0.604,1.847,4.161550000000001
20,200608,FR-Fon,48.47636,2.7801,DBF,Temperate,8.96501,8.85713,-4.85268,0.991935,,1.0,,0.999328,16.393,1.0,166.98,1.0,347.859,0,4.54,1.0,100.287,1.0,0.424665241599,1.0,2.541,1.0,2.558,1.0,367.92,1.0,4.36477142258065,0.627321218328764,16.553,17.483,166.153,347.859,4.764,100.028,2.567,2.57,4.112329999999999
21,200609,FR-Fon,48.47636,2.7801,DBF,Temperate,6.49676,7.54582,-1.94959,0.989583,,1.0,,1.0,18.199,1.0,146.625,1.0,349.471,0,5.537,1.0,100.333,1.0,0.35178276,1.0,1.516,1.0,2.326,1.0,377.758,1.0,5.51057499333333,0.661953727378092,17.932,19.263,144.923,349.471,4.981,100.086,2.233,2.151,4.54717
