Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,FR-Pue,43.7413,3.5957,EBF,Temperate,2.59646,1.70258,-1.00848,0.0,,0.0,,0.0,5.165,0.999328,70.605,0.0,272.865,0.0,2.977,0.999328,99.03,0.0,,,1.052,0.998656,2.443,0.0,,,,,5.141,6.463,70.605,272.865,2.605,99.03,0.852,2.443,1.58798
2,200002,FR-Pue,43.7413,3.5957,EBF,Temperate,3.08162,2.24726,-1.0036,0.0,,0.0,,0.0,8.645,1.0,108.967,0.974856,289.384,0.0,4.446,1.0,99.126,0.0,,,1.021,0.999282,2.732,0.0,,,,0.342267044288615,8.356,9.834,105.827,289.384,3.566,99.126,0.506,2.732,2.07802
3,200003,FR-Pue,43.7413,3.5957,EBF,Temperate,3.29603,3.03122,-1.00848,0.0,,0.0,,0.0,9.785,1.0,162.89,1.0,282.257,0.0,5.991,1.0,98.672,0.0,,,1.006,1.0,2.762,0.0,,,,0.320368781515349,9.547,11.209,169.053,282.257,4.914,98.672,1.35,2.762,2.28755
4,200004,FR-Pue,43.7413,3.5957,EBF,Temperate,3.46884,3.18231,-1.00612,0.0,,0.0,,0.0,11.013,1.0,180.706,1.0,307.304,0.0,4.602,1.0,97.666,0.0,,,3.173,1.0,2.563,0.0,,,,0.288481333881516,11.669,12.919,199.154,307.304,4.704,97.666,3.765,2.563,2.46272
5,200005,FR-Pue,43.7413,3.5957,EBF,Temperate,4.58667,3.95974,-1.03684,0.0,,0.0,,0.0,16.569,1.0,238.478,1.0,329.866,0.0,7.351,1.0,98.384,0.0,,,3.071,1.0,1.993,0.0,,,,0.3047807813538,16.917,18.334,255.865,329.866,7.27,98.384,1.989,1.993,3.54983
6,200006,FR-Pue,43.7413,3.5957,EBF,Temperate,5.2438,4.53399,-1.00296,0.0,,0.0,,0.0,19.332,0.997222,280.96,0.999306,341.861,0.0,9.883,0.997222,98.665,0.0,,,1.693,1.0,2.577,0.0,,,,0.314739219998158,20.073,21.365,287.819,341.861,10.22,98.665,2.295,2.577,4.24084
7,200007,FR-Pue,43.7413,3.5957,EBF,Temperate,5.17093,4.40977,-0.714819,0.225134,,0.25,,0.247984,20.124,1.0,268.477,1.0,340.225,0.0,11.42,1.0,98.251,0.0,,,1.445,1.0,2.58,0.105511,,,,0.336910959969068,20.069,21.352,276.147,340.225,10.814,98.251,1.102,2.574,4.456111
8,200008,FR-Pue,43.7413,3.5957,EBF,Temperate,2.72777,2.34996,-0.497039,0.936828,,0.982527,,0.97379,22.52,1.0,221.847,1.0,355.347,0.0,12.296,1.0,98.512,0.0,0.40197827033,0.666666666667,1.71,0.997984,2.533,0.99664,377.531,0.998656,,0.361933793478412,22.207,23.854,245.662,355.347,11.615,98.512,0.906,1.925,2.230731
9,200009,FR-Pue,43.7413,3.5957,EBF,Temperate,1.59185,2.35667,-0.370996,0.616667,,0.638889,,0.631944,18.618,0.770139,187.608,0.755556,333.434,0.0,8.789,0.770139,98.324,0.0,,,4.022,0.765972,2.353,0.788889,385.036,0.763194,,0.421410146785369,18.406,19.986,187.536,333.434,8.034,98.324,2.716,2.059,1.220854
10,200010,FR-Pue,43.7413,3.5957,EBF,Temperate,2.74104,3.42993,-0.0942827,0.96707,,1.0,,0.998656,13.442,1.0,99.67,1.0,324.781,0.0,3.981,1.0,98.351,0.0,0.437309486108,0.735887096774,2.316,1.0,2.496,1.0,390.702,1.0,,0.407121378806856,13.429,14.618,108.176,324.781,4.084,98.351,4.165,2.423,2.6467573
11,200011,FR-Pue,43.7413,3.5957,EBF,Temperate,2.77981,3.23218,-0.180061,0.644444,,0.754167,,0.738889,9.477,1.0,58.803,0.998611,308.641,0.0,2.487,1.0,97.902,0.0,,,2.647,1.0,2.645,0.457639,390.43,0.754861,,0.371499312548503,9.619,10.577,64.845,308.641,2.734,97.902,3.94,2.474,2.599749
12,200012,FR-Pue,43.7413,3.5957,EBF,Temperate,1.80688,2.02653,0.947007,0.891129,,0.985887,,0.985887,8.618,1.0,42.2,1.0,302.674,0.0,1.464,1.0,98.091,0.0,0.376420229634,0.629032258065,5.31,1.0,2.603,0.856183,387.032,0.990591,,0.356185325372403,8.45,9.548,47.439,302.674,2.051,98.091,4.246,2.418,2.753887
