Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.157842,0.0,0.154277,0.0,,0.0,,0.0,-17.914,1.0,0.0,1.0,151.203,0,0.713,1.0,95.794,0,,,0.035,1.0,3.677,0.0,,,,,-18.842,,0.0,151.203,0.619,95.794,0.562,3.677,0.31211900000000004
2,200002,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.115196,0.0664233,0.153012,0.0,,0.0,,0.0,-19.537,1.0,5.935,1.0,160.088,0,0.477,1.0,95.774,0,,,0.031,1.0,4.125,0.0,,,,,-20.061,,3.237,160.088,0.473,95.774,0.543,4.125,0.268208
3,200003,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.0412357,0.39039,0.180657,0.0,,0.0,,0.0,-21.101,1.0,62.422,1.0,138.979,0,0.528,1.0,96.934,0,,,0.023,1.0,3.358,0.0,,,,,-21.357,-20.659,51.713,138.979,0.463,96.934,0.088,3.358,0.2218927
4,200004,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.171163,0.756798,0.175297,0.0,,0.0,,0.0,-16.1,1.0,177.898,0.99375,164.144,0,0.681,1.0,97.39,0,,,0.013,1.0,2.102,0.0,,,,,-13.714,-13.144,160.666,164.144,0.834,97.39,0.091,2.102,0.34646
5,200005,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.55021,1.05211,0.08613,0.00336022,,0.021505,,0.022177,-5.451,1.0,270.44,0.995296,223.945,0,1.199,1.0,96.82,0,,,0.658,0.99328,2.252,0.0,,,,,-4.331,-4.288,238.325,223.945,1.188,96.82,0.281,2.252,0.63634
6,200006,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.800216,1.12129,0.0351014,0.910417,,0.951389,,0.951389,1.956,1.0,292.421,0.998611,247.234,0,1.682,1.0,97.125,0,0.123016471944,0.781944444444,0.327,1.0,1.891,0.790972,368.478,0.952778,,,3.035,3.084,306.905,247.234,1.916,97.125,0.076,1.753,0.8353174
7,200007,GL-ZaH,74.47328,-20.5503,GRA,Arctic,1.53463,0.959743,-0.614157,1.0,,1.0,,1.0,5.31,1.0,227.179,1.0,268.509,0,2.692,1.0,96.805,0,0.171261431517,0.913978494624,0.426,1.0,2.407,0.932124,362.113,1.0,,,4.702,4.737,246.751,268.509,2.13,96.805,0.473,2.199,0.920473
8,200008,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.687958,0.638542,0.059659,0.953629,,0.962366,,0.962366,4.007,1.0,152.469,1.0,255.248,0,2.187,1.0,96.704,0,0.131242303223,0.747311827957,0.0,0.908602,1.837,0.766129,357.29,0.962366,,,3.522,3.801,159.671,255.248,2.268,96.704,0.034,1.735,0.747617
9,200009,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.187088,0.366559,0.317197,0.0,,0.008333,,0.008333,-1.979,1.0,70.903,1.0,239.48,0,1.141,1.0,96.367,0,,,0.187,1.0,2.319,0.0,357.647,0.00833333,,0.16579760976383,-1.368,-0.62,66.546,239.48,1.63,96.367,0.498,2.319,0.504285
10,200010,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.209855,0.133468,0.568271,0.0,,0.0,,0.0,-9.641,1.0,14.239,1.0,222.632,0,0.77,1.0,96.189,0,,,0.187,1.0,3.332,0.0,358.302,0.0,,0.209869374024407,-9.299,-9.139,10.068,222.632,0.91,96.189,0.968,3.332,0.35841599999999996
11,200011,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.2434,0.00544622,0.45428,0.0,,0.0,,0.0,-17.542,1.0,0.359,1.0,171.839,0,0.5,1.0,97.048,0,,,0.07,1.0,3.154,0.0,357.044,0.0,,0.195652789766082,-16.113,,0.097,171.839,0.584,97.048,0.577,3.154,0.21088
12,200012,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.271111,0.0,0.393322,0.0,,0.0,,0.0,-22.953,1.0,0.0,1.0,137.874,0,0.406,1.0,97.205,0,,,0.013,1.0,2.948,0.0,356.468,0.0,,0.117037964654126,-22.534,,0.0,137.874,0.358,97.205,0.037,2.948,0.12221100000000001
13,200101,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.194505,0.0,0.223555,0.0,,0.0,,0.0,-20.531,1.0,0.0,1.0,177.7,0,0.401,1.0,96.169,0,,,0.013,1.0,3.115,0.0,365.436,0.0,0.0,,-19.385,,0.0,177.7,0.432,96.169,0.385,3.115,0.029049999999999992
14,200102,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.0234943,0.0927879,0.0674989,0.0,,0.0,,0.0,-21.097,1.0,6.205,1.0,155.645,0,0.356,1.0,96.77,0,,,0.146,1.0,3.087,0.0,373.901,0.0,0.0644513867741936,,-20.921,,4.469,155.645,0.431,96.77,0.538,3.087,0.044004600000000005
15,200103,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.0524307,0.612784,0.0650364,0.0,,0.0,,0.0,-23.668,1.0,60.612,0.998656,147.696,0,0.343,1.0,97.454,0,,,0.094,1.0,3.049,0.0,374.052,0.0,0.0,,-21.083,-20.604,48.824,147.696,0.412,97.454,0.452,3.049,0.012605699999999997
16,200104,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.106772,1.28703,0.131261,0.0,,0.0,,0.0,-19.505,1.0,177.563,0.994444,154.471,0,0.528,1.0,97.11,0,,,0.11,1.0,2.087,0.0,375.597,0.0,0.0,,-16.336,-15.82,160.653,154.471,0.618,97.11,0.036,2.087,0.024488999999999983
17,200105,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.0756152,1.79474,0.148533,0.0,,0.0,,0.0,-6.328,1.0,270.787,0.985887,217.512,0,0.921,1.0,97.114,0,,,0.265,1.0,1.803,0.0,375.105,0.0,0.0,,-4.602,-4.547,252.592,217.512,1.109,97.114,0.138,1.803,0.2241482
18,200106,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.276735,1.91795,0.304085,0.881944,,0.920139,,0.927778,2.058,1.0,291.14,0.996528,256.491,0,1.687,1.0,97.131,0,0.124874914656,0.688888888889,1.179,0.975,2.097,0.716667,376.592,0.929861,0.0,,3.412,3.453,286.007,256.491,2.045,97.131,0.526,2.185,0.58082
19,200107,GL-ZaH,74.47328,-20.5503,GRA,Arctic,1.05272,1.5736,-0.295102,0.997312,,0.997984,,0.999328,4.915,1.0,227.724,0.995296,266.868,0,2.445,1.0,96.853,0,0.171508505519,0.98252688172,0.129,0.995968,2.516,0.987903,369.762,0.999328,0.0,0.115894697179047,5.098,5.135,243.822,266.868,2.32,96.853,0.089,2.031,0.7576180000000001
20,200108,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.848346,0.55338,0.179773,0.985215,,0.99328,,1.0,5.843,1.0,160.167,0.922715,270.509,0,2.143,1.0,96.654,0,0.138759709707,0.858198924731,0.684,0.983871,2.386,0.875,357.188,0.99328,0.17087191,,4.598,4.746,142.746,270.509,1.984,96.654,0.612,2.19,1.028119
21,200109,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.132924,0.317098,0.691858,0.0104167,,0.004861,,0.048611,-0.381,1.0,79.603,0.903472,215.242,0,1.672,1.0,96.849,0,,,0.34,1.0,2.663,0.0,361.717,0.00347222,0.28975813,0.227390083636656,-2.39,-1.626,64.341,215.242,2.038,96.849,0.343,2.663,0.8247819999999999
22,200110,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.79241,0.0597685,1.10082,0.0,,0.0,,0.0,-9.329,1.0,14.862,0.995968,177.721,0,0.797,1.0,96.382,0,,,0.09,1.0,3.014,0.0,361.749,0.0,0.418941913548387,0.230857161208483,-10.832,-10.69,11.926,177.721,1.223,96.382,0.716,3.014,0.30840999999999996
23,200111,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-1.1261,0.000854217,1.22558,0.0,,0.0,,0.0,-16.456,1.0,0.211,1.0,169.272,0,0.617,1.0,95.807,0,,,0.013,1.0,3.783,0.0,362.323,0.0,0.418821300322581,0.215906871011877,-17.505,,0.081,169.272,0.58,95.807,0.967,3.783,0.09947999999999979
24,200112,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.967998,0.0,1.16696,0.0,,0.0,,0.0,-13.227,1.0,0.0,1.0,183.724,0,0.751,1.0,96.528,0,,,0.039,1.0,4.047,0.0,362.389,0.0,0.280400163,0.178140733493559,-13.346,,0.0,183.724,0.775,96.528,1.064,4.047,0.19896199999999997
25,200201,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.460818,0.0,0.55583,0.0,,0.0,,0.0,-21.681,1.0,0.0,1.0,133.485,0,0.468,1.0,95.864,0,,,0.048,1.0,3.012,0.0,359.112,0.0,0.0,,-21.404,,0.0,133.485,0.476,95.864,0.271,3.012,0.09501200000000004
26,200202,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.0698499,0.0,0.032198,0.0,,0.0,,0.0,-21.016,1.0,7.81,1.0,137.674,0,0.41,1.0,95.976,0,,,0.204,1.0,4.251,0.0,356.717,0.0,0.0460535048387097,0.603053296017631,-23.347,,4.507,137.674,0.305,95.976,0.459,4.251,0.1020479
27,200203,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.0513682,0.0,0.0325763,0.0,,0.0,,0.0,-22.689,1.0,65.858,1.0,135.023,0,0.446,1.0,96.604,0,,,0.058,1.0,3.077,0.0,357.434,0.0,0.0,,-21.109,-20.475,45.523,135.023,0.527,96.604,0.139,3.077,0.0839445
28,200204,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.000627985,0.0,0.200122,0.0,,0.0,,0.0,-14.617,1.0,151.756,1.0,177.831,0,0.786,1.0,96.832,0,,,0.0,1.0,3.397,0.0,361.552,0.0,0.0,,-13.826,-13.485,124.221,177.831,0.873,96.832,0.719,3.397,0.200749985
29,200205,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.341717,0.0,0.261814,0.0,,0.061156,,0.061156,-4.133,1.0,260.342,1.0,237.219,0,1.375,1.0,97.484,0,,,0.732,0.998656,2.221,0.0,360.923,0.0611559,0.0,,-2.395,-2.346,222.511,237.219,1.238,97.484,0.634,2.221,0.603531
30,200206,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.606706,0.012664,0.339303,0.692361,,0.947917,,0.947917,2.631,1.0,293.284,0.677778,262.098,0,1.428,1.0,96.767,0,0.101003066121,0.871527777778,2.503,0.966667,1.455,0.891667,366.065,0.947917,0.0,0.51624678730089,4.887,4.922,302.718,262.098,2.066,96.767,0.053,1.817,0.946009
31,200207,GL-ZaH,74.47328,-20.5503,GRA,Arctic,1.53556,1.35758,-0.406446,0.999328,,0.999328,,1.0,5.676,1.0,203.511,0.997984,281.697,0,1.391,1.0,96.579,0,0.156631729796,0.974462365591,0.355,1.0,2.268,0.983871,372.251,1.0,0.0,,5.333,5.361,225.573,281.697,1.657,96.579,0.276,1.847,1.129114
32,200208,GL-ZaH,74.47328,-20.5503,GRA,Arctic,1.09542,0.970675,-0.0483001,0.875672,,0.881048,,0.881048,4.918,1.0,128.519,1.0,266.862,0,1.822,1.0,96.851,0,0.166887242269,0.688172043011,0.487,1.0,2.289,0.692876,365.292,0.882392,0.17087191,,3.272,3.501,132.735,266.862,1.833,96.851,0.631,2.155,1.0471199
33,200209,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.651728,0.369749,0.15364,0.0,,0.0,,0.0,0.451,1.0,73.247,1.0,234.989,0,1.702,1.0,96.926,0,,,0.0,1.0,2.39,0.0,367.245,0.0,0.423140476666667,0.139632390416629,0.301,0.879,75.117,234.989,2.078,96.926,0.241,2.39,0.805368
34,200210,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.0329366,0.0957133,0.5406,0.0,,0.0,,0.0,-5.822,1.0,14.002,1.0,202.71,0,0.863,1.0,97.452,0,,,0.674,1.0,2.394,0.0,368.061,0.0,0.335282757741935,0.189013770696385,-5.666,-5.549,9.972,202.71,1.508,97.452,0.428,2.394,0.5076634
35,200211,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.151153,0.00161131,0.349331,0.0,,0.0,,0.0,-14.49,1.0,0.19,1.0,173.601,0,0.603,1.0,96.9,0,,,0.03,1.0,2.645,0.0,366.469,0.0,0.241389019032258,0.211137578026001,-14.959,,0.082,173.601,0.744,96.9,0.164,2.645,0.198178
36,200212,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.022737,0.0,0.249904,0.0,,0.0,,0.0,-13.645,1.0,0.0,1.0,161.571,0,0.772,1.0,96.639,0,,,0.039,1.0,3.631,0.0,366.088,0.0,0.257995457666667,0.225714922183727,-16.64,,0.0,161.571,0.494,96.639,1.278,3.631,0.27264099999999997
37,200301,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.156374,0.0,0.17538,0.0,,0.0,,0.0,-24.444,1.0,0.0,1.0,117.762,0,0.316,1.0,96.704,0,,,0.01,1.0,2.914,0.0,377.559,0.0,0.0,,-23.956,,0.0,117.762,0.33,96.704,0.074,2.914,0.019005999999999995
38,200302,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.0273334,0.298334,0.116568,0.0,,0.0,,0.0,-17.029,1.0,7.381,1.0,159.052,0,0.454,1.0,95.767,0,,,0.004,1.0,4.062,0.0,385.441,0.0,0.0290322590322581,,-19.172,,4.068,159.052,0.48,95.767,0.757,4.062,0.0892346
39,200303,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.093513,1.31093,0.124082,0.0,,0.0,,0.0,-21.517,1.0,59.279,0.993952,133.726,0,0.418,1.0,96.345,0,,,0.003,1.0,2.919,0.0,385.565,0.0,0.0,,-20.101,-19.881,40.607,133.726,0.351,96.345,0.337,2.919,0.030569
40,200304,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.0758644,2.29704,0.226852,0.0,,0.0,,0.0,-13.748,1.0,163.159,0.995833,171.725,0,0.746,1.0,97.381,0,,,0.0,1.0,2.438,0.0,385.658,0.0,0.0,,-12.241,-11.644,137.597,171.725,0.943,97.381,0.285,2.438,0.1509876
41,200305,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.231376,3.21585,0.140724,0.0114247,,0.028898,,0.028898,-5.615,1.0,264.201,0.991935,223.344,0,0.991,1.0,97.06,0,,,0.029,1.0,1.469,0.0,385.725,0.0288978,0.0,,-2.309,-2.248,259.958,223.344,1.464,97.06,0.012,1.469,0.3721
42,200306,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.434636,3.46192,0.340909,0.963194,,0.988889,,0.988889,2.215,1.0,292.676,1.0,259.287,0,1.193,1.0,97.048,0,0.115493936107,0.717361111111,1.42,0.993056,1.58,0.753472,386.106,0.988889,0.0,0.298843358232474,4.497,4.532,303.954,259.287,1.781,97.048,0.022,1.619,0.775545
43,200307,GL-ZaH,74.47328,-20.5503,GRA,Arctic,1.81107,2.20825,-0.639555,0.998656,,1.0,,1.0,7.655,1.0,206.08,1.0,276.665,0,2.914,1.0,96.928,0,0.16666118095,0.979166666667,0.2,1.0,2.394,0.990591,373.961,1.0,0.0,,5.441,5.48,231.879,276.665,2.308,96.928,0.204,2.272,1.1715149999999999
44,200308,GL-ZaH,74.47328,-20.5503,GRA,Arctic,0.942775,0.996095,-0.0305571,0.998656,,1.0,,1.0,6.552,1.0,150.345,1.0,261.249,0,2.636,1.0,96.841,0,0.150354729178,0.91935483871,0.106,1.0,2.122,0.94086,369.41,1.0,0.10035617483871,,4.576,4.789,164.167,261.249,2.261,96.841,0.129,1.993,0.9122179
45,200309,GL-ZaH,74.47328,-20.5503,GRA,Arctic,-0.428442,0.475545,0.428442,0.129167,,0.15625,,0.15625,0.547,1.0,74.357,1.0,223.482,0,2.203,1.0,96.369,0,,,0.003,1.0,2.622,0.0,376.847,0.15625,0.161568791666667,0.141369355583129,-1.019,-0.367,72.266,223.482,2.056,96.369,0.074,2.622,0.0
