Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,IT-CA3,42.38,12.0222,DBF,Temperate,0.722059,0.678702,0.161575,0.0,5.98172,0.0,4.71386,0.0,6.148,0.0,65.301,0.0,310.713,0.0,1.982,0.0,99.388,0.0,,,1.768,0.0,1.91,0.0,,,0.993678185806452,0.283534264364234,6.148,7.631,65.301,310.713,1.982,99.388,1.768,1.91,0.883634
2,201102,IT-CA3,42.38,12.0222,DBF,Temperate,0.734104,0.891003,0.163827,0.0,8.59714,0.0,6.40896,0.0,6.549,0.0,118.418,0.0,295.612,0.0,2.997,0.0,99.211,0.0,,,1.073,0.0,2.285,0.0,,,0.973125335806452,0.304343874339249,6.549,8.441,118.418,295.612,2.997,99.211,1.073,2.285,0.897931
3,201103,IT-CA3,42.38,12.0222,DBF,Temperate,0.824979,1.02518,0.165225,0.0,8.95472,0.0,6.9815,0.0,9.142,0.0,161.654,0.0,317.271,0.0,3.443,0.0,99.586,0.0,,,3.53,0.0,2.447,0.0,,,1.51439459,0.357116277874152,9.142,10.682,161.654,317.271,3.443,99.586,3.53,2.447,0.9902040000000001
4,201104,IT-CA3,42.38,12.0222,DBF,Temperate,1.00943,1.23891,0.163533,0.0,9.40578,0.0,7.26051,0.0,14.293,0.0,228.337,0.0,333.357,0.0,6.688,0.0,99.253,0.0,,,1.111,0.0,1.8,0.0,,,1.2641052,0.349893361067626,14.293,16.072,228.337,333.357,6.688,99.253,1.111,1.8,1.172963
5,201105,IT-CA3,42.38,12.0222,DBF,Temperate,1.13496,1.40881,0.161575,0.0,10.0023,0.0,7.88224,0.0,17.822,0.0,290.742,0.0,344.44,0.0,9.069,0.0,99.368,0.0,,,1.085,0.0,2.001,0.0,,,0.8953491275,0.294661549120934,17.822,19.538,290.742,344.44,9.069,99.368,1.085,2.001,1.296535
6,201106,IT-CA3,42.38,12.0222,DBF,Temperate,1.25264,1.44517,0.163533,0.0,10.2373,0.0,7.90238,0.0,21.276,0.0,294.308,0.0,369.922,0.0,9.833,0.0,99.239,0.0,,,2.319,0.0,1.627,0.0,,,1.12955422387097,0.32257327249363,21.276,22.759,294.308,369.922,9.833,99.239,2.319,1.627,1.416173
7,201107,IT-CA3,42.38,12.0222,DBF,Temperate,1.28298,1.40867,0.163798,0.0,10.3466,0.0,7.73962,0.0,22.168,0.0,285.104,0.0,371.799,0.0,10.409,0.0,98.94,0.0,,,2.22,0.0,1.886,0.0,,,1.70763052,0.398491611592735,22.168,23.585,285.104,371.799,10.409,98.94,2.22,1.886,1.4467780000000001
8,201108,IT-CA3,42.38,12.0222,DBF,Temperate,1.36197,1.3425,0.165225,0.0,9.71712,0.0,7.5759,0.0,24.56,0.0,272.277,0.0,380.017,0.0,15.363,0.0,99.246,0.0,,,0.196,0.0,1.417,0.0,,,1.7392823516129,0.40314666228479,24.56,26.39,272.277,380.017,15.363,99.246,0.196,1.417,1.5271949999999999
9,201109,IT-CA3,42.38,12.0222,DBF,Temperate,1.26781,1.16191,0.163533,0.0,8.85639,0.0,6.83642,0.0,21.721,0.0,204.613,0.0,366.52,0.0,10.556,0.0,99.362,0.0,,,0.538,0.0,1.608,0.0,,,1.35273700333333,0.3365354272155,21.721,23.547,204.613,366.52,10.556,99.362,0.538,1.608,1.431343
10,201110,IT-CA3,42.38,12.0222,DBF,Temperate,1.03403,0.959225,0.161575,0.0,5.35949,0.0,4.22352,0.0,14.943,0.0,140.132,0.0,330.425,0.0,6.412,0.0,99.607,0.0,,,1.319,0.0,2.06,0.0,,,1.27266141612903,0.404843157115718,14.943,16.774,140.132,330.425,6.412,99.607,1.319,2.06,1.195605
