Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199601,IT-Col,41.84936,13.58814,DBF,Temperate,15.3961,5.25691,-12.3767,0.0,95.3316,0.0,155.585,0.0,0.744,0.0,66.257,0.0,261.57,0.0,1.552,0.0,84.817,0.0,,,2.188,0.0,1.748,0.0,,,,,0.744,1.905,66.257,261.57,1.552,84.817,2.188,1.748,3.019400000000001
2,199602,IT-Col,41.84936,13.58814,DBF,Temperate,15.1947,7.11179,-12.4534,0.0,85.8186,0.0,140.151,0.0,-1.5,0.0,111.403,0.0,244.386,0.0,1.696,0.0,84.426,0.0,,,3.571,0.0,1.876,0.0,,,,,-1.5,-0.156,111.403,244.386,1.696,84.426,3.571,1.876,2.741299999999999
3,199603,IT-Col,41.84936,13.58814,DBF,Temperate,15.0406,8.19693,-12.3767,0.0,85.9972,0.0,140.351,0.0,-2.08,0.766129,130.289,0.768145,260.056,0.0,1.439,0.766129,84.619,0.0,,,3.153,0.751344,1.31,0.672715,,,,,0.936,2.172,148.468,260.056,1.956,84.619,3.979,1.535,2.6639
4,199604,IT-Col,41.84936,13.58814,DBF,Temperate,13.165,9.27019,-10.1864,0.0,62.4394,0.0,92.3798,0.0,2.015,1.0,162.197,1.0,269.554,0.0,2.621,0.997917,84.818,0.0,,,6.787,1.0,1.473,0.963194,,,,,5.169,6.649,201.726,269.554,3.001,84.818,3.268,1.559,2.9785999999999984
5,199605,IT-Col,41.84936,13.58814,DBF,Temperate,13.47,11.7051,-10.0206,0.0,74.1669,0.0,105.44,0.0,7.724,0.800403,251.982,0.803091,284.131,0.0,3.998,0.800403,84.779,0.0,,,4.805,0.716398,1.709,0.774194,,,,,9.013,10.449,244.774,284.131,3.354,84.779,3.252,1.647,3.4494000000000007
6,199606,IT-Col,41.84936,13.58814,DBF,Temperate,12.9271,11.5106,-9.3136,0.211806,74.9331,0.23125,112.918,0.232639,10.845,1.0,266.284,1.0,293.173,0.0,4.343,1.0,85.239,0.0,,,1.333,0.999306,1.456,0.995139,,,,,13.161,14.794,279.511,293.173,5.419,85.239,1.693,1.497,3.6135
7,199607,IT-Col,41.84936,13.58814,DBF,Temperate,10.8048,9.37688,-7.99767,0.932796,88.1937,0.991935,85.8955,0.992608,13.687,0.990591,305.975,0.990591,299.673,0.0,5.885,0.989919,85.124,0.0,0.335065359498,0.551747311828,1.148,0.989247,1.435,0.981183,350.499,0.955645,,,14.466,15.999,280.17,299.673,5.659,85.124,1.964,1.457,2.80713
8,199608,IT-Col,41.84936,13.58814,DBF,Temperate,9.91138,7.56343,-6.95493,0.840054,99.4524,0.88172,71.4904,0.885081,13.676,0.872984,261.685,0.874328,305.232,0.0,4.66,0.872984,85.004,0.0,0.310016356382,0.594758064516,1.498,0.212366,1.544,0.741263,351.43,0.88172,,,14.894,16.441,244.391,305.232,5.366,85.004,1.516,1.324,2.9564499999999994
9,199609,IT-Col,41.84936,13.58814,DBF,Temperate,5.85265,4.95136,-3.69799,0.126389,41.6439,0.184028,23.8957,0.186806,8.306,0.516667,150.379,0.388194,290.111,0.0,2.376,0.505556,84.7,0.0,,,7.168,0.295139,1.675,0.461806,350.312,0.154167,,,9.018,10.277,150.476,290.111,2.833,84.7,6.082,1.668,2.15466
10,199610,IT-Col,41.84936,13.58814,DBF,Temperate,0.968909,0.840228,0.594368,0.515457,14.9423,0.606855,36.1371,0.606855,5.778,0.325941,114.339,0.222446,279.632,0.0,2.123,0.325941,85.07,0.0,0.406329564716,0.523521505376,7.06,0.0,1.913,0.227151,358.03,0.607527,,,6.499,7.731,113.675,279.632,2.114,85.07,7.06,1.764,1.563277
11,199611,IT-Col,41.84936,13.58814,DBF,Temperate,0.0400864,0.350189,0.923493,0.617361,12.6152,0.620833,9.63946,0.622222,4.647,0.659028,69.038,0.660417,275.891,0.0,3.106,0.658333,84.886,0.0,,,6.526,0.0,2.367,0.575694,354.784,0.620833,,,4.186,5.358,68.674,275.891,1.738,84.886,6.526,2.118,0.9635794
12,199612,IT-Col,41.84936,13.58814,DBF,Temperate,-0.0320601,0.565824,0.72554,0.520833,7.58439,0.520833,-12.3623,0.520833,-0.9,0.614919,41.321,0.612231,263.36,0.0,1.384,0.612231,84.608,0.0,,,5.037,0.0,2.08,0.342742,363.222,0.520833,,,0.158,1.214,56.737,263.36,1.365,84.608,5.037,1.918,0.6934798999999999
13,199701,IT-Col,41.84936,13.58814,DBF,Temperate,-0.0288663,0.0584567,0.50216,0.736559,17.6681,0.798387,-4.84296,0.800403,1.152,0.889785,43.142,0.892473,266.681,0.0,3.263,0.889785,85.305,0.0,,,2.908,0.0,1.811,0.741935,357.143,0.800403,,,1.011,2.163,66.403,266.681,1.409,85.305,2.908,1.543,0.47329370000000004
