Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201201,IT-Cp2,41.70427,12.35729,EBF,Temperate,3.77381,4.85037,-1.93103,0.202285,18.8301,0.202285,-3.2538,0.202285,7.325,0.202285,81.198,0.202957,261.471,0,2.69,0.202285,101.667,0.193548,,,0.552,0,2.032,0.0,,,2.89991131290323,0.398548038722139,7.674,9.261,82.008,261.471,2.702,101.687,0.552,2.032,1.84278
2,201202,IT-Cp2,41.70427,12.35729,EBF,Temperate,2.63855,5.81745,-2.56215,0.275144,24.1724,0.299569,25.3935,0.992098,4.533,1.0,105.558,1.0,259.213,0,1.966,1.0,101.19,0.992098,0.492275321144,0.645114942529,3.376,0,2.361,0.0,413.351,0.28592,4.27167995806452,0.422152747225428,6.312,7.623,117.115,259.213,2.672,101.263,3.376,2.361,0.07640000000000002
3,201203,IT-Cp2,41.70427,12.35729,EBF,Temperate,4.46442,6.77846,-3.68524,0.567204,45.9943,0.59207,106.351,1.0,10.817,1.0,185.978,1.0,282.823,0,3.439,1.0,101.885,0.999328,0.437230934615,0.944220430108,0.385,0,1.895,0.0,411.367,0.583333,3.78005311333333,0.443638602262328,12.723,14.634,191.189,282.823,3.966,101.993,0.385,1.895,0.7791799999999998
4,201204,IT-Cp2,41.70427,12.35729,EBF,Temperate,5.26707,4.75997,-2.54128,0.6125,37.4462,0.615278,123.818,1.0,13.266,1.0,204.825,1.0,309.149,0,3.016,1.0,100.589,1.0,0.561297630286,0.979166666667,3.472,0,2.383,0.434028,413.179,0.615972,3.22580689333333,0.423928292692657,13.925,15.172,197.91,309.149,3.468,100.67,3.472,2.23,2.7257900000000004
5,201205,IT-Cp2,41.70427,12.35729,EBF,Temperate,5.18742,5.43465,-1.70796,0.913306,32.4328,0.0,123.192,0.976478,16.48,1.0,263.727,1.0,319.018,0,4.358,1.0,101.363,1.0,0.457086685591,0.629704301075,1.764,0,2.269,1.0,439.428,0.950269,3.16369218965517,0.3741433070749,17.403,18.84,255.181,319.018,4.797,101.322,1.764,2.081,3.4794600000000004
6,201206,IT-Cp2,41.70427,12.35729,EBF,Temperate,5.21455,9.46194,-3.25111,0.0819444,25.2113,0.0,124.115,0.084028,21.855,1.0,293.999,1.0,350.077,0,6.758,1.0,101.365,1.0,,,0.358,0,2.165,1.0,423.166,0.120833,3.65372493870968,0.387756128997207,23.011,24.529,297.724,350.077,7.749,101.409,0.358,1.766,1.9634399999999999
7,201207,IT-Cp2,41.70427,12.35729,EBF,Temperate,6.27019,8.70427,-3.04105,0.0,34.7787,0.0,128.145,0.616263,24.176,1.0,282.259,1.0,357.962,0,7.521,1.0,101.236,1.0,,,1.133,0,2.055,1.0,423.618,0.0,2.7698062,0.413671223040998,24.887,26.338,285.772,357.962,8.452,101.322,1.133,1.759,3.2291400000000006
8,201208,IT-Cp2,41.70427,12.35729,EBF,Temperate,9.24701,7.73106,-4.72618,0.0,68.2767,0.0,133.152,0.998656,25.237,1.0,259.055,1.0,370.742,0,8.488,1.0,101.358,0.999328,0.455684701613,0.960349462366,0.24,0,2.084,0.999328,401.932,0.0,3.15686526129032,0.444099552301281,25.806,27.379,255.964,370.742,9.389,101.48,0.24,1.576,4.520829999999999
9,201209,IT-Cp2,41.70427,12.35729,EBF,Temperate,7.84253,5.32499,-2.38273,0.0,61.7386,0.0,40.2771,1.0,20.881,1.0,153.662,1.0,349.2,0,5.083,1.0,101.283,1.0,0.53858660705,0.963194444444,2.283,0,2.325,1.0,402.015,0.0,2.70734889,0.427364801609642,20.764,22.082,167.332,349.2,5.065,101.346,2.283,1.965,5.4597999999999995
10,201210,IT-Cp2,41.70427,12.35729,EBF,Temperate,5.38718,4.30334,-1.34897,0.850806,49.1439,0.830645,35.3346,0.949597,17.648,1.0,126.205,1.0,326.854,0,3.199,1.0,101.218,1.0,0.287423431625,0.57123655914,4.031,0,2.088,1.0,408.989,0.866935,2.82167661290323,0.419588120891526,17.406,18.648,123.305,326.854,3.67,101.221,4.031,1.914,4.038209999999999
11,201211,IT-Cp2,41.70427,12.35729,EBF,Temperate,4.24662,3.56434,-0.988981,0.998611,24.0845,0.999306,-16.9245,0.999306,14.595,1.0,70.854,1.0,318.483,0,2.619,1.0,101.335,1.0,0.441321225865,0.913888888889,4.025,0,2.511,1.0,407.481,0.999306,2.58295786129032,0.416997614440458,14.322,15.233,67.101,318.483,2.802,101.296,4.025,2.433,3.257639
12,201212,IT-Cp2,41.70427,12.35729,EBF,Temperate,3.01667,3.04677,-0.991867,0.935484,-12.7638,0.934812,28.7848,0.988575,8.684,0.987903,63.301,0.989247,277.189,0,2.199,0.987903,101.384,0.97043,0.442645800439,0.831317204301,2.398,0,2.442,0.97043,404.225,0.987903,3.24645412333333,0.40783343589895,8.668,9.847,64.008,277.189,2.42,101.251,2.398,2.361,2.024803
13,201301,IT-Cp2,41.70427,12.35729,EBF,Temperate,3.56689,3.62194,-1.25854,1.0,24.7199,1.0,-39.5748,0.999328,8.251,1.0,68.691,1.0,283.155,0,1.683,1.0,101.08,1.0,0.419143281826,0.878360215054,3.227,0,2.395,1.0,407.291,1.0,3.86619329677419,0.387279472143076,8.431,9.603,66.917,283.155,2.26,100.95,3.227,2.185,2.30835
14,201302,IT-Cp2,41.70427,12.35729,EBF,Temperate,4.69929,4.82643,-2.45231,1.0,40.3293,1.0,12.9103,1.0,7.221,1.0,113.204,1.0,268.566,0,2.309,1.0,100.895,0.991815,0.441506222251,0.894345238095,2.89,0,2.511,0.991815,406.679,1.0,3.46578029354839,0.425546246078366,7.421,8.783,108.031,268.566,2.627,100.751,2.89,2.265,2.24698
15,201303,IT-Cp2,41.70427,12.35729,EBF,Temperate,5.90545,6.17236,-2.88172,1.0,50.5548,1.0,26.8609,0.999328,10.999,1.0,124.778,1.0,303.357,0,2.317,1.0,100.557,0.999328,0.53675107901,0.920698924731,4.432,0,2.849,0.999328,395.892,1.0,2.49332387333333,0.419910756793179,11.162,12.262,134.93,303.357,2.781,100.501,4.432,2.748,3.02373
