Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200001,IT-La2,45.9542,11.2853,ENF,Temperate,10.29,4.62017,-8.3927,0.0,,0.0,,0.0,-1.718,0.0,74.704,0.0,226.011,0.0,2.946,0.0,89.631,0,,,0.0,1,1.612,0.0,,,,,-1.718,0.194,74.704,226.011,2.946,89.631,0.089,1.612,1.8972999999999995
2,200002,IT-La2,45.9542,11.2853,ENF,Temperate,10.4564,6.09436,-8.34435,0.0,,0.0,,0.0,1.11,0.0,110.324,0.0,245.619,0.0,3.111,0.0,89.701,0,,,0.11,1,1.589,0.0,,,,0.284262491960699,1.11,2.843,110.324,245.619,3.111,89.701,0.164,1.589,2.11205
3,200003,IT-La2,45.9542,11.2853,ENF,Temperate,10.6656,7.9387,-8.3927,0.0,,0.0,,0.0,3.31,0.0,163.826,0.0,257.65,0.0,3.621,0.0,89.32,0,,,3.884,1,1.96,0.0,,,,0.277949425405164,3.31,4.88,163.826,257.65,3.621,89.32,2.68,1.96,2.2729
4,200004,IT-La2,45.9542,11.2853,ENF,Temperate,10.9041,9.31024,-8.36933,0.0,,0.0,,0.0,6.933,0.0,199.37,0.0,284.26,0.0,4.054,0.0,88.766,0,,,2.993,1,1.839,0.0,,,,0.272969600852209,6.933,8.115,199.37,284.26,4.054,88.766,2.614,1.839,2.53477
5,200005,IT-La2,45.9542,11.2853,ENF,Temperate,11.1961,10.9192,-8.36131,0.0,,0.0,,0.0,11.195,0.0,242.499,0.0,307.607,0.0,4.713,0.0,89.476,0,,,1.884,1,1.717,0.0,,,,0.297558340672998,11.195,12.296,242.499,307.607,4.713,89.476,3.338,1.717,2.83479
6,200006,IT-La2,45.9542,11.2853,ENF,Temperate,11.4104,10.9814,-8.36933,0.0,,0.0,,0.0,14.251,0.0,258.77,0.0,322.535,0.0,6.532,0.0,89.795,0,,,5.833,1,1.701,0.0,,,,0.290340822197416,14.251,15.286,258.77,322.535,6.532,89.795,4.649,1.701,3.0410699999999995
7,200007,IT-La2,45.9542,11.2853,ENF,Temperate,9.92295,10.8494,-7.01701,0.358871,,0.498656,,0.494624,13.089,0.0,240.567,0.0,322.537,0.0,5.315,0.0,89.212,0,,,2.548,1,2.129,0.585349,349.7,0.575941,,0.343409590506327,13.089,14.002,240.567,322.537,5.315,89.212,6.629,1.896,2.90594
8,200008,IT-La2,45.9542,11.2853,ENF,Temperate,10.0047,9.90798,-4.60183,0.727823,,0.768817,,0.768817,16.302,0.66129,235.037,0.661962,326.366,0.66129,7.694,0.66129,89.731,0,0.504455419986,0.596774193548,4.968,1,1.856,0.800403,355.612,0.804435,,0.430466810933423,15.318,16.461,230.712,329.432,6.551,89.731,3.326,1.507,5.40287
9,200009,IT-La2,45.9542,11.2853,ENF,Temperate,10.4263,8.67703,-4.26155,0.997917,,0.998611,,0.998611,11.752,1.0,183.497,1.0,311.514,1.0,4.694,0.998611,89.426,0,0.473882749084,0.777777777778,4.54,1,1.762,0.994444,357.738,0.998611,,0.476796555308388,11.434,12.62,165.387,311.342,4.465,89.426,3.905,1.598,6.16475
10,200010,IT-La2,45.9542,11.2853,ENF,Temperate,4.03192,4.5282,-2.439,0.995296,,0.998656,,0.999328,7.272,1.0,74.032,1.0,317.767,1.0,2.12,0.999328,89.447,0,0.478500948652,0.555779569892,8.665,1,2.143,0.748656,366.356,0.999328,,0.472754416860031,7.603,8.618,83.582,303.446,2.826,89.447,6.859,1.835,1.5929200000000003
11,200011,IT-La2,45.9542,11.2853,ENF,Temperate,1.9928,3.28169,-0.537404,0.930556,,0.999306,,0.999306,2.457,1.0,49.882,0.99375,291.677,1.0,1.252,0.999306,88.896,0,,,10.6,1,1.942,0.696528,364.824,0.999306,,0.404371358704921,2.956,3.867,49.47,279.616,2.201,88.896,10.76,1.571,1.455396
12,200012,IT-La2,45.9542,11.2853,ENF,Temperate,1.07057,1.36614,-0.417037,0.855511,,0.872312,,0.872312,1.157,0.872984,51.207,0.872984,258.828,0.872984,2.053,0.872312,89.1,0,0.435779167905,0.612903225806,1.581,1,1.693,0.831989,360.338,0.872312,,0.353680278027263,0.517,1.721,45.754,257.559,2.325,89.1,1.849,1.269,0.653533
13,200101,IT-La2,45.9542,11.2853,ENF,Temperate,0.535768,0.874505,-0.0798674,0.982527,,1.0,,1.0,-1.531,1.0,48.433,1.0,275.392,1.0,0.816,1.0,89.075,0,0.446066070167,0.684811827957,3.561,1,1.912,0.962366,358.608,1.0,0.940880799677419,0.29741415660875,-0.449,0.478,46.556,262.212,2.332,89.075,3.542,1.52,0.4559006
14,200102,IT-La2,45.9542,11.2853,ENF,Temperate,1.98338,2.67543,-0.918793,0.741815,,0.747768,,0.973958,0.772,0.748512,112.746,0.750744,238.491,0.748512,3.211,0.747768,89.247,0,0.483095676345,0.75818452381,1.521,1,1.927,0.970982,357.892,0.747768,1.65307251935484,0.277879154734526,0.787,2.503,107.328,246.502,3.075,89.247,0.677,1.863,1.064587
15,200103,IT-La2,45.9542,11.2853,ENF,Temperate,4.49011,5.45972,-2.79616,0.875672,,0.928763,,0.928091,3.425,0.836022,105.329,0.834005,292.871,0.836022,1.526,0.829973,88.542,0,0.455014428231,0.647849462366,8.123,1,1.936,0.822581,353.022,0.927419,1.39160032,0.266828572408102,4.135,5.352,124.876,282.353,2.987,88.542,4.883,1.774,1.6939499999999996
16,200104,IT-La2,45.9542,11.2853,ENF,Temperate,5.4842,6.64402,-4.05993,0.928472,,0.964583,,0.963194,3.495,0.865972,177.749,0.861111,270.917,0.865972,2.87,0.865278,88.863,0,0.507185896217,0.754166666667,3.913,1,2.087,0.904167,347.015,0.989583,0.975969577096774,0.274032855655964,5.271,6.358,199.606,276.773,3.868,88.863,4.532,2.062,1.4242700000000008
