Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,IT-Lav,45.9562,11.28132,ENF,Temperate,0.88437,0.887779,-0.688046,0.989247,28.8443,0.999328,-14.5564,1.0,-1.1,1.0,75.445,0.999328,232.639,1.0,2.262,1.0,85.655,0.0,0.433900261789,0.842069892473,1.326,0.0,1.307,0.985215,366.085,0.999328,0.827241736451613,0.31372331735891,-0.624,0.788,64.39,245.094,1.778,85.655,1.326,0.995,0.19632399999999994
2,200302,IT-Lav,45.9562,11.28132,ENF,Temperate,1.60925,1.9302,-1.14983,0.939732,11.1251,0.981399,46.4591,0.985119,-3.709,1.0,134.966,1.0,205.055,1.0,2.254,1.0,86.129,0.0,0.407931583222,0.871279761905,0.515,0.0,1.078,0.999256,364.374,0.983631,2.18546959677419,0.260654225054275,-1.599,0.088,126.766,221.568,2.111,86.129,0.515,0.861,0.45942000000000016
3,200303,IT-Lav,45.9562,11.28132,ENF,Temperate,5.0492,6.02914,-4.8068,0.983871,31.0368,0.997984,74.6263,0.997984,3.551,1.0,189.101,0.997984,244.133,1.0,3.525,1.0,86.538,0.0,0.40532021764,0.852822580645,0.476,0.0,1.121,1.0,365.91,0.997312,1.20605112033333,0.27236117866301,3.759,5.661,187.402,254.903,2.763,86.538,0.476,0.829,0.24239999999999995
4,200304,IT-Lav,45.9562,11.28132,ENF,Temperate,7.63002,8.97222,-7.12489,0.981944,61.7018,0.997917,47.081,0.994444,3.734,1.0,190.681,1.0,276.915,1.0,2.42,1.0,86.003,0.0,0.484627489983,0.852083333333,2.989,0.0,1.241,1.0,357.572,0.997222,0.669663896774194,0.258460462242623,5.278,6.49,202.023,276.503,2.618,86.003,2.989,1.097,0.5051300000000003
5,200305,IT-Lav,45.9562,11.28132,ENF,Temperate,10.0122,10.948,-8.14296,0.980511,69.3086,0.995296,100.739,0.995296,12.018,0.994624,256.504,0.994624,300.594,0.993952,5.078,0.994624,86.381,0.0,0.460471543654,0.894489247312,1.981,0.0,1.186,1.0,346.071,0.995968,0.767152905714286,0.316030126220498,11.943,13.179,267.012,301.612,4.391,86.381,1.981,0.928,1.8692399999999996
6,200306,IT-Lav,45.9562,11.28132,ENF,Temperate,8.98108,9.77893,-6.45405,0.992361,90.8458,0.998611,108.539,0.998611,17.556,1.0,288.421,1.0,332.998,1.0,6.221,1.0,86.394,0.0,0.453368497594,0.888194444444,5.425,0.0,1.17,0.994444,360.442,0.998611,1.73641468064516,0.264867564051275,16.663,17.772,278.002,335.421,5.238,86.394,5.425,0.778,2.5270300000000008
7,200307,IT-Lav,45.9562,11.28132,ENF,Temperate,8.85269,10.2005,-6.59881,0.989919,86.5199,0.997312,81.4733,0.997984,16.398,1.0,257.565,1.0,327.881,1.0,5.739,1.0,86.325,0.0,0.444026317341,0.765456989247,7.515,0.0,1.18,0.887769,359.633,0.997312,1.81731435333333,0.286780339736385,15.946,16.897,256.646,333.844,4.685,86.325,7.515,0.854,2.2538800000000005
8,200308,IT-Lav,45.9562,11.28132,ENF,Temperate,6.60394,7.38117,-4.82903,0.994624,76.5186,1.0,72.7633,0.999328,19.393,1.0,232.866,1.0,334.039,1.0,9.054,1.0,86.501,0.0,0.419398599862,0.907930107527,6.841,0.0,1.178,1.0,364.817,0.999328,2.86618721290323,0.377421373019367,16.867,18.16,229.392,338.254,4.694,86.501,6.841,0.802,1.7749099999999993
9,200309,IT-Lav,45.9562,11.28132,ENF,Temperate,6.99363,7.74867,-4.90189,0.936111,54.8633,0.999306,60.4533,0.999306,11.195,1.0,182.304,1.0,293.495,1.0,4.865,1.0,86.602,0.0,0.398745919778,0.836805555556,1.709,0.0,1.06,1.0,362.835,0.999306,2.99553148333333,0.44557511836842,10.86,12.145,174.936,297.766,3.7,86.602,1.709,0.875,2.0917399999999997
10,200310,IT-Lav,45.9562,11.28132,ENF,Temperate,4.28917,5.53038,-3.37774,0.91129,38.8225,0.990591,27.214,0.991263,4.154,1.0,105.403,0.995968,287.522,1.0,1.579,1.0,85.799,0.0,0.370629801343,0.563172043011,3.627,0.0,1.011,0.866263,367.745,0.991263,4.41528128387097,0.425785491514845,5.028,6.152,104.819,278.471,2.166,85.799,3.627,0.85,0.9114300000000002
11,200311,IT-Lav,45.9562,11.28132,ENF,Temperate,3.78236,2.53514,-3.32686,0.815278,24.9736,0.901389,0.867838,0.902083,3.616,1.0,65.515,0.999306,286.438,1.0,1.539,1.0,86.288,0.0,0.331598577787,0.515277777778,4.942,0.0,0.906,0.746528,374.331,0.902083,4.90851343548387,0.393250794998778,3.524,4.917,69.422,273.127,1.628,86.288,4.942,0.663,0.45550000000000024
12,200312,IT-Lav,45.9562,11.28132,ENF,Temperate,1.9973,1.72493,-1.7096,0.743952,24.2283,0.791667,-26.0991,0.797043,0.58,1.0,55.542,1.0,248.962,1.0,2.457,1.0,86.19,0.0,,,1.837,0.0,1.01,0.575269,363.865,0.763441,4.91516410666667,0.3549704450232,0.054,1.382,51.128,248.664,1.791,86.19,1.837,0.946,0.28770000000000007
13,200401,IT-Lav,45.9562,11.28132,ENF,Temperate,1.0295,1.03224,-1.00873,0.983871,24.6812,1.0,-13.3869,1.0,-2.853,1.0,67.055,0.995968,237.771,1.0,1.671,1.0,85.228,1.0,0.374164577707,0.823252688172,0.834,0.0,1.046,0.994624,362.081,0.995296,0.878302151290323,0.257036088812137,-1.398,-0.166,60.509,243.029,1.661,85.383,0.834,0.86,0.020770000000000177
14,200402,IT-Lav,45.9562,11.28132,ENF,Temperate,1.55105,2.0365,-1.29609,0.916667,24.5191,0.993534,0.201637,0.996408,0.157,1.0,89.816,0.997126,250.139,1.0,2.997,1.0,85.881,1.0,0.498542528754,0.826149425287,2.881,0.0,1.49,0.994971,362.895,0.97342,1.77039147419355,0.292860023367654,0.174,1.87,92.799,251.862,1.982,86.004,2.881,1.087,0.2549600000000001
15,200403,IT-Lav,45.9562,11.28132,ENF,Temperate,3.0736,4.01324,-2.78111,0.923387,57.9518,0.997312,26.9141,0.997984,0.559,1.0,148.669,0.984543,267.043,1.0,1.97,1.0,86.122,1.0,0.431512814372,0.789650537634,1.697,0.0,1.117,0.956317,365.154,0.985215,1.18460485666667,0.248836750213214,2.144,3.639,157.365,260.409,2.267,86.227,1.697,1.018,0.2924899999999999
16,200404,IT-Lav,45.9562,11.28132,ENF,Temperate,7.11783,7.94761,-6.39201,0.944444,53.3597,0.997222,47.2938,0.996528,4.508,1.0,160.264,0.998611,292.86,1.0,1.669,1.0,85.713,1.0,0.390943805491,0.736805555556,3.224,0.0,1.004,0.996528,357.112,0.986806,0.787554129,0.258224670206218,5.487,6.821,193.337,281.429,2.386,85.743,3.224,0.981,0.7258199999999997
