Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,IT-MBo,46.01468,11.04583,GRA,Continental,-0.099746,0.0982314,0.713951,0.852151,4.57414,0.900538,-32.1613,0.907258,-2.927,0.94086,73.265,0.939516,245.858,0.94086,1.933,0.94086,83.866,0.0,,,0.815,0.965726,1.587,0.599462,361.731,0.924731,0.100000000064516,0.0578973278863233,-2.73,-1.406,66.244,236.92,1.427,83.866,0.926,1.326,0.614205
2,200302,IT-MBo,46.01468,11.04583,GRA,Continental,0.217003,0.0401659,0.28907,0.912946,3.37706,0.995536,-21.8792,0.995536,-5.828,1.0,123.943,0.959821,216.561,1.0,1.818,1.0,84.292,0.0,0.208019827237,0.614583333333,0.032,1.0,1.418,0.828125,360.351,0.997768,0.807669929354839,0.289146638642309,-3.689,-1.98,126.869,212.965,1.755,84.292,0.485,1.005,0.506073
3,200303,IT-MBo,46.01468,11.04583,GRA,Continental,0.325203,0.41085,0.412556,0.969758,21.8096,0.997984,-7.57711,0.999328,2.103,1.0,198.315,1.0,257.315,1.0,3.179,1.0,84.756,0.0,0.216381862407,0.688172043011,0.145,1.0,1.422,0.872984,360.163,0.999328,0.123530571333333,0.165532862591066,1.899,3.612,189.8,241.807,2.369,84.756,0.398,0.989,0.737759
4,200304,IT-MBo,46.01468,11.04583,GRA,Continental,1.33004,1.33911,0.269008,0.991667,29.5592,0.997917,25.7317,0.998611,2.788,1.0,203.714,1.0,291.797,1.0,2.309,1.0,84.234,0.0,0.271972389084,0.86875,1.22,1.0,1.769,0.986111,351.664,0.999306,0.100000000258065,0.0436933502617702,3.344,4.48,204.747,269.796,2.14,84.234,2.28,1.407,1.5990479999999998
5,200305,IT-MBo,46.01468,11.04583,GRA,Continental,8.86044,8.61325,-3.26361,0.99664,91.5611,0.995968,42.1566,0.99664,10.079,0.998656,266.142,0.998656,314.092,0.998656,4.046,0.998656,84.669,0.0,0.249814920011,0.911290322581,2.826,0.997312,1.505,0.983199,343.398,0.997312,0.0999999997857143,0.0516993249455744,10.176,11.323,267.82,295.636,3.567,84.669,1.88,1.247,5.596830000000001
6,200306,IT-MBo,46.01468,11.04583,GRA,Continental,12.1833,10.964,-1.60924,0.994444,114.975,0.997917,39.7936,0.998611,15.613,0.966667,289.88,0.995833,347.839,0.995833,4.878,0.966667,84.738,0.0,0.218541872661,0.860416666667,4.224,0.970833,1.331,0.95,350.103,0.998611,0.140199160967742,0.143222437894093,15.436,16.514,283.055,333.486,4.441,84.738,4.402,1.096,10.57406
7,200307,IT-MBo,46.01468,11.04583,GRA,Continental,7.00836,6.62305,0.985556,0.998656,100.541,1.0,41.0708,1.0,14.81,1.0,261.172,1.0,346.426,1.0,4.541,1.0,84.659,0.0,0.243505581103,0.91935483871,2.602,0.886425,1.384,0.992608,339.789,1.0,0.364103627333333,0.236370860722873,14.797,15.721,262.217,332.781,4.02,84.659,5.349,1.174,7.993916
8,200308,IT-MBo,46.01468,11.04583,GRA,Continental,5.60515,6.28077,1.00225,0.797715,101.902,0.957661,27.2569,0.975806,16.584,0.547715,248.766,0.550403,341.059,0.547715,5.864,0.547715,84.857,0.0,0.220771532541,0.88373655914,3.289,0.540323,1.457,0.971774,355.727,0.983871,2.18930975483871,0.524418097407709,15.578,16.83,235.458,337.752,3.825,84.857,7.126,1.089,6.6074
9,200309,IT-MBo,46.01468,11.04583,GRA,Continental,4.78092,4.31448,-0.729226,0.99375,64.7181,1.0,27.7318,1.0,9.494,1.0,192.18,1.0,308.507,1.0,3.724,1.0,84.883,0.0,0.210752361439,0.868055555556,1.793,1.0,1.291,0.981944,351.705,1.0,3.34244979333333,0.656343238522763,9.421,10.667,178.937,294.95,3.078,84.883,1.387,1.156,4.051694
10,200310,IT-MBo,46.01468,11.04583,GRA,Continental,1.90508,1.54709,0.861648,0.965726,22.8013,0.971774,7.11962,0.974462,2.74,1.0,109.706,0.997984,302.694,1.0,1.272,1.0,84.05,0.0,0.197526314472,0.586021505376,2.677,1.0,1.252,0.688172,354.08,0.976478,2.81241994193548,0.545495850466306,3.151,4.335,107.937,271.884,1.774,84.05,3.007,1.116,2.766728
11,200311,IT-MBo,46.01468,11.04583,GRA,Continental,0.433681,0.488193,0.840546,0.747222,15.703,0.810417,-4.00522,0.810417,2.098,1.0,72.985,0.998611,295.894,1.0,1.375,1.0,84.505,0.0,,,3.34,1.0,1.078,0.345139,360.137,0.811806,1.90652253548387,0.460731438456945,1.729,3.114,68.577,270.069,1.334,84.505,3.773,0.938,1.274227
12,200312,IT-MBo,46.01468,11.04583,GRA,Continental,0.0271488,0.0922048,0.766948,0.985887,8.64083,0.998656,-40.1543,0.998656,-1.071,1.0,64.618,1.0,258.678,1.0,1.919,1.0,84.391,0.0,0.245249796062,0.753360215054,1.69,1.0,1.592,0.893817,360.068,1.0,1.46807094,0.440222079659216,-1.886,-0.684,50.851,243.466,1.425,84.391,1.289,1.282,0.7940967999999999
13,200401,IT-MBo,46.01468,11.04583,GRA,Continental,-0.13735,0.257324,1.12738,0.97379,0.579977,0.997984,-44.4393,0.999328,-4.403,1.0,80.059,0.994624,229.912,1.0,1.46,1.0,83.582,0.146505,0.237766859062,0.575940860215,0.577,1.0,1.605,0.866263,358.262,0.999328,0.100000000064516,0.0042610079242187,-3.213,-2.085,62.485,239.817,1.392,83.597,0.621,1.176,0.9900300000000001
14,200402,IT-MBo,46.01468,11.04583,GRA,Continental,0.0539075,0.218865,0.867547,0.96408,13.8045,0.997126,-42.3087,0.997126,-1.718,1.0,103.631,0.997126,243.697,1.0,2.339,1.0,84.118,1.0,0.232236656121,0.744252873563,2.014,1.0,1.723,0.985632,359.858,0.996408,0.736281820645161,0.387176154206538,-1.621,0.092,98.279,244.022,1.722,84.217,1.789,1.352,0.9214545
15,200403,IT-MBo,46.01468,11.04583,GRA,Continental,0.0611652,0.126468,0.657419,0.929435,5.83256,0.992608,-24.6417,0.994624,-0.894,1.0,166.143,0.993952,258.378,1.0,1.792,1.0,84.337,1.0,0.209474189794,0.709005376344,1.655,1.0,1.602,0.982527,360.28,0.99328,0.305297501,0.148119789282126,0.291,1.708,160.752,256.063,1.958,84.425,1.215,1.264,0.7185842
16,200404,IT-MBo,46.01468,11.04583,GRA,Continental,0.250937,0.141014,0.74182,0.967361,3.64082,0.998611,-24.2211,1.0,3.122,1.0,184.528,0.998611,282.801,1.0,1.735,1.0,83.961,1.0,0.200602713922,0.777083333333,2.037,1.0,1.526,0.998611,358.465,0.997222,0.100000000933333,0.0385451756252055,3.564,4.758,196.429,276.188,1.986,83.987,2.253,1.244,0.9927570000000001
