Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,IT-PT1,45.20087,9.06104,DBF,Temperate,0.984267,0.873912,0.386418,0.0,37.1843,0.0,39.7747,0.0,3.694,0.0,70.704,0.0,224.475,0,1.408,0.0,101.796,0.0,,,0.625,0.0,1.041,0.0,,,0.0916614146451613,0.112569038557047,3.694,6.065,70.704,224.475,1.408,101.796,0.625,1.041,1.370685
2,200202,IT-PT1,45.20087,9.06104,DBF,Temperate,1.40003,1.12212,0.360617,0.0,37.9147,0.0,40.6409,0.0,7.161,0.0,97.171,0.0,264.768,0,1.597,0.0,100.903,0.0,,,3.716,0.0,1.479,0.0,,,0.599107842903226,0.285508773243417,7.161,9.264,97.171,264.768,1.597,100.903,3.716,1.479,1.760647
3,200203,IT-PT1,45.20087,9.06104,DBF,Temperate,1.82532,1.75045,0.274266,0.295027,36.532,0.298387,42.7367,0.299059,10.955,0.298387,171.91,0.298387,275.623,0,3.165,0.0,101.012,0.297715,,,0.789,0.297715,1.462,0.297715,,,0.271644259333333,0.249590618460115,10.879,13.011,171.044,275.623,3.165,100.936,0.802,1.367,2.099586
4,200204,IT-PT1,45.20087,9.06104,DBF,Temperate,6.26503,6.3148,-2.95243,1.0,39.374,1.0,28.078,1.0,13.536,1.0,175.581,1.0,307.619,0,3.434,0.0,100.768,1.0,0.362404443651,0.7375,3.033,1.0,1.337,0.788889,391.337,1.0,0.101401741612903,,12.853,14.461,176.035,307.619,3.434,100.51,2.458,1.4,3.3126
5,200205,IT-PT1,45.20087,9.06104,DBF,Temperate,9.16286,10.5766,-3.83486,0.948253,112.453,0.952285,22.2011,0.951613,17.887,1.0,224.777,1.0,330.345,0,3.802,0.0,100.757,1.0,0.344240604074,0.630376344086,4.361,1.0,1.296,0.725806,385.822,0.944892,0.0942824041428571,0.113202261475228,17.066,18.37,210.553,330.345,3.802,100.579,6.072,1.292,5.328
6,200206,IT-PT1,45.20087,9.06104,DBF,Temperate,12.887,14.0573,-7.20684,0.996528,166.045,1.0,-2.04213,1.0,23.414,1.0,270.84,1.0,362.444,0,6.729,0.0,100.936,1.0,0.292292030666,0.905555555556,1.8,0.986111,1.076,0.991667,381.603,1.0,0.240793329645161,0.219583415701071,22.623,24.011,247.672,362.444,6.729,100.741,2.3,1.117,5.680160000000001
7,200207,IT-PT1,45.20087,9.06104,DBF,Temperate,12.7238,13.6549,-6.02024,0.998656,159.399,1.0,9.82335,1.0,23.027,1.0,269.125,1.0,360.865,0,7.069,0.0,100.778,1.0,0.29340302066,0.909274193548,2.652,0.995296,1.0,0.985887,382.809,1.0,0.869149757,0.366410225438646,22.897,24.211,248.406,360.865,7.069,100.542,3.255,1.153,6.70356
8,200208,IT-PT1,45.20087,9.06104,DBF,Temperate,9.53735,10.7905,-4.08352,0.991935,102.569,1.0,31.2969,1.0,21.974,1.0,220.819,1.0,357.04,0,4.645,0.0,100.728,1.0,,,2.839,1.0,1.004,0.475806,403.059,1.0,1.36274864516129,0.474017271891572,21.362,22.634,204.326,357.04,4.645,100.531,4.41,1.11,5.45383
9,200209,IT-PT1,45.20087,9.06104,DBF,Temperate,4.80504,5.85985,-1.0099,0.998611,62.0536,1.0,24.7085,1.0,17.989,1.0,164.27,1.0,327.065,0,3.241,0.0,100.913,1.0,0.280188259791,0.88125,2.033,1.0,0.959,0.988194,394.57,1.0,1.81489041333333,0.532537892114229,17.273,18.69,155.912,327.065,3.241,100.752,4.533,1.13,3.79514
10,200210,IT-PT1,45.20087,9.06104,DBF,Temperate,1.63964,1.82922,1.16013,0.981183,15.5512,0.999328,15.1203,1.0,13.571,1.0,85.372,1.0,301.397,0,2.944,0.774194,100.909,1.0,0.228652989355,0.836021505376,2.275,0.995296,0.926,0.990591,419.593,1.0,1.90542541290323,0.506436892701979,13.483,15.259,110.952,301.397,2.378,100.694,2.48,1.232,2.79977
