Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201301,IT-SR2,43.73202,10.29091,ENF,Temperate,2.57373,3.21122,-1.04638,0.971102,16.0974,0.981183,-24.3334,0.981183,7.28,1,52.24,0.984543,315.61,1,1.475,0.999328,100.91,0.0,0.276020450563,0.739247311828,6.308,0.998656,1.313,0.958333,337.343,0.981855,1.42238513548387,0.327903105205353,7.343,8.266,53.821,316.167,2.025,100.91,3.715,1.163,1.5273499999999998
2,201302,IT-SR2,43.73202,10.29091,ENF,Temperate,4.17714,4.50856,-1.67315,0.99256,36.4081,0.999256,-2.20175,1.0,5.944,1,96.583,1.0,291.805,1,2.317,1.0,100.762,0.0,0.290844906054,0.715773809524,3.643,1.0,1.535,0.999256,357.115,1.0,2.34184683548387,0.32026276127417,6.456,7.799,94.678,301.592,2.483,100.762,3.423,1.484,2.50399
3,201303,IT-SR2,43.73202,10.29091,ENF,Temperate,4.51835,5.17125,-1.15554,0.952285,33.7985,0.950941,-10.5015,0.952285,9.769,1,101.026,1.0,327.785,1,2.03,1.0,100.397,0.430108,0.355072061425,0.547043010753,7.702,1.0,1.645,0.760753,372.81,0.975806,2.30000214333333,0.367570218493102,9.895,11.0,118.907,326.318,2.578,100.388,6.471,1.535,3.3628099999999996
4,201304,IT-SR2,43.73202,10.29091,ENF,Temperate,7.51598,6.76735,-2.40452,0.892361,75.0876,0.934722,42.1359,0.938194,14.149,1,195.347,0.952778,339.764,1,3.581,1.0,101.189,1.0,0.340164867483,0.515972222222,4.107,1.0,1.347,0.732639,388.112,0.940972,2.38131390967742,0.365825269688086,14.851,16.193,211.696,337.601,4.1,101.138,2.332,1.288,5.111459999999999
5,201305,IT-SR2,43.73202,10.29091,ENF,Temperate,9.90011,9.7648,-2.06062,0.881048,69.6424,0.975134,69.5429,0.977151,16.017,1,240.667,0.99664,344.978,1,3.868,1.0,100.891,1.0,,,2.678,1.0,1.735,0.823925,373.96,0.99664,1.90855742142857,0.315077565255341,16.482,17.458,238.534,347.208,3.855,100.846,5.234,1.427,7.83949
6,201306,IT-SR2,43.73202,10.29091,ENF,Temperate,11.6533,10.0929,-2.14728,0.964583,94.5802,0.990972,106.596,0.990972,19.708,1,306.144,0.995139,354.306,1,5.687,1.0,101.332,1.0,0.358181408755,0.577777777778,0.606,1.0,1.445,0.907639,378.729,0.995139,1.47125728064516,0.298009313605168,20.191,21.355,277.834,359.64,5.271,101.347,4.471,1.016,9.50602
7,201307,IT-SR2,43.73202,10.29091,ENF,Temperate,10.2833,9.79567,-2.64197,0.975806,96.2279,0.999328,105.294,0.999328,23.987,1,299.447,1.0,380.534,1,7.253,1.0,101.404,1.0,0.309676553616,0.685483870968,0.13,1.0,1.432,0.986559,370.263,1.0,1.88277042,0.286855383185654,23.78,25.06,286.331,377.702,6.889,101.518,2.192,1.049,7.64133
8,201308,IT-SR2,43.73202,10.29091,ENF,Temperate,8.10032,7.89867,-2.70458,0.972446,81.1757,0.997312,88.4703,0.998656,23.764,1,269.961,1.0,374.793,1,8.503,1.0,101.234,1.0,0.313294866562,0.578629032258,0.456,1.0,1.497,0.987903,365.074,1.0,2.3876718483871,0.323289090846129,23.527,24.96,261.981,369.927,7.613,101.373,1.129,1.179,5.39574
9,201309,IT-SR2,43.73202,10.29091,ENF,Temperate,7.69696,5.68804,-1.58651,0.979167,45.6403,0.999306,64.1549,1.0,20.408,1,189.747,1.0,366.305,1,5.528,1.0,101.215,1.0,0.30681256076,0.623611111111,2.175,1.0,1.625,0.995139,360.519,1.0,2.69430999333333,0.337083372047149,20.098,21.427,183.23,360.357,4.993,101.283,2.842,1.091,6.11045
10,201310,IT-SR2,43.73202,10.29091,ENF,Temperate,3.92296,5.18151,0.410739,0.998656,22.9383,1.0,2.88631,1.0,17.787,1,105.736,1.0,368.467,1,3.298,1.0,101.549,1.0,0.298937243466,0.779569892473,4.353,1.0,1.335,0.975806,375.192,1.0,3.37727207419355,0.338648528464339,17.156,18.126,99.572,364.439,3.136,101.588,6.561,1.367,4.333699
