Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,IT-Tor,45.84444,7.57806,GRA,Continental,6.76105,2.86405,-4.12967,0.0,257.136,0.0,85.5859,0.0,-3.202,0.0,62.324,0.653898,248.863,0.0,2.103,0.0,78.549,0.0,,,1.801,0.0,1.07,0.0,,,0.12440477,,-3.202,-2.075,62.574,248.863,2.103,78.549,1.801,1.07,2.63138
2,200802,IT-Tor,45.84444,7.57806,GRA,Continental,6.83358,4.85521,-4.16797,0.0,106.748,0.0,35.7485,0.0,-2.449,0.0,120.037,0.594109,239.343,0.0,2.262,0.0,78.979,0.0,,,0.475,0.0,0.776,0.0,,,0.776341389354839,0.325073890295535,-2.449,-0.894,120.292,239.343,2.262,78.979,0.475,0.776,2.66561
3,200803,IT-Tor,45.84444,7.57806,GRA,Continental,6.81896,6.34242,-4.12967,0.0,106.614,0.0,35.4857,0.0,-2.155,0.0,170.177,0.530914,251.013,0.0,2.149,0.0,77.358,0.0,,,1.467,0.0,1.569,0.0,,,0.699999994,0.264448133559891,-2.155,-1.09,170.423,251.013,2.149,77.358,1.467,1.569,2.6892899999999997
4,200804,IT-Tor,45.84444,7.57806,GRA,Continental,7.22997,7.10799,-4.28103,0.0,274.448,0.0,91.854,0.0,0.677,0.0,196.227,0.466667,267.959,0.0,2.343,0.0,77.712,0.0,,,2.267,0.0,1.391,0.0,,,0.20455493,,0.677,1.545,196.498,267.959,2.343,77.712,2.267,1.391,2.9489399999999995
5,200805,IT-Tor,45.84444,7.57806,GRA,Continental,7.51937,8.42804,-4.24626,0.0,442.751,0.0,148.443,0.0,6.405,0.0,240.333,0.40457,286.436,0.0,3.266,0.0,78.266,0.0,,,1.648,0.0,1.175,0.0,,,0.100000001034483,,6.405,7.319,240.443,286.436,3.266,78.266,1.648,1.175,3.27311
6,200806,IT-Tor,45.84444,7.57806,GRA,Continental,8.28757,8.04632,-4.64115,0.329861,106.648,0.442361,35.4042,0.441667,9.817,0.442361,230.305,0.604167,307.956,0.442361,3.416,0.442361,78.605,0.347222,,,2.213,0.364583,1.234,0.365972,,,0.100000000064516,,9.359,10.195,240.247,304.817,3.636,78.536,2.442,1.045,3.646420000000001
7,200807,IT-Tor,45.84444,7.57806,GRA,Continental,9.14954,8.82913,-4.07202,0.964382,110.193,1.0,34.8793,1.0,10.534,1.0,264.612,1.0,304.687,1.0,4.212,1.0,78.705,0.877016,0.145189686765,0.903225806452,2.65,0.995968,1.455,0.988575,371.343,0.995296,0.100000001,0.0148618283841265,10.575,11.529,264.589,305.95,3.928,78.595,3.626,1.128,5.07752
8,200808,IT-Tor,45.84444,7.57806,GRA,Continental,7.02887,7.46904,-1.6474,0.979839,91.9302,1.0,35.6661,1.0,10.578,1.0,235.031,1.0,308.094,1.0,3.692,1.0,78.682,0.874328,0.1383952842,0.864919354839,1.858,0.995968,1.431,0.981855,369.436,0.997984,0.464632079032258,,10.745,11.797,233.567,308.128,3.894,78.554,2.255,1.064,5.38147
9,200809,IT-Tor,45.84444,7.57806,GRA,Continental,4.26472,4.60638,-0.448687,0.890972,50.9308,1.0,34.9975,0.999306,5.823,1.0,166.422,1.0,297.064,1.0,1.995,1.0,78.487,0.784722,0.118749474422,0.842361111111,2.161,0.993056,1.191,0.966667,371.953,0.998611,1.80195176,0.548092972405687,6.328,7.346,161.9,288.556,2.939,78.476,2.649,1.059,3.8160329999999996
10,200810,IT-Tor,45.84444,7.57806,GRA,Continental,1.77626,1.99997,-0.399113,0.87836,22.985,0.974462,25.7408,0.979839,3.917,0.985887,124.346,0.954973,282.409,0.950269,2.184,0.985887,78.541,0.814516,0.108406347186,0.786290322581,1.792,0.834005,1.13,0.940188,373.312,0.956989,2.78843777741935,0.592890076669153,3.802,4.957,113.418,276.782,2.604,78.537,1.994,0.838,1.377147
