Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,JP-SMF,35.2617,137.0788,MF,Temperate,3.74233,2.76877,0.75835,0.0,,0.0,,0.0,4.297,0.0,87.645,0.0,260.138,0.0,3.564,0.0,98.57,0.0,,,5.762,0.0,3.98,0.0,,,1.12966079032258,0.191669114718458,4.297,5.435,87.645,260.138,3.564,98.57,5.762,3.98,4.50068
2,200202,JP-SMF,35.2617,137.0788,MF,Temperate,3.82379,3.61783,0.712338,0.0,,0.0,,0.0,4.525,0.0,126.767,0.0,257.23,0.0,4.036,0.0,98.979,0.0,,,1.583,0.0,2.93,0.0,,,4.30049396129032,0.403297528711229,4.525,6.093,126.767,257.23,4.036,98.979,1.583,2.93,4.536128
3,200203,JP-SMF,35.2617,137.0788,MF,Temperate,4.55817,4.52895,0.737533,0.0,,0.0,,0.0,8.739,0.0,173.946,0.0,275.32,0.0,5.168,0.0,98.651,0.0,,,4.786,0.0,3.347,0.0,,,2.18680935333333,0.309169363157327,8.739,10.373,173.946,275.32,5.168,98.651,4.786,3.347,5.295703
4,200204,JP-SMF,35.2617,137.0788,MF,Temperate,5.51372,4.89599,0.736865,0.0,,0.0,,0.0,14.367,0.0,191.942,0.0,317.49,0.0,6.613,0.0,98.768,0.0,,,3.33,0.0,3.044,0.0,,,1.36064170967742,0.222015045899826,14.367,15.863,191.942,317.49,6.613,98.768,3.33,3.044,6.250585
5,200205,JP-SMF,35.2617,137.0788,MF,Temperate,6.04396,5.13236,0.75835,0.0,,0.0,,0.0,17.68,0.0,199.863,0.0,342.986,0.0,7.33,0.0,98.394,0.0,,,3.538,0.0,2.476,0.0,,,1.45401546071429,0.217508518570368,17.68,18.999,199.863,342.986,7.33,98.394,3.538,2.476,6.80231
6,200206,JP-SMF,35.2617,137.0788,MF,Temperate,6.63066,5.32202,0.736865,0.0,,0.0,,0.0,21.163,0.0,208.554,0.0,365.634,0.0,8.53,0.0,98.118,0.0,,,3.425,0.0,2.132,0.0,,,1.69252212580645,0.246031321998875,21.163,22.343,208.554,365.634,8.53,98.118,3.425,2.132,7.367525
7,200207,JP-SMF,35.2617,137.0788,MF,Temperate,7.39706,5.36522,0.714711,0.0,,0.0,,0.0,25.974,0.0,207.094,0.0,410.844,0.0,8.688,0.0,98.163,0.0,,,5.601,0.0,2.44,0.0,,,0.952394985333333,0.293420688221419,25.974,27.015,207.094,410.844,8.688,98.163,5.601,2.44,8.111771
8,200208,JP-SMF,35.2617,137.0788,MF,Temperate,7.31904,5.4136,0.737533,0.0,,0.0,,0.0,25.492,0.0,209.397,0.0,398.25,0.0,9.205,0.0,98.303,0.0,,,2.925,0.0,2.532,0.0,,,1.89422313225806,0.483283245011975,25.492,26.584,209.397,398.25,9.205,98.303,2.925,2.532,8.056573
9,200209,JP-SMF,35.2617,137.0788,MF,Temperate,6.46306,4.1281,1.11904,0.0,,0.0,,0.0,21.862,0.108333,148.521,0.109028,373.003,0.108333,7.476,0.108333,98.612,0.0,,,3.791,0.1,2.205,0.1,,,5.59660787666667,0.516261409801931,21.938,23.139,151.578,372.64,7.785,98.612,3.11,2.144,7.5821
10,200210,JP-SMF,35.2617,137.0788,MF,Temperate,5.475,4.42129,0.210995,0.705645,,0.722446,,0.722446,16.69,0.992608,143.906,0.992608,321.1,0.992608,6.346,0.992608,98.772,0.0,0.407774465678,0.532930107527,5.387,0.991263,3.183,0.985215,370.389,0.722446,2.72027883548387,0.523702448150946,16.117,17.548,133.932,319.413,6.115,98.772,3.977,2.492,5.685994999999999
11,200211,JP-SMF,35.2617,137.0788,MF,Temperate,3.1693,2.19598,0.589781,0.984722,,1.0,,1.0,8.339,1.0,106.279,1.0,282.508,1.0,3.649,1.0,98.846,0.0,0.422311498484,0.997222222222,1.068,0.998611,3.224,0.997222,363.422,1.0,2.9753813,0.472394453830275,8.123,9.611,91.042,274.634,4.09,98.846,2.537,2.9,3.7590809999999997
12,200212,JP-SMF,35.2617,137.0788,MF,Temperate,2.3676,1.76268,1.11101,0.995968,,0.999328,,1.0,5.666,1.0,85.812,1.0,268.661,1.0,2.967,1.0,99.104,0.0,0.408169269046,0.999327956989,2.903,1.0,3.238,0.997312,363.532,1.0,4.06075387666667,0.402037139758799,5.493,6.673,71.241,268.954,3.706,99.104,2.674,2.908,3.4786099999999998
13,200301,JP-SMF,35.2617,137.0788,MF,Temperate,1.11634,0.900092,1.14905,0.981183,,0.999328,,0.999328,2.526,1.0,101.003,1.0,246.072,1.0,2.64,1.0,98.737,0.0,0.466619520107,0.992607526882,3.274,1.0,3.67,1.0,364.934,1.0,1.54874261935484,0.27029240723336,2.749,4.094,90.444,247.243,3.623,98.737,3.568,3.474,2.26539
14,200302,JP-SMF,35.2617,137.0788,MF,Temperate,2.15308,1.558,1.2088,0.985119,,1.0,,1.0,4.463,1.0,136.564,1.0,251.035,1.0,3.492,1.0,98.872,0.0,0.466392777989,0.999255952381,2.321,1.0,3.474,1.0,362.193,1.0,3.41216418064516,0.388584227114685,4.277,5.775,125.828,253.958,4.066,98.872,2.001,2.937,3.36188
15,200303,JP-SMF,35.2617,137.0788,MF,Temperate,1.90774,1.60914,0.163944,0.988575,,0.999328,,1.0,6.471,1.0,180.158,1.0,257.753,1.0,4.644,1.0,98.816,0.0,0.552525537634,1.0,3.516,1.0,3.956,1.0,357.856,1.0,2.74026521333333,0.326352356804092,6.442,8.017,172.193,264.619,4.847,98.816,4.006,3.535,2.071684
16,200304,JP-SMF,35.2617,137.0788,MF,Temperate,2.21035,2.78347,0.607632,0.965278,,1.0,,1.0,13.666,1.0,154.909,1.0,325.092,1.0,4.964,1.0,98.677,0.0,0.477579029833,0.995833333333,6.583,1.0,3.786,0.999306,413.071,1.0,1.58339510967742,0.266029329125354,13.818,15.047,158.177,324.532,5.58,98.677,5.997,3.08,2.8179819999999998
17,200305,JP-SMF,35.2617,137.0788,MF,Temperate,5.99615,6.55764,-2.37878,0.936156,,0.997984,,1.0,17.921,1.0,185.72,1.0,345.47,1.0,6.766,1.0,98.689,0.0,0.366667467399,0.999327956989,4.468,1.0,3.073,1.0,385.825,1.0,1.54672791785714,0.266310371882977,17.862,19.166,205.461,342.732,7.093,98.689,3.545,2.7,3.61737
18,200306,JP-SMF,35.2617,137.0788,MF,Temperate,6.84621,6.06622,-0.426303,0.94375,,0.999306,,1.0,21.407,1.0,164.989,1.0,374.774,1.0,7.184,1.0,98.133,0.0,0.348510771277,0.999305555556,4.917,1.0,2.881,1.0,400.807,1.0,1.61904308387097,0.275563206218654,21.574,22.689,186.268,378.409,7.439,98.133,5.055,2.493,6.419907
19,200307,JP-SMF,35.2617,137.0788,MF,Temperate,7.39083,6.7302,-0.264392,0.913306,,0.999328,,0.999328,22.396,1.0,143.474,1.0,397.255,1.0,5.34,1.0,98.203,0.0,0.30975797491,0.993951612903,12.468,1.0,2.518,1.0,407.284,1.0,2.58081992333333,0.329581310466882,22.687,23.558,165.138,394.44,6.701,98.203,7.048,2.232,7.126438
20,200308,JP-SMF,35.2617,137.0788,MF,Temperate,5.99209,6.71908,0.131141,0.932124,,1.0,,1.0,25.583,1.0,180.625,1.0,410.276,1.0,8.219,1.0,98.32,0.0,0.357684145629,0.986559139785,8.919,1.0,3.07,0.999328,399.257,1.0,3.5063836,0.484239174828419,24.941,25.866,164.246,408.357,6.989,98.32,9.045,2.166,6.1232310000000005
21,200309,JP-SMF,35.2617,137.0788,MF,Temperate,5.26558,5.56977,-0.964628,0.958333,,1.0,,1.0,23.339,1.0,180.86,1.0,377.563,1.0,9.084,1.0,98.594,0.0,0.370021573419,0.954166666667,5.233,1.0,2.841,1.0,389.988,1.0,4.12342506,0.547821514092567,22.761,23.959,167.856,380.839,7.464,98.594,3.948,2.385,4.300952
22,200310,JP-SMF,35.2617,137.0788,MF,Temperate,4.48835,4.24221,0.545668,0.975806,,1.0,,1.0,15.694,1.0,141.654,1.0,314.019,1.0,6.809,1.0,98.842,0.0,0.405779183825,0.999327956989,3.065,1.0,3.133,0.998656,376.832,1.0,3.66233266129032,0.52443493980984,15.372,16.942,138.672,312.616,6.496,98.842,1.827,2.423,5.034018
23,200311,JP-SMF,35.2617,137.0788,MF,Temperate,2.84486,2.32215,1.10433,0.921528,,0.999306,,1.0,13.661,1.0,90.823,1.0,323.818,1.0,4.366,1.0,99.202,0.0,0.36848773113,0.932638888889,6.767,1.0,2.719,0.999306,429.468,1.0,3.30477721612903,0.484657233300561,13.263,14.492,81.052,319.297,4.525,99.202,7.346,2.572,3.94919
24,200312,JP-SMF,35.2617,137.0788,MF,Temperate,5.09134,2.33246,1.54318,0.66129,,0.678763,,0.678091,5.972,1.0,93.046,1.0,265.515,1.0,3.189,1.0,98.835,0.0,,,0.952,1.0,3.341,1.0,386.063,0.68078,3.08944778333333,0.42412363982199,6.062,7.312,79.667,264.343,3.795,98.835,1.959,3.394,6.63452
25,200401,JP-SMF,35.2617,137.0788,MF,Temperate,0.948842,1.0639,0.243174,0.732527,,0.74664,,0.748656,3.039,1.0,120.942,1.0,238.125,1.0,3.251,1.0,98.825,0.0,0.424573516451,0.539650537634,0.548,1.0,3.291,0.997312,374.023,0.748656,1.68165303548387,0.242134140075293,3.241,4.67,101.944,243.849,3.884,98.825,1.209,3.38,1.192016
26,200402,JP-SMF,35.2617,137.0788,MF,Temperate,1.47473,1.17613,0.438133,0.987069,,1.0,,1.0,4.971,1.0,136.469,1.0,255.226,1.0,3.727,1.0,98.791,0.0,0.462994612401,0.997126436782,1.655,1.0,3.595,1.0,378.648,1.0,4.12217098387097,0.359333570140277,5.256,7.003,138.594,250.997,4.409,98.791,3.26,3.515,1.9128630000000002
27,200403,JP-SMF,35.2617,137.0788,MF,Temperate,2.51221,2.5009,0.0497195,0.992608,,1.0,,1.0,7.747,1.0,170.083,1.0,268.309,1.0,4.889,1.0,98.895,0.0,0.476247489137,0.985215053763,2.145,1.0,3.703,0.999328,373.57,1.0,2.14265109,0.350034654779525,7.678,9.306,168.402,269.754,5.139,98.895,3.182,3.032,2.5619295
28,200404,JP-SMF,35.2617,137.0788,MF,Temperate,3.9072,3.29091,0.310622,0.94375,,0.996528,,0.997222,14.44,1.0,229.407,1.0,296.246,1.0,8.963,1.0,98.438,0.0,0.484795141844,0.986111111111,3.117,1.0,3.718,0.999306,388.67,0.997222,1.53330337666667,0.277466833979297,13.999,15.586,219.089,300.032,7.708,98.438,3.189,3.226,4.217822
29,200405,JP-SMF,35.2617,137.0788,MF,Temperate,6.28538,5.53868,-1.57651,0.951613,,0.991935,,0.995296,18.754,1.0,184.109,1.0,355.095,1.0,6.683,1.0,98.403,0.0,0.419179045336,0.920698924731,8.677,1.0,3.263,1.0,402.908,0.994624,1.52006916896552,0.259064948681418,18.828,20.091,186.223,355.747,6.811,98.403,8.559,2.891,4.70887
30,200406,JP-SMF,35.2617,137.0788,MF,Temperate,7.90456,8.48889,-1.5554,0.861806,,0.986111,,0.986806,22.639,0.990278,205.649,0.990972,377.154,0.990278,8.546,0.990278,98.352,0.0,0.359254444444,0.871527777778,5.216,0.983333,3.101,0.975694,405.971,0.988889,1.45801428064516,0.260084121809061,22.354,23.388,204.864,377.861,7.907,98.352,6.314,2.368,6.34916
31,200407,JP-SMF,35.2617,137.0788,MF,Temperate,9.00517,9.95626,-4.07358,0.0,,0.0,,0.0,25.949,0.0,224.735,0.000672043,405.691,0.0,8.721,0.0,98.223,0.0,,,4.126,0.0,2.371,0.0,388.417,0.0,2.10420492,0.373512163872498,25.949,26.985,224.735,405.691,8.721,98.223,4.126,2.371,4.93159
