Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200401,NL-Hor,52.24035,5.0713,GRA,Temperate,2.91667,0.734355,0.500404,0.201613,8.16642,0.227151,-9.19003,0.704301,3.589,0.0,19.977,0.0,309.487,0.0,0.879,0.0,100.636,0.0,0.297440725685,0.6875,5.538,0.0,3.342,0.0,389.357,0.262769,0.407959215483871,0.188902142658489,3.589,3.824,19.977,309.487,0.879,100.636,5.538,3.342,3.417074
2,200402,NL-Hor,52.24035,5.0713,GRA,Temperate,3.44424,1.70553,0.0524499,0.201868,57.4429,0.261494,-30.8417,0.689655,4.131,0.0,49.106,0.0,304.026,0.0,1.401,0.0,101.639,0.0,0.334843640064,0.688936781609,3.292,0.0,3.052,0.0,378.414,0.274425,1.32313188096774,0.500739528806249,4.131,4.468,49.106,304.026,1.401,101.639,3.292,3.052,3.4966899000000002
3,200403,NL-Hor,52.24035,5.0713,GRA,Temperate,3.67677,3.55707,-0.0654849,0.453629,40.4147,0.631048,4.15488,0.726478,4.843,0.0,109.481,0.0,295.64,0.0,1.896,0.0,101.851,0.0,0.300246468277,0.709677419355,1.447,0.0,2.773,0.0,385.821,0.588038,0.667257339666667,0.331937175033731,4.843,5.431,109.481,295.64,1.896,101.851,1.447,2.773,3.6112851
4,200404,NL-Hor,52.24035,5.0713,GRA,Temperate,5.08862,5.40748,-0.94049,0.369444,74.6507,0.422222,30.1875,1.0,9.234,0.0,175.247,0.0,310.232,0.0,3.234,0.0,101.161,0.0,0.239250366875,1.0,1.507,0.0,2.235,0.0,380.22,0.652778,0.625682941666667,0.297248955503634,9.234,9.802,175.247,310.232,3.234,101.161,1.507,2.235,4.14813
5,200405,NL-Hor,52.24035,5.0713,GRA,Temperate,7.93639,6.53528,-3.48911,0.726478,81.3538,0.995296,29.8044,0.999328,11.28,0.0,217.612,0.0,321.306,0.0,3.407,0.0,101.423,0.0,0.240033997715,1.0,0.953,0.0,2.081,0.0,379.402,0.97043,0.704327902068966,0.265140199914924,11.28,11.85,217.612,321.306,3.407,101.423,0.953,2.081,4.44728
6,200406,NL-Hor,52.24035,5.0713,GRA,Temperate,8.02346,7.20056,-3.05673,0.836111,99.7351,0.990972,12.5455,0.999306,15.151,0.210417,229.908,0.209722,342.024,0.210417,4.102,0.0,101.514,0.209722,0.284259669653,1.0,2.601,0.0,2.461,0.0,372.34,0.997222,0.578449605483871,0.318954397619046,15.098,15.46,230.284,342.26,4.102,101.493,2.601,2.461,4.96673
7,200407,NL-Hor,52.24035,5.0713,GRA,Temperate,7.21568,7.36982,-1.9614,0.99328,102.344,1.0,18.7999,1.0,17.086,1.0,211.193,1.0,353.299,1.0,4.223,0.0,101.468,0.998656,0.24443712379,1.0,2.789,0.0,2.019,0.0,367.079,1.0,1.44935135666667,0.389738876349202,17.068,17.503,216.889,348.423,4.223,101.406,2.789,2.019,5.25428
8,200408,NL-Hor,52.24035,5.0713,GRA,Temperate,6.89963,5.25825,-0.511788,0.903226,94.6414,0.905242,4.25605,1.0,18.99,1.0,179.265,1.0,362.724,1.0,5.859,0.0,100.999,1.0,0.265458908602,1.0,5.819,0.0,2.432,0.0,363.485,0.905242,2.84231169032258,0.591187998242243,19.548,19.931,169.232,363.038,5.859,100.981,5.819,2.432,6.387842
9,200409,NL-Hor,52.24035,5.0713,GRA,Temperate,6.38127,5.62583,-2.05479,0.4625,134.805,0.471528,-5.8224,1.0,15.501,0.875,136.089,0.877778,341.965,0.875,5.153,0.0,101.657,0.859028,0.297520513819,1.0,4.153,0.415972,2.933,0.482639,361.152,0.470139,1.99010377666667,0.657841120919152,16.493,16.915,124.733,345.026,5.153,101.619,3.456,3.159,4.32648
10,200410,NL-Hor,52.24035,5.0713,GRA,Temperate,2.53044,2.23297,0.153019,0.879032,54.7953,0.883737,-28.8368,1.0,11.584,1.0,72.62,1.0,325.949,1.0,3.366,0.0,100.807,0.998656,0.303977668078,1.0,2.418,0.998656,2.749,0.998656,367.098,0.883737,2.4956661,0.670183046396896,12.652,12.979,70.326,329.132,3.366,100.818,2.665,3.185,2.683459
11,200411,NL-Hor,52.24035,5.0713,GRA,Temperate,0.905727,1.08413,0.679869,0.997222,24.0195,1.0,-21.1996,1.0,7.389,0.840278,30.785,1.0,318.024,1.0,1.752,0.0,101.877,0.999306,0.239273519792,0.933333333333,2.961,0.999306,2.273,0.999306,381.99,1.0,2.4052398516129,0.605910790054537,7.9,8.087,28.05,327.807,1.752,101.849,3.51,2.804,1.5855959999999998
12,200412,NL-Hor,52.24035,5.0713,GRA,Temperate,0.709815,0.289138,0.651395,0.994624,3.74927,0.998656,-6.59875,1.0,5.385,0.209677,19.282,1.0,305.598,1.0,0.926,0.0,101.611,0.999328,0.274147702869,0.805779569892,1.945,0.999328,2.494,0.999328,395.734,0.995968,1.73388557666667,0.490964285369397,4.89,5.082,17.059,316.6,0.926,101.589,2.509,2.709,1.3612099999999998
13,200501,NL-Hor,52.24035,5.0713,GRA,Temperate,0.409277,0.371283,0.239568,0.999328,4.38007,0.999328,-12.3305,1.0,5.378,1.0,32.55,1.0,300.578,1.0,1.708,0.0,101.771,1.0,0.368261945768,0.960349462366,3.378,1.0,4.268,1.0,379.289,0.999328,0.311533684193548,0.230943299786424,5.284,5.347,25.47,306.102,1.708,101.734,2.65,3.922,0.648845
14,200502,NL-Hor,52.24035,5.0713,GRA,Temperate,0.742395,0.362053,0.182791,0.618304,25.2932,0.929315,-14.3711,0.966518,2.308,0.357887,59.304,0.360863,289.916,0.357887,1.189,0.0,101.738,0.344494,0.30062052522,0.780505952381,3.345,0.344494,3.028,0.344494,393.002,0.732143,1.83431772258065,0.436600670004871,2.063,2.465,55.975,294.037,1.189,101.734,3.333,3.005,0.9251860000000001
15,200503,NL-Hor,52.24035,5.0713,GRA,Temperate,0.812673,0.823731,0.310767,0.999328,35.6868,0.999328,-0.334792,1.0,6.98,1.0,89.101,1.0,317.338,1.0,1.561,0.0,101.378,1.0,0.285585368767,0.986559139785,1.602,1.0,3.375,1.0,382.55,0.999328,1.24527096333333,0.340124499056366,4.68,5.14,98.91,306.894,1.561,101.414,2.675,2.823,1.12344
16,200504,NL-Hor,52.24035,5.0713,GRA,Temperate,3.85602,3.74783,-1.18117,0.995139,56.8173,1.0,26.8759,1.0,10.898,1.0,170.272,1.0,322.851,1.0,2.735,0.0,101.204,0.99375,0.234896058476,0.913194444444,2.928,0.995139,2.786,0.995833,382.897,0.997917,0.637958064516129,0.280127980227865,8.666,9.222,162.734,308.13,2.735,101.266,1.885,2.21,2.67485
17,200505,NL-Hor,52.24035,5.0713,GRA,Temperate,7.02825,7.26169,-2.8449,0.993952,89.6747,0.995968,18.1843,0.99664,13.083,0.997984,209.854,0.998656,335.366,0.997984,3.773,0.0,101.472,0.994624,0.276912161728,0.865591397849,1.718,0.99328,2.87,0.994624,379.581,0.995296,0.570200735714286,0.246531521796251,11.298,11.785,217.267,317.823,3.773,101.505,1.372,2.464,4.18335
18,200506,NL-Hor,52.24035,5.0713,GRA,Temperate,7.89415,8.36384,-2.53429,0.99375,113.747,1.0,23.0665,1.0,17.138,0.997917,242.361,0.997917,362.559,0.997917,4.951,0.0,101.714,0.993056,0.256853231138,0.999305555556,3.518,0.992361,2.453,0.993056,375.251,1.0,0.679779516129032,0.280437846502102,14.985,15.436,244.027,334.753,4.951,101.728,2.007,2.082,5.359859999999999
19,200507,NL-Hor,52.24035,5.0713,GRA,Temperate,7.99793,7.38755,-1.54736,0.995968,95.9064,1.0,14.62,1.0,18.351,1.0,189.489,1.0,365.744,1.0,4.222,0.0,101.302,0.997984,0.256295115462,0.997983870968,4.27,0.997984,2.369,0.997312,357.889,0.999328,1.3408313,0.409960018731394,17.404,17.811,212.69,354.482,4.222,101.309,2.703,2.114,6.45057
20,200508,NL-Hor,52.24035,5.0713,GRA,Temperate,6.31025,5.72304,-1.55299,0.993952,93.3187,0.999328,11.5967,1.0,16.747,1.0,179.338,1.0,352.532,1.0,4.416,0.0,101.544,1.0,0.238839318751,0.997983870968,3.513,1.0,2.201,1.0,351.677,1.0,1.80665469032258,0.554677116756832,16.848,17.347,178.238,350.516,4.416,101.547,2.787,2.281,4.75726
21,200509,NL-Hor,52.24035,5.0713,GRA,Temperate,4.83879,4.68323,0.222661,0.988889,71.6403,1.0,4.60602,1.0,16.38,1.0,140.739,1.0,345.153,0.999306,4.826,0.0,101.644,0.997917,0.212529245339,0.998611111111,2.443,0.997917,2.025,0.997917,358.62,1.0,2.39495949666667,0.609203430706786,17.351,17.848,130.436,348.932,4.826,101.655,2.161,2.185,5.061451
22,200510,NL-Hor,52.24035,5.0713,GRA,Temperate,2.70648,2.48632,0.674524,0.995296,61.6475,1.0,-26.3262,1.0,13.713,1.0,85.922,1.0,331.036,1.0,3.446,0.0,101.532,1.0,0.274296434947,0.969758064516,1.915,1.0,2.61,1.0,355.728,1.0,3.13947936451613,0.627160230854883,14.925,15.325,75.73,336.522,3.446,101.571,2.916,2.753,3.381004
23,200511,NL-Hor,52.24035,5.0713,GRA,Temperate,0.801131,0.816305,0.962209,0.976389,17.778,0.998611,-18.7323,0.999306,7.164,1.0,35.197,1.0,313.901,1.0,2.451,0.0,101.312,1.0,0.249345546789,0.934722222222,4.987,1.0,2.707,1.0,349.054,0.979861,3.71711537419355,0.609835034413434,8.993,9.297,30.872,323.882,2.451,101.298,3.864,2.866,1.76334
24,200512,NL-Hor,52.24035,5.0713,GRA,Temperate,0.350598,0.382132,0.652379,0.999328,3.66726,1.0,-8.17566,1.0,4.259,1.0,25.377,1.0,301.014,1.0,1.328,0.0,101.492,1.0,0.27676959448,0.973790322581,2.678,1.0,2.827,1.0,405.056,1.0,3.12321693666667,0.549376990767545,5.148,5.348,19.255,308.82,1.328,101.479,2.833,3.081,1.002977
25,200601,NL-Hor,52.24035,5.0713,GRA,Temperate,3.62328,1.52575,0.546129,0.217742,2.74776,0.217742,-10.6533,0.217742,1.637,1.0,31.327,1.0,284.592,1.0,0.692,0.0,102.305,0.99664,,,1.117,0.997312,2.741,0.99664,416.136,0.999328,0.303979088709677,0.221075054369153,1.456,1.801,27.241,295.951,0.692,102.291,0.932,2.691,4.169409
26,200602,NL-Hor,52.24035,5.0713,GRA,Temperate,3.96517,2.03245,0.509836,0.0,6.42711,0.0,-22.883,0.0,3.27,1.0,43.989,1.0,302.02,1.0,0.877,0.0,101.323,1.0,,,2.419,1.0,3.163,1.0,403.791,1.0,1.87442459354839,0.506558695560058,2.165,2.515,47.327,307.119,0.877,101.339,2.114,2.804,4.4750060000000005
27,200603,NL-Hor,52.24035,5.0713,GRA,Temperate,4.18672,4.18569,0.474205,0.0,9.1304,0.0,-40.9205,0.0,4.241,1.0,105.692,1.0,293.433,1.0,1.585,0.0,100.892,1.0,,,3.599,1.0,3.444,1.0,403.251,0.999328,1.38947395666667,0.354028248165581,2.214,2.67,103.192,290.244,1.585,100.904,2.742,2.847,4.660925000000001
28,200604,NL-Hor,52.24035,5.0713,GRA,Temperate,6.721,5.91423,-1.33495,0.0,199.515,0.0,-3.47832,0.0,9.411,1.0,163.277,1.0,315.645,1.0,2.061,0.0,101.236,1.0,,,2.244,1.0,3.284,1.0,400.186,1.0,0.5923,0.303832478546058,7.061,7.519,162.282,303.579,2.061,101.245,1.396,2.516,5.38605
29,200605,NL-Hor,52.24035,5.0713,GRA,Temperate,6.99303,6.84815,-0.615346,0.0,151.587,0.0,-7.25003,0.0,14.897,1.0,197.665,1.0,339.148,1.0,5.07,0.0,101.201,1.0,,,3.793,1.0,3.418,1.0,400.571,1.0,0.512990175357143,0.231037538738078,12.861,13.223,204.445,325.539,5.07,101.214,2.612,2.804,6.377684
30,200606,NL-Hor,52.24035,5.0713,GRA,Temperate,8.3797,8.0589,-1.738,0.111806,142.842,0.215972,-0.446677,0.215972,16.796,0.997222,248.969,0.997222,348.447,1.0,5.504,0.0,101.919,0.995833,,,0.864,0.995833,2.28,0.995833,387.342,0.994444,0.603378346774194,0.226563184351728,15.371,15.874,241.806,333.908,5.504,101.914,1.061,2.015,6.6417
31,200607,NL-Hor,52.24035,5.0713,GRA,Temperate,9.32927,7.92238,-1.82865,0.993952,148.338,1.0,9.12256,1.0,21.927,1.0,266.357,1.0,369.871,1.0,8.205,0.0,101.816,0.997312,0.243204631344,0.897177419355,0.434,0.997312,1.973,0.997312,384.397,1.0,1.118313639,0.336862159102029,21.34,21.916,253.715,354.069,8.205,101.801,0.562,1.758,7.50062
32,200608,NL-Hor,52.24035,5.0713,GRA,Temperate,6.1362,6.00553,-1.27436,0.949597,87.0311,0.995296,1.15891,0.995296,16.457,1.0,145.886,1.0,364.968,1.0,4.326,0.0,100.947,1.0,0.276936916105,0.781586021505,6.828,1.0,2.376,1.0,385.73,0.994624,2.41157710645161,0.555778859456165,17.691,18.04,159.436,355.36,4.326,100.925,6.461,2.397,4.86184
33,200609,NL-Hor,52.24035,5.0713,GRA,Temperate,5.0027,5.08641,0.433154,0.956944,70.2643,0.997917,-1.09621,0.997917,18.049,1.0,139.822,1.0,359.378,1.0,5.613,0.0,101.267,1.0,0.230175032849,0.6875,0.59,1.0,2.181,1.0,387.637,0.997917,2.96194916666667,0.633875631623722,19.36,19.862,130.638,357.682,5.613,101.265,0.801,2.339,5.435854
34,200610,NL-Hor,52.24035,5.0713,GRA,Temperate,3.02969,3.12972,0.556622,0.99664,49.4168,0.997984,-27.4068,0.998656,13.878,1.0,69.331,1.0,344.31,1.0,3.227,0.0,100.979,1.0,0.329731726229,0.876344086022,3.151,1.0,2.969,1.0,385.626,0.998656,3.55945130645161,0.631711267839702,15.396,15.649,64.234,350.632,3.227,100.981,5.471,3.179,3.586312
35,200611,NL-Hor,52.24035,5.0713,GRA,Temperate,0.966945,1.08238,0.753378,0.995139,13.403,0.997917,-20.8511,0.999306,9.075,1.0,34.642,0.997917,316.991,1.0,2.83,0.0,101.303,0.995833,0.363948283466,0.911805555556,4.483,0.995833,3.348,0.995833,386.861,0.997917,4.4048913,0.647261664326243,10.911,11.091,31.23,328.284,2.83,101.26,4.108,3.731,1.720323
36,200612,NL-Hor,52.24035,5.0713,GRA,Temperate,0.27573,0.418419,0.567121,0.998656,10.2295,0.999328,-18.6071,1.0,6.427,1.0,16.957,1.0,317.388,1.0,1.823,0.0,101.901,0.997984,0.387112072931,0.876344086022,4.441,1.0,3.506,0.997984,398.256,0.998656,2.91711415,0.543659750606495,7.902,7.972,14.294,330.196,1.823,101.844,5.107,3.394,0.842851
37,200701,NL-Hor,52.24035,5.0713,GRA,Temperate,0.564166,0.450338,-0.313277,0.997312,10.3776,0.997312,-19.9832,0.997984,6.615,1.0,25.398,0.998656,311.205,0.998656,1.964,0.0,101.33,0.992608,0.487699021365,0.938844086022,5.303,0.0,4.293,0.0,380.29,0.998656,0.771579151290323,0.29892179384742,7.294,7.383,20.024,319.609,1.964,101.259,5.303,4.293,0.2508889999999999
38,200702,NL-Hor,52.24035,5.0713,GRA,Temperate,0.583304,0.644601,0.278358,0.999256,17.2703,1.0,-16.7077,1.0,5.666,1.0,41.497,1.0,309.888,1.0,1.116,0.0,100.725,1.0,0.315572155695,0.934523809524,3.479,0.0,2.734,0.0,393.923,0.999256,1.57112955483871,0.422192619624245,5.613,5.872,41.318,309.528,1.116,100.74,3.479,2.734,0.861662
39,200703,NL-Hor,52.24035,5.0713,GRA,Temperate,1.09745,1.60706,0.106211,0.997312,47.5818,0.998656,-1.89663,0.999328,7.819,1.0,111.335,1.0,303.054,1.0,2.632,0.0,101.34,1.0,0.39367018761,0.74126344086,2.291,0.0,3.126,0.0,400.229,0.998656,0.744147580666667,0.325744579244208,7.433,7.838,114.823,297.818,2.632,101.339,2.291,3.126,1.203661
40,200704,NL-Hor,52.24035,5.0713,GRA,Temperate,4.81262,5.15573,-1.1759,1.0,46.8646,1.0,60.1136,1.0,12.991,1.0,216.713,1.0,312.007,1.0,4.422,0.0,102.035,1.0,0.261091056464,0.961111111111,0.02,0.0,2.235,0.0,407.642,1.0,0.605700000645161,0.204704887239272,11.164,11.875,199.492,303.073,4.422,102.052,0.02,2.235,3.63672
41,200705,NL-Hor,52.24035,5.0713,GRA,Temperate,9.59236,9.7967,-4.51579,0.999328,9.5873,1.0,29.0734,1.0,14.442,1.0,206.353,1.0,340.321,1.0,3.72,0.0,100.919,1.0,0.338615186488,0.934139784946,3.906,0.0,2.438,0.0,401.787,0.999328,0.517919261428571,0.284713857782416,12.941,13.405,197.686,332.114,3.72,100.93,3.906,2.438,5.076569999999999
