Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,RU-Cok,70.82914,147.49428,OSH,Arctic,0.131423,5.38292e-05,-0.127031,0.0,,0.0,,0.0,-34.443,0.0,0.226,0.0,198.019,0.0,0.0,0.0,101.821,0.0,,,0.283,0.0,3.033,0.0,,,0.0,0,-34.443,,0.226,198.019,0.0,101.821,0.283,3.033,0.004392000000000007
2,200302,RU-Cok,70.82914,147.49428,OSH,Arctic,0.131675,0.00331869,-0.126679,0.0,,0.0,,0.0,-35.917,0.0,13.948,0.0,188.199,0.0,0.0,0.0,102.273,0.0,,,0.075,0.0,3.39,0.0,,,0.123807574516129,0,-35.917,-35.153,13.948,188.199,0.0,102.273,0.075,3.39,0.004995999999999973
3,200303,RU-Cok,70.82914,147.49428,OSH,Arctic,0.133057,0.0156918,-0.127346,0.0,2.9996,0.0,4.84893,0.0,-24.203,0.0,66.034,0.0,214.266,0.0,0.048,0.0,101.748,0.0,,,0.184,0.0,3.369,0.0,,,0.0,0,-24.203,-22.903,66.034,214.266,0.048,101.748,0.184,3.369,0.005711000000000022
4,200304,RU-Cok,70.82914,147.49428,OSH,Arctic,0.137575,0.039444,-0.11859,0.128472,2.82819,0.142361,4.07037,0.142361,-15.02,0.142361,166.221,0.120833,228.909,0.119444,0.182,0.0,100.844,0.115278,,,0.107,0.0,3.974,0.115278,,,0.0,0,-14.755,-13.621,162.32,231.775,0.182,100.812,0.107,3.944,0.018985000000000002
5,200305,RU-Cok,70.82914,147.49428,OSH,Arctic,0.288079,0.155455,0.00836,0.999328,8.27852,1.0,-0.988399,1.0,-6.603,1.0,263.329,1.0,249.797,1.0,1.333,0.0,101.103,1.0,0.226743585546,0.743951612903,0.492,0.0,5.315,1.0,368.422,1.0,0.0,0,-2.903,-2.744,232.279,268.711,1.333,100.886,0.492,4.561,0.29643899999999995
6,200306,RU-Cok,70.82914,147.49428,OSH,Arctic,0.557124,0.488148,0.216485,1.0,42.6668,1.0,39.3148,1.0,2.381,1.0,193.883,1.0,305.278,1.0,2.742,0.0,100.589,1.0,0.292722968546,0.913194444444,1.409,0.01875,4.935,1.0,367.258,1.0,0.0,0,4.963,5.021,197.487,302.398,2.742,100.425,1.219,3.894,0.773609
7,200307,RU-Cok,70.82914,147.49428,OSH,Arctic,3.50408,3.75818,-1.91162,1.0,67.7912,1.0,46.0227,1.0,11.124,1.0,213.637,1.0,317.473,1.0,4.393,0.0,100.834,1.0,0.310360439564,0.930779569892,1.205,0.0147849,4.53,1.0,351.075,1.0,0.1,0,10.826,10.919,216.565,316.219,4.393,100.809,0.872,3.659,1.59246
8,200308,RU-Cok,70.82914,147.49428,OSH,Arctic,3.83991,3.89152,-1.4762,1.0,40.6906,1.0,30.6542,1.0,8.359,1.0,143.93,1.0,315.071,1.0,3.079,0.0,101.31,1.0,0.249983824859,0.926075268817,0.872,0.0376344,3.499,1.0,346.389,1.0,0.263738664516129,0,7.667,8.156,142.722,312.436,3.079,101.298,0.455,3.035,2.36371
9,200309,RU-Cok,70.82914,147.49428,OSH,Arctic,0.83229,0.494255,0.583401,0.368056,30.2728,0.489583,6.47985,0.489583,3.611,0.489583,52.348,0.491667,310.252,0.489583,0.933,0.0,101.108,0.471528,,,1.44,0.0534722,3.079,0.470833,347.113,0.425,0.412822718666667,0,2.756,3.24,50.6,306.859,0.933,101.036,0.986,2.841,1.4156909999999998
10,200310,RU-Cok,70.82914,147.49428,OSH,Arctic,0.10186,0.15747,0.428856,0.0,30.2126,0.0,7.32944,0.0,-10.784,0.0,17.607,0.0,252.49,0.0,0.3,0.0,100.989,0.0,,,0.586,0.0,3.999,0.0,346.505,0.0,1.0658526483871,0,-10.784,-10.229,17.607,252.49,0.3,100.989,0.586,3.999,0.530716
