Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,199801,RU-Fyo,56.46153,32.92208,ENF,Continental,5.57617,1.56638,0.301703,0.0,-1.13254,0.0,-1.19368,0.0,-4.427,0.0,12.919,0.716398,283.233,0.0,0.345,0.0,98.215,0.0,,,1.268,0.0,2.048,0.0,,,,,-4.427,-4.185,12.996,283.233,0.345,98.215,1.268,2.048,5.877873
2,199802,RU-Fyo,56.46153,32.92208,ENF,Continental,5.10245,3.46913,0.361079,0.0,47.5721,0.0,50.7473,0.0,-6.221,0.0,34.733,0.634673,268.328,0.0,0.551,0.0,97.675,0.0,,,1.152,0.0,2.472,0.0,,,,,-6.221,-5.626,34.831,268.328,0.551,97.675,1.152,2.472,5.463529
3,199803,RU-Fyo,56.46153,32.92208,ENF,Continental,5.82493,7.33335,0.352292,0.0,104.717,0.0,112.736,0.0,-2.953,0.0,100.08,0.538978,254.806,0.0,1.213,0.0,98.276,0.0,,,1.002,0.0,1.88,0.0,,,,,-2.953,-1.523,100.214,254.806,1.213,98.276,1.002,1.88,6.177222
4,199804,RU-Fyo,56.46153,32.92208,ENF,Continental,7.13238,10.0523,0.327561,0.0,94.7254,0.0,105.148,0.0,3.946,0.0,156.033,0.438889,281.432,0.0,2.974,0.0,98.177,0.0,,,0.555,0.0,1.721,0.0,,,,,3.946,5.231,156.151,281.432,2.974,98.177,0.555,1.721,7.459941000000001
5,199805,RU-Fyo,56.46153,32.92208,ENF,Continental,8.67128,11.5927,0.201059,0.0,93.1018,0.059812,104.332,0.059812,12.037,0.0598118,180.863,0.349462,318.591,0.0598118,4.576,0.0598118,98.198,0.0,,,1.757,0.0,1.954,0.0,,,,,11.818,12.665,180.964,318.321,4.486,98.198,1.757,1.954,8.872339
6,199806,RU-Fyo,56.46153,32.92208,ENF,Continental,10.284,13.2226,-0.609405,0.0,86.5211,0.993056,64.3187,0.990278,17.415,1.0,225.426,1.0,354.477,1.0,6.804,1.0,98.223,1.0,,,2.09,1.0,1.866,0.0,,,,,17.588,18.278,215.186,344.855,6.791,98.187,2.252,1.866,9.674595
7,199807,RU-Fyo,56.46153,32.92208,ENF,Continental,8.55844,9.80312,0.418881,0.754032,81.9415,0.990591,40.736,0.991263,16.724,1.0,177.628,0.942204,358.627,0.934812,4.401,1.0,97.513,1.0,,,2.716,1.0,1.817,0.563844,367.111,0.808468,,,16.481,17.133,172.323,349.724,4.243,97.474,4.396,1.815,8.977321
8,199808,RU-Fyo,56.46153,32.92208,ENF,Continental,7.88692,7.68374,2.11593,0.433468,63.2238,0.826613,22.4689,0.999328,13.731,1.0,135.974,1.0,344.762,1.0,2.74,1.0,97.867,1.0,,,3.945,1.0,1.976,0.270161,363.96,0.475134,,,13.671,14.404,130.343,339.983,3.194,97.824,3.681,1.994,10.00285
9,199809,RU-Fyo,56.46153,32.92208,ENF,Continental,5.20722,4.61436,1.77665,0.730556,48.9657,0.835417,8.91608,1.0,10.281,1.0,111.832,1.0,315.291,1.0,3.209,1.0,98.546,1.0,,,2.683,1.0,1.972,0.54375,366.834,0.740278,,,10.235,11.182,107.886,314.587,3.365,98.509,1.771,2.025,6.9838700000000005
10,199810,RU-Fyo,56.46153,32.92208,ENF,Continental,2.20114,2.03112,1.17644,0.982527,15.5391,0.99664,-22.0119,1.0,4.604,1.0,52.456,1.0,293.985,1.0,1.399,1.0,98.021,1.0,0.619752072993,0.663978494624,1.313,0.984543,2.342,0.981183,367.727,0.995968,,,4.144,4.861,52.938,295.06,1.283,98.026,1.414,2.382,3.37758
