Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200201,RU-Ha1,54.72517,90.00215,GRA,Arid,1.75355,1.04482,-1.44277,0.0,67.6271,0.0,39.9622,0.0,-7.508,0.0,27.448,0.0,220.382,0,1.559,0.0,96.308,0.0,,,0.351,0.0,4.83,0.0,,,0.173387096774194,,-7.508,-6.375,27.448,220.382,1.559,96.308,0.351,4.83,0.31077999999999983
2,200202,RU-Ha1,54.72517,90.00215,GRA,Arid,1.78518,1.86667,-1.43975,0.0,67.308,0.0,39.6004,0.0,-6.715,0.0,64.766,0.0,221.898,0,1.674,0.0,96.602,0.0,,,0.399,0.0,3.716,0.0,,,0.231496510322581,0.145156231082725,-6.715,-5.383,64.766,221.898,1.674,96.602,0.399,3.716,0.3454299999999999
3,200203,RU-Ha1,54.72517,90.00215,GRA,Arid,1.98058,2.71969,-1.43433,0.0,70.0571,0.0,41.087,0.0,-2.993,0.0,109.999,0.0,240.356,0,2.191,0.0,95.967,0.0,,,0.673,0.0,4.639,0.0,,,0.122805102,0.0871825727891956,-2.993,-1.661,109.999,240.356,2.191,95.967,0.673,4.639,0.5462499999999999
4,200204,RU-Ha1,54.72517,90.00215,GRA,Arid,2.13243,3.85486,-1.43892,0.0,70.2524,0.0,41.3502,0.0,-0.951,0.0,206.291,0.0,236.32,0,2.765,0.0,96.428,0.0,,,0.517,0.0,3.082,0.0,,,0.11662383,,-0.951,0.662,206.291,236.32,2.765,96.428,0.517,3.082,0.6935099999999998
5,200205,RU-Ha1,54.72517,90.00215,GRA,Arid,3.22853,4.20456,-1.44277,0.0,68.3667,0.0,40.3993,0.0,11.718,0.0,247.702,0.0,282.87,0,7.229,0.0,96.136,0.0,,,0.876,0.0,3.605,0.0,,,0.114441980357143,0.0706772038838224,11.718,13.493,247.702,282.87,7.229,96.136,0.876,3.605,1.78576
6,200206,RU-Ha1,54.72517,90.00215,GRA,Arid,3.72006,4.18998,-1.42957,0.0729167,63.2718,0.074306,37.1494,0.073611,16.72,0.0743056,224.794,0.0743056,325.307,0,7.068,0.0743056,95.544,0.0736111,,,2.419,0.0736111,3.28,0.0729167,,,0.152350105354839,0.108435385058434,16.606,17.76,223.572,325.307,6.826,95.543,2.688,3.301,2.29049
7,200207,RU-Ha1,54.72517,90.00215,GRA,Arid,3.16063,3.65916,-0.665883,0.905914,65.116,0.943548,43.3613,0.942204,18.395,1.0,210.95,1.0,347.306,0,6.481,1.0,95.805,1.0,0.210969782436,0.797043010753,3.19,1.0,3.108,0.994624,364.703,1.0,0.263460054,0.102385313138567,18.139,19.169,191.085,347.306,5.801,95.793,2.987,2.747,2.494747
8,200208,RU-Ha1,54.72517,90.00215,GRA,Arid,2.97283,3.13809,-0.725742,0.910618,56.4843,0.982527,41.3668,0.989247,16.613,1.0,190.241,1.0,331.463,0,6.394,1.0,95.738,0.997984,0.188263199458,0.788306451613,0.209,0.997984,3.063,0.925403,360.631,0.993952,0.423800838387097,0.130495881398369,16.595,17.91,173.896,331.463,5.837,95.753,2.15,2.892,2.247088
9,200209,RU-Ha1,54.72517,90.00215,GRA,Arid,1.87166,1.87447,-0.0486694,0.988889,36.7385,1.0,11.6516,1.0,9.958,1.0,108.922,1.0,298.481,0,4.414,1.0,96.418,1.0,0.231443818669,0.881944444444,0.823,1.0,3.655,1.0,355.612,1.0,0.543207557666667,0.16613337259481,10.137,11.614,114.081,298.481,4.558,96.33,1.057,3.791,1.8229906
10,200210,RU-Ha1,54.72517,90.00215,GRA,Arid,0.299875,0.34464,0.060778,0.985215,13.9124,1.0,6.40395,0.998656,-0.935,0.975134,69.475,0.977151,249.238,0,1.754,0.975134,96.684,0.949597,0.257661212983,0.846774193548,0.515,0.962366,4.168,0.966398,372.698,1.0,0.903235761290323,0.272130797092902,-1.511,-0.376,63.598,249.238,1.981,96.651,0.831,3.563,0.360653
