Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,SD-Dem,13.2829,30.4783,SAV,Arid,3.48676,7.1784,-1.76387,0.0900538,4.0137,0.090726,37.7193,0.090726,20.182,1.0,242.408,1.0,311.852,0,20.464,1.0,95.185,0.0,,,0.0,1.0,2.949,0.998656,,,0.199999999354839,0.114515607095376,21.545,24.126,242.744,311.852,24.402,95.185,0.0,3.105,1.7228899999999998
2,200502,SD-Dem,13.2829,30.4783,SAV,Arid,4.43706,7.21952,-2.7387,0.713542,4.36589,0.713542,55.6636,0.713542,27.619,1.0,263.84,1.0,341.007,0,33.861,1.0,95.018,0.428571,,,0.0,0.999256,3.362,1.0,305.378,0.713542,0.305691965806452,0.178672384530629,28.313,31.102,262.306,341.007,34.487,94.952,0.0,3.318,1.6983599999999996
3,200503,SD-Dem,13.2829,30.4783,SAV,Arid,4.84075,7.52928,-3.22729,0.0,5.06579,0.0,65.0486,0.0,27.511,1.0,284.657,0.997984,333.962,0,35.298,1.0,95.003,0.0,,,0.0,1.0,3.26,1.0,296.212,0.0,0.200000001333333,0.148764090176976,28.378,31.537,289.765,333.962,36.819,95.003,0.0,3.131,1.61346
4,200504,SD-Dem,13.2829,30.4783,SAV,Arid,5.13642,7.25816,-3.09096,0.0,5.73152,0.0,58.5161,0.0,31.165,1.0,261.936,0.974306,357.702,0,43.109,1.0,94.852,0.0,,,0.0,1.0,3.231,1.0,289.825,0.0,0.200000000645161,0.142894299476114,31.283,34.19,300.56,357.702,40.276,94.852,0.271,2.717,2.0454600000000003
5,200505,SD-Dem,13.2829,30.4783,SAV,Arid,4.97943,7.37547,-2.74173,0.0,7.40973,0.0,54.4887,0.0,30.963,1.0,265.446,1.0,373.408,0,37.821,1.0,94.938,0.0,,,0.168,1.0,3.277,1.0,275.173,0.0,0.193992216071429,0.112772509669619,30.759,33.402,285.786,373.408,34.97,94.938,0.593,2.519,2.2377
6,200506,SD-Dem,13.2829,30.4783,SAV,Arid,6.83979,7.30791,-4.35082,0.0,57.5215,0.0,33.9837,0.0,31.504,1.0,246.191,1.0,410.445,0,30.198,1.0,94.952,0.0,,,0.497,1.0,4.416,1.0,347.093,0.0,0.16246852,0.108705920268161,29.066,30.872,254.022,410.445,21.055,94.952,1.287,3.365,2.48897
7,200507,SD-Dem,13.2829,30.4783,SAV,Arid,6.81516,7.26486,-4.36581,0.0,78.2159,0.0,36.0949,0.0,28.636,1.0,241.284,1.0,410.213,0,18.686,1.0,95.069,0.0,,,4.256,1.0,4.115,0.998656,360.588,0.0,0.143542505333333,0.10405856858683,26.612,28.147,225.059,410.213,15.586,95.069,1.611,3.475,2.44935
8,200508,SD-Dem,13.2829,30.4783,SAV,Arid,6.18214,7.07913,-3.65976,0.0,69.4744,0.0,31.4847,0.0,27.326,1.0,231.943,1.0,408.284,0,13.104,1.0,95.01,0.0,,,3.474,0.999328,2.793,0.998656,367.329,0.0,0.189493301935484,0.106010301129241,26.278,27.624,223.129,408.284,13.961,95.01,3.443,2.872,2.5223800000000005
9,200509,SD-Dem,13.2829,30.4783,SAV,Arid,7.13484,7.22692,-4.4056,0.440972,79.6653,0.451389,39.6516,0.451389,28.323,1.0,260.051,1.0,391.603,0,17.789,1.0,94.907,0.247917,,,1.888,1.0,2.36,0.999306,363.632,0.450694,0.187939598666667,0.103163910118242,26.58,28.284,243.1,391.603,14.1,95.002,1.463,2.327,2.72924
10,200510,SD-Dem,13.2829,30.4783,SAV,Arid,6.59369,7.57937,-4.64025,0.178763,74.6497,0.178763,45.9598,0.178091,29.326,1.0,265.124,1.0,394.927,0,28.792,1.0,94.979,0.0,,,0.072,1.0,2.556,1.0,361.456,0.178763,0.190997476129032,0.108245553828943,29.6,31.713,250.872,394.927,27.624,94.979,0.367,2.506,1.9534399999999996
11,200511,SD-Dem,13.2829,30.4783,SAV,Arid,6.27157,7.49031,-4.60999,0.0,75.9539,0.0,44.2701,0.0,24.894,1.0,257.476,1.0,347.771,0,26.333,1.0,95.038,0.0,,,0.0,1.0,2.787,1.0,362.438,0.0,0.31281481483871,0.177924354049846,27.359,29.909,248.95,347.771,31.593,95.038,0.0,3.173,1.6615799999999998
12,200512,SD-Dem,13.2829,30.4783,SAV,Arid,5.73555,7.08661,-4.07994,0.0,65.7018,0.0,40.036,0.0,24.779,0.957661,232.73,0.960349,342.734,0,25.443,0.957661,94.996,0.0,,,0.0,0.938172,2.629,0.935484,363.89,0.0,0.42624401,0.243268812302079,26.556,29.19,232.334,342.734,29.271,94.996,0.0,2.929,1.6556100000000002
13,200601,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,67.2465,0.0,44.3801,0.0,23.856,1.0,248.047,1.0,339.805,0,25.153,1.0,95.013,0.0,,,0.0,1.0,2.828,1.0,365.349,0.0,0.174133762903226,0.137580922833178,25.483,27.86,236.043,339.805,28.512,95.013,0.0,3.206,
14,200602,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,75.0919,0.0,49.0689,0.0,25.575,1.0,273.416,0.998512,330.758,0,30.321,1.0,94.966,0.0,,,0.115,1.0,2.999,1.0,365.456,0.0,0.423803932903226,0.183134664540749,26.282,29.211,263.298,330.758,32.118,94.966,0.0,3.056,
15,200603,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,75.2555,0.0,49.3848,0.0,27.688,1.0,277.533,1.0,331.714,0,35.054,1.0,94.943,0.0,,,0.0,1.0,3.235,1.0,365.437,0.0,0.272016111,0.151135256898632,28.395,31.599,292.133,331.714,36.652,94.943,0.0,3.056,
16,200604,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,79.5432,0.0,52.2316,0.0,29.264,1.0,298.807,1.0,337.298,0,39.596,1.0,94.887,0.0,,,0.0,1.0,3.074,1.0,365.413,0.0,0.247249759677419,0.137653901949053,29.707,32.954,310.382,337.298,39.659,94.887,0.0,2.857,
17,200605,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,77.6724,0.0,51.2608,0.0,32.153,1.0,264.007,1.0,400.08,0,36.034,1.0,94.924,0.0,,,0.052,1.0,3.358,1.0,365.349,0.0,0.198285226428571,0.130172937931572,30.739,32.755,269.361,400.08,28.355,94.924,1.021,2.432,
18,200606,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,77.7891,0.0,51.0798,0.0,31.2,1.0,262.164,0.997222,408.867,0,29.368,1.0,94.934,0.0,,,0.315,1.0,4.226,0.999306,365.413,0.0,0.118313450645161,0.121992318775023,30.776,32.894,264.569,408.867,26.637,94.934,0.538,3.178,
19,200607,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,76.2484,0.0,49.8481,0.0,28.823,1.0,242.435,0.998656,411.459,0,18.544,1.0,95.022,0.0,,,4.519,1.0,4.027,0.997984,365.452,0.0,0.1,0.12189822358679,27.003,28.346,230.889,411.459,15.039,95.022,2.102,3.11,
20,200608,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,64.2182,0.0,51.7126,0.0,27.035,1.0,235.366,1.0,410.615,0,12.368,1.0,94.993,0.0,,,2.055,1.0,3.263,0.999328,371.852,0.0,0.101181934354839,0.116440740228662,25.826,27.088,207.484,410.615,13.188,94.993,2.307,2.942,
21,200609,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,57.9315,0.0,58.8606,0.0,27.445,1.0,252.183,1.0,409.081,0,14.207,1.0,95.014,0.0,,,1.119,1.0,2.343,0.995833,380.371,0.0,0.125597897,0.108578089258498,26.612,28.261,233.073,409.081,14.439,95.014,1.726,2.237,
22,200610,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,55.8151,0.0,56.6591,0.0,29.379,1.0,259.865,1.0,401.485,0,25.005,1.0,94.981,0.0,,,0.687,1.0,2.208,0.998656,380.466,0.0,0.134178469354839,0.131800231352105,28.556,30.572,242.279,401.485,21.813,94.981,1.008,2.035,
23,200611,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,55.1264,0.0,56.0105,0.0,23.22,1.0,263.485,1.0,337.066,0,23.158,1.0,95.066,0.0,,,0.0,1.0,2.748,1.0,380.371,0.0,0.217770059032258,0.229942705354111,25.777,28.279,252.217,337.066,29.811,95.066,0.0,3.401,
24,200612,SD-Dem,13.2829,30.4783,SAV,Arid,,,,,51.0946,0.0,51.768,0.0,19.539,1.0,248.748,1.0,308.384,0,18.558,1.0,95.242,0.0,,,0.0,1.0,2.757,1.0,380.22,0.0,0.49493383,0.266450677454122,21.065,23.56,235.648,308.384,23.458,95.242,0.0,3.198,
25,200701,SD-Dem,13.2829,30.4783,SAV,Arid,0.510187,0.24995,1.47512,0.0,55.378,0.0,56.475,0.0,18.817,1.0,253.221,1.0,306.382,0,17.6,1.0,95.298,0.0,,,0.0,1.0,2.972,1.0,380.427,0.0,0.244569868387097,0.131433807339752,19.975,22.272,241.426,306.382,22.01,95.298,0.0,3.489,1.985307
