Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201101,SJ-Adv,78.186,15.923,WET,Arctic,,,,,-1.00488,0.0,7.05316,0.0,-18.132,0.0,0.0,0.0,223.518,0.0,0.787,0.0,100.632,0.0,,,0.389,0.0,5.002,0.0,,,0.0,,-18.132,,0.0,223.518,0.787,100.632,0.389,5.002,
2,201102,SJ-Adv,78.186,15.923,WET,Arctic,,,,,1.67095,0.0,-11.722,0.0,-14.605,0.0,0.346,0.0,232.279,0.0,0.759,0.0,100.784,0.0,,,0.498,0.0,5.31,0.0,,,0.0,,-14.605,,0.346,232.279,0.759,100.784,0.498,5.31,
3,201103,SJ-Adv,78.186,15.923,WET,Arctic,,,,,1.54483,0.0,-10.7993,0.0,-14.685,0.0,23.99,0.0,236.119,0.0,0.828,0.0,99.156,0.0,,,0.709,0.0,6.242,0.0,,,0.0,,-14.685,-14.419,23.99,236.119,0.828,99.156,0.709,6.242,
4,201104,SJ-Adv,78.186,15.923,WET,Arctic,,,,,-1.00652,0.0,7.05364,0.0,-6.479,0.0,86.693,0.0,273.3,0.0,0.939,0.0,99.948,0.0,,,0.395,0.0,5.132,0.0,,,0.0,,-6.479,-6.333,86.693,273.3,0.939,99.948,0.395,5.132,
5,201105,SJ-Adv,78.186,15.923,WET,Arctic,,,,,-0.458982,0.0,3.22156,0.0,-1.818,0.0,195.515,0.0,278.778,0.0,1.177,0.0,101.584,0.0,,,0.256,0.0,4.264,0.0,,,0.0,,-1.818,-1.818,195.515,278.778,1.177,101.584,0.256,4.264,
6,201106,SJ-Adv,78.186,15.923,WET,Arctic,,,,,0.368213,0.0,-2.58042,0.0,3.622,0.0,247.688,0.0,308.591,0.0,1.316,0.0,101.736,0.0,,,0.096,0.0,3.12,0.0,,,0.0,0.291147067917139,3.622,3.622,247.688,308.591,1.316,101.736,0.096,3.12,
7,201107,SJ-Adv,78.186,15.923,WET,Arctic,,,,,5.65449,0.0,-39.6633,0.0,5.135,0.0,165.624,0.0,331.676,0.0,1.017,0.0,101.336,0.0,,,0.435,0.0,3.956,0.0,,,0.1,,5.135,5.135,165.624,331.676,1.017,101.336,0.435,3.956,
8,201108,SJ-Adv,78.186,15.923,WET,Arctic,,,,,6.87569,0.0,-48.065,0.0,4.885,0.0,87.942,0.0,332.848,0.0,0.949,0.0,101.581,0.0,,,0.427,0.0,4.495,0.0,,,0.109487202580645,0.765973826020016,4.885,4.896,87.942,332.848,0.949,101.581,0.427,4.495,
9,201109,SJ-Adv,78.186,15.923,WET,Arctic,,,,,9.80816,0.0,-68.7352,0.0,4.094,0.0,21.05,0.0,332.16,0.0,0.798,0.0,100.64,0.0,,,0.698,0.0,4.065,0.0,,,0.291427824666667,0.228490611792053,4.094,4.216,21.05,332.16,0.798,100.64,0.698,4.065,
10,201110,SJ-Adv,78.186,15.923,WET,Arctic,,,,,5.66036,0.0,-39.7296,0.0,-3.2,0.0799731,3.212,0.0,279.901,0.0,0.957,0.0799731,100.346,0.0772849,,,0.628,0.0,5.432,0.031586,,,0.658941952903226,0.256074199116592,-3.328,,3.212,279.901,0.968,100.343,0.628,5.509,
11,201111,SJ-Adv,78.186,15.923,WET,Arctic,,,,,6.84628,0.0,-47.9784,0.0,-7.585,0.0,0.0,0.0,264.228,0.0,0.927,0.0,99.989,0.0,,,0.788,0.0,5.233,0.0,,,0.633664231290323,0.241613624429941,-7.585,,0.0,264.228,0.927,99.989,0.788,5.233,
12,201112,SJ-Adv,78.186,15.923,WET,Arctic,,,,,9.78202,0.0,-68.6158,0.0,-8.331,0.0,0.0,0.0,257.769,0.0,0.888,0.0,98.928,0.0,,,0.409,0.0,5.853,0.0,,,0.185202847666667,0.096602352647395,-8.331,,0.0,257.769,0.888,98.928,0.409,5.853,
13,201201,SJ-Adv,78.186,15.923,WET,Arctic,1.55391,,0.142182,0.0,1.68309,0.0,-11.7658,0.0,-4.1,0.0,0.0,0.0,277.228,0.0,0.886,0.0,100.832,0.0,,,0.785,0.0,6.641,0.0,,,0.0,,-4.1,,0.0,277.228,0.886,100.832,0.785,6.641,1.696092
14,201202,SJ-Adv,78.186,15.923,WET,Arctic,1.19046,,0.140414,0.0,1.66819,0.0,-11.7219,0.0,-7.117,0.0,0.373,0.0,263.277,0.0,0.902,0.0,99.604,0.0,,,0.654,0.0,6.614,0.0,,,0.0,,-7.117,,0.373,263.277,0.902,99.604,0.654,6.614,1.3308740000000001
15,201203,SJ-Adv,78.186,15.923,WET,Arctic,1.18316,,0.142182,0.0,1.55921,0.024866,-10.8556,0.024866,-6.397,0.0456989,21.486,0.0,267.925,0.0,0.911,0.0456989,100.359,0.0450269,,,0.342,0.0,5.871,0.0181452,,,0.0,,-6.479,-6.275,21.486,267.925,0.919,100.357,0.342,5.95,1.325342
16,201204,SJ-Adv,78.186,15.923,WET,Arctic,0.594467,,0.0642837,0.0583333,-1.03121,0.234028,8.99295,0.238194,-11.318,0.499306,105.291,0.0,242.787,0.0,0.803,0.499306,101.037,0.495833,,,0.116,0.0,3.821,0.173611,,,0.0,,-10.792,-10.586,105.291,242.787,0.923,100.999,0.116,3.788,0.6587506999999999
17,201205,SJ-Adv,78.186,15.923,WET,Arctic,1.95937,,-0.420269,0.0295699,-3.77014,0.042339,2.99509,0.053763,-2.311,0.12836,189.844,0.0,279.816,0.0,1.164,0.12836,101.08,0.125672,,,0.362,0.0,5.496,0.0362903,,,0.0,,-2.203,-2.203,189.844,279.816,1.205,101.089,0.362,5.427,1.539101
