Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200801,SJ-Blv,78.92163,11.83109,SNO,Arctic,-0.0492882,0.0,0.0509878,0.0,,0.0,,0.0,-9.071,0.0,0.238,1.0,243.242,1.0,1.025,0.0,99.97,0.998656,,,1.451,0,4.822,0.967742,0,1,0.0,,-9.071,,0.0,236.319,1.025,99.973,1.451,4.042,0.0016996000000000025
2,200802,SJ-Blv,78.92163,11.83109,SNO,Arctic,-0.045434,0.0,0.0470374,0.0,,0.0,,0.0,-9.582,0.0,1.122,1.0,233.896,1.0,1.023,0.0,99.972,1.0,,,1.625,0,4.67,0.929598,0,1,0.30291575,,-9.582,,0.537,227.136,1.023,99.944,1.625,4.549,0.0016033999999999979
3,200803,SJ-Blv,78.92163,11.83109,SNO,Arctic,-0.0424821,0.00633228,0.0461394,0.811828,,0.814516,,0.814516,-17.42,0.814516,32.843,1.0,191.645,1.0,0.704,0.814516,100.626,1.0,0.108324166667,0.58064516129,0.245,0,3.097,0.573925,0,1,0.0,,-15.813,-15.643,26.951,200.083,1.006,100.6,0.245,3.415,0.0036572999999999953
4,200804,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.0860322,0.0694604,-0.0637017,0.991667,,0.998611,,0.997222,-11.188,1.0,130.298,0.997222,222.721,1.0,0.855,1.0,101.939,1.0,0.134844719807,0.998611111111,0.861,0,3.554,1.0,0,1,0.0,,-10.569,-10.435,110.54,227.285,1.002,101.92,0.861,3.575,0.022330500000000003
5,200805,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.145602,0.0772707,-0.0104666,0.978495,,1.0,,1.0,-3.237,1.0,199.794,1.0,269.501,1.0,1.044,1.0,101.99,1.0,0.0902323655914,1.0,0.785,0,2.385,1.0,0,1,0.0,,-1.868,-1.868,208.094,266.369,1.112,101.991,0.785,2.274,0.13513540000000002
6,200806,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.28872,0.032407,-0.0610316,0.988889,,0.998611,,0.998611,1.981,1.0,261.043,1.0,276.257,1.0,1.715,1.0,101.394,1.0,0.165385727773,0.980555555556,1.051,0,3.379,1.0,0,1,0.0,,2.35,2.35,245.38,285.543,1.048,101.462,1.051,3.257,0.22768839999999999
7,200807,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.519895,0.355104,-0.233254,0.986559,,1.0,,1.0,5.791,1.0,186.787,1.0,303.444,1.0,1.663,1.0,101.268,1.0,0.194542887754,0.986559139785,1.231,0,3.266,1.0,0,1,0.0,,3.851,3.851,173.163,308.542,0.9,101.321,1.231,2.726,0.28664100000000003
8,200808,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.310055,0.34037,-0.129355,1.0,,1.0,,1.0,4.158,1.0,102.416,1.0,302.691,1.0,1.119,1.0,100.913,1.0,0.150699430596,0.997311827957,1.057,0,2.494,1.0,0,1,0.1,,3.076,3.088,91.532,303.545,0.898,100.989,1.057,2.57,0.18070000000000003
9,200809,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.0775547,0.104176,0.10412,0.990278,,0.998611,,0.997222,2.769,1.0,33.138,1.0,298.701,1.0,1.314,1.0,100.78,1.0,0.160961221533,0.920833333333,2.161,0,3.578,0.879167,0,1,0.110503082,,2.205,2.242,23.954,297.897,0.941,100.84,2.161,3.608,0.18167470000000002
10,200810,SJ-Blv,78.92163,11.83109,SNO,Arctic,0.0289923,0.000669048,0.0544522,0.848118,,1.0,,1.0,-6.964,1.0,4.506,1.0,242.297,1.0,0.987,1.0,100.308,1.0,,,1.12,0,3.65,0.817204,0,1,0.151571716451613,0.208677496155068,-6.484,,2.479,242.832,1.033,100.325,1.12,3.441,0.0834445
