Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,201001,SN-Dhr,15.40278,-15.43222,SAV,Arid,14.3139,1.15047,-7.40131,0.0,139.954,0.0,39.1288,0.0,29.467,0.0,11.044,0.0,330.718,0,23.842,0.0,100.766,0,,,0.0,0,2.996,0.0,,,0.271827824516129,0.14519985389162,29.467,30.6,11.044,330.718,23.842,100.766,0.0,2.996,6.912590000000001
2,201002,SN-Dhr,15.40278,-15.43222,SAV,Arid,14.2089,1.27763,-7.42792,0.0,135.983,0.0,38.1313,0.0,28.795,0.0,12.317,0.0,353.484,0,23.794,0.0,100.602,0,,,0.0,0,2.906,0.0,,,1.13214837741935,0.339335484564417,28.795,29.932,12.317,353.484,23.794,100.602,0.0,2.906,6.78098
3,201003,SN-Dhr,15.40278,-15.43222,SAV,Arid,14.0398,1.46425,-7.40865,0.0,127.598,0.0,35.4407,0.0,28.019,0.0,14.196,0.0,358.876,0,23.368,0.0,100.492,0,,,0.0,0,3.075,0.0,,,0.499746433,0.21164423722158,28.019,29.181,14.196,358.876,23.368,100.492,0.0,3.075,6.63115
4,201004,SN-Dhr,15.40278,-15.43222,SAV,Arid,13.9931,1.51168,-7.41212,0.0,126.834,0.0,35.4133,0.0,27.762,0.0,14.655,0.0,385.542,0,23.424,0.0,100.388,0,,,0.052,0,3.335,0.0,,,0.452922819354839,0.186003791846588,27.762,28.863,14.655,385.542,23.424,100.388,0.052,3.335,6.58098
5,201005,SN-Dhr,15.40278,-15.43222,SAV,Arid,13.8779,1.55536,-7.40131,0.0,127.855,0.0,35.7463,0.0,27.221,0.0,15.075,0.0,402.832,0,23.192,0.0,100.414,0,,,0.0,0,3.08,0.0,,,0.288880936785714,0.144815222391807,27.221,28.25,15.075,402.832,23.192,100.414,0.0,3.08,6.476590000000001
6,201006,SN-Dhr,15.40278,-15.43222,SAV,Arid,13.9265,1.50216,-7.41212,0.0,134.675,0.0,37.6026,0.0,27.419,0.0,14.526,0.0,417.149,0,23.64,0.0,100.621,0,,,0.123,0,2.984,0.0,,,0.213319877419355,0.140455462623959,27.419,28.296,14.526,417.149,23.64,100.621,0.123,2.984,6.514380000000001
7,201007,SN-Dhr,15.40278,-15.43222,SAV,Arid,13.0693,6.33003,-6.34222,0.00268817,113.928,0.002016,28.8768,0.356855,28.058,0.424731,106.367,0.425403,426.38,0,19.89,0.424731,100.603,0,,,1.074,0,3.312,0.189516,,,0.199083403,0.139165694273029,27.778,28.441,13.417,426.38,24.107,100.603,1.074,3.303,6.72708
8,201008,SN-Dhr,15.40278,-15.43222,SAV,Arid,13.6126,13.623,-5.10277,0.938172,109.873,0.981855,9.93711,0.955645,28.048,1.0,232.147,1.0,425.836,0,9.938,1.0,100.634,0,,,3.473,0,2.427,0.56922,,,0.177713908064516,0.136092124778263,28.231,28.742,12.121,425.836,24.463,100.634,3.473,2.456,8.509830000000001
9,201009,SN-Dhr,15.40278,-15.43222,SAV,Arid,11.8259,11.1939,-2.73505,0.947917,108.286,0.989583,12.8874,0.976389,27.331,1.0,213.278,1.0,423.56,0,8.238,1.0,100.6,0,,,5.651,0,1.955,0.726389,,,0.187010931,0.136580677544356,28.483,28.943,11.194,423.56,24.631,100.6,5.651,1.814,9.09085
10,201010,SN-Dhr,15.40278,-15.43222,SAV,Arid,6.00837,4.39021,-0.437723,0.602823,81.6901,0.6875,25.6078,0.663306,28.356,0.493952,117.94,0.493952,412.107,0,19.231,0.493952,100.563,0,,,0.875,0,2.219,0.657258,,,0.380100955806452,0.208224856405319,28.061,28.748,12.035,412.107,24.216,100.563,0.875,2.205,5.570647
