Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200301,US-ARM,36.6058,-97.4888,CRO,Temperate,0.565621,0.740424,-0.237423,0.969086,21.3486,1.0,17.4519,1.0,1.146,1.0,119.343,1.0,269.391,1.0,2.484,1.0,98.827,1.0,0.263300872493,0.975134408602,0.09,1.0,4.382,0.910618,379.976,1.0,0.700141569032258,0.278993177508564,0.577,2.585,121.336,258.667,1.622,98.431,0.142,3.942,0.32819800000000005
2,200302,US-ARM,36.6058,-97.4888,CRO,Temperate,0.976175,1.13245,-0.343322,0.927827,22.0739,0.997768,16.6096,0.997768,1.687,1.0,137.775,1.0,292.341,1.0,2.406,1.0,98.265,1.0,0.248804840667,0.965773809524,0.582,1.0,4.167,0.883185,385.808,0.997768,0.748008895483871,0.243351603174359,0.829,2.759,135.97,274.846,1.597,97.863,1.852,3.797,0.632853
3,200303,US-ARM,36.6058,-97.4888,CRO,Temperate,3.25259,3.7399,-2.10686,0.958333,58.2328,0.998656,18.2926,1.0,7.94,1.0,189.546,1.0,308.12,1.0,3.987,1.0,97.811,1.0,0.304305069533,0.978494623656,2.177,1.0,4.356,0.896505,381.448,0.998656,1.009102937,0.361368028827471,7.734,10.101,196.225,292.908,3.576,97.396,2.701,4.107,1.14573
4,200304,US-ARM,36.6058,-97.4888,CRO,Temperate,5.93304,6.16778,-3.91082,0.976389,91.5759,0.998611,8.30119,0.999306,14.872,1.0,251.207,1.0,335.34,1.0,6.598,1.0,97.721,1.0,0.388782229334,0.977777777778,2.587,1.0,4.849,0.91875,375.377,0.999306,0.766725641935484,0.327733774456861,15.707,17.655,250.03,322.433,7.983,97.307,2.129,5.394,2.02222
5,200305,US-ARM,36.6058,-97.4888,CRO,Temperate,2.38544,2.33747,0.193679,0.832661,69.1252,0.967742,64.7267,0.967742,19.384,0.836022,257.82,0.840054,371.386,0.836022,8.078,0.836022,97.767,0.819892,0.32514337513,0.793682795699,2.627,0.815188,3.563,0.664651,374.825,0.949597,0.747845272857143,0.270966958256216,19.767,21.587,266.543,354.562,8.77,97.393,2.601,3.992,2.579119
6,200306,US-ARM,36.6058,-97.4888,CRO,Temperate,0.525117,0.87049,1.50485,0.90625,57.2908,0.999306,84.9353,0.999306,23.049,1.0,277.79,1.0,399.317,1.0,10.725,1.0,97.819,1.0,0.320676469018,0.972222222222,2.57,1.0,3.368,0.763194,382.069,0.999306,1.09211674290323,0.339205340658838,23.001,24.5,271.897,379.902,10.724,97.417,1.922,3.484,2.029967
7,200307,US-ARM,36.6058,-97.4888,CRO,Temperate,-0.399538,0.746637,1.93993,0.96371,36.2699,0.977151,99.3169,0.976478,29.902,0.976478,314.189,0.978495,426.593,0.976478,24.767,0.976478,97.905,0.966398,0.381925902851,0.945564516129,0.265,0.961694,4.16,0.84879,362.451,0.977823,1.90842042333333,0.46387413313593,29.242,30.76,296.833,405.826,22.821,97.563,0.158,3.751,1.540392
8,200308,US-ARM,36.6058,-97.4888,CRO,Temperate,-0.602839,0.03831,2.63808,0.86828,30.7002,0.997984,78.8817,0.997312,28.3,0.982527,260.043,0.984543,426.739,0.982527,19.995,0.982527,98.024,0.97043,0.258786132578,0.948924731183,2.486,0.968414,3.589,0.811156,365.99,0.997984,1.42473623548387,0.362622015519309,28.182,29.602,242.217,411.046,19.595,97.682,1.902,2.848,2.035241
9,200309,US-ARM,36.6058,-97.4888,CRO,Temperate,-0.316314,0.00938877,1.67878,0.914583,40.5702,0.999306,47.9408,0.998611,19.965,1.0,203.89,0.997917,372.467,1.0,9.525,1.0,98.196,1.0,0.278331112313,0.966666666667,1.857,1.0,4.146,0.872222,379.068,0.995139,1.04416166333333,0.265336217827344,19.872,21.527,196.442,357.674,9.021,97.821,1.625,3.917,1.362466
10,200310,US-ARM,36.6058,-97.4888,CRO,Temperate,1.29724,1.20535,0.108766,0.922715,56.5039,1.0,10.8759,1.0,15.747,1.0,169.689,1.0,344.715,1.0,6.743,1.0,98.145,1.0,0.224130709128,0.948252688172,1.771,1.0,3.625,0.830645,379.928,1.0,0.801635337096774,0.21983230879347,15.664,17.693,161.013,329.109,6.364,97.749,1.938,3.468,1.4060059999999999
11,200311,US-ARM,36.6058,-97.4888,CRO,Temperate,1.58069,1.56973,-0.897291,0.969444,21.0316,0.984028,8.89246,0.984028,8.318,0.984722,98.433,0.986111,314.762,0.984722,3.849,0.984722,98.29,0.966667,0.288223445623,0.926388888889,0.31,0.966667,4.649,0.876389,366.677,0.984722,0.56459111516129,0.171662266717731,9.44,11.005,107.445,302.998,3.972,97.877,0.496,4.442,0.683399
12,200312,US-ARM,36.6058,-97.4888,CRO,Temperate,0.92724,0.656389,-0.867945,0.932124,18.8303,0.967742,-6.60639,0.967742,3.71,0.939516,102.063,0.941532,277.552,0.587366,3.094,0.939516,98.105,0.925403,0.292404193505,0.918010752688,0.961,0.920699,4.869,0.90457,381.018,0.96707,0.537702460333333,0.191554774608822,4.087,5.625,100.141,273.543,2.559,97.927,1.206,4.809,0.05929499999999999
