Unnamed: 0,TIMESTAMP,Site,Lat,Lon,PFT,Climate,GPP_NT_VUT_REF,GPP_DT_VUT_REF,NEE_VUT_REF,NEE_VUT_REF_QC,LE_CORR,LE_F_MDS_QC,H_CORR,H_F_MDS_QC,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,USTAR,USTAR_QC,P_F,P_F_QC,WS_F,WS_F_QC,CO2_F_MDS,CO2_F_MDS_QC,LAI,EVI,TA_ERA,TA_ERA_DAY,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA,RECO
1,200501,US-ARb,35.5497,-98.0402,GRA,Temperate,-0.74177,0.0,0.967039,0.0,20.5762,0.0,66.5173,0.0,3.08,0.0,103.572,0.609543,279.57,0,0.43,0.0,97.356,0.0,,,3.359,0.0,3.486,0.0,,,0.239189897741935,0.155392767418712,3.08,4.445,103.761,279.57,0.43,97.356,3.359,3.486,0.22526899999999994
2,200502,US-ARb,35.5497,-98.0402,GRA,Temperate,-0.70217,0.0,0.989686,0.0,20.4527,0.0,66.9073,0.0,6.161,0.0,140.357,0.573661,289.512,0,1.276,0.0,97.152,0.0,,,2.517,0.0,3.309,0.0,,,0.765301034193548,0.297559439054178,6.161,8.051,140.644,289.512,1.276,97.152,2.517,3.309,0.287516
3,200503,US-ARb,35.5497,-98.0402,GRA,Temperate,-0.218768,0.0473553,1.05952,0.788306,22.5011,0.858871,59.8672,0.858199,9.586,0.83871,198.159,0.879032,285.765,0,4.895,0.83871,96.483,0.725134,0.376324999095,0.521505376344,0.542,0.725134,4.894,0.692204,384.479,0.858871,0.300000011,0.202386822505593,9.516,11.604,209.681,285.765,3.633,96.508,0.846,4.069,0.840752
4,200504,US-ARb,35.5497,-98.0402,GRA,Temperate,2.74691,2.44827,-0.0239423,0.961806,41.9312,0.998611,65.6104,0.999306,15.115,1.0,265.177,1.0,309.535,0,6.86,1.0,96.559,1.0,0.413697793256,0.791666666667,0.26,1.0,5.604,0.959028,367.421,0.999306,0.30000001,0.191483150329724,15.477,17.378,268.354,309.535,6.739,96.55,0.704,4.79,2.7229677000000003
5,200505,US-ARb,35.5497,-98.0402,GRA,Temperate,8.0076,8.81672,-2.91334,0.93414,79.0904,0.995968,23.7514,0.998656,19.586,1.0,233.324,1.0,361.495,0,6.699,1.0,96.651,1.0,0.376183550806,0.700268817204,2.723,1.0,4.041,0.928091,370.871,0.994624,0.284770920714286,0.165188420357852,19.973,21.491,258.868,361.495,7.877,96.606,2.465,3.649,5.09426
6,200506,US-ARb,35.5497,-98.0402,GRA,Temperate,12.5063,13.5677,-5.53406,0.765972,133.726,0.920833,2.86676,0.924306,24.917,1.0,302.982,0.998611,389.843,0,10.104,0.999306,96.48,0.98125,,,4.86,0.98125,3.967,0.274306,371.566,0.914583,0.361578607096774,0.184506511078991,25.477,26.928,297.623,389.843,12.174,96.418,2.243,3.848,6.972239999999999
7,200507,US-ARb,35.5497,-98.0402,GRA,Temperate,11.474,13.25,-4.63197,0.490591,126.743,0.78293,18.4955,0.783602,26.278,0.997312,308.262,0.997984,393.47,0,12.142,0.997312,96.835,0.991263,,,1.516,0.991263,3.164,0.445565,370.496,0.769489,0.744552272333333,0.296411098577948,26.335,27.927,294.452,393.47,13.389,96.778,1.662,3.078,6.84203
8,200508,US-ARb,35.5497,-98.0402,GRA,Temperate,6.76437,7.11929,-0.111353,0.935484,99.1606,1.0,27.6787,1.0,25.836,1.0,244.074,1.0,402.422,0,10.231,1.0,96.746,1.0,0.356403572273,0.69623655914,4.842,1.0,2.637,0.905914,379.672,0.999328,1.36639356451613,0.459049538901142,25.399,26.796,241.103,402.422,10.012,96.714,4.027,2.472,6.653017
9,200509,US-ARb,35.5497,-98.0402,GRA,Temperate,5.45975,5.07506,-0.298493,0.9375,88.05,0.995139,27.8611,0.999306,23.821,1.0,230.394,1.0,375.115,0,10.234,0.998611,96.891,1.0,0.423064872391,0.707638888889,3.107,1.0,2.966,0.93125,375.831,0.997917,1.82364945333333,0.553932354702752,23.586,25.396,222.502,375.115,10.463,96.873,4.387,3.221,5.161257
10,200510,US-ARb,35.5497,-98.0402,GRA,Temperate,1.7653,1.62706,1.60005,0.972446,37.6409,0.997984,37.4323,0.998656,16.263,1.0,171.692,1.0,326.611,0,6.115,1.0,97.025,1.0,0.444618555001,0.698252688172,0.923,1.0,3.095,0.943548,374.983,0.998656,1.94831989354839,0.580145869106926,15.44,17.277,165.584,326.611,5.054,97.018,1.31,3.448,3.3653500000000003
11,200511,US-ARb,35.5497,-98.0402,GRA,Temperate,-0.13177,0.0311779,1.40313,0.944444,9.78628,0.997222,37.2457,0.998611,11.023,1.0,147.453,1.0,282.021,0,6.459,1.0,96.832,1.0,0.502638803984,0.733333333333,0.003,1.0,3.824,0.96875,365.965,0.998611,1.50413406451613,0.48801727414216,10.82,12.618,139.136,282.021,5.001,96.881,0.019,4.276,1.27136
12,200512,US-ARb,35.5497,-98.0402,GRA,Temperate,-0.0317232,0.00757427,0.613155,0.984543,6.60367,0.995968,24.0966,0.995968,2.962,1.0,112.215,0.99664,251.471,0,3.996,1.0,97.021,0.999328,0.448146015035,0.78561827957,0.239,0.999328,3.462,0.948253,360.192,0.995968,1.164937294,0.411983510041309,2.472,4.476,112.833,251.471,1.731,97.083,0.276,3.671,0.5814318
